#PeakID(python identify_motif.py ./ENCODE_processed_files/RUNX1_idr.fa RUNX1 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
39_19446	chr22	19058171	19058571	+	1000	31.0	[]	[]	[9.738007]	[112]	[]	[19058360]
39_19447	chr22	19070927	19071327	+	1000	31.0	[]	[]	[10.370103]	[213]	[]	[19071158]
39_19450	chr22	19229614	19230014	+	1000	31.0	[]	[]	[7.2151175]	[121]	[]	[19229792]
39_19471	chr22	20259371	20259771	+	1000	31.0	[]	[]	[9.738007]	[167]	[]	[20259571]
39_19472	chr22	20260996	20261396	+	1000	31.0	[]	[]	[8.260495, 8.892592]	[111, 132]	[]	[20261163, 20261184]
39_19495	chr22	22044271	22044671	+	938	31.0	[]	[]	[9.738007]	[135]	[]	[22044488]
39_19500	chr22	22339409	22339809	+	1000	31.0	[]	[]	[8.892592]	[185]	[]	[22339633]
39_19506	chr22	22729121	22729521	+	1000	31.0	[7.3683157]	[53]	[]	[]	[22729274]	[]
39_19508	chr22	22983933	22984333	+	1000	31.0	[]	[]	[7.397283]	[88]	[]	[22984112]
39_19516	chr22	46934507	46934907	+	1000	31.0	[7.748347]	[200]	[]	[]	[46934726]	[]
39_19517	chr22	50190231	50190631	+	968	31.0	[]	[]	[8.892592]	[124]	[]	[50190409]
39_19529	chr3	33054987	33055387	+	1000	31.0	[12.064187]	[154]	[]	[]	[33055214]	[]
39_19537	chr3	43106060	43106460	+	814	31.0	[]	[]	[7.3683157]	[221]	[]	[43106302]
39_1954	chr1	46528001	46528401	+	1000	62.0	[7.748347]	[67]	[]	[]	[46528157]	[]
39_19545	chr3	48608942	48609342	+	1000	31.0	[]	[]	[8.892592]	[172]	[]	[48609192]
39_19546	chr3	49093166	49093566	+	989	31.0	[]	[]	[8.502309]	[120]	[]	[49093321]
39_1955	chr1	64864153	64864553	+	1000	62.0	[8.892592]	[130]	[]	[]	[64864377]	[]
39_19557	chr3	108104371	108104771	+	1000	31.0	[]	[]	[7.397283]	[106]	[]	[108104532]
39_19558	chr3	128409731	128410131	+	1000	31.0	[]	[]	[8.260495]	[160]	[]	[128409947]
39_1956	chr1	67686612	67687012	+	1000	62.0	[8.909202]	[71]	[]	[]	[67686766]	[]
39_19564	chr3	149129896	149130296	+	1000	31.0	[8.502309]	[134]	[]	[]	[149130114]	[]
39_19569	chr3	156605697	156606097	+	809	31.0	[]	[]	[10.586677]	[127]	[]	[156605890]
39_1957	chr1	67688546	67688946	+	1000	62.0	[]	[]	[10.586677]	[77]	[]	[67688712]
39_19572	chr3	171156512	171156912	+	973	31.0	[10.370103]	[111]	[8.260495]	[172]	[171156700]	[171156761]
39_19574	chr3	172750899	172751299	+	1000	31.0	[9.738007]	[181]	[]	[]	[172751116]	[]
39_19576	chr3	183009772	183010172	+	1000	31.0	[10.370103]	[126]	[]	[]	[183009973]	[]
39_19579	chr3	184345614	184346014	+	1000	31.0	[7.748347]	[141]	[7.2151175, 8.892592, 8.892592]	[147, 183, 194]	[184345793]	[184345799, 184345835, 184345846]
39_19583	chr3	194139064	194139464	+	1000	31.0	[8.017088, 7.151105]	[112, 131]	[]	[]	[194139243, 194139262]	[]
39_19587	chr4	1044320	1044720	+	1000	31.0	[]	[]	[8.260495]	[216]	[]	[1044564]
39_19589	chr4	3062546	3062946	+	1000	31.0	[8.502309, 8.502309]	[77, 119]	[]	[]	[3062698, 3062740]	[]
39_19594	chr4	7101938	7102338	+	1000	31.0	[12.064187]	[155]	[]	[]	[7102147]	[]
39_19596	chr4	26321464	26321864	+	982	31.0	[9.738007]	[191]	[]	[]	[26321670]	[]
39_19601	chr4	48681036	48681436	+	945	31.0	[]	[]	[7.7944894]	[125]	[]	[48681259]
39_19602	chr4	48698267	48698667	+	1000	31.0	[7.397283]	[131]	[]	[]	[48698491]	[]
39_19625	chr5	882299	882699	+	546	31.0	[]	[]	[10.586677, 10.370103, 10.586677, 10.370103, 12.064187]	[130, 152, 161, 183, 192]	[]	[882475, 882497, 882506, 882528, 882537]
39_19630	chr5	34895976	34896376	+	984	31.0	[]	[]	[10.370103]	[99]	[]	[34896158]
39_19632	chr5	38556863	38557263	+	721	31.0	[]	[]	[7.397283]	[163]	[]	[38557069]
39_19649	chr5	97182988	97183388	+	990	31.0	[]	[]	[8.892592]	[146]	[]	[97183171]
39_19657	chr5	135977361	135977761	+	1000	31.0	[8.892592]	[167]	[]	[]	[135977585]	[]
39_1968	chr10	80504006	80504406	+	1000	62.0	[7.2151175]	[155]	[]	[]	[80504256]	[]
39_19680	chr5	180803756	180804156	+	1000	31.0	[12.064187]	[121]	[]	[]	[180803974]	[]
39_19689	chr6	7275883	7276283	+	1000	31.0	[]	[]	[8.017088]	[149]	[]	[7276123]
39_1969	chr10	102432443	102432843	+	1000	62.0	[]	[]	[8.260495]	[126]	[]	[102432667]
39_19691	chr6	11172485	11172885	+	1000	31.0	[]	[]	[10.586677]	[95]	[]	[11172674]
39_19695	chr6	13767436	13767836	+	1000	31.0	[10.370103]	[164]	[]	[]	[13767686]	[]
39_19696	chr6	15088774	15089174	+	1000	31.0	[8.260495]	[200]	[]	[]	[15089023]	[]
39_1970	chr11	61966578	61966978	+	1000	62.0	[]	[]	[9.738007]	[155]	[]	[61966818]
39_19715	chr6	30619566	30619966	+	1000	31.0	[]	[]	[12.064187]	[122]	[]	[30619759]
39_19718	chr6	31747145	31747545	+	1000	31.0	[]	[]	[8.017088]	[155]	[]	[31747324]
39_19730	chr6	35569067	35569467	+	1000	31.0	[10.370103]	[158]	[]	[]	[35569232]	[]
39_19750	chr6	73129875	73130275	+	1000	31.0	[12.064187]	[136]	[]	[]	[73130100]	[]
39_19754	chr6	99515048	99515448	+	1000	31.0	[]	[]	[9.738007]	[171]	[]	[99515299]
39_19759	chr6	136644139	136644539	+	1000	31.0	[]	[]	[8.329008]	[91]	[]	[136644325]
39_19770	chr6	157207629	157208029	+	1000	31.0	[7.748347]	[123]	[]	[]	[157207840]	[]
39_19772	chr6	158031907	158032307	+	1000	31.0	[10.370103]	[126]	[]	[]	[158032089]	[]
39_19804	chr7	29921426	29921826	+	1000	31.0	[8.329008]	[139]	[]	[]	[29921645]	[]
39_19807	chr7	44291355	44291755	+	1000	31.0	[8.017088]	[148]	[8.892592]	[90]	[44291590]	[44291532]
39_19814	chr7	72827974	72828374	+	790	31.0	[8.260495]	[155]	[]	[]	[72828198]	[]
39_19822	chr7	78019633	78020033	+	1000	31.0	[7.3683157]	[70]	[]	[]	[78019790]	[]
39_19834	chr7	100692528	100692928	+	877	31.0	[]	[]	[7.151105]	[66]	[]	[100692693]
39_19835	chr7	100958124	100958524	+	953	31.0	[]	[]	[10.586677]	[185]	[]	[100958316]
39_19855	chr7	128347585	128347985	+	1000	31.0	[]	[]	[9.738007]	[110]	[]	[128347756]
39_19869	chr7	139108112	139108512	+	1000	31.0	[]	[]	[10.370103]	[119]	[]	[139108322]
39_19874	chr7	140252887	140253287	+	1000	31.0	[8.909202, 8.044104]	[178, 185]	[]	[]	[140253123, 140253130]	[]
39_19879	chr7	142960751	142961151	+	923	31.0	[7.2151175]	[159]	[]	[]	[142960959]	[]
39_19882	chr7	150332834	150333234	+	1000	31.0	[7.151105, 10.370103]	[111, 157]	[]	[]	[150333032, 150333078]	[]
39_19887	chr7	151759524	151759924	+	1000	31.0	[]	[]	[7.748347]	[149]	[]	[151759757]
39_1989	chr18	35458881	35459281	+	1000	62.0	[]	[]	[10.370103, 8.892592]	[118, 151]	[]	[35459098, 35459131]
39_19903	chr8	23019116	23019516	+	1000	31.0	[10.370103]	[217]	[]	[]	[23019344]	[]
39_19911	chr8	61077997	61078397	+	1000	31.0	[8.909202]	[143]	[]	[]	[61078177]	[]
39_19917	chr8	102585878	102586278	+	1000	31.0	[]	[]	[7.7944894]	[221]	[]	[102586117]
39_19926	chr8	128149967	128150367	+	1000	31.0	[8.329008]	[116]	[]	[]	[128150181]	[]
39_1993	chr19	12886183	12886583	+	1000	62.0	[]	[]	[12.064187]	[106]	[]	[12886383]
39_19931	chr8	141242550	141242950	+	1000	31.0	[]	[]	[8.892592]	[192]	[]	[141242787]
39_19938	chr9	33076244	33076644	+	1000	31.0	[8.260495]	[114]	[]	[]	[33076416]	[]
39_19977	chr9	128863629	128864029	+	1000	31.0	[8.044104]	[133]	[]	[]	[128863780]	[]
39_19984	chr9	130933931	130934331	+	908	31.0	[9.738007]	[159]	[]	[]	[130934113]	[]
39_19989	chr9	131739984	131740384	+	805	31.0	[8.260495]	[94]	[]	[]	[131740163]	[]
39_19992	chr9	134407182	134407582	+	1000	31.0	[9.738007]	[190]	[]	[]	[134407398]	[]
39_19995	chr9	136345776	136346176	+	833	31.0	[8.892592]	[192]	[8.892592]	[195]	[136346010]	[136346013]
39_20001	chr9	136964307	136964707	+	1000	31.0	[]	[]	[8.892592]	[124]	[]	[136964490]
39_20003	chr9	137716161	137716561	+	1000	31.0	[8.329008, 8.329008]	[71, 100]	[]	[]	[137716331, 137716360]	[]
39_2001	chr2	55048933	55049333	+	1000	62.0	[8.502309]	[117]	[8.329008]	[86]	[55049139]	[55049108]
39_20010	chrX	12978251	12978651	+	948	31.0	[]	[]	[7.151105]	[142]	[]	[12978471]
39_20030	chr1	2413264	2413664	+	1000	30.0	[]	[]	[8.892592]	[167]	[]	[2413455]
39_20034	chr1	6127555	6127955	+	813	30.0	[10.370103]	[169]	[]	[]	[6127739]	[]
39_20041	chr1	10494634	10495034	+	1000	30.0	[7.748347]	[139]	[]	[]	[10494840]	[]
39_20048	chr1	12552046	12552446	+	1000	30.0	[]	[]	[12.064187]	[112]	[]	[12552225]
39_20050	chr1	15684793	15685193	+	882	30.0	[]	[]	[7.7944894]	[96]	[]	[15684945]
39_2006	chr20	49278487	49278887	+	1000	62.0	[8.909202, 8.329008]	[89, 158]	[]	[]	[49278666, 49278735]	[]
39_20064	chr1	23568729	23569129	+	1000	30.0	[8.260495]	[101]	[]	[]	[23568930]	[]
39_20077	chr1	27572695	27573095	+	1000	30.0	[]	[]	[7.151105]	[191]	[]	[27572942]
39_20090	chr1	31765046	31765446	+	1000	30.0	[8.892592]	[198]	[]	[]	[31765269]	[]
39_20093	chr1	32755712	32756112	+	1000	30.0	[8.260495]	[203]	[]	[]	[32755945]	[]
39_20119	chr1	53485486	53485886	+	1000	30.0	[8.017088]	[144]	[]	[]	[53485706]	[]
39_20128	chr1	66242669	66243069	+	1000	30.0	[7.2151175]	[88]	[]	[]	[66242853]	[]
39_20131	chr1	67736313	67736713	+	1000	30.0	[7.2151175]	[208]	[]	[]	[67736530]	[]
39_20158	chr1	112713938	112714338	+	1000	30.0	[]	[]	[10.370103]	[234]	[]	[112714181]
39_20160	chr1	116374071	116374471	+	1000	30.0	[]	[]	[8.017088]	[200]	[]	[116374278]
39_20161	chr1	116573375	116573775	+	1000	30.0	[]	[]	[7.151105]	[153]	[]	[116573623]
39_20165	chr1	117608200	117608600	+	974	30.0	[]	[]	[8.260495]	[127]	[]	[117608426]
39_20174	chr1	150234510	150234910	+	1000	30.0	[]	[]	[7.7944894]	[74]	[]	[150234683]
39_20189	chr1	156295394	156295794	+	1000	30.0	[]	[]	[7.7944894]	[187]	[]	[156295615]
39_20197	chr1	160376402	160376802	+	996	30.0	[7.748347]	[143]	[]	[]	[160376626]	[]
39_20200	chr1	161444758	161445158	+	1000	30.0	[]	[]	[9.738007]	[127]	[]	[161444981]
39_20201	chr1	164774802	164775202	+	953	30.0	[7.151105, 7.151105]	[162, 218]	[]	[]	[164774992, 164775048]	[]
39_20215	chr1	179029340	179029740	+	1000	30.0	[8.017088]	[151]	[]	[]	[179029590]	[]
39_20219	chr1	184825960	184826360	+	1000	30.0	[9.738007]	[140]	[]	[]	[184826129]	[]
39_2022	chr3	193853538	193853938	+	1000	62.0	[]	[]	[8.260495, 8.044104]	[88, 181]	[]	[193853691, 193853784]
39_20223	chr1	201254494	201254894	+	1000	30.0	[]	[]	[8.329008]	[159]	[]	[201254739]
39_20227	chr1	201551855	201552255	+	736	30.0	[]	[]	[10.586677]	[111]	[]	[201552057]
39_20230	chr1	202154755	202155155	+	1000	30.0	[]	[]	[9.738007]	[166]	[]	[202154993]
39_20232	chr1	202958168	202958568	+	1000	30.0	[]	[]	[8.892592]	[213]	[]	[202958415]
39_20233	chr1	203216314	203216714	+	1000	30.0	[]	[]	[7.2151175]	[154]	[]	[203216553]
39_20237	chr1	203504614	203505014	+	861	30.0	[7.7944894]	[98]	[]	[]	[203504812]	[]
39_20238	chr1	204410592	204410992	+	1000	30.0	[]	[]	[8.909202]	[140]	[]	[204410755]
39_2024	chr5	54325643	54326043	+	1000	62.0	[8.044104]	[90]	[]	[]	[54325828]	[]
39_20240	chr1	204465368	204465768	+	1000	30.0	[8.892592]	[88]	[]	[]	[204465553]	[]
39_20245	chr1	206559541	206559941	+	1000	30.0	[]	[]	[7.7944894]	[90]	[]	[206559696]
39_20248	chr1	207322084	207322484	+	1000	30.0	[7.2151175]	[165]	[]	[]	[207322291]	[]
39_2026	chr5	150000356	150000756	+	1000	62.0	[]	[]	[10.370103]	[122]	[]	[150000531]
39_20262	chr1	225769068	225769468	+	910	30.0	[12.064187]	[162]	[]	[]	[225769302]	[]
39_20268	chr1	233666493	233666893	+	758	30.0	[10.586677]	[118]	[]	[]	[233666692]	[]
39_2027	chr5	172772317	172772717	+	1000	62.0	[8.502309]	[139]	[]	[]	[172772542]	[]
39_20280	chr10	3762921	3763321	+	1000	30.0	[]	[]	[7.2151175]	[108]	[]	[3763113]
39_20285	chr10	6053864	6054264	+	1000	30.0	[]	[]	[7.7944894, 9.738007]	[185, 200]	[]	[6054078, 6054093]
39_20286	chr10	11713086	11713486	+	1000	30.0	[8.017088]	[175]	[]	[]	[11713270]	[]
39_20292	chr10	16996191	16996591	+	985	30.0	[]	[]	[7.151105]	[126]	[]	[16996404]
39_20294	chr10	18659156	18659556	+	1000	30.0	[8.909202]	[208]	[]	[]	[18659378]	[]
39_2030	chr6	14728584	14728984	+	1000	62.0	[]	[]	[8.329008]	[97]	[]	[14728779]
39_20309	chr10	49172567	49172967	+	1000	30.0	[]	[]	[7.151105]	[213]	[]	[49172794]
39_20315	chr10	62816418	62816818	+	1000	30.0	[]	[]	[10.370103]	[139]	[]	[62816646]
39_20336	chr10	96089640	96090040	+	570	30.0	[]	[]	[8.909202]	[212]	[]	[96089885]
39_2035	chr6	30769248	30769648	+	1000	62.0	[]	[]	[12.064187]	[109]	[]	[30769436]
39_20351	chr11	297620	298020	+	1000	30.0	[]	[]	[9.738007]	[181]	[]	[297831]
39_20360	chr11	3942384	3942784	+	1000	30.0	[8.260495, 12.064187]	[54, 148]	[]	[]	[3942537, 3942631]	[]
39_20361	chr11	6606880	6607280	+	1000	30.0	[]	[]	[10.586677]	[128]	[]	[6607101]
39_20388	chr11	65442987	65443387	+	1000	30.0	[8.017088]	[174]	[]	[]	[65443228]	[]
39_2039	chr6	35468073	35468473	+	1000	62.0	[9.738007]	[115]	[]	[]	[35468236]	[]
39_20393	chr11	67351150	67351550	+	1000	30.0	[8.260495]	[190]	[]	[]	[67351354]	[]
39_20396	chr11	69420466	69420866	+	1000	30.0	[10.586677]	[162]	[]	[]	[69420716]	[]
39_20398	chr11	71800338	71800738	+	800	30.0	[]	[]	[12.064187]	[83]	[]	[71800496]
39_20399	chr11	72192026	72192426	+	1000	30.0	[9.738007]	[107]	[]	[]	[72192214]	[]
39_204	chr11	120344314	120344714	+	1000	133.0	[12.064187, 12.064187, 7.397283, 9.738007]	[85, 108, 126, 135]	[]	[]	[120344497, 120344520, 120344538, 120344547]	[]
39_20413	chr11	129945469	129945869	+	861	30.0	[]	[]	[8.892592]	[168]	[]	[129945659]
39_20414	chr11	130213088	130213488	+	926	30.0	[]	[]	[8.892592]	[107]	[]	[130213244]
39_20419	chr12	31715184	31715584	+	1000	30.0	[8.909202]	[210]	[]	[]	[31715431]	[]
39_20432	chr12	49980817	49981217	+	883	30.0	[7.2151175]	[148]	[]	[]	[49981059]	[]
39_20440	chr12	56159499	56159899	+	1000	30.0	[]	[]	[7.7944894]	[205]	[]	[56159715]
39_20447	chr12	57243571	57243971	+	1000	30.0	[9.738007]	[155]	[]	[]	[57243778]	[]
39_20452	chr12	98698808	98699208	+	1000	30.0	[8.909202]	[134]	[8.017088]	[149]	[98699019]	[98699034]
39_20455	chr12	104458811	104459211	+	868	30.0	[]	[]	[10.370103, 8.909202, 8.044104]	[133, 163, 173]	[]	[104459016, 104459046, 104459056]
39_20463	chr12	108633651	108634051	+	1000	30.0	[7.2151175]	[104]	[]	[]	[108633841]	[]
39_20464	chr12	108689886	108690286	+	1000	30.0	[10.586677]	[114]	[]	[]	[108690099]	[]
39_20477	chr12	122081763	122082163	+	1000	30.0	[8.044104]	[131]	[]	[]	[122081984]	[]
39_20492	chr13	90746195	90746595	+	920	30.0	[7.151105]	[230]	[]	[]	[90746439]	[]
39_20495	chr13	91313041	91313441	+	1000	30.0	[12.064187]	[84]	[]	[]	[91313215]	[]
39_20502	chr13	92512811	92513211	+	969	30.0	[]	[]	[10.370103]	[105]	[]	[92512986]
39_20507	chr13	98476526	98476926	+	1000	30.0	[]	[]	[12.064187]	[83]	[]	[98476705]
39_20508	chr13	98480922	98481322	+	991	30.0	[]	[]	[10.370103]	[149]	[]	[98481144]
39_2051	chr8	94719582	94719982	+	1000	62.0	[7.748347]	[138]	[]	[]	[94719818]	[]
39_20510	chr13	107983699	107984099	+	1000	30.0	[7.2151175]	[150]	[]	[]	[107983941]	[]
39_20514	chr14	22955604	22956004	+	979	30.0	[10.370103]	[135]	[]	[]	[22955837]	[]
39_20516	chr14	24296697	24297097	+	946	30.0	[]	[]	[7.3683157]	[160]	[]	[24296947]
39_2052	chr8	123922094	123922494	+	1000	62.0	[10.370103]	[148]	[]	[]	[123922320]	[]
39_20525	chr14	73754090	73754490	+	844	30.0	[9.738007]	[154]	[]	[]	[73754316]	[]
39_20526	chr14	76961732	76962132	+	734	30.0	[]	[]	[8.044104, 8.017088]	[121, 153]	[]	[76961945, 76961977]
39_20527	chr14	77862175	77862575	+	996	30.0	[9.738007]	[103]	[]	[]	[77862350]	[]
39_20531	chr14	103122089	103122489	+	1000	30.0	[]	[]	[9.738007]	[203]	[]	[103122295]
39_20550	chr15	65385463	65385863	+	1000	30.0	[7.151105]	[152]	[]	[]	[65385663]	[]
39_20557	chr15	76338427	76338827	+	885	30.0	[12.064187]	[126]	[]	[]	[76338613]	[]
39_20558	chr15	78308394	78308794	+	1000	30.0	[]	[]	[8.329008]	[56]	[]	[78308546]
39_20561	chr15	82262478	82262878	+	1000	30.0	[]	[]	[9.738007]	[97]	[]	[82262658]
39_20575	chr16	567082	567482	+	1000	30.0	[]	[]	[9.738007]	[153]	[]	[567306]
39_206	chr16	88497716	88498116	+	1000	133.0	[]	[]	[8.044104]	[104]	[]	[88497881]
39_20603	chr16	31457873	31458273	+	1000	30.0	[8.260495, 8.892592]	[101, 134]	[7.2151175, 8.892592]	[69, 149]	[31458065, 31458098]	[31458033, 31458113]
39_2061	chr1	1758775	1759175	+	1000	61.0	[]	[]	[8.892592]	[65]	[]	[1758929]
39_20638	chr16	88684090	88684490	+	939	30.0	[8.260495]	[290]	[]	[]	[88684327]	[]
39_20639	chr16	88873759	88874159	+	906	30.0	[10.586677]	[134]	[]	[]	[88873950]	[]
39_20644	chr16	89599343	89599743	+	899	30.0	[]	[]	[8.892592]	[172]	[]	[89599579]
39_20645	chr16	89873036	89873436	+	1000	30.0	[]	[]	[8.892592]	[180]	[]	[89873287]
39_20648	chr17	1763022	1763422	+	1000	30.0	[10.370103, 8.502309]	[101, 116]	[]	[]	[1763206, 1763221]	[]
39_20652	chr17	7634328	7634728	+	940	30.0	[9.738007]	[144]	[]	[]	[7634559]	[]
39_20655	chr17	7915737	7916137	+	1000	30.0	[]	[]	[10.586677]	[60]	[]	[7915891]
39_20658	chr17	18314949	18315349	+	1000	30.0	[7.397283]	[110]	[]	[]	[18315153]	[]
39_20662	chr17	27461528	27461928	+	1000	30.0	[12.064187]	[127]	[]	[]	[27461741]	[]
39_20663	chr17	27496973	27497373	+	1000	30.0	[8.502309]	[109]	[]	[]	[27497181]	[]
39_20664	chr17	28336212	28336612	+	1000	30.0	[]	[]	[7.2151175]	[145]	[]	[28336396]
39_20671	chr17	29931231	29931631	+	1000	30.0	[12.064187]	[160]	[]	[]	[29931420]	[]
39_20674	chr17	32910359	32910759	+	1000	30.0	[7.7944894]	[161]	[]	[]	[32910538]	[]
39_20675	chr17	32912181	32912581	+	915	30.0	[]	[]	[9.738007]	[203]	[]	[32912429]
39_20692	chr17	42675962	42676362	+	1000	30.0	[]	[]	[8.260495]	[167]	[]	[42676211]
39_20696	chr17	44097174	44097574	+	1000	30.0	[12.064187, 8.892592, 8.892592, 7.7944894]	[58, 90, 132, 145]	[8.892592, 10.370103]	[93, 107]	[44097329, 44097361, 44097403, 44097416]	[44097364, 44097378]
39_20708	chr17	48483452	48483852	+	774	30.0	[8.260495]	[116]	[12.064187]	[98]	[48483647]	[48483629]
39_20712	chr17	49407958	49408358	+	905	30.0	[]	[]	[8.260495]	[92]	[]	[49408135]
39_20713	chr17	49760914	49761314	+	1000	30.0	[8.329008]	[99]	[]	[]	[49761103]	[]
39_20721	chr17	57553521	57553921	+	545	30.0	[8.892592, 8.017088]	[86, 138]	[]	[]	[57553706, 57553758]	[]
39_20731	chr17	75109695	75110095	+	1000	30.0	[]	[]	[7.748347]	[133]	[]	[75109877]
39_20743	chr17	77453670	77454070	+	1000	30.0	[10.370103]	[192]	[]	[]	[77453903]	[]
39_20751	chr17	80832310	80832710	+	1000	30.0	[8.892592, 7.397283]	[70, 153]	[]	[]	[80832475, 80832558]	[]
39_20759	chr17	83051983	83052383	+	1000	30.0	[8.260495]	[226]	[]	[]	[83052210]	[]
39_20762	chr18	830233	830633	+	1000	30.0	[10.586677]	[132]	[]	[]	[830456]	[]
39_20763	chr18	2569369	2569769	+	1000	30.0	[8.260495]	[123]	[]	[]	[2569583]	[]
39_2077	chr1	207825779	207826179	+	1000	61.0	[]	[]	[10.370103]	[158]	[]	[207826011]
39_20776	chr18	23710208	23710608	+	1000	30.0	[]	[]	[8.502309]	[153]	[]	[23710447]
39_20789	chr19	1690682	1691082	+	1000	30.0	[]	[]	[8.892592]	[222]	[]	[1690933]
39_20807	chr19	6087000	6087400	+	999	30.0	[]	[]	[10.370103]	[66]	[]	[6087164]
39_2083	chr11	125887477	125887877	+	1000	61.0	[]	[]	[8.502309]	[103]	[]	[125887641]
39_20849	chr19	36113838	36114238	+	1000	30.0	[8.892592]	[123]	[]	[]	[36114056]	[]
39_20854	chr19	39347342	39347742	+	1000	30.0	[10.370103]	[131]	[12.064187]	[148]	[39347532]	[39347549]
39_20863	chr19	40366817	40367217	+	1000	30.0	[]	[]	[7.151105]	[110]	[]	[40366972]
39_20867	chr19	43777384	43777784	+	817	30.0	[]	[]	[7.151105]	[190]	[]	[43777635]
39_20870	chr19	44849241	44849641	+	1000	30.0	[]	[]	[8.892592]	[140]	[]	[44849442]
39_20907	chr2	10318315	10318715	+	1000	30.0	[12.064187]	[131]	[]	[]	[10318524]	[]
39_20915	chr2	17754416	17754816	+	1000	30.0	[7.151105]	[146]	[]	[]	[17754615]	[]
39_20916	chr2	24164333	24164733	+	1000	30.0	[]	[]	[10.370103]	[130]	[]	[24164562]
39_20929	chr2	54838535	54838935	+	1000	30.0	[7.3683157]	[105]	[]	[]	[54838705]	[]
39_20931	chr2	55616912	55617312	+	1000	30.0	[]	[]	[7.748347]	[126]	[]	[55617100]
39_20934	chr2	62196411	62196811	+	1000	30.0	[]	[]	[8.044104]	[111]	[]	[62196598]
39_20935	chr2	65187147	65187547	+	1000	30.0	[]	[]	[7.748347]	[175]	[]	[65187378]
39_20937	chr2	70085099	70085499	+	1000	30.0	[]	[]	[7.2151175]	[65]	[]	[70085255]
39_20942	chr2	85552084	85552484	+	1000	30.0	[]	[]	[8.260495, 7.748347]	[103, 109]	[]	[85552276, 85552282]
39_20944	chr2	88600080	88600480	+	1000	30.0	[]	[]	[10.370103]	[130]	[]	[88600246]
39_20952	chr2	96891339	96891739	+	1000	30.0	[]	[]	[8.260495]	[154]	[]	[96891572]
39_20956	chr2	102064157	102064557	+	920	30.0	[10.370103]	[171]	[]	[]	[102064329]	[]
39_2096	chr17	42998142	42998542	+	1000	61.0	[]	[]	[8.329008]	[117]	[]	[42998344]
39_20974	chr2	151827463	151827863	+	937	30.0	[8.502309]	[197]	[7.748347]	[123]	[151827709]	[151827635]
39_20980	chr2	167940161	167940561	+	994	30.0	[]	[]	[7.2151175]	[112]	[]	[167940362]
39_20982	chr2	170344841	170345241	+	1000	30.0	[8.329008]	[130]	[]	[]	[170345020]	[]
39_20991	chr2	190534447	190534847	+	1000	30.0	[8.892592]	[52]	[]	[]	[190534599]	[]
39_20996	chr2	210170292	210170692	+	1000	30.0	[12.064187]	[108]	[]	[]	[210170452]	[]
39_20997	chr2	218659551	218659951	+	1000	30.0	[10.370103]	[135]	[]	[]	[218659778]	[]
39_20998	chr2	218731581	218731981	+	972	30.0	[8.502309]	[90]	[8.329008]	[147]	[218731746]	[218731803]
39_21002	chr20	2840491	2840891	+	1000	30.0	[]	[]	[8.260495]	[63]	[]	[2840644]
39_21003	chr20	3930756	3931156	+	850	30.0	[]	[]	[7.3683157]	[143]	[]	[3930987]
39_2101	chr19	5691478	5691878	+	1000	61.0	[9.738007]	[124]	[]	[]	[5691698]	[]
39_21023	chr20	37693852	37694252	+	1000	30.0	[10.370103]	[170]	[]	[]	[37694044]	[]
39_21024	chr20	38937229	38937629	+	1000	30.0	[]	[]	[9.738007]	[94]	[]	[38937401]
39_21034	chr20	50152931	50153331	+	1000	30.0	[7.7944894]	[180]	[]	[]	[50153179]	[]
39_21037	chr20	50579879	50580279	+	1000	30.0	[]	[]	[10.586677]	[117]	[]	[50580068]
39_21046	chr20	57450432	57450832	+	931	30.0	[10.370103, 8.892592, 10.586677]	[54, 83, 141]	[]	[]	[57450584, 57450613, 57450671]	[]
39_21053	chr20	63957124	63957524	+	1000	30.0	[]	[]	[8.329008]	[177]	[]	[63957347]
39_21056	chr21	29196308	29196708	+	810	30.0	[]	[]	[7.2151175]	[199]	[]	[29196546]
39_21060	chr21	35470480	35470880	+	1000	30.0	[]	[]	[8.017088]	[180]	[]	[35470694]
39_21064	chr21	41895829	41896229	+	1000	30.0	[]	[]	[8.892592, 8.044104, 10.370103]	[108, 157, 163]	[]	[41895987, 41896036, 41896042]
39_21076	chr22	17098473	17098873	+	933	30.0	[]	[]	[8.502309]	[148]	[]	[17098689]
39_21079	chr22	19041187	19041587	+	974	30.0	[]	[]	[8.892592]	[200]	[]	[19041430]
39_21085	chr22	19133790	19134190	+	1000	30.0	[8.329008, 8.260495]	[205, 210]	[]	[]	[19134010, 19134015]	[]
39_21088	chr22	19456380	19456780	+	1000	30.0	[10.586677]	[231]	[]	[]	[19456616]	[]
39_21093	chr22	19543933	19544333	+	1000	30.0	[8.892592]	[118]	[8.017088, 9.738007]	[171, 186]	[19544110]	[19544163, 19544178]
39_2110	chr2	127700593	127700993	+	1000	61.0	[]	[]	[8.017088]	[122]	[]	[127700786]
39_21102	chr22	19915856	19916256	+	1000	30.0	[]	[]	[12.064187]	[152]	[]	[19916060]
39_21103	chr22	19919441	19919841	+	977	30.0	[8.260495]	[225]	[]	[]	[19919692]	[]
39_21107	chr22	19993449	19993849	+	1000	30.0	[]	[]	[8.017088]	[134]	[]	[19993625]
