#PeakID(python identify_motif.py ./ENCODE_processed_files/USF2_idr.fa USF2 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
77_1	chr7	4775392	4775792	+	1000	1223.0	[11.787619, 12.827876, 12.827922]	[83, 95, 127]	[6.3357368, 12.086817, 12.367886]	[83, 95, 127]	[4775572, 4775584, 4775616]	[4775572, 4775584, 4775616]
77_14014	chr14	90534780	90535180	+	1000	61.0	[9.178057]	[100]	[]	[]	[90534977]	[]
77_14019	chr15	89361674	89362074	+	1000	61.0	[]	[]	[11.322493]	[160]	[]	[89361917]
77_14036	chr17	4966704	4967104	+	1000	61.0	[6.328512]	[66]	[7.2477355]	[66]	[4966869]	[4966869]
77_14038	chr17	5672836	5673236	+	1000	61.0	[6.4244614, 11.66858]	[84, 129]	[16.90268]	[129]	[5673002, 5673047]	[5673047]
77_14040	chr17	28336178	28336578	+	1000	61.0	[7.1518536]	[116]	[10.518556]	[116]	[28336390]	[28336390]
77_14050	chr18	2516342	2516742	+	1000	61.0	[14.701707, 13.988591]	[101, 128]	[9.709861, 8.294456]	[101, 128]	[2516543, 2516570]	[2516543, 2516570]
77_14060	chr19	15378981	15379381	+	1000	61.0	[10.442892]	[134]	[9.702682]	[134]	[15379177]	[15379177]
77_14063	chr19	35213990	35214390	+	1000	61.0	[8.107944]	[93]	[9.2292185]	[93]	[35214183]	[35214183]
77_14066	chr19	49665695	49666095	+	1000	61.0	[]	[]	[10.389888]	[109]	[]	[49665897]
77_14076	chr2	73234175	73234575	+	1000	61.0	[6.9174833]	[235]	[]	[]	[73234420]	[]
77_14080	chr2	112187683	112188083	+	1000	61.0	[13.432689]	[89]	[10.807047]	[89]	[112187859]	[112187859]
77_14081	chr2	113203887	113204287	+	1000	61.0	[13.838806, 6.4798117]	[104, 153]	[7.6297903]	[104]	[113204078, 113204127]	[113204078]
77_14082	chr2	119223850	119224250	+	1000	61.0	[6.7876997]	[91]	[6.7885485]	[91]	[119224034]	[119224034]
77_14084	chr2	135985031	135985431	+	1000	61.0	[8.593608]	[99]	[]	[]	[135985196]	[]
77_1409	chr7	151206991	151207391	+	1000	400.0	[13.247486]	[93]	[8.754446]	[93]	[151207184]	[151207184]
77_14094	chr20	36047906	36048306	+	1000	61.0	[8.789086]	[120]	[9.022944]	[120]	[36048119]	[36048119]
77_14102	chr21	37555905	37556305	+	1000	61.0	[7.8195086]	[114]	[7.3519254]	[114]	[37556115]	[37556115]
77_14103	chr21	45577820	45578220	+	1000	61.0	[10.902928, 6.437684]	[127, 172]	[9.242645]	[127]	[45578024, 45578069]	[45578024]
77_1411	chr14	87992982	87993382	+	1000	399.0	[11.66858]	[93]	[16.90268]	[93]	[87993172]	[87993172]
77_14112	chr22	21859992	21860392	+	1000	61.0	[7.393316]	[119]	[]	[]	[21860161]	[]
77_14115	chr22	22034214	22034614	+	1000	61.0	[]	[]	[12.029826, 7.1100793]	[136, 147]	[]	[22034441, 22034452]
77_14117	chr22	22213217	22213617	+	1000	61.0	[6.8171406]	[158]	[7.879425]	[158]	[22213464]	[22213464]
77_14118	chr22	22322003	22322403	+	1000	61.0	[]	[]	[7.243577]	[135]	[]	[22322237]
77_14131	chr22	25110602	25111002	+	1000	61.0	[12.827922]	[121]	[12.367886]	[121]	[25110792]	[25110792]
77_14134	chr22	28935131	28935531	+	1000	61.0	[9.467608]	[105]	[14.94396]	[105]	[28935321]	[28935321]
77_14135	chr22	41946182	41946582	+	1000	61.0	[6.178773]	[104]	[6.864139]	[104]	[41946381]	[41946381]
77_14144	chr3	43690436	43690836	+	1000	61.0	[8.882053]	[107]	[10.307449]	[107]	[43690630]	[43690630]
77_14145	chr3	44907675	44908075	+	1000	61.0	[6.5320864]	[88]	[6.5320864]	[88]	[44907857]	[44907857]
77_14149	chr3	128422744	128423144	+	1000	61.0	[16.90268]	[106]	[11.66858]	[106]	[128422944]	[128422944]
77_14152	chr3	154324327	154324727	+	1000	61.0	[6.953123]	[149]	[7.4987073]	[149]	[154324568]	[154324568]
77_14153	chr3	183370741	183371141	+	1000	61.0	[6.829499]	[110]	[10.403315]	[110]	[183370938]	[183370938]
77_14157	chr3	197427981	197428381	+	1000	61.0	[10.218359, 8.195716]	[96, 140]	[8.637897]	[96]	[197428157, 197428201]	[197428157]
77_14164	chr4	82429440	82429840	+	1000	61.0	[]	[]	[8.408405]	[129]	[]	[82429659]
77_14175	chr5	177510225	177510625	+	1000	61.0	[8.484174]	[96]	[7.50171, 11.880088]	[96, 139]	[177510409]	[177510409, 177510452]
77_14178	chr6	17513326	17513726	+	1000	61.0	[12.367886]	[106]	[12.827922]	[106]	[17513527]	[17513527]
77_14183	chr6	31541668	31542068	+	1000	61.0	[12.063598]	[119]	[]	[]	[31541883]	[]
77_14186	chr6	31948765	31949165	+	1000	61.0	[7.4673595, 8.904587]	[91, 166]	[]	[]	[31948935, 31949010]	[]
77_14196	chr6	39353883	39354283	+	1000	61.0	[8.637897]	[87]	[10.218359]	[87]	[39354064]	[39354064]
77_14199	chr6	53573309	53573709	+	1000	61.0	[6.3357368]	[119]	[11.787619]	[119]	[53573527]	[53573527]
77_142	chr1	155241084	155241484	+	1000	861.0	[14.701707, 11.66858]	[86, 106]	[9.709861, 16.90268]	[86, 106]	[155241269, 155241289]	[155241269, 155241289]
77_1420	chr12	54324646	54325046	+	1000	397.0	[9.744501]	[101]	[10.477165]	[101]	[54324842]	[54324842]
77_14200	chr6	63636653	63637053	+	1000	61.0	[8.848328]	[98]	[11.231717]	[98]	[63636850]	[63636850]
77_14204	chr6	147612011	147612411	+	1000	61.0	[10.415798]	[98]	[11.858298, 7.340239]	[98, 119]	[147612198]	[147612198, 147612219]
77_14205	chr6	150685902	150686302	+	1000	61.0	[7.8929133]	[94]	[9.777496]	[94]	[150686089]	[150686089]
77_14208	chr6	167547729	167548129	+	1000	61.0	[10.902928]	[97]	[9.242645]	[97]	[167547924]	[167547924]
77_14210	chr7	2529524	2529924	+	1000	61.0	[12.61677, 9.363774]	[94, 145]	[13.817017]	[94]	[2529708, 2529759]	[2529708]
77_14215	chr7	101987488	101987888	+	1000	61.0	[9.172683]	[111]	[9.172683]	[111]	[101987693]	[101987693]
77_1422	chr20	50931622	50932022	+	1000	397.0	[10.307449]	[97]	[8.882053]	[97]	[50931817]	[50931817]
77_14224	chr7	150876975	150877375	+	1000	61.0	[]	[]	[11.880088]	[183]	[]	[150877183]
77_14227	chr7	157738009	157738409	+	1000	61.0	[10.218359]	[96]	[8.637897]	[96]	[157738201]	[157738201]
77_14228	chr8	8783715	8784115	+	1000	61.0	[11.66858, 10.924718]	[99, 138]	[16.90268, 6.8859286]	[99, 136]	[8783901, 8783940]	[8783901, 8783938]
77_14234	chr8	141319201	141319601	+	1000	61.0	[12.029826, 12.029826]	[93, 117]	[12.029826]	[64]	[141319388, 141319412]	[141319359]
77_14235	chr8	143386887	143387287	+	1000	61.0	[8.54334]	[103]	[14.977686, 7.8843284, 6.2528872]	[103, 110, 140]	[143387072]	[143387072, 143387079, 143387109]
77_14242	chr9	116572082	116572482	+	1000	61.0	[]	[]	[6.5727334]	[110]	[]	[116572277]
77_1425	chr12	6724075	6724475	+	1000	396.0	[10.415798]	[112]	[11.858298]	[112]	[6724272]	[6724272]
77_14255	chr9	131260938	131261338	+	1000	61.0	[6.1814847, 12.063598]	[62, 134]	[]	[]	[131261097, 131261169]	[]
77_14256	chr9	134477943	134478343	+	1000	61.0	[10.415798]	[95]	[11.858298]	[95]	[134478138]	[134478138]
77_14258	chr9	136944794	136945194	+	1000	61.0	[6.5290837]	[90]	[]	[]	[136944978]	[]
77_14263	chrX	154397981	154398381	+	1000	61.0	[9.893727]	[87]	[6.5727334]	[109]	[154398150]	[154398172]
77_14265	chr1	1232503	1232903	+	1000	60.0	[7.7439175]	[118]	[7.960852]	[118]	[1232712]	[1232712]
77_14267	chr1	3423364	3423764	+	1000	60.0	[11.379028, 13.988545]	[104, 117]	[8.013387]	[117]	[3423568, 3423581]	[3423581]
77_14278	chr1	42886828	42887228	+	1000	60.0	[6.3285575]	[133]	[7.5288043]	[133]	[42887048]	[42887048]
77_14290	chr1	175218872	175219272	+	1000	60.0	[11.66858]	[85]	[16.90268]	[85]	[175219037]	[175219037]
77_14295	chr1	207024161	207024561	+	1000	60.0	[10.713567]	[87]	[]	[]	[207024343]	[]
77_14298	chr1	234231441	234231841	+	1000	60.0	[7.50171]	[116]	[8.484174]	[116]	[234231638]	[234231638]
77_143	chr5	69234588	69234988	+	1000	861.0	[15.742009]	[91]	[15.742009]	[91]	[69234779]	[69234779]
77_14302	chr10	1548601	1549001	+	1000	60.0	[13.541038]	[92]	[13.783291, 7.468907]	[92, 107]	[1548792]	[1548792, 1548807]
77_14318	chr11	61342425	61342825	+	1000	60.0	[7.7848682, 8.408405]	[88, 115]	[11.5764675]	[88]	[61342611, 61342638]	[61342611]
77_14320	chr11	78377802	78378202	+	1000	60.0	[8.484174, 10.058565]	[106, 117]	[7.50171, 7.8929586]	[106, 117]	[78378006, 78378017]	[78378006, 78378017]
77_14321	chr12	6042415	6042815	+	1000	60.0	[15.742009]	[129]	[15.742009]	[129]	[6042634]	[6042634]
77_14322	chr12	26233691	26234091	+	1000	60.0	[12.1433525]	[106]	[11.763137]	[106]	[26233896]	[26233896]
77_14327	chr12	104287127	104287527	+	1000	60.0	[11.5764675]	[131]	[7.7848682]	[131]	[104287339]	[104287339]
77_14334	chr13	23888529	23888929	+	1000	60.0	[10.817995]	[92]	[]	[]	[23888716]	[]
77_14338	chr13	97356555	97356955	+	1000	60.0	[9.087795]	[112]	[]	[]	[97356767]	[]
77_14339	chr13	112708527	112708927	+	1000	60.0	[6.2743473]	[117]	[]	[]	[112708743]	[]
77_14343	chr14	92951906	92952306	+	1000	60.0	[8.882053, 7.5941787]	[74, 113]	[10.307449, 7.5772552]	[74, 113]	[92952072, 92952111]	[92952072, 92952111]
77_14347	chr15	63895899	63896299	+	1000	60.0	[9.702682]	[129]	[6.240404, 10.442892]	[98, 129]	[63896117]	[63896086, 63896117]
77_14350	chr15	74872873	74873273	+	1000	60.0	[6.445126]	[124]	[8.312523]	[124]	[74873086]	[74873086]
77_14354	chr15	90645847	90646247	+	1000	60.0	[7.3176527]	[90]	[7.777689, 8.662379]	[90, 134]	[90646035]	[90646035, 90646079]
77_14356	chr16	588718	589118	+	1000	60.0	[8.203105]	[130]	[7.5016646]	[130]	[588933]	[588933]
77_14357	chr16	1227179	1227579	+	1000	60.0	[9.242645]	[100]	[10.902928]	[100]	[1227370]	[1227370]
77_1437	chr7	100547922	100548322	+	1000	394.0	[11.70322]	[101]	[12.678137]	[101]	[100548119]	[100548119]
77_14373	chr16	88332930	88333330	+	1000	60.0	[11.288767]	[108]	[6.553475]	[108]	[88333099]	[88333099]
77_14378	chr17	42798493	42798893	+	1000	60.0	[6.1674156]	[150]	[]	[]	[42798677]	[]
77_14382	chr17	63881904	63882304	+	1000	60.0	[9.242645]	[116]	[10.902928]	[116]	[63882119]	[63882119]
77_14392	chr18	11323242	11323642	+	1000	60.0	[11.593324, 8.637897]	[79, 84]	[6.3054223, 10.218359]	[79, 84]	[11323417, 11323422]	[11323417, 11323422]
77_14400	chr19	18136006	18136406	+	1000	60.0	[10.658051]	[99]	[11.616045]	[99]	[18136204]	[18136204]
77_14401	chr19	32671753	32672153	+	1000	60.0	[11.603561]	[86]	[]	[]	[32671932]	[]
77_14403	chr19	39498401	39498801	+	1000	60.0	[9.268613]	[146]	[]	[]	[39498638]	[]
77_14409	chr2	6958863	6959263	+	1000	60.0	[8.518447]	[91]	[7.5435295]	[91]	[6959038]	[6959038]
77_1441	chr1	26500386	26500786	+	1000	392.0	[12.827922]	[86]	[12.367886]	[86]	[26500569]	[26500569]
77_14413	chr2	24182380	24182780	+	1000	60.0	[10.807047]	[99]	[13.432689]	[99]	[24182574]	[24182574]
77_14420	chr2	86216857	86217257	+	1000	60.0	[7.50171]	[89]	[8.484174]	[89]	[86217038]	[86217038]
77_14423	chr2	108588044	108588444	+	1000	60.0	[7.7096124, 9.467608]	[108, 113]	[14.94396]	[113]	[108588241, 108588246]	[108588246]
77_14425	chr2	111415768	111416168	+	1000	60.0	[11.858298]	[95]	[10.415798]	[95]	[111415961]	[111415961]
77_14426	chr2	112692372	112692772	+	1000	60.0	[6.768257, 9.777496, 8.275141]	[62, 75, 123]	[10.368816, 7.8929133]	[62, 75]	[112692525, 112692538, 112692586]	[112692525, 112692538]
77_14435	chr20	4962159	4962559	+	1000	60.0	[11.616045]	[96]	[10.658051]	[96]	[4962349]	[4962349]
77_14439	chr20	46901594	46901994	+	1000	60.0	[10.415798]	[104]	[11.858298]	[104]	[46901789]	[46901789]
77_1444	chr8	143578185	143578585	+	1000	392.0	[6.5290837, 7.413114]	[72, 135]	[6.757602]	[135]	[143578353, 143578416]	[143578416]
77_14443	chr20	59571927	59572327	+	1000	60.0	[13.817017]	[114]	[12.61677]	[114]	[59572122]	[59572122]
77_14449	chr21	36156718	36157118	+	1000	60.0	[6.539664]	[95]	[]	[]	[36156906]	[]
77_1445	chr1	155080880	155081280	+	1000	391.0	[12.367886, 8.712692, 9.242645]	[55, 89, 119]	[12.827922, 9.913788, 10.902928]	[55, 89, 119]	[155081032, 155081066, 155081096]	[155081032, 155081066, 155081096]
77_14455	chr22	19688333	19688733	+	1000	60.0	[6.8219724, 7.7994785]	[102, 159]	[6.8303676, 6.9458456]	[102, 157]	[19688508, 19688565]	[19688508, 19688563]
77_14456	chr22	19769311	19769711	+	1000	60.0	[8.132426]	[222]	[]	[]	[19769552]	[]
77_14457	chr22	19773493	19773893	+	1000	60.0	[8.410098]	[114]	[]	[]	[19773702]	[]
77_1447	chr4	992575	992975	+	1000	391.0	[7.5288043]	[122]	[6.3285575]	[122]	[992784]	[992784]
77_14484	chr22	22910635	22911035	+	1000	60.0	[]	[]	[8.321956]	[187]	[]	[22910846]
77_1449	chr8	17922653	17923053	+	1000	391.0	[11.66858]	[98]	[16.90268]	[98]	[17922848]	[17922848]
77_14492	chr22	49967883	49968283	+	1000	60.0	[11.66858]	[90]	[16.90268]	[90]	[49968073]	[49968073]
77_14493	chr3	4986788	4987188	+	1000	60.0	[6.2747045]	[135]	[7.0350466]	[112]	[4987013]	[4986990]
77_14494	chr3	13406193	13406593	+	1000	60.0	[9.702637]	[105]	[10.161823]	[105]	[13406388]	[13406388]
77_14502	chr3	51499176	51499576	+	1000	60.0	[8.593608]	[152]	[]	[]	[51499416]	[]
77_14508	chr3	136862067	136862467	+	1000	60.0	[7.144477]	[160]	[]	[]	[136862315]	[]
77_1451	chr2	85595369	85595769	+	1000	390.0	[10.807047]	[104]	[13.432689]	[104]	[85595569]	[85595569]
77_14510	chr3	184341891	184342291	+	1000	60.0	[11.858298]	[116]	[10.415798]	[116]	[184342087]	[184342087]
77_14516	chr4	151646376	151646776	+	1000	60.0	[7.5088897]	[112]	[12.742989]	[112]	[151646575]	[151646575]
77_14517	chr4	163166014	163166414	+	1000	60.0	[7.345294]	[119]	[6.58816]	[119]	[163166224]	[163166224]
77_14520	chr5	36450199	36450599	+	1000	60.0	[7.7141895, 8.457079]	[104, 112]	[7.496406, 9.657327]	[104, 112]	[36450402, 36450410]	[36450402, 36450410]
77_14522	chr5	96408140	96408540	+	1000	60.0	[7.345294]	[143]	[6.58816]	[143]	[96408359]	[96408359]
77_14524	chr5	126851393	126851793	+	1000	60.0	[12.61677]	[112]	[13.817017]	[112]	[126851604]	[126851604]
77_14527	chr5	150599006	150599406	+	1000	60.0	[11.582319]	[104]	[11.582319]	[104]	[150599200]	[150599200]
77_1453	chr7	139600304	139600704	+	1000	390.0	[7.283927, 11.66858]	[80, 125]	[8.701957, 16.90268]	[80, 125]	[139600480, 139600525]	[139600480, 139600525]
77_14530	chr6	1659823	1660223	+	1000	60.0	[12.61677]	[116]	[13.817017]	[116]	[1660037]	[1660037]
77_14531	chr6	3237958	3238358	+	1000	60.0	[7.777689]	[106]	[7.3176527]	[106]	[3238150]	[3238150]
77_14533	chr6	4403828	4404228	+	1000	60.0	[10.869158]	[134]	[9.885845]	[134]	[4404053]	[4404053]
77_14536	chr6	13573675	13574075	+	1000	60.0	[10.442892]	[87]	[9.702682]	[87]	[13573855]	[13573855]
77_14544	chr6	41167150	41167550	+	1000	60.0	[13.988545]	[119]	[8.013387]	[119]	[41167365]	[41167365]
77_14549	chr6	146913991	146914391	+	1000	60.0	[6.712904]	[164]	[7.0931196]	[164]	[146914229]	[146914229]
77_14552	chr6	168371302	168371702	+	1000	60.0	[12.827922]	[138]	[12.367886]	[138]	[168371522]	[168371522]
77_1456	chr18	3603297	3603697	+	1000	389.0	[8.701957]	[108]	[7.283927]	[108]	[3603504]	[3603504]
77_14564	chr7	103344031	103344431	+	1000	60.0	[6.328512]	[83]	[7.2477355]	[83]	[103344199]	[103344199]
77_14565	chr7	106042781	106043181	+	1000	60.0	[]	[]	[6.863363]	[130]	[]	[106042996]
77_14580	chr8	144375779	144376179	+	1000	60.0	[12.367886]	[80]	[12.827922]	[80]	[144375959]	[144375959]
77_14585	chr9	97986468	97986868	+	1000	60.0	[9.467608]	[71]	[14.94396]	[71]	[97986634]	[97986634]
77_14589	chr9	121370289	121370689	+	1000	60.0	[8.402254]	[142]	[7.2875557]	[142]	[121370524]	[121370524]
77_14594	chr9	128771809	128772209	+	1000	60.0	[7.1428456]	[164]	[6.443726]	[164]	[128772057]	[128772057]
77_14604	chr1	961234	961634	+	1000	59.0	[]	[]	[6.182951]	[164]	[]	[961472]
77_14608	chr1	11801091	11801491	+	1000	59.0	[9.268613]	[92]	[8.559837]	[178]	[11801250]	[11801336]
77_14612	chr1	15975800	15976200	+	1000	59.0	[]	[]	[7.1444316]	[93]	[]	[15975978]
77_14616	chr1	17355864	17356264	+	1000	59.0	[6.712904]	[128]	[7.0931196]	[128]	[17356081]	[17356081]
77_14618	chr1	20717294	20717694	+	1000	59.0	[]	[]	[6.548943]	[132]	[]	[20717516]
77_14621	chr1	25695097	25695497	+	1000	59.0	[]	[]	[12.029826]	[111]	[]	[25695298]
77_14623	chr1	27525904	27526304	+	1000	59.0	[6.5881147]	[175]	[7.0642257]	[175]	[27526144]	[27526144]
77_14625	chr1	41496302	41496702	+	1000	59.0	[6.7876997]	[94]	[6.7885485]	[94]	[41496494]	[41496494]
77_14626	chr1	41642919	41643319	+	1000	59.0	[12.063598]	[120]	[]	[]	[41643108]	[]
77_14627	chr1	44030048	44030448	+	1000	59.0	[6.404103]	[140]	[6.638809]	[140]	[44030269]	[44030269]
77_14641	chr1	150282228	150282628	+	1000	59.0	[9.502248]	[97]	[10.719419]	[97]	[150282423]	[150282423]
77_14644	chr1	156081384	156081784	+	1000	59.0	[7.960852]	[84]	[7.7439175]	[84]	[156081565]	[156081565]
77_14646	chr1	164745718	164746118	+	1000	59.0	[13.247486]	[120]	[8.754446]	[120]	[164745910]	[164745910]
77_14648	chr1	172821568	172821968	+	1000	59.0	[11.787574]	[106]	[]	[]	[172821769]	[]
77_14650	chr1	182884886	182885286	+	1000	59.0	[11.66858]	[103]	[16.90268]	[103]	[182885087]	[182885087]
77_14654	chr1	223142744	223143144	+	1000	59.0	[6.829499]	[121]	[10.403315]	[121]	[223142957]	[223142957]
77_1466	chr16	74368096	74368496	+	1000	388.0	[7.114472, 7.3176527]	[79, 138]	[7.777689]	[138]	[74368266, 74368325]	[74368325]
77_14662	chr10	79027066	79027466	+	1000	59.0	[8.712692]	[118]	[9.913788]	[118]	[79027272]	[79027272]
77_14666	chr10	129876330	129876730	+	1000	59.0	[13.541038]	[140]	[13.783291]	[140]	[129876563]	[129876563]
77_14668	chr11	30323139	30323539	+	1000	59.0	[6.389925]	[92]	[]	[]	[30323323]	[]
77_14669	chr11	47449006	47449406	+	1000	59.0	[6.618347, 9.242645]	[86, 119]	[11.852447, 10.902928]	[86, 119]	[47449179, 47449212]	[47449179, 47449212]
77_1467	chr19	42220043	42220443	+	1000	388.0	[6.3734126]	[97]	[6.8118157]	[97]	[42220240]	[42220240]
77_14673	chr11	64878812	64879212	+	1000	59.0	[6.7876997]	[140]	[6.7885485]	[140]	[64879032]	[64879032]
77_14683	chr11	114280522	114280922	+	1000	59.0	[7.8929133]	[109]	[9.777496]	[109]	[114280724]	[114280724]
77_14684	chr12	30753746	30754146	+	1000	59.0	[11.616045]	[99]	[10.658051]	[99]	[30753943]	[30753943]
77_14685	chr12	52069733	52070133	+	1000	59.0	[6.863363]	[130]	[]	[]	[52069911]	[]
77_14688	chr12	123742949	123743349	+	1000	59.0	[7.2477355]	[110]	[6.328512]	[110]	[123743147]	[123743147]
77_14689	chr12	128982949	128983349	+	1000	59.0	[7.283927]	[123]	[8.701957]	[123]	[128983162]	[128983162]
77_1469	chr3	4868316	4868716	+	1000	388.0	[6.3285575]	[112]	[7.5288043]	[112]	[4868526]	[4868526]
77_14696	chr14	60248158	60248558	+	1000	59.0	[9.657327]	[124]	[8.457079]	[124]	[60248363]	[60248363]
77_14697	chr14	105067308	105067708	+	1000	59.0	[12.086817]	[119]	[12.827876]	[119]	[105067516]	[105067516]
77_14698	chr15	36579846	36580246	+	1000	59.0	[7.8195086]	[99]	[7.3519254, 6.575677]	[99, 108]	[36580039]	[36580039, 36580048]
77_147	chr19	10315814	10316214	+	1000	848.0	[13.783291]	[94]	[13.541038]	[94]	[10316004]	[10316004]
77_14703	chr15	75625532	75625932	+	1000	59.0	[]	[]	[8.317584]	[145]	[]	[75625714]
77_14705	chr15	90241225	90241625	+	1000	59.0	[7.960852]	[87]	[7.7439175]	[87]	[90241402]	[90241402]
77_14706	chr16	2905132	2905532	+	1000	59.0	[]	[]	[7.9748073]	[165]	[]	[2905317]
77_14710	chr16	23060693	23061093	+	1000	59.0	[7.777689, 11.539521]	[115, 130]	[7.3176527, 6.359225]	[115, 130]	[23060897, 23060912]	[23060897, 23060912]
77_14717	chr16	67188295	67188695	+	1000	59.0	[6.4237375, 11.66858]	[99, 113]	[16.90268]	[113]	[67188488, 67188502]	[67188502]
77_1472	chr11	65525249	65525649	+	1000	387.0	[9.242645]	[106]	[10.902928]	[106]	[65525453]	[65525453]
77_14726	chr17	38825173	38825573	+	1000	59.0	[6.658361]	[80]	[]	[]	[38825343]	[]
77_14730	chr17	58199941	58200341	+	1000	59.0	[12.742989]	[118]	[7.5088897]	[118]	[58200155]	[58200155]
77_14733	chr17	79144191	79144591	+	1000	59.0	[11.66858]	[102]	[16.90268]	[102]	[79144389]	[79144389]
77_14737	chr17	83069020	83069420	+	1000	59.0	[6.370377]	[92]	[7.5630774]	[92]	[83069209]	[83069209]
77_14739	chr18	62522547	62522947	+	1000	59.0	[6.3285575]	[128]	[7.5288043]	[128]	[62522749]	[62522749]
77_1474	chr19	52725547	52725947	+	1000	387.0	[8.017387]	[101]	[6.679178]	[101]	[52725743]	[52725743]
77_14741	chr19	2341283	2341683	+	1000	59.0	[7.777689]	[103]	[7.3176527]	[103]	[2341484]	[2341484]
77_14762	chr2	63712681	63713081	+	1000	59.0	[12.029826]	[111]	[]	[]	[63712887]	[]
77_14765	chr2	106161915	106162315	+	1000	59.0	[8.848328]	[110]	[11.231717]	[110]	[106162125]	[106162125]
77_14766	chr2	118013335	118013735	+	1000	59.0	[10.184219]	[143]	[10.075375]	[143]	[118013556]	[118013556]
77_14774	chr2	191377260	191377660	+	1000	59.0	[6.178773]	[108]	[6.864139]	[108]	[191377466]	[191377466]
77_14780	chr21	37848551	37848951	+	1000	59.0	[10.869158]	[110]	[9.885845]	[110]	[37848759]	[37848759]
77_14782	chr21	43306860	43307260	+	1000	59.0	[9.885845]	[91]	[10.869158]	[91]	[43307050]	[43307050]
77_1479	chr1	9717543	9717943	+	1000	386.0	[8.882053]	[96]	[11.10305, 10.307449]	[85, 96]	[9717728]	[9717717, 9717728]
77_14808	chr22	22164813	22165213	+	1000	59.0	[9.709861]	[153]	[14.701707, 6.4653254]	[153, 169]	[22164969]	[22164969, 22164985]
77_14816	chr22	22901616	22902016	+	1000	59.0	[]	[]	[9.053582]	[152]	[]	[22901806]
77_14819	chr22	23112822	23113222	+	1000	59.0	[]	[]	[6.2743473]	[208]	[]	[23113056]
77_14822	chr22	29268459	29268859	+	1000	59.0	[7.3176527]	[100]	[7.777689]	[100]	[29268649]	[29268649]
77_14823	chr22	29603426	29603826	+	1000	59.0	[8.4878025]	[103]	[7.202008]	[103]	[29603628]	[29603628]
77_14832	chr3	16658117	16658517	+	1000	59.0	[12.063598]	[121]	[6.399996]	[126]	[16658322]	[16658327]
77_14835	chr3	37818794	37819194	+	1000	59.0	[11.66858]	[111]	[16.90268]	[111]	[37819002]	[37819002]
77_14837	chr3	38117998	38118398	+	1000	59.0	[]	[]	[8.689474]	[126]	[]	[38118217]
77_1484	chr19	41397222	41397622	+	1000	386.0	[6.7885485]	[133]	[6.7876997]	[133]	[41397441]	[41397441]
77_14841	chr3	49349617	49350017	+	1000	59.0	[7.1518536]	[83]	[10.518556]	[83]	[49349794]	[49349794]
77_1485	chr19	45590939	45591339	+	1000	386.0	[8.668185]	[102]	[7.9271264]	[102]	[45591139]	[45591139]
77_14850	chr3	183262991	183263391	+	1000	59.0	[7.5088897]	[110]	[12.742989]	[110]	[183263201]	[183263201]
77_14853	chr3	194690991	194691391	+	1000	59.0	[10.477165]	[129]	[9.744501]	[129]	[194691213]	[194691213]
77_14860	chr4	168921471	168921871	+	1000	59.0	[10.432654, 13.541038]	[96, 101]	[10.378852, 13.783291]	[96, 101]	[168921654, 168921659]	[168921654, 168921659]
77_14861	chr5	1063030	1063430	+	1000	59.0	[10.902928]	[98]	[9.242645]	[98]	[1063221]	[1063221]
77_14867	chr6	378565	378965	+	1000	59.0	[7.777689]	[95]	[7.3176527]	[95]	[378746]	[378746]
77_14870	chr6	24666808	24667208	+	1000	59.0	[]	[]	[6.5058074]	[212]	[]	[24667054]
77_14872	chr6	27617150	27617550	+	1000	59.0	[]	[]	[6.350194]	[105]	[]	[27617347]
77_14887	chr7	8262394	8262794	+	1000	59.0	[7.0931196]	[93]	[6.712904]	[93]	[8262584]	[8262584]
77_149	chr10	118755051	118755451	+	1000	847.0	[12.827922]	[96]	[12.367886]	[96]	[118755244]	[118755244]
77_1490	chr16	50635937	50636337	+	1000	385.0	[12.61677]	[108]	[13.817017]	[108]	[50636145]	[50636145]
77_14901	chr7	128693617	128694017	+	1000	59.0	[9.121521, 8.013387]	[75, 124]	[13.988545, 8.593608]	[124, 148]	[128693774, 128693823]	[128693823, 128693847]
77_14902	chr7	130524582	130524982	+	1000	59.0	[7.8195086, 6.3285766]	[118, 156]	[7.3519254]	[118]	[130524793, 130524831]	[130524793]
77_14903	chr7	130913191	130913591	+	1000	59.0	[10.161823]	[118]	[9.702637]	[118]	[130913385]	[130913385]
77_14907	chr7	151711905	151712305	+	1000	59.0	[9.777496, 8.457079]	[123, 172]	[7.8929133, 9.657327, 11.2176485]	[123, 172, 182]	[151712081, 151712130]	[151712081, 151712130, 151712140]
77_14909	chr8	26327681	26328081	+	1000	59.0	[16.90268]	[82]	[11.66858]	[82]	[26327854]	[26327854]
77_14914	chr8	101649186	101649586	+	1000	59.0	[12.61677]	[99]	[13.817017]	[99]	[101649383]	[101649383]
77_14915	chr8	124571238	124571638	+	1000	59.0	[11.66858]	[135]	[16.90268]	[135]	[124571453]	[124571453]
77_14916	chr8	130302463	130302863	+	1000	59.0	[6.328512]	[115]	[7.2477355]	[115]	[130302672]	[130302672]
