#PeakID(python scan_motif.py ./ENCODE_processed_files/ELF1_idr.fa ELF1 --motif_path ./motifs/ --distance 50  --cutoff --size 400)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
686_2323	chr19	1853261	1853661	+	1000	82.5	[9.213819, 6.6342473]	[96, 150]	[]	[]	[1853455, 1853509]	[]
686_2324	chr19	10106141	10106541	+	1000	82.5	[12.777884, 8.716876]	[96, 117]	[]	[]	[10106330, 10106351]	[]
686_2326	chr19	48725189	48725589	+	1000	82.5	[12.800334, 16.017126]	[95, 148]	[]	[]	[48725358, 48725411]	[]
686_2327	chr19	49867187	49867587	+	1000	82.5	[7.265795]	[221]	[]	[]	[49867424]	[]
686_2329	chr2	161160205	161160605	+	1000	82.5	[6.4641566]	[116]	[9.473548]	[148]	[161160379]	[161160411]
686_233	chr6	170554112	170554512	+	1000	262.0	[9.919916]	[130]	[]	[]	[170554334]	[]
686_2330	chr22	42614690	42615090	+	1000	82.5	[]	[]	[10.263223]	[207]	[]	[42614933]
686_2332	chr3	126908724	126909124	+	1000	82.5	[9.213819]	[146]	[]	[]	[126908923]	[]
686_2333	chr3	143001183	143001583	+	1000	82.5	[6.3342037]	[226]	[]	[]	[143001429]	[]
686_2335	chr6	24666689	24667089	+	1000	82.5	[]	[]	[9.148726]	[114]	[]	[24666861]
686_2337	chr1	159924843	159925243	+	1000	82.0	[16.017126]	[99]	[]	[]	[159925034]	[]
686_2338	chr1	224430458	224430858	+	1000	82.0	[]	[]	[12.0241165]	[101]	[]	[224430633]
686_234	chr1	26744093	26744493	+	1000	261.5	[]	[]	[12.800334, 9.441459]	[99, 138]	[]	[26744286, 26744325]
686_2340	chr13	49495714	49496114	+	1000	82.0	[]	[]	[12.777884]	[140]	[]	[49495952]
686_2341	chr14	45253005	45253405	+	1000	82.0	[]	[]	[9.919916]	[107]	[]	[45253207]
686_2342	chr16	30370525	30370925	+	1000	82.0	[]	[]	[7.527656]	[134]	[]	[30370757]
686_2343	chr16	67191911	67192311	+	1000	82.0	[7.598568]	[173]	[]	[]	[67192154]	[]
686_2344	chr16	69339446	69339846	+	1000	82.0	[9.938401]	[84]	[9.56109]	[100]	[69339615]	[69339631]
686_2345	chr16	89115252	89115652	+	1000	82.0	[10.744435]	[63]	[7.5255246]	[115]	[89115414]	[89115466]
686_2346	chr18	31942961	31943361	+	1000	82.0	[7.6718717]	[181]	[]	[]	[31943205]	[]
686_2348	chr2	84459419	84459819	+	1000	82.0	[7.0454664]	[143]	[]	[]	[84459592]	[]
686_235	chr11	22625646	22626046	+	1000	261.5	[]	[]	[7.405256]	[101]	[]	[22625828]
686_2350	chr22	21643093	21643493	+	1000	82.0	[6.779136]	[189]	[9.595095]	[163]	[21643324]	[21643298]
686_2351	chr22	23183261	23183661	+	1000	82.0	[]	[]	[8.243634]	[130]	[]	[23183450]
686_2352	chr3	158644347	158644747	+	1000	82.0	[12.777884]	[82]	[7.0373144]	[125]	[158644519]	[158644562]
686_2353	chr3	169765048	169765448	+	1000	82.0	[6.591644]	[103]	[7.505192]	[125]	[169765209]	[169765231]
686_2354	chr5	54742349	54742749	+	1000	82.0	[]	[]	[8.725028]	[150]	[]	[54742568]
686_2355	chr6	27020096	27020496	+	1000	82.0	[10.263223]	[162]	[]	[]	[27020327]	[]
686_2356	chr6	31676999	31677399	+	1000	82.0	[12.453062]	[156]	[]	[]	[31677160]	[]
686_2359	chr1	26621308	26621708	+	1000	81.5	[]	[]	[16.017126, 7.0837836]	[88, 141]	[]	[26621494, 26621547]
686_236	chr11	75814624	75815024	+	1000	261.0	[9.919916]	[83]	[6.770984]	[130]	[75814789]	[75814836]
686_2361	chr1	108692037	108692437	+	1000	81.5	[8.460052]	[112]	[]	[]	[108692212]	[]
686_2365	chr11	72112471	72112871	+	1000	81.5	[8.716876]	[128]	[]	[]	[72112679]	[]
686_2366	chr12	64451887	64452287	+	1000	81.5	[12.777884]	[152]	[]	[]	[64452118]	[]
686_2368	chr15	90265364	90265764	+	1000	81.5	[6.5988393]	[190]	[]	[]	[90265542]	[]
686_2370	chr19	18364908	18365308	+	1000	81.5	[6.7770047]	[132]	[16.017126, 9.854824]	[107, 154]	[18365118]	[18365093, 18365140]
686_2371	chr19	44094150	44094550	+	1000	81.5	[7.1053114]	[96]	[9.919916]	[133]	[44094335]	[44094372]
686_2375	chr7	1460783	1461183	+	1000	81.5	[9.213819]	[182]	[]	[]	[1461032]	[]
686_2376	chr8	58411161	58411561	+	1000	81.5	[9.473548]	[89]	[]	[]	[58411335]	[]
686_2377	chrX	48539304	48539704	+	1000	81.5	[10.263223]	[94]	[]	[]	[48539481]	[]
686_2378	chrX	48737153	48737553	+	1000	81.5	[9.441459]	[142]	[]	[]	[48737364]	[]
686_2379	chr1	25819682	25820082	+	1000	81.0	[]	[]	[6.770984, 8.716876]	[191, 242]	[]	[25819874, 25819925]
686_238	chr16	69762100	69762500	+	1000	260.5	[7.405256]	[165]	[9.213819]	[103]	[69762346]	[69762284]
686_2380	chr1	32695029	32695429	+	1000	81.0	[6.659025]	[193]	[8.793456, 11.098322]	[151, 187]	[32695276]	[32695234, 32695270]
686_2382	chr1	37859440	37859840	+	1000	81.0	[]	[]	[9.919916, 9.098152, 6.6342473]	[98, 104, 145]	[]	[37859614, 37859620, 37859661]
686_2383	chr1	42756922	42757322	+	1000	81.0	[12.777884]	[120]	[]	[]	[42757124]	[]
686_2384	chr1	150067530	150067930	+	1000	81.0	[6.5834923]	[153]	[]	[]	[150067764]	[]
686_2387	chr11	560469	560869	+	1000	81.0	[10.257094]	[115]	[6.703123]	[182]	[560647]	[560714]
686_2388	chr14	35292193	35292593	+	1000	81.0	[]	[]	[9.473548]	[109]	[]	[35292397]
686_2389	chr16	30787030	30787430	+	1000	81.0	[16.017126]	[87]	[]	[]	[30787198]	[]
686_2390	chr17	29069466	29069866	+	1000	81.0	[]	[]	[7.0464296]	[115]	[]	[29069673]
686_2391	chr18	21600468	21600868	+	1000	81.0	[]	[]	[7.867843]	[127]	[]	[21600670]
686_2393	chr19	41263994	41264394	+	1000	81.0	[]	[]	[6.770984, 9.098152]	[64, 118]	[]	[41264150, 41264204]
686_2395	chr2	168798372	168798772	+	1000	81.0	[9.062206, 9.148726]	[106, 144]	[]	[]	[168798567, 168798605]	[]
686_2397	chr21	45593465	45593865	+	1000	81.0	[]	[]	[7.080435, 6.8903494]	[93, 107]	[]	[45593648, 45593662]
686_2398	chr5	141960728	141961128	+	1000	81.0	[16.017126]	[164]	[]	[]	[141960963]	[]
686_2399	chr6	16128684	16129084	+	1000	81.0	[]	[]	[7.0454664]	[118]	[]	[16128874]
686_24	chr8	11284214	11284614	+	1000	525.0	[]	[]	[7.541501, 9.473548, 7.0178514]	[75, 101, 114]	[]	[11284368, 11284394, 11284407]
686_2401	chr6	30672762	30673162	+	1000	81.0	[8.725028]	[249]	[]	[]	[30673012]	[]
686_2403	chr6	143940006	143940406	+	1000	81.0	[6.779136, 12.777884]	[86, 116]	[]	[]	[143940183, 143940213]	[]
686_2404	chr7	67114767	67115167	+	1000	81.0	[]	[]	[9.688612, 9.688612]	[87, 142]	[]	[67114921, 67114976]
686_2405	chr7	128476528	128476928	+	1000	81.0	[12.712791]	[140]	[]	[]	[128476717]	[]
686_2406	chr8	143553297	143553697	+	1000	81.0	[6.3787317]	[81]	[6.4493685]	[117]	[143553467]	[143553503]
686_2407	chrX	49840672	49841072	+	1000	81.0	[]	[]	[16.017126]	[143]	[]	[49840887]
686_2408	chr1	10378491	10378891	+	1000	80.5	[]	[]	[16.017126]	[121]	[]	[10378710]
686_2409	chr1	15952770	15953170	+	1000	80.5	[9.938401, 12.590676]	[142, 151]	[]	[]	[15952982, 15952991]	[]
686_241	chr16	70800968	70801368	+	1000	259.5	[]	[]	[9.919916]	[106]	[]	[70801173]
686_2410	chr1	148152073	148152473	+	1000	80.5	[]	[]	[9.875818]	[149]	[]	[148152314]
686_2411	chr1	224330227	224330627	+	1000	80.5	[9.854824]	[128]	[]	[]	[224330444]	[]
686_2412	chr10	43606192	43606592	+	1000	80.5	[]	[]	[9.919916, 8.716876]	[116, 122]	[]	[43606407, 43606413]
686_2414	chr13	102596123	102596523	+	1000	80.5	[]	[]	[16.017126]	[105]	[]	[102596325]
686_2418	chr17	47001150	47001550	+	1000	80.5	[9.919916]	[108]	[]	[]	[47001356]	[]
686_2419	chr19	49717493	49717893	+	1000	80.5	[6.378302]	[105]	[9.449611, 8.583661]	[123, 145]	[49717678]	[49717696, 49717718]
686_242	chr19	44164835	44165235	+	1000	259.5	[7.40341]	[104]	[12.777884, 9.919916]	[88, 161]	[44165028]	[44165012, 44165085]
686_2420	chr19	57389549	57389949	+	1000	80.5	[8.716876]	[130]	[]	[]	[57389739]	[]
686_2421	chr20	28602664	28603064	+	1000	80.5	[]	[]	[8.784873]	[99]	[]	[28602856]
686_2424	chr20	63707845	63708245	+	1000	80.5	[8.716876, 13.15916]	[112, 132]	[7.0373144, 12.777884]	[79, 107]	[63708043, 63708063]	[63708010, 63708038]
686_2425	chr21	46286074	46286474	+	1000	80.5	[]	[]	[9.875818, 6.999809]	[158, 176]	[]	[46286276, 46286294]
686_2428	chr3	179604576	179604976	+	1000	80.5	[]	[]	[11.107086, 7.080435]	[93, 154]	[]	[179604731, 179604792]
686_2429	chr6	44064446	44064846	+	1000	80.5	[9.441459, 6.7770047]	[109, 148]	[]	[]	[44064621, 44064660]	[]
686_243	chr2	10689807	10690207	+	1000	259.5	[9.213819, 7.534257]	[118, 143]	[16.017126]	[85]	[10690016, 10690041]	[10689983]
686_2430	chr6	158559851	158560251	+	1000	80.5	[]	[]	[6.3558517]	[90]	[]	[158560036]
686_2433	chr8	52714359	52714759	+	1000	80.5	[9.875818, 7.0454664]	[98, 117]	[]	[]	[52714520, 52714539]	[]
686_2434	chr1	198556950	198557350	+	1000	80.0	[12.590676]	[198]	[]	[]	[198557197]	[]
686_2435	chr11	76782845	76783245	+	1000	80.0	[8.651784]	[229]	[]	[]	[76783090]	[]
686_2437	chr16	50266436	50266836	+	1000	80.0	[9.106304]	[179]	[]	[]	[50266606]	[]
686_2438	chr17	73010987	73011387	+	1000	80.0	[9.026612]	[227]	[]	[]	[73011212]	[]
686_2440	chr19	4310462	4310862	+	1000	80.0	[6.3787317]	[232]	[9.875818]	[191]	[4310666]	[4310625]
686_2441	chr19	10380311	10380711	+	1000	80.0	[]	[]	[8.725028]	[134]	[]	[10380509]
686_2443	chr2	11856111	11856511	+	1000	80.0	[13.115062, 10.6445]	[78, 127]	[]	[]	[11856287, 11856336]	[]
686_2444	chr2	157876151	157876551	+	1000	80.0	[13.15916]	[153]	[]	[]	[157876366]	[]
686_2445	chr20	1423719	1424119	+	1000	80.0	[]	[]	[13.502466, 6.401559]	[90, 154]	[]	[1423900, 1423964]
686_2446	chr21	14675692	14676092	+	1000	80.0	[7.724392, 6.654838, 9.688612]	[214, 218, 227]	[16.017126]	[252]	[14675895, 14675899, 14675908]	[14675933]
686_2447	chr5	10595704	10596104	+	1000	80.0	[]	[]	[11.95612]	[140]	[]	[10595932]
686_2448	chr6	26365188	26365588	+	1000	80.0	[9.495998, 7.123038]	[121, 198]	[]	[]	[26365360, 26365437]	[]
686_2449	chr6	31862737	31863137	+	1000	80.0	[]	[]	[7.0373144]	[97]	[]	[31862898]
686_245	chrX	48574099	48574499	+	1000	259.0	[]	[]	[9.56109, 9.56109]	[121, 138]	[]	[48574308, 48574325]
686_2450	chr6	108261168	108261568	+	1000	80.0	[]	[]	[11.95612]	[110]	[]	[108261340]
686_2451	chr7	99380106	99380506	+	1000	80.0	[]	[]	[7.2606525, 13.15916]	[101, 120]	[]	[99380276, 99380295]
686_2452	chr7	100049556	100049956	+	1000	80.0	[]	[]	[12.777884]	[122]	[]	[100049773]
686_2453	chr1	119648121	119648521	+	1000	79.5	[]	[]	[12.800334, 13.115062]	[129, 187]	[]	[119648295, 119648353]
686_2454	chr1	226064272	226064672	+	1000	79.5	[6.7216086]	[165]	[]	[]	[226064491]	[]
686_2455	chr10	50550296	50550696	+	1000	79.5	[]	[]	[11.964272, 9.106304]	[156, 237]	[]	[50550454, 50550535]
686_2456	chr10	73879620	73880020	+	1000	79.5	[12.453062, 11.964272]	[135, 193]	[]	[]	[73879808, 73879866]	[]
686_2457	chr10	118342118	118342518	+	1000	79.5	[16.017126]	[81]	[]	[]	[118342274]	[]
686_2458	chr11	62621909	62622309	+	1000	79.5	[]	[]	[8.716876]	[121]	[]	[62622123]
686_2459	chr15	43370879	43371279	+	1000	79.5	[9.875818]	[60]	[]	[]	[43371036]	[]
686_2460	chr16	30139759	30140159	+	1000	79.5	[]	[]	[16.017126]	[121]	[]	[30139971]
686_2462	chr19	34327854	34328254	+	1000	79.5	[]	[]	[16.017126]	[139]	[]	[34328092]
686_2463	chr3	4986893	4987293	+	1000	79.5	[]	[]	[7.590416]	[151]	[]	[4987045]
686_2464	chr3	32685014	32685414	+	1000	79.5	[10.263223]	[69]	[]	[]	[32685180]	[]
686_2465	chr5	43040227	43040627	+	1000	79.5	[7.881529]	[62]	[]	[]	[43040380]	[]
686_2466	chr5	68216256	68216656	+	1000	79.5	[]	[]	[7.0454664]	[145]	[]	[68216438]
686_2467	chr6	29813869	29814269	+	1000	79.5	[9.351434]	[116]	[]	[]	[29814064]	[]
686_2468	chr7	88184727	88185127	+	1000	79.5	[12.777884]	[175]	[]	[]	[88184953]	[]
686_2469	chr1	3624582	3624982	+	1000	79.0	[16.017126]	[118]	[8.716876]	[144]	[3624790]	[3624816]
686_247	chr19	55216415	55216815	+	1000	258.5	[16.017126]	[138]	[12.453062]	[100]	[55216636]	[55216598]
686_2470	chr10	103367600	103368000	+	1000	79.0	[]	[]	[16.017126]	[167]	[]	[103367806]
686_2471	chr11	119108520	119108920	+	1000	79.0	[16.017126, 11.95612]	[131, 143]	[10.6445]	[95]	[119108744, 119108756]	[119108708]
686_2472	chr12	105236048	105236448	+	1000	79.0	[16.017126, 12.777884, 9.56109]	[76, 105, 135]	[]	[]	[105236210, 105236239, 105236269]	[]
686_2473	chr13	48094952	48095352	+	1000	79.0	[6.3558517]	[107]	[]	[]	[48095156]	[]
686_2474	chr16	2047725	2048125	+	1000	79.0	[12.777884]	[207]	[]	[]	[2047968]	[]
686_2475	chr16	27268663	27269063	+	1000	79.0	[]	[]	[12.777884]	[183]	[]	[27268845]
686_2477	chr17	28728572	28728972	+	1000	79.0	[9.351434]	[168]	[]	[]	[28728788]	[]
686_2478	chr17	82298063	82298463	+	1000	79.0	[9.473548]	[122]	[]	[]	[82298267]	[]
686_2479	chr19	4540125	4540525	+	1000	79.0	[]	[]	[8.240355, 6.863509]	[136, 180]	[]	[4540307, 4540351]
686_248	chr2	70190564	70190964	+	1000	258.0	[]	[]	[12.777884]	[128]	[]	[70190778]
686_2481	chr19	40578497	40578897	+	1000	79.0	[9.286342]	[162]	[]	[]	[40578692]	[]
686_2482	chr19	52397653	52398053	+	1000	79.0	[8.716876]	[72]	[]	[]	[52397812]	[]
686_2483	chr2	85585250	85585650	+	1000	79.0	[12.453062, 13.15916, 8.659936]	[117, 123, 135]	[]	[]	[85585459, 85585465, 85585477]	[]
686_2485	chr20	47357439	47357839	+	1000	79.0	[]	[]	[6.4493685, 9.054054]	[125, 153]	[]	[47357651, 47357679]
686_2486	chr3	13421133	13421533	+	1000	79.0	[9.449611]	[129]	[]	[]	[13421304]	[]
686_2487	chr6	32967405	32967805	+	1000	79.0	[]	[]	[7.0403013]	[197]	[]	[32967614]
686_249	chr1	63523149	63523549	+	1000	257.0	[]	[]	[10.285673]	[168]	[]	[63523353]
686_2490	chr9	92147090	92147490	+	1000	79.0	[]	[]	[9.449611, 9.106304]	[71, 96]	[]	[92147261, 92147286]
686_2492	chrX	135171082	135171482	+	1000	79.0	[6.594993]	[59]	[16.017126]	[101]	[135171233]	[135171275]
686_2493	chr1	3319901	3320301	+	1000	78.5	[]	[]	[10.076016]	[79]	[]	[3320079]
686_2495	chr1	51729130	51729530	+	1000	78.5	[10.263223]	[112]	[]	[]	[51729281]	[]
686_2497	chr10	15020960	15021360	+	1000	78.5	[16.017126]	[90]	[]	[]	[15021143]	[]
686_2498	chr10	99731923	99732323	+	1000	78.5	[]	[]	[12.777884]	[108]	[]	[99732127]
686_25	chr1	113929313	113929713	+	1000	514.5	[]	[]	[9.919916]	[123]	[]	[113929520]
686_250	chr1	161153771	161154171	+	1000	256.5	[]	[]	[9.919916]	[94]	[]	[161153965]
686_2501	chr19	597508	597908	+	1000	78.5	[]	[]	[9.550997]	[113]	[]	[597708]
686_2503	chr2	28894378	28894778	+	1000	78.5	[]	[]	[10.687102, 13.15916]	[140, 172]	[]	[28894586, 28894618]
686_2504	chr2	135984960	135985360	+	1000	78.5	[]	[]	[10.263223]	[103]	[]	[135985129]
686_2506	chr8	72107325	72107725	+	1000	78.5	[]	[]	[6.615581]	[96]	[]	[72107520]
686_2507	chrX	41010242	41010642	+	1000	78.5	[]	[]	[12.800334]	[240]	[]	[41010487]
686_2509	chr1	27542600	27543000	+	1000	78.0	[12.800334]	[139]	[]	[]	[27542819]	[]
686_251	chr1	12081776	12082176	+	1000	255.5	[]	[]	[16.017126, 16.017126, 16.017126]	[84, 110, 136]	[]	[12081954, 12081980, 12082006]
686_2510	chr1	29181910	29182310	+	1000	78.0	[12.777884]	[136]	[7.8864684, 6.838981]	[65, 149]	[29182135]	[29182064, 29182148]
686_2513	chr1	246699092	246699492	+	1000	78.0	[8.583661]	[108]	[]	[]	[246699286]	[]
686_2516	chr12	57111188	57111588	+	1000	78.0	[7.793728]	[156]	[6.6342473]	[126]	[57111428]	[57111398]
686_2517	chr15	58331846	58332246	+	1000	78.0	[16.017126]	[118]	[]	[]	[58332023]	[]
686_2518	chr15	74695822	74696222	+	1000	78.0	[8.716876]	[101]	[12.777884]	[141]	[74696009]	[74696049]
686_252	chr1	206562951	206563351	+	1000	255.0	[9.56109]	[91]	[]	[]	[206563134]	[]
686_2520	chr16	48244080	48244480	+	1000	78.0	[8.716876]	[123]	[]	[]	[48244278]	[]
686_2521	chr16	74985051	74985451	+	1000	78.0	[]	[]	[9.351434]	[107]	[]	[74985246]
686_2522	chr17	14069169	14069569	+	1000	78.0	[9.875818]	[175]	[]	[]	[14069385]	[]
686_2524	chr2	229921187	229921587	+	1000	78.0	[]	[]	[9.56109, 6.659025, 9.56109]	[67, 108, 128]	[]	[229921354, 229921395, 229921415]
686_2525	chr20	24992685	24993085	+	1000	78.0	[12.777884]	[133]	[]	[]	[24992891]	[]
686_2526	chr21	46063215	46063615	+	1000	78.0	[7.1500793, 12.777884]	[72, 121]	[]	[]	[46063379, 46063428]	[]
686_2527	chr3	47421094	47421494	+	1000	78.0	[6.5988393]	[60]	[]	[]	[47421245]	[]
686_2529	chr5	79514559	79514959	+	1000	78.0	[8.52967]	[119]	[6.4718184]	[140]	[79514769]	[79514790]
686_253	chr7	100479054	100479454	+	1000	255.0	[13.115062]	[70]	[9.595095, 9.106304]	[132, 141]	[100479223]	[100479285, 100479294]
686_2530	chr5	180831176	180831576	+	1000	78.0	[]	[]	[8.651784]	[182]	[]	[180831395]
686_2532	chr6	44387504	44387904	+	1000	78.0	[13.15916]	[158]	[]	[]	[44387730]	[]
686_2533	chr7	105531891	105532291	+	1000	78.0	[6.779136]	[167]	[11.95612]	[136]	[105532104]	[105532073]
686_2534	chr7	106371598	106371998	+	1000	78.0	[]	[]	[12.777884]	[106]	[]	[106371788]
686_2535	chrX	31862761	31863161	+	1000	78.0	[]	[]	[13.115062]	[113]	[]	[31862949]
686_2537	chr1	218285055	218285455	+	1000	77.5	[]	[]	[8.716876]	[185]	[]	[218285299]
686_2538	chr12	120437884	120438284	+	1000	77.5	[]	[]	[9.286342, 9.919916, 8.716876]	[63, 107, 113]	[]	[120438045, 120438089, 120438095]
686_2539	chr13	99501153	99501553	+	1000	77.5	[]	[]	[7.2679267]	[122]	[]	[99501365]
686_254	chr3	184135150	184135550	+	1000	254.5	[9.919916]	[113]	[]	[]	[184135358]	[]
686_2540	chr14	30558942	30559342	+	1000	77.5	[9.919916]	[113]	[]	[]	[30559146]	[]
686_2541	chr14	51240028	51240428	+	1000	77.5	[9.919916]	[142]	[6.6260953]	[164]	[51240242]	[51240264]
686_2543	chr15	75453746	75454146	+	1000	77.5	[]	[]	[9.875818]	[111]	[]	[75453948]
686_2544	chr16	87303494	87303894	+	1000	77.5	[12.453062]	[147]	[13.115062]	[109]	[87303712]	[87303674]
686_2548	chr19	57769446	57769846	+	1000	77.5	[]	[]	[9.875818]	[145]	[]	[57769642]
686_2549	chr21	35565171	35565571	+	1000	77.5	[7.8291354]	[146]	[]	[]	[35565388]	[]
686_255	chr12	48851977	48852377	+	1000	253.5	[]	[]	[8.7393265, 8.749358]	[81, 144]	[]	[48852144, 48852207]
686_2551	chr3	195697801	195698201	+	1000	77.5	[]	[]	[9.106304, 6.82269]	[196, 209]	[]	[195697989, 195698002]
686_2552	chr5	149452174	149452574	+	1000	77.5	[]	[]	[16.017126]	[64]	[]	[149452327]
686_2554	chr6	51153115	51153515	+	1000	77.5	[13.502466]	[94]	[]	[]	[51153295]	[]
686_2555	chr9	127424133	127424533	+	1000	77.5	[12.777884]	[247]	[]	[]	[127424368]	[]
686_2558	chr1	38012350	38012750	+	1000	77.0	[]	[]	[7.1053114]	[203]	[]	[38012599]
686_2559	chr1	46303424	46303824	+	1000	77.0	[]	[]	[7.265795, 12.777884]	[108, 173]	[]	[46303585, 46303650]
686_256	chr6	33289356	33289756	+	1000	253.5	[]	[]	[7.1053114, 9.473548, 10.263223]	[71, 96, 132]	[]	[33289527, 33289552, 33289588]
686_2563	chr12	12813142	12813542	+	1000	77.0	[]	[]	[12.777884]	[116]	[]	[12813345]
686_2564	chr16	30075698	30076098	+	1000	77.0	[]	[]	[7.4055414, 7.867843]	[84, 157]	[]	[30075874, 30075947]
686_2565	chr17	82859906	82860306	+	1000	77.0	[6.8368497]	[105]	[13.115062]	[136]	[82860096]	[82860127]
686_2566	chr2	28870456	28870856	+	1000	77.0	[6.4493685]	[114]	[]	[]	[28870660]	[]
686_2567	chr2	81481532	81481932	+	1000	77.0	[]	[]	[12.777884]	[103]	[]	[81481720]
686_2568	chr20	5112947	5113347	+	1000	77.0	[8.716876]	[114]	[]	[]	[5113124]	[]
686_2569	chr20	58650964	58651364	+	1000	77.0	[12.453062]	[158]	[]	[]	[58651209]	[]
686_2570	chr22	21646675	21647075	+	1000	77.0	[9.026612]	[117]	[9.054054]	[182]	[21646852]	[21646917]
686_2571	chr3	122415897	122416297	+	1000	77.0	[9.688612]	[188]	[]	[]	[122416112]	[]
686_2573	chr5	141923530	141923930	+	1000	77.0	[]	[]	[13.15916]	[188]	[]	[141923771]
686_2575	chr7	23298989	23299389	+	1000	77.0	[]	[]	[9.213819]	[127]	[]	[23299202]
686_2576	chr7	74254366	74254766	+	1000	77.0	[9.062206]	[215]	[]	[]	[74254588]	[]
686_2577	chr7	149690823	149691223	+	1000	77.0	[]	[]	[16.017126, 6.591644]	[163, 206]	[]	[149690991, 149691034]
686_2578	chr7	151519722	151520122	+	1000	77.0	[]	[]	[6.466288]	[163]	[]	[151519948]
686_2579	chr9	127803040	127803440	+	1000	77.0	[12.712791, 7.1053114]	[126, 190]	[7.8027515]	[93]	[127803227, 127803291]	[127803194]
686_258	chr9	92670065	92670465	+	1000	252.5	[9.213819]	[154]	[9.56109]	[129]	[92670297]	[92670272]
686_2581	chrX	107742014	107742414	+	1000	77.0	[7.7496295]	[118]	[]	[]	[107742173]	[]
686_2582	chr1	44807640	44808040	+	1000	76.5	[9.449611]	[125]	[6.703123]	[181]	[44807811]	[44807867]
686_2584	chr1	155859190	155859590	+	1000	76.5	[]	[]	[8.651784, 6.4493685]	[120, 144]	[]	[155859399, 155859423]
686_2586	chr10	30553165	30553565	+	1000	76.5	[12.590676]	[114]	[]	[]	[30553355]	[]
686_2588	chr10	50625018	50625418	+	1000	76.5	[6.615581]	[116]	[]	[]	[50625222]	[]
686_2589	chr10	102056047	102056447	+	1000	76.5	[]	[]	[11.95612]	[119]	[]	[102056262]
686_259	chr17	36601360	36601760	+	1000	252.0	[11.964272, 8.716876]	[127, 161]	[]	[]	[36601553, 36601587]	[]
686_2590	chr11	9930877	9931277	+	1000	76.5	[8.651784]	[160]	[]	[]	[9931097]	[]
686_2591	chr11	61834528	61834928	+	1000	76.5	[]	[]	[13.115062]	[257]	[]	[61834735]
686_2592	chr11	118415662	118416062	+	1000	76.5	[]	[]	[13.502466]	[104]	[]	[118415865]
686_2593	chr14	21476983	21477383	+	1000	76.5	[9.919916]	[131]	[7.3179855]	[122]	[21477198]	[21477189]
686_2594	chr14	24232389	24232789	+	1000	76.5	[6.770984]	[98]	[]	[]	[24232587]	[]
686_2595	chr14	49620406	49620806	+	1000	76.5	[8.7474785, 9.919916]	[153, 172]	[]	[]	[49620623, 49620642]	[]
686_2596	chr14	51989220	51989620	+	1000	76.5	[8.651784]	[80]	[]	[]	[51989382]	[]
686_2598	chr16	2603181	2603581	+	1000	76.5	[]	[]	[6.615581, 9.213819]	[100, 189]	[]	[2603341, 2603430]
686_2599	chr16	10382121	10382521	+	1000	76.5	[16.017126]	[108]	[]	[]	[10382307]	[]
686_26	chr12	6663127	6663527	+	1000	514.0	[6.683428]	[162]	[]	[]	[6663374]	[]
686_2603	chr19	1605357	1605757	+	1000	76.5	[]	[]	[9.473548]	[122]	[]	[1605571]
686_2604	chr19	6100285	6100685	+	1000	76.5	[16.017126]	[100]	[]	[]	[6100462]	[]
686_2605	chr19	42217761	42218161	+	1000	76.5	[]	[]	[13.502466]	[104]	[]	[42217930]
686_2606	chr2	71748207	71748607	+	1000	76.5	[7.2606525, 12.800334]	[74, 92]	[]	[]	[71748381, 71748399]	[]
686_2607	chr2	109005789	109006189	+	1000	76.5	[6.5834923, 12.777884]	[80, 138]	[]	[]	[109005966, 109006024]	[]
686_2608	chr2	121649821	121650221	+	1000	76.5	[]	[]	[6.893543, 8.196257]	[77, 137]	[]	[121649976, 121650036]
686_2609	chr20	3209392	3209792	+	1000	76.5	[7.9740243]	[209]	[]	[]	[3209612]	[]
686_261	chr20	56468412	56468812	+	1000	250.5	[12.777884, 6.659025, 12.777884]	[111, 133, 142]	[]	[]	[56468615, 56468637, 56468646]	[]
686_2610	chr22	21555674	21556074	+	1000	76.5	[10.831991]	[113]	[]	[]	[21555856]	[]
686_2614	chr6	32192743	32193143	+	1000	76.5	[9.136763, 16.017126]	[83, 98]	[7.08763]	[68]	[32192915, 32192930]	[32192900]
686_2615	chr6	129490481	129490881	+	1000	76.5	[12.777884]	[115]	[]	[]	[129490669]	[]
686_2616	chr7	67302340	67302740	+	1000	76.5	[]	[]	[6.5988393, 8.583661]	[123, 148]	[]	[67302506, 67302531]
686_2620	chr1	16624905	16625305	+	1000	76.0	[]	[]	[9.441459, 6.6940923]	[105, 114]	[]	[16625100, 16625109]
686_2621	chr1	23559495	23559895	+	1000	76.0	[9.098152]	[99]	[]	[]	[23559684]	[]
686_2622	chr1	155218835	155219235	+	1000	76.0	[16.017126]	[131]	[]	[]	[155219062]	[]
686_2623	chr11	65856844	65857244	+	1000	76.0	[8.41218]	[72]	[]	[]	[65857006]	[]
686_2624	chr11	118252007	118252407	+	1000	76.0	[12.777884]	[102]	[]	[]	[118252188]	[]
686_2625	chr12	2812415	2812815	+	1000	76.0	[9.595095, 10.82986]	[123, 148]	[7.1500793]	[161]	[2812622, 2812647]	[2812660]
686_2626	chr14	55191425	55191825	+	1000	76.0	[]	[]	[12.777884]	[106]	[]	[55191623]
