#PeakID(python scan_motif.py ./ENCODE_processed_files/SPI1_idr.fa SPI1 --motif_path ./motifs/ --distance 50  --cutoff --size 400)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
685_16247	chr14	63641479	63641879	+	1000	47.0	[]	[]	[6.463988]	[104]	[]	[63641674]
685_16248	chr14	65277576	65277976	+	1000	47.0	[10.203009]	[97]	[]	[]	[65277762]	[]
685_16249	chr14	69693211	69693611	+	1000	47.0	[13.590293]	[120]	[]	[]	[69693421]	[]
685_1625	chr3	40623666	40624066	+	1000	195.0	[]	[]	[12.5015]	[114]	[]	[40623874]
685_16250	chr14	70803290	70803690	+	1000	47.0	[15.0778055]	[89]	[10.863488]	[115]	[70803472]	[70803498]
685_16251	chr14	103874875	103875275	+	625	47.0	[16.122425]	[100]	[]	[]	[103875070]	[]
685_16252	chr15	40379956	40380356	+	1000	47.0	[]	[]	[10.832687, 16.407028]	[82, 105]	[]	[40380134, 40380157]
685_16253	chr15	41930418	41930818	+	1000	47.0	[]	[]	[13.0301485]	[100]	[]	[41930612]
685_16254	chr15	51843408	51843808	+	1000	47.0	[]	[]	[18.163067]	[88]	[]	[51843595]
685_16255	chr15	58030402	58030802	+	1000	47.0	[9.028212, 18.345798]	[82, 90]	[]	[]	[58030575, 58030583]	[]
685_16256	chr15	63490298	63490698	+	1000	47.0	[9.013808]	[105]	[]	[]	[63490500]	[]
685_16257	chr15	63832614	63833014	+	1000	47.0	[13.021699]	[90]	[]	[]	[63832803]	[]
685_16258	chr15	65902288	65902688	+	1000	47.0	[9.200705]	[93]	[]	[]	[65902462]	[]
685_16259	chr15	66803061	66803461	+	1000	47.0	[6.189468]	[78]	[]	[]	[66803225]	[]
685_1626	chr4	15681463	15681863	+	1000	195.0	[6.7772593, 6.334808]	[100, 106]	[]	[]	[15681661, 15681667]	[]
685_16260	chr15	66918073	66918473	+	1000	47.0	[7.8465137, 15.888445]	[81, 106]	[13.611939]	[140]	[66918249, 66918274]	[66918308]
685_16261	chr15	74995270	74995670	+	1000	47.0	[9.1430235]	[101]	[]	[]	[74995470]	[]
685_16262	chr15	75640109	75640509	+	1000	47.0	[]	[]	[5.6596513, 11.774563, 6.5251207, 6.7956314]	[106, 114, 162, 165]	[]	[75640296, 75640304, 75640352, 75640355]
685_16263	chr15	81265554	81265954	+	1000	47.0	[10.299577]	[99]	[]	[]	[81265750]	[]
685_16264	chr15	83337700	83338100	+	1000	47.0	[18.261488, 7.8551745]	[90, 127]	[]	[]	[83337882, 83337919]	[]
685_16265	chr15	90035409	90035809	+	1000	47.0	[]	[]	[10.021631]	[171]	[]	[90035644]
685_16266	chr16	1309460	1309860	+	985	47.0	[5.62552]	[153]	[]	[]	[1309695]	[]
685_16267	chr16	11311151	11311551	+	601	47.0	[5.727235]	[76]	[9.735673]	[126]	[11311316]	[11311366]
685_16268	chr16	22192373	22192773	+	1000	47.0	[]	[]	[14.228937, 12.85539, 6.6629057]	[100, 104, 112]	[]	[22192556, 22192560, 22192568]
685_16269	chr16	50425688	50426088	+	1000	47.0	[12.034145]	[112]	[]	[]	[50425899]	[]
685_1627	chr5	159263052	159263452	+	1000	195.0	[]	[]	[11.534304, 9.32312]	[99, 136]	[]	[159263251, 159263288]
685_16270	chr16	68125399	68125799	+	659	47.0	[9.075287, 13.980856, 8.3263035]	[67, 93, 102]	[]	[]	[68125557, 68125583, 68125592]	[]
685_16271	chr16	68800183	68800583	+	1000	47.0	[]	[]	[13.490449]	[85]	[]	[68800366]
685_16272	chr16	70444451	70444851	+	1000	47.0	[11.171708]	[99]	[6.909924]	[133]	[70444644]	[70444678]
685_16273	chr16	71091994	71092394	+	1000	47.0	[]	[]	[18.38044]	[89]	[]	[71092183]
685_16274	chr16	75244736	75245136	+	1000	47.0	[6.8013844]	[83]	[15.347085]	[126]	[75244903]	[75244946]
685_16275	chr16	81558881	81559281	+	1000	47.0	[]	[]	[10.089762, 7.5959134]	[101, 105]	[]	[81559081, 81559085]
685_16276	chr16	85563485	85563885	+	1000	47.0	[9.255419]	[122]	[]	[]	[85563661]	[]
685_16277	chr16	88430637	88431037	+	1000	47.0	[12.926343, 12.159406, 6.3891535, 9.077848]	[91, 95, 101, 125]	[]	[]	[88430827, 88430831, 88430837, 88430861]	[]
685_16278	chr16	89917696	89918096	+	1000	47.0	[9.559706]	[96]	[5.952974]	[63]	[89917892]	[89917859]
685_1628	chr6	169751353	169751753	+	1000	195.0	[6.372398, 7.5518937]	[91, 121]	[]	[]	[169751532, 169751562]	[]
685_16280	chr17	28172995	28173395	+	1000	47.0	[]	[]	[11.746416]	[106]	[]	[28173197]
685_16281	chr17	34378618	34379018	+	1000	47.0	[12.036125]	[98]	[]	[]	[34378811]	[]
685_16282	chr17	40101140	40101540	+	1000	47.0	[10.187816, 6.7106996]	[140, 152]	[9.793559]	[105]	[40101361, 40101373]	[40101326]
685_16283	chr17	44111174	44111574	+	1000	47.0	[8.5172205]	[101]	[]	[]	[44111367]	[]
685_16284	chr17	45428830	45429230	+	1000	47.0	[15.325886]	[93]	[7.634578]	[147]	[45429019]	[45429073]
685_16285	chr17	48050612	48051012	+	1000	47.0	[17.160873, 6.5489607, 8.476306]	[87, 113, 117]	[]	[]	[48050785, 48050811, 48050815]	[]
685_16286	chr17	48153627	48154027	+	1000	47.0	[7.7564487]	[102]	[6.842731]	[139]	[48153828]	[48153865]
685_16288	chr17	49939245	49939645	+	749	47.0	[6.346564, 18.476559]	[64, 100]	[]	[]	[49939409, 49939445]	[]
685_16289	chr17	58007079	58007479	+	1000	47.0	[15.788821, 8.338221]	[106, 117]	[]	[]	[58007283, 58007294]	[]
685_1629	chr9	6889869	6890269	+	1000	195.0	[]	[]	[13.798836, 18.203526]	[100, 123]	[]	[6890059, 6890082]
685_16290	chr17	60305115	60305515	+	1000	47.0	[9.107577, 6.0065746, 10.967691]	[95, 111, 114]	[]	[]	[60305310, 60305326, 60305329]	[]
685_16291	chr17	74418628	74419028	+	1000	47.0	[17.40829]	[83]	[]	[]	[74418803]	[]
685_16292	chr17	75504308	75504708	+	1000	47.0	[5.7563934]	[118]	[]	[]	[75504513]	[]
685_16293	chr17	75738145	75738545	+	1000	47.0	[]	[]	[9.212597]	[101]	[]	[75738344]
685_16294	chr17	76841881	76842281	+	1000	47.0	[]	[]	[15.289599]	[100]	[]	[76842081]
685_16295	chr17	82231826	82232226	+	1000	47.0	[7.335939, 10.653269]	[104, 109]	[6.7599716]	[67]	[82232021, 82232026]	[82231984]
685_16296	chr18	1035914	1036314	+	1000	47.0	[8.389599]	[110]	[10.925626]	[181]	[1036082]	[1036153]
685_16297	chr18	9456096	9456496	+	1000	47.0	[10.861304]	[101]	[]	[]	[9456291]	[]
685_16298	chr18	22094050	22094450	+	1000	47.0	[11.2567625]	[99]	[]	[]	[22094245]	[]
685_163	chr5	177320907	177321307	+	1000	415.0	[]	[]	[16.133993]	[100]	[]	[177321106]
685_1630	chr11	327083	327483	+	1000	194.0	[16.525896, 6.829192]	[93, 99]	[]	[]	[327275, 327281]	[]
685_16300	chr18	25561868	25562268	+	1000	47.0	[]	[]	[6.9678783, 12.790901, 7.293047, 5.8418965, 7.2165604]	[95, 102, 108, 112, 139]	[]	[25562059, 25562066, 25562072, 25562076, 25562103]
685_16301	chr18	36759320	36759720	+	1000	47.0	[19.177654, 6.4370728]	[102, 110]	[]	[]	[36759517, 36759525]	[]
685_16302	chr18	46536193	46536593	+	1000	47.0	[12.718113]	[102]	[]	[]	[46536390]	[]
685_16303	chr18	79820056	79820456	+	1000	47.0	[]	[]	[15.289599, 11.987937, 13.331438]	[90, 158, 171]	[]	[79820219, 79820287, 79820300]
685_16304	chr19	4068203	4068603	+	1000	47.0	[12.947034, 6.3480177]	[98, 147]	[]	[]	[4068392, 4068441]	[]
685_16305	chr19	4568933	4569333	+	1000	47.0	[]	[]	[13.955902]	[113]	[]	[4569135]
685_16306	chr19	6460076	6460476	+	1000	47.0	[7.358916]	[133]	[6.2421846, 9.691981]	[82, 100]	[6460303]	[6460252, 6460270]
685_16307	chr19	8512120	8512520	+	1000	47.0	[8.382122, 7.4007506]	[86, 94]	[]	[]	[8512306, 8512314]	[]
685_16308	chr19	10403355	10403755	+	1000	47.0	[]	[]	[9.352809]	[114]	[]	[10403560]
685_1631	chr12	75481069	75481469	+	1000	194.0	[]	[]	[15.206261, 8.2258]	[107, 138]	[]	[75481274, 75481305]
685_16310	chr19	11583922	11584322	+	922	47.0	[15.432899]	[120]	[]	[]	[11584134]	[]
685_16311	chr19	12886042	12886442	+	999	47.0	[]	[]	[9.625273, 7.9782615]	[136, 147]	[]	[12886268, 12886279]
685_16312	chr19	13825735	13826135	+	1000	47.0	[]	[]	[6.7206273]	[101]	[]	[13825933]
685_16313	chr19	16070429	16070829	+	1000	47.0	[10.02504]	[90]	[]	[]	[16070593]	[]
685_16314	chr19	18873939	18874339	+	1000	47.0	[7.755557]	[95]	[10.314591]	[144]	[18874116]	[18874165]
685_16315	chr19	24086811	24087211	+	1000	47.0	[6.638635]	[87]	[9.65012]	[154]	[24086989]	[24087056]
685_16316	chr19	32020535	32020935	+	777	47.0	[9.924702, 5.911428, 15.923084]	[101, 109, 125]	[]	[]	[32020722, 32020730, 32020746]	[]
685_16318	chr19	43663949	43664349	+	1000	47.0	[]	[]	[10.068178, 14.172218]	[95, 108]	[]	[43664142, 43664155]
685_1632	chr15	41259200	41259600	+	1000	194.0	[6.790596, 14.596051]	[65, 89]	[]	[]	[41259365, 41259389]	[]
685_16320	chr19	46413386	46413786	+	1000	47.0	[]	[]	[6.9102817]	[104]	[]	[46413585]
685_16321	chr19	51408803	51409203	+	971	47.0	[]	[]	[15.248346]	[99]	[]	[51408997]
685_16322	chr19	53915111	53915511	+	1000	47.0	[5.8197236, 12.760474]	[65, 93]	[]	[]	[53915274, 53915302]	[]
685_16323	chr19	57321050	57321450	+	1000	47.0	[]	[]	[10.629997, 6.127155, 10.066356, 7.113855]	[98, 113, 126, 145]	[]	[57321237, 57321252, 57321265, 57321284]
685_16324	chr19	58154991	58155391	+	1000	47.0	[]	[]	[5.749114]	[127]	[]	[58155196]
685_16325	chr2	3379575	3379975	+	1000	47.0	[]	[]	[12.68806]	[107]	[]	[3379778]
685_16326	chr2	25010109	25010509	+	1000	47.0	[]	[]	[14.0685425]	[124]	[]	[25010321]
685_16327	chr2	27250230	27250630	+	1000	47.0	[]	[]	[8.38646]	[174]	[]	[27250456]
685_16328	chr2	28362999	28363399	+	1000	47.0	[]	[]	[14.6272335, 7.2337694]	[95, 109]	[]	[28363179, 28363193]
685_16329	chr2	36530990	36531390	+	1000	47.0	[]	[]	[11.821968]	[102]	[]	[36531190]
685_1633	chr17	27473985	27474385	+	1000	194.0	[]	[]	[12.793637]	[90]	[]	[27474175]
685_16330	chr2	36677992	36678392	+	1000	47.0	[14.101634]	[99]	[]	[]	[36678185]	[]
685_16331	chr2	47457251	47457651	+	1000	47.0	[13.778775, 7.161871, 6.9530215]	[92, 124, 140]	[]	[]	[47457440, 47457472, 47457488]	[]
685_16332	chr2	55526163	55526563	+	1000	47.0	[]	[]	[18.38044]	[113]	[]	[55526371]
685_16333	chr2	58531968	58532368	+	1000	47.0	[7.2106256, 15.535567, 7.623644]	[82, 90, 128]	[]	[]	[58532150, 58532158, 58532196]	[]
685_16334	chr2	64768711	64769111	+	1000	47.0	[]	[]	[18.107643]	[104]	[]	[64768914]
685_16335	chr2	69952707	69953107	+	1000	47.0	[]	[]	[14.900891]	[104]	[]	[69952909]
685_16336	chr2	70103498	70103898	+	1000	47.0	[13.220068]	[100]	[6.8195887]	[87]	[70103696]	[70103683]
685_16337	chr2	73111314	73111714	+	1000	47.0	[12.982883]	[83]	[]	[]	[73111495]	[]
685_16338	chr2	85564089	85564489	+	863	47.0	[11.610879]	[103]	[]	[]	[85564284]	[]
685_16339	chr2	96486389	96486789	+	1000	47.0	[]	[]	[8.069761, 13.4313965]	[84, 124]	[]	[96486565, 96486605]
685_1634	chr17	35560677	35561077	+	1000	194.0	[6.7294865]	[136]	[7.764154, 5.768612, 10.321111]	[65, 106, 113]	[35560906]	[35560835, 35560876, 35560883]
685_16340	chr2	112707521	112707921	+	1000	47.0	[]	[]	[6.6159906]	[107]	[]	[112707728]
685_16341	chr2	118940382	118940782	+	1000	47.0	[]	[]	[18.789831, 9.946175, 8.438179]	[117, 125, 133]	[]	[118940589, 118940597, 118940605]
685_16342	chr2	127295053	127295453	+	1000	47.0	[13.67664]	[105]	[]	[]	[127295257]	[]
685_16343	chr2	168851740	168852140	+	1000	47.0	[]	[]	[7.61982, 6.8836493]	[80, 98]	[]	[168851914, 168851932]
685_16344	chr2	178246061	178246461	+	1000	47.0	[]	[]	[8.944277]	[116]	[]	[178246269]
685_16345	chr2	189363554	189363954	+	1000	47.0	[16.525896, 10.325579]	[104, 110]	[]	[]	[189363754, 189363760]	[]
685_16346	chr2	189522517	189522917	+	1000	47.0	[]	[]	[15.016564]	[101]	[]	[189522718]
685_16347	chr2	191020320	191020720	+	1000	47.0	[]	[]	[8.212988]	[103]	[]	[191020521]
685_16348	chr2	200749923	200750323	+	1000	47.0	[]	[]	[16.093534]	[102]	[]	[200750123]
685_16349	chr2	218257462	218257862	+	810	47.0	[13.998178, 8.640502, 8.8955555, 8.777324]	[102, 108, 128, 147]	[]	[]	[218257664, 218257670, 218257690, 218257709]	[]
685_1635	chr17	68438000	68438400	+	1000	194.0	[12.126314]	[101]	[]	[]	[68438199]	[]
685_16350	chr2	222709203	222709603	+	1000	47.0	[6.4983416]	[117]	[]	[]	[222709416]	[]
685_16351	chr20	3539715	3540115	+	1000	47.0	[15.923084, 6.140787]	[121, 135]	[]	[]	[3539920, 3539934]	[]
685_16352	chr20	3802496	3802896	+	1000	47.0	[]	[]	[12.460047, 13.515328, 6.044058, 6.612373, 7.7959146]	[94, 100, 105, 113, 118]	[]	[3802688, 3802694, 3802699, 3802707, 3802712]
685_16353	chr20	13009571	13009971	+	1000	47.0	[5.7077255, 21.247185]	[80, 86]	[]	[]	[13009750, 13009756]	[]
685_16354	chr20	38646184	38646584	+	1000	47.0	[9.80749]	[104]	[7.171321]	[127]	[38646386]	[38646409]
685_16355	chr20	45975168	45975568	+	1000	47.0	[6.128565]	[109]	[17.231827]	[99]	[45975367]	[45975357]
685_16356	chr20	46631165	46631565	+	1000	47.0	[13.913665, 7.0942583]	[92, 113]	[]	[]	[46631355, 46631376]	[]
685_16357	chr20	47150772	47151172	+	1000	47.0	[15.432899]	[88]	[]	[]	[47150957]	[]
685_16358	chr20	47352986	47353386	+	1000	47.0	[]	[]	[8.325482, 7.726816]	[100, 124]	[]	[47353181, 47353205]
685_16359	chr20	47417108	47417508	+	1000	47.0	[]	[]	[8.325482]	[127]	[]	[47417328]
685_1636	chr19	38317133	38317533	+	1000	194.0	[6.163338]	[75]	[12.346961, 12.004153]	[99, 105]	[38317308]	[38317332, 38317338]
685_16360	chr20	49219131	49219531	+	1000	47.0	[10.853437]	[130]	[]	[]	[49219340]	[]
685_16361	chr20	52127299	52127699	+	1000	47.0	[]	[]	[12.491907, 6.8851695, 8.873736, 10.678571]	[102, 121, 131, 158]	[]	[52127492, 52127511, 52127521, 52127548]
685_16362	chr20	57605005	57605405	+	1000	47.0	[18.476559]	[91]	[5.8993163]	[124]	[57605192]	[57605225]
685_16363	chr20	62664245	62664645	+	1000	47.0	[]	[]	[7.052101, 10.212694]	[107, 167]	[]	[62664417, 62664477]
685_16364	chr21	28884450	28884850	+	1000	47.0	[]	[]	[12.993834]	[102]	[]	[28884644]
685_16365	chr21	31729592	31729992	+	1000	47.0	[]	[]	[15.584859]	[114]	[]	[31729805]
685_16366	chr21	39313433	39313833	+	1000	47.0	[10.135949]	[117]	[]	[]	[39313650]	[]
685_16367	chr21	42028075	42028475	+	1000	47.0	[]	[]	[11.44761]	[116]	[]	[42028284]
685_16368	chr22	19767909	19768309	+	733	47.0	[7.776754, 8.875865, 10.723547]	[67, 103, 159]	[7.884387]	[88]	[19768060, 19768096, 19768152]	[19768081]
685_1637	chr2	183125847	183126247	+	1000	194.0	[]	[]	[8.244522, 9.095055, 5.809823, 8.42839, 7.594542, 17.568464]	[68, 72, 76, 88, 92, 100]	[]	[183126014, 183126018, 183126022, 183126034, 183126038, 183126046]
685_16371	chr22	22877545	22877945	+	1000	47.0	[]	[]	[9.254727, 8.007853]	[205, 210]	[]	[22877765, 22877770]
685_16372	chr22	22970935	22971335	+	1000	47.0	[7.874324]	[133]	[]	[]	[22971168]	[]
685_16373	chr22	23110147	23110547	+	1000	47.0	[12.827295]	[95]	[]	[]	[23110342]	[]
685_16374	chr22	23186896	23187296	+	1000	47.0	[]	[]	[11.931093]	[149]	[]	[23187129]
685_16375	chr22	23227187	23227587	+	1000	47.0	[9.505382]	[104]	[]	[]	[23227381]	[]
685_16376	chr22	35102633	35103033	+	1000	47.0	[13.780756]	[86]	[]	[]	[35102817]	[]
685_16377	chr22	36447653	36448053	+	1000	47.0	[16.822435]	[94]	[]	[]	[36447845]	[]
685_16379	chr22	39953871	39954271	+	1000	47.0	[12.708427]	[91]	[]	[]	[39954062]	[]
685_1638	chr3	38135593	38135993	+	1000	194.0	[]	[]	[9.403288, 11.800333, 11.800333]	[61, 89, 147]	[]	[38135746, 38135774, 38135832]
685_16381	chr22	40636660	40637060	+	1000	47.0	[7.789524]	[100]	[10.55283]	[138]	[40636831]	[40636869]
685_16382	chr22	43200245	43200645	+	1000	47.0	[]	[]	[13.515328]	[96]	[]	[43200440]
685_16383	chr22	46476445	46476845	+	1000	47.0	[15.29632]	[66]	[]	[]	[46476611]	[]
685_16384	chr3	9976358	9976758	+	1000	47.0	[]	[]	[12.959262]	[94]	[]	[9976550]
685_16385	chr3	11225744	11226144	+	1000	47.0	[14.2998905, 16.50427]	[88, 133]	[]	[]	[11225908, 11225953]	[]
685_16386	chr3	11671751	11672151	+	1000	47.0	[]	[]	[10.362724, 6.0568867, 16.918556]	[68, 71, 90]	[]	[11671917, 11671920, 11671939]
685_16387	chr3	15065197	15065597	+	1000	47.0	[]	[]	[6.90213]	[195]	[]	[15065433]
685_16388	chr3	31508546	31508946	+	1000	47.0	[6.5899515, 19.177654]	[118, 124]	[]	[]	[31508757, 31508763]	[]
685_16389	chr3	33856095	33856495	+	1000	47.0	[18.191957, 7.3512588]	[120, 162]	[]	[]	[33856303, 33856345]	[]
685_1639	chr5	544029	544429	+	1000	194.0	[]	[]	[15.304919, 13.235388, 16.122425]	[94, 100, 106]	[]	[544220, 544226, 544232]
685_16390	chr3	38746588	38746988	+	1000	47.0	[]	[]	[18.38044]	[103]	[]	[38746788]
685_16391	chr3	41705843	41706243	+	1000	47.0	[]	[]	[10.148292]	[143]	[]	[41706049]
685_16392	chr3	44974604	44975004	+	1000	47.0	[]	[]	[16.751482]	[104]	[]	[44974806]
685_16393	chr3	46541865	46542265	+	1000	47.0	[]	[]	[8.263793]	[105]	[]	[46542062]
685_16394	chr3	49556519	49556919	+	1000	47.0	[]	[]	[12.340329]	[120]	[]	[49556723]
685_16396	chr3	52770943	52771343	+	1000	47.0	[]	[]	[9.981759]	[96]	[]	[52771131]
685_16397	chr3	71065451	71065851	+	1000	47.0	[]	[]	[11.603651]	[97]	[]	[71065642]
685_16398	chr3	72895166	72895566	+	1000	47.0	[]	[]	[11.999505]	[97]	[]	[72895363]
685_16399	chr3	100084411	100084811	+	1000	47.0	[17.944551]	[89]	[]	[]	[100084600]	[]
685_164	chr8	43056082	43056482	+	1000	415.0	[16.122425, 10.196176]	[89, 108]	[]	[]	[43056271, 43056290]	[]
685_1640	chr5	154859416	154859816	+	1000	194.0	[16.171165]	[100]	[]	[]	[154859610]	[]
685_16400	chr3	101686677	101687077	+	1000	47.0	[10.116524]	[159]	[13.080549]	[96]	[101686922]	[101686859]
685_16401	chr3	107366729	107367129	+	1000	47.0	[9.196765, 10.478038]	[81, 89]	[10.804173, 12.830725]	[117, 155]	[107366902, 107366910]	[107366938, 107366976]
685_16402	chr3	115239800	115240200	+	1000	47.0	[6.8857064, 15.939508]	[109, 117]	[]	[]	[115240003, 115240011]	[]
685_16403	chr3	118544336	118544736	+	1000	47.0	[12.16336]	[110]	[]	[]	[118544536]	[]
685_16404	chr3	124780628	124781028	+	1000	47.0	[16.122425, 10.193784]	[103, 125]	[6.320068, 11.660165]	[59, 69]	[124780823, 124780845]	[124780779, 124780789]
685_16405	chr3	131026617	131027017	+	1000	47.0	[]	[]	[10.9027405]	[103]	[]	[131026813]
685_16406	chr3	132817912	132818312	+	1000	47.0	[6.207182, 9.697777]	[81, 158]	[]	[]	[132818076, 132818153]	[]
685_16407	chr3	138842438	138842838	+	595	47.0	[]	[]	[15.824801, 5.752192]	[100, 118]	[]	[138842627, 138842645]
685_16408	chr3	157667491	157667891	+	1000	47.0	[]	[]	[13.417666]	[130]	[]	[157667703]
685_16409	chr3	158768326	158768726	+	1000	47.0	[6.3189178]	[109]	[5.7552567]	[91]	[158768527]	[158768509]
685_1641	chr6	42407473	42407873	+	1000	194.0	[]	[]	[15.240896, 5.63818, 10.153982]	[112, 140, 145]	[]	[42407679, 42407707, 42407712]
685_16410	chr3	170690338	170690738	+	1000	47.0	[9.461178, 10.059961]	[63, 111]	[]	[]	[170690491, 170690539]	[]
685_16411	chr3	171462866	171463266	+	1000	47.0	[16.332783, 11.635236]	[100, 106]	[]	[]	[171463055, 171463061]	[]
685_16412	chr3	183868774	183869174	+	1000	47.0	[]	[]	[11.270833]	[102]	[]	[183868969]
685_16413	chr3	185387625	185388025	+	1000	47.0	[9.6342325, 7.101303, 18.345798]	[106, 128, 136]	[9.192955]	[150]	[185387827, 185387849, 185387857]	[185387871]
685_16414	chr3	196268733	196269133	+	1000	47.0	[13.049875]	[98]	[]	[]	[196268923]	[]
685_16415	chr4	2383187	2383587	+	1000	47.0	[9.9410925]	[102]	[10.036533]	[72]	[2383387]	[2383357]
685_16416	chr4	2702760	2703160	+	1000	47.0	[]	[]	[15.87502]	[102]	[]	[2702960]
685_16417	chr4	6929826	6930226	+	1000	47.0	[12.566154, 7.2240877]	[108, 134]	[]	[]	[6930028, 6930054]	[]
685_16418	chr4	7156827	7157227	+	1000	47.0	[10.657835]	[101]	[]	[]	[7157028]	[]
685_16419	chr4	25159789	25160189	+	1000	47.0	[]	[]	[12.643705]	[96]	[]	[25159985]
685_1642	chr6	135183732	135184132	+	1000	194.0	[10.18448, 19.618229]	[73, 95]	[]	[]	[135183900, 135183922]	[]
685_16420	chr4	25912160	25912560	+	1000	47.0	[13.515328]	[103]	[]	[]	[25912361]	[]
685_16421	chr4	53371077	53371477	+	1000	47.0	[7.0309734, 9.014181, 6.1026216, 10.743874]	[85, 87, 90, 127]	[]	[]	[53371237, 53371239, 53371242, 53371279]	[]
685_16422	chr4	55545641	55546041	+	1000	47.0	[6.282712, 8.743255, 7.1536]	[121, 140, 146]	[]	[]	[55545846, 55545865, 55545871]	[]
685_16423	chr4	70704412	70704812	+	1000	47.0	[5.6838493, 6.260261]	[66, 113]	[]	[]	[70704576, 70704623]	[]
685_16425	chr4	78658058	78658458	+	968	47.0	[]	[]	[8.398369, 11.429118, 6.06911]	[100, 104, 139]	[]	[78658234, 78658238, 78658273]
685_16426	chr4	98522125	98522525	+	1000	47.0	[18.191957]	[115]	[]	[]	[98522332]	[]
685_16427	chr4	123553290	123553690	+	1000	47.0	[]	[]	[5.851272, 16.332783]	[90, 105]	[]	[123553479, 123553494]
685_16428	chr4	128604799	128605199	+	1000	47.0	[8.583959]	[110]	[]	[]	[128605009]	[]
685_16429	chr4	141898328	141898728	+	1000	47.0	[]	[]	[15.609814, 5.9937453, 5.6214643]	[100, 107, 151]	[]	[141898527, 141898534, 141898578]
685_1643	chrX	130139440	130139840	+	1000	194.0	[19.618229]	[103]	[]	[]	[130139638]	[]
685_16430	chr4	146511391	146511791	+	851	47.0	[]	[]	[9.003937, 8.059557, 9.30487]	[86, 127, 131]	[]	[146511566, 146511607, 146511611]
685_16431	chr4	183396377	183396777	+	978	47.0	[]	[]	[8.669998, 12.159406, 11.429118, 8.716821, 7.402447]	[101, 108, 112, 131, 150]	[]	[183396569, 183396576, 183396580, 183396599, 183396618]
685_16432	chr4	186889658	186890058	+	1000	47.0	[16.093534]	[101]	[7.1958246]	[130]	[186889855]	[186889884]
685_16433	chr4	188701934	188702334	+	1000	47.0	[6.8564844, 18.38044]	[107, 113]	[]	[]	[188702132, 188702138]	[]
685_16434	chr5	17282743	17283143	+	1000	47.0	[]	[]	[12.492445, 16.093534, 7.79187]	[53, 103, 137]	[]	[17282894, 17282944, 17282978]
685_16435	chr5	36389197	36389597	+	1000	47.0	[8.166348]	[132]	[9.292104]	[99]	[36389409]	[36389376]
685_16436	chr5	40802849	40803249	+	1000	47.0	[]	[]	[10.206476]	[96]	[]	[40803045]
685_16437	chr5	55173368	55173768	+	1000	47.0	[]	[]	[8.858653, 7.6823845, 6.2219625]	[82, 97, 102]	[]	[55173546, 55173561, 55173566]
685_16438	chr5	56409964	56410364	+	1000	47.0	[5.655677, 5.7645984]	[57, 81]	[16.122425]	[96]	[56410120, 56410144]	[56410159]
685_16439	chr5	69331475	69331875	+	1000	47.0	[12.953557]	[92]	[6.038549]	[103]	[69331667]	[69331678]
685_1644	chr1	1775587	1775987	+	1000	193.0	[]	[]	[15.746171]	[110]	[]	[1775790]
685_16440	chr5	74938559	74938959	+	1000	47.0	[18.345798]	[98]	[]	[]	[74938757]	[]
685_16441	chr5	98929566	98929966	+	1000	47.0	[]	[]	[10.335146]	[89]	[]	[98929751]
685_16442	chr5	103444408	103444808	+	1000	47.0	[]	[]	[14.317017]	[174]	[]	[103444646]
685_16443	chr5	131165055	131165455	+	1000	47.0	[5.785158]	[89]	[]	[]	[131165243]	[]
685_16444	chr5	135069869	135070269	+	1000	47.0	[9.598665, 12.169879]	[88, 126]	[]	[]	[135070051, 135070089]	[]
685_16445	chr5	137660268	137660668	+	1000	47.0	[]	[]	[14.305064]	[101]	[]	[137660466]
685_16446	chr5	145854760	145855160	+	1000	47.0	[7.225625]	[87]	[]	[]	[145854943]	[]
685_16447	chr5	160119486	160119886	+	1000	47.0	[8.360018]	[126]	[]	[]	[160119701]	[]
685_16448	chr5	176537728	176538128	+	1000	47.0	[]	[]	[9.207295]	[97]	[]	[176537922]
685_16449	chr5	177463304	177463704	+	987	47.0	[9.380839, 5.743158]	[90, 128]	[]	[]	[177463494, 177463532]	[]
685_1645	chr1	2290701	2291101	+	1000	193.0	[]	[]	[7.046856]	[126]	[]	[2290927]
685_16450	chr5	179914174	179914574	+	1000	47.0	[16.96647, 9.816965]	[87, 124]	[6.273117]	[140]	[179914359, 179914396]	[179914412]
685_16451	chr6	1137837	1138237	+	1000	47.0	[18.203526]	[108]	[]	[]	[1138038]	[]
685_16452	chr6	4812097	4812497	+	1000	47.0	[]	[]	[5.858715, 15.746171]	[86, 125]	[]	[4812275, 4812314]
685_16453	chr6	5671209	5671609	+	669	47.0	[12.708344]	[94]	[]	[]	[5671403]	[]
685_16454	chr6	10887163	10887563	+	1000	47.0	[8.390525]	[101]	[]	[]	[10887363]	[]
685_16455	chr6	14631270	14631670	+	1000	47.0	[]	[]	[9.401699, 8.093422]	[109, 131]	[]	[14631473, 14631495]
685_16456	chr6	15253258	15253658	+	1000	47.0	[7.947157]	[58]	[10.865822, 6.221715, 6.0012693, 7.8711786]	[109, 115, 125, 150]	[15253410]	[15253461, 15253467, 15253477, 15253502]
685_16458	chr6	16319766	16320166	+	1000	47.0	[13.577303]	[82]	[]	[]	[16319948]	[]
685_16459	chr6	17705909	17706309	+	1000	47.0	[]	[]	[8.798051]	[99]	[]	[17706108]
