#PeakID(python identify_motif.py ./ENCODE_processed_files/CEBPG_idr.fa CEBPG --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
582_13406	chr8	99065404	99065804	+	713	43.5	[10.229654]	[131]	[11.910557]	[130]	[99065623]	[99065622]
582_13409	chr8	124925587	124925987	+	870	43.5	[]	[]	[5.9220176]	[117]	[]	[124925802]
582_13413	chr9	35491871	35492271	+	890	43.5	[9.1358795]	[123]	[6.5180492]	[122]	[35492032]	[35492031]
582_13418	chr9	128678850	128679250	+	861	43.5	[]	[]	[10.902532]	[99]	[]	[128679021]
582_1342	chr6	135147650	135148050	+	1000	128.5	[]	[]	[5.9220176]	[92]	[]	[135147830]
582_13421	chr9	130842053	130842453	+	857	43.5	[5.105493]	[125]	[]	[]	[130842276]	[]
582_13425	chr1	6720220	6720620	+	746	43.0	[5.476728, 11.390118]	[103, 123]	[8.79053, 9.009261]	[102, 122]	[6720393, 6720413]	[6720392, 6720412]
582_13426	chr1	6753269	6753669	+	668	43.0	[6.110713]	[150]	[9.1358795]	[149]	[6753495]	[6753494]
582_13427	chr1	15834088	15834488	+	882	43.0	[]	[]	[5.9165163]	[191]	[]	[15834309]
582_1343	chr7	140165408	140165808	+	1000	128.5	[5.3023133]	[99]	[]	[]	[140165598]	[]
582_13431	chr1	38962475	38962875	+	866	43.0	[6.7822714]	[112]	[]	[]	[38962681]	[]
582_13432	chr1	45095447	45095847	+	878	43.0	[]	[]	[5.9220176]	[92]	[]	[45095635]
582_13433	chr1	61966475	61966875	+	830	43.0	[]	[]	[5.9220176]	[197]	[]	[61966638]
582_13437	chr1	106459413	106459813	+	790	43.0	[11.654483]	[107]	[5.5146813, 14.722584]	[83, 106]	[106459618]	[106459594, 106459617]
582_13441	chr1	119781692	119782092	+	847	43.0	[5.9220176]	[107]	[]	[]	[119781892]	[]
582_13448	chr1	172651057	172651457	+	862	43.0	[7.4599485, 7.947534]	[104, 118]	[5.7790465, 10.1494055]	[103, 117]	[172651210, 172651224]	[172651209, 172651223]
582_13449	chr1	179000208	179000608	+	859	43.0	[5.9220176]	[103]	[]	[]	[179000411]	[]
582_1345	chr1	72917929	72918329	+	1000	128.0	[15.210169]	[105]	[15.617505]	[104]	[72918127]	[72918126]
582_13450	chr1	193395814	193396214	+	882	43.0	[8.601925]	[131]	[11.390118]	[130]	[193396038]	[193396037]
582_13451	chr1	194788133	194788533	+	858	43.0	[6.7882476]	[170]	[]	[]	[194788360]	[]
582_13454	chr1	206503751	206504151	+	865	43.0	[10.229654]	[140]	[11.503221]	[139]	[206503968]	[206503967]
582_13457	chr1	223207304	223207704	+	859	43.0	[5.9220176, 5.2670517]	[98, 142]	[]	[]	[223207493, 223207537]	[]
582_13458	chr1	227880519	227880919	+	831	43.0	[6.186383, 10.636991]	[94, 106]	[11.503221]	[105]	[227880707, 227880719]	[227880718]
582_13459	chr1	238581262	238581662	+	863	43.0	[10.1494055]	[126]	[7.947534]	[125]	[238581475]	[238581474]
582_1346	chr10	13723320	13723720	+	1000	128.0	[15.617505]	[103]	[15.210169]	[102]	[13723521]	[13723520]
582_13460	chr1	246033851	246034251	+	793	43.0	[9.623465]	[90]	[10.481071, 5.4476857]	[89, 111]	[246034039]	[246034038, 246034060]
582_13462	chr1	247357602	247358002	+	886	43.0	[6.4773445]	[90]	[]	[]	[247357788]	[]
582_13464	chr10	12409539	12409939	+	794	43.0	[10.636991]	[166]	[11.910557]	[165]	[12409776]	[12409775]
582_13468	chr10	64067840	64068240	+	850	43.0	[15.12992]	[133]	[11.247147]	[132]	[64068053]	[64068052]
582_1347	chr11	46336753	46337153	+	1000	128.0	[8.601925]	[143]	[9.1358795, 11.390118]	[102, 142]	[46336974]	[46336933, 46336973]
582_13470	chr10	95558597	95558997	+	672	43.0	[10.636991]	[98]	[11.910557, 5.674388]	[97, 125]	[95558787]	[95558786, 95558814]
582_13471	chr10	119682062	119682462	+	842	43.0	[10.1494055]	[111]	[7.540198]	[110]	[119682266]	[119682265]
582_13473	chr11	20387467	20387867	+	838	43.0	[9.494579]	[139]	[8.79053]	[138]	[20387692]	[20387691]
582_13474	chr11	34521304	34521704	+	781	43.0	[5.9220176]	[87]	[6.6965365]	[116]	[34521460]	[34521489]
582_13475	chr11	62112118	62112518	+	879	43.0	[11.009659]	[108]	[10.810822]	[107]	[62112321]	[62112320]
582_13476	chr11	73598981	73599381	+	698	43.0	[11.015635, 7.195584]	[186, 228]	[6.6739683]	[185]	[73599176, 73599218]	[73599175]
582_13477	chr11	95283574	95283974	+	841	43.0	[10.481071]	[89]	[5.5930786, 9.623465]	[68, 88]	[95283760]	[95283739, 95283759]
582_13479	chr11	118373869	118374269	+	844	43.0	[]	[]	[5.9220176]	[102]	[]	[118374066]
582_1348	chr16	19067767	19068167	+	1000	128.0	[10.902532]	[130]	[]	[]	[19067971]	[]
582_13481	chr12	47210773	47211173	+	871	43.0	[5.9220176]	[105]	[]	[]	[47210971]	[]
582_13485	chr12	107671024	107671424	+	728	43.0	[9.216128]	[93]	[10.481071]	[92]	[107671195]	[107671194]
582_13488	chr12	123365627	123366027	+	875	43.0	[5.234844]	[109]	[]	[]	[123365834]	[]
582_1349	chr16	30775845	30776245	+	1000	128.0	[]	[]	[5.9220176]	[101]	[]	[30776042]
582_13490	chr13	48019810	48020210	+	546	43.0	[15.12992]	[100]	[7.229295]	[99]	[48020001]	[48020000]
582_13496	chr13	90656653	90657053	+	771	43.0	[]	[]	[5.7956386]	[197]	[]	[90656854]
582_13498	chr13	91658789	91659189	+	863	43.0	[6.6739683]	[89]	[11.422971]	[88]	[91658962]	[91658961]
582_13501	chr13	93367921	93368321	+	873	43.0	[10.1494055]	[158]	[7.947534]	[157]	[93368164]	[93368163]
582_13502	chr14	20407443	20407843	+	795	43.0	[11.910557]	[147]	[10.636991]	[146]	[20407665]	[20407664]
582_1351	chr19	2270653	2271053	+	1000	128.0	[10.495195]	[115]	[7.3027105]	[71]	[2270862]	[2270818]
582_13510	chr15	40174986	40175386	+	870	43.0	[]	[]	[9.901916]	[174]	[]	[40175214]
582_13511	chr15	50786425	50786825	+	828	43.0	[5.361567, 11.910557]	[99, 144]	[10.636991]	[143]	[50786598, 50786643]	[50786642]
582_13512	chr15	79007166	79007566	+	814	43.0	[8.11434, 8.79053]	[70, 124]	[5.476728]	[123]	[79007320, 79007374]	[79007373]
582_13514	chr16	15077803	15078203	+	875	43.0	[5.9220176]	[117]	[]	[]	[15078015]	[]
582_13517	chr16	32807160	32807560	+	876	43.0	[]	[]	[6.095848]	[182]	[]	[32807350]
582_13518	chr16	46853715	46854115	+	857	43.0	[10.636991]	[105]	[11.503221]	[104]	[46853897]	[46853896]
582_1352	chr21	14632377	14632777	+	1000	128.0	[10.229654, 10.229654]	[108, 123]	[5.7037597, 11.910557, 11.910557]	[93, 107, 122]	[14632581, 14632596]	[14632566, 14632580, 14632595]
582_13520	chr17	42367060	42367460	+	889	43.0	[8.601925]	[150]	[11.390118]	[149]	[42367292]	[42367291]
582_13521	chr17	48522986	48523386	+	837	43.0	[15.12992]	[144]	[11.247147]	[143]	[48523210]	[48523209]
582_13522	chr17	49341755	49342155	+	688	43.0	[6.1760974]	[160]	[]	[]	[49342003]	[]
582_13523	chr17	50396140	50396540	+	653	43.0	[9.1358795]	[149]	[6.5180492]	[148]	[50396364]	[50396363]
582_13528	chr18	11955575	11955975	+	891	43.0	[11.654483]	[110]	[15.12992]	[109]	[11955778]	[11955777]
582_13529	chr18	12946747	12947147	+	759	43.0	[6.4773445]	[132]	[]	[]	[12946962]	[]
582_1353	chr22	23205731	23206131	+	1000	128.0	[5.9220176]	[99]	[]	[]	[23205926]	[]
582_13536	chr19	13142695	13143095	+	797	43.0	[]	[]	[10.902532]	[144]	[]	[13142921]
582_1354	chr3	32664526	32664926	+	1000	128.0	[11.192318]	[110]	[15.617505]	[109]	[32664734]	[32664733]
582_13541	chr19	50181097	50181497	+	840	43.0	[10.481071]	[140]	[9.623465]	[139]	[50181320]	[50181319]
582_13542	chr19	57452330	57452730	+	659	43.0	[15.12992]	[101]	[11.654483]	[100]	[57452526]	[57452525]
582_13545	chr2	16487696	16488096	+	641	43.0	[11.503221]	[92]	[10.636991]	[91]	[16487872]	[16487871]
582_13549	chr2	102401619	102402019	+	871	43.0	[5.422971]	[98]	[7.3027105, 6.5180492]	[97, 144]	[102401798]	[102401797, 102401844]
582_1355	chr4	54234200	54234600	+	1000	128.0	[6.374935]	[88]	[]	[]	[54234388]	[]
582_13550	chr2	102527071	102527471	+	760	43.0	[]	[]	[5.9220176]	[131]	[]	[102527287]
582_13552	chr2	120412984	120413384	+	847	43.0	[10.481071]	[120]	[9.623465]	[119]	[120413198]	[120413197]
582_13554	chr2	142747650	142748050	+	883	43.0	[10.636991]	[172]	[11.910557]	[171]	[142747849]	[142747848]
582_1356	chr8	115427481	115427881	+	1000	128.0	[5.7242174]	[149]	[7.947534]	[148]	[115427719]	[115427718]
582_13560	chr2	175999233	175999633	+	788	43.0	[10.481071]	[194]	[9.623465]	[193]	[175999482]	[175999481]
582_13561	chr2	177253136	177253536	+	878	43.0	[6.741709, 6.410001]	[121, 157]	[11.166897, 6.6739683]	[120, 156]	[177253341, 177253377]	[177253340, 177253376]
582_13563	chr2	204325522	204325922	+	728	43.0	[10.481071]	[137]	[9.623465]	[136]	[204325737]	[204325736]
582_13564	chr20	44573278	44573678	+	674	43.0	[11.192318, 10.759561]	[93, 102]	[11.192318, 10.759561]	[92, 101]	[44573445, 44573454]	[44573444, 44573453]
582_13565	chr20	45358218	45358618	+	881	43.0	[7.540198]	[114]	[9.742069]	[113]	[45358428]	[45358427]
582_13566	chr20	45639693	45640093	+	879	43.0	[]	[]	[5.5146813]	[94]	[]	[45639887]
582_13568	chr20	56373883	56374283	+	840	43.0	[9.4143305]	[128]	[5.234844]	[127]	[56374091]	[56374090]
582_1357	chr9	91502894	91503294	+	1000	128.0	[15.617505]	[113]	[15.617505]	[112]	[91503103]	[91503102]
582_13574	chr22	16404796	16405196	+	821	43.0	[9.1358795]	[120]	[6.5180492]	[119]	[16405003]	[16405002]
582_13586	chr22	31159983	31160383	+	715	43.0	[9.006994]	[155]	[]	[]	[31160218]	[]
582_13587	chr22	36881529	36881929	+	817	43.0	[5.9220176]	[105]	[]	[]	[36881729]	[]
582_13588	chr22	50541717	50542117	+	876	43.0	[11.390118]	[108]	[9.009261]	[107]	[50541925]	[50541924]
582_13593	chr3	101823558	101823958	+	704	43.0	[8.601925, 8.79053]	[66, 86]	[11.390118, 5.476728]	[65, 85]	[101823718, 101823738]	[101823717, 101823737]
582_13595	chr3	113643540	113643940	+	873	43.0	[15.617505]	[163]	[15.210169]	[162]	[113643763]	[113643762]
582_13597	chr3	119872796	119873196	+	772	43.0	[]	[]	[5.9220176]	[79]	[]	[119872970]
582_13599	chr3	154977111	154977511	+	850	43.0	[8.601925]	[151]	[11.390118]	[150]	[154977362]	[154977361]
582_13601	chr3	162161577	162161977	+	684	43.0	[10.636991]	[124]	[11.910557]	[123]	[162161787]	[162161786]
582_13602	chr3	197104703	197105103	+	865	43.0	[10.229654]	[133]	[11.910557]	[132]	[197104916]	[197104915]
582_13603	chr4	27019765	27020165	+	847	43.0	[15.12992]	[113]	[11.654483]	[112]	[27019967]	[27019966]
582_13607	chr4	74545526	74545926	+	837	43.0	[7.540198]	[106]	[10.1494055]	[105]	[74545705]	[74545704]
582_13608	chr4	106529331	106529731	+	777	43.0	[7.103873]	[71]	[7.103873, 5.9220176]	[68, 104]	[106529501]	[106529498, 106529534]
582_13609	chr4	139389112	139389512	+	775	43.0	[5.9220176]	[86]	[]	[]	[139389295]	[]
582_1361	chr1	231200341	231200741	+	1000	127.5	[]	[]	[6.409603]	[122]	[]	[231200551]
582_13612	chr5	11998389	11998789	+	857	43.0	[]	[]	[5.9220176]	[124]	[]	[11998593]
582_13614	chr5	32522632	32523032	+	677	43.0	[]	[]	[7.427095]	[166]	[]	[32522879]
582_13617	chr5	62542726	62543126	+	870	43.0	[6.6739683]	[111]	[11.422971]	[110]	[62542929]	[62542928]
582_13619	chr5	110838503	110838903	+	876	43.0	[]	[]	[5.9220176]	[117]	[]	[110838675]
582_1362	chr10	22229357	22229757	+	1000	127.5	[8.601925]	[120]	[11.390118]	[119]	[22229568]	[22229567]
582_13620	chr5	115798327	115798727	+	842	43.0	[5.9220176]	[115]	[]	[]	[115798538]	[]
582_13623	chr5	145129781	145130181	+	879	43.0	[10.636991]	[99]	[11.910557]	[98]	[145129976]	[145129975]
582_13624	chr5	146223196	146223596	+	865	43.0	[15.617505]	[96]	[10.604535]	[95]	[146223368]	[146223367]
582_13625	chr5	159901782	159902182	+	858	43.0	[5.9220176]	[101]	[]	[]	[159901975]	[]
582_13627	chr5	175040486	175040886	+	571	43.0	[5.9220176]	[110]	[]	[]	[175040694]	[]
582_13631	chr6	27672987	27673387	+	596	43.0	[6.1760974]	[166]	[]	[]	[27673192]	[]
582_13635	chr6	82217819	82218219	+	646	43.0	[11.247147]	[110]	[10.704732]	[109]	[82218021]	[82218020]
582_13636	chr6	107515916	107516316	+	880	43.0	[11.166897]	[106]	[11.166897]	[105]	[107516112]	[107516111]
582_1364	chr13	52203810	52204210	+	1000	127.5	[6.8953743, 5.9220176]	[124, 135]	[5.830307]	[123]	[52204018, 52204029]	[52204017]
582_13642	chr6	160975561	160975961	+	772	43.0	[5.3023133, 9.742069]	[53, 99]	[7.947534]	[98]	[160975714, 160975760]	[160975759]
582_13645	chr7	13092230	13092630	+	698	43.0	[7.947534]	[105]	[9.742069]	[104]	[13092387]	[13092386]
582_13646	chr7	27271412	27271812	+	847	43.0	[11.247147]	[97]	[14.722584]	[96]	[27271591]	[27271590]
582_13647	chr7	79339195	79339595	+	886	43.0	[5.9220176]	[98]	[]	[]	[79339391]	[]
582_13648	chr7	84675764	84676164	+	596	43.0	[9.006994]	[132]	[5.234844]	[131]	[84675967]	[84675966]
582_13649	chr7	95675627	95676027	+	672	43.0	[10.1494055]	[144]	[7.947534]	[143]	[95675834]	[95675833]
582_1365	chr13	97259920	97260320	+	1000	127.5	[5.9220176]	[112]	[]	[]	[97260125]	[]
582_13653	chr7	121404339	121404739	+	774	43.0	[11.910557]	[123]	[10.636991]	[122]	[121404533]	[121404532]
582_13654	chr7	128710553	128710953	+	852	43.0	[5.476728, 10.902532]	[85, 105]	[8.79053]	[84]	[128710722, 128710742]	[128710721]
582_13656	chr7	133614247	133614647	+	878	43.0	[10.636991]	[91]	[11.910557]	[90]	[133614428]	[133614427]
582_13658	chr7	134898270	134898670	+	879	43.0	[5.5146813]	[80]	[]	[]	[134898443]	[]
582_13659	chr7	135171361	135171761	+	864	43.0	[5.468101]	[133]	[5.198277]	[132]	[135171554]	[135171553]
582_1366	chr15	81155684	81156084	+	1000	127.5	[5.468101, 7.103873]	[103, 123]	[9.216128, 6.0291443]	[102, 122]	[81155861, 81155881]	[81155860, 81155880]
582_13660	chr7	135536186	135536586	+	750	43.0	[7.4599485]	[129]	[6.186383]	[128]	[135536412]	[135536411]
582_13662	chr7	135917646	135918046	+	822	43.0	[]	[]	[5.9220176]	[110]	[]	[135917846]
582_13666	chr7	143136947	143137347	+	839	43.0	[7.947534]	[108]	[10.1494055]	[107]	[143137140]	[143137139]
582_13668	chr7	157212103	157212503	+	883	43.0	[5.9220176]	[98]	[]	[]	[157212296]	[]
582_13670	chr8	10235000	10235400	+	707	43.0	[5.9220176]	[137]	[]	[]	[10235227]	[]
582_13671	chr8	19512390	19512790	+	865	43.0	[5.9220176]	[102]	[]	[]	[19512590]	[]
582_13672	chr8	29525771	29526171	+	896	43.0	[6.6739683]	[105]	[11.422971]	[104]	[29525956]	[29525955]
582_13673	chr8	63806189	63806589	+	873	43.0	[5.5822563, 11.910557]	[86, 100]	[10.636991]	[99]	[63806374, 63806388]	[63806387]
582_13674	chr8	64595268	64595668	+	695	43.0	[]	[]	[5.9220176]	[114]	[]	[64595443]
582_13676	chr8	70610066	70610466	+	839	43.0	[]	[]	[5.9220176]	[110]	[]	[70610271]
582_13678	chr8	89355054	89355454	+	760	43.0	[11.910557]	[96]	[10.636991]	[95]	[89355246]	[89355245]
582_13679	chr8	89838805	89839205	+	767	43.0	[10.229654]	[139]	[11.503221]	[138]	[89839037]	[89839036]
582_13680	chr8	95147532	95147932	+	861	43.0	[5.9220176]	[88]	[]	[]	[95147709]	[]
582_13682	chr8	104759643	104760043	+	885	43.0	[5.163814]	[131]	[]	[]	[104759864]	[]
582_13683	chr8	107877120	107877520	+	882	43.0	[]	[]	[5.9220176]	[104]	[]	[107877322]
582_13688	chr9	41248119	41248519	+	845	43.0	[10.636991]	[75]	[11.910557, 5.4289308]	[74, 150]	[41248289]	[41248288, 41248364]
582_13690	chr9	130446066	130446466	+	782	43.0	[11.910557]	[108]	[10.636991]	[107]	[130446270]	[130446269]
582_13692	chrUn_GL000216v2	148126	148526	+	872	43.0	[7.3027105]	[131]	[5.830307]	[130]	[148306]	[148305]
582_13693	chrUn_KI270538v1	81034	81434	+	864	43.0	[5.7790465]	[138]	[]	[]	[81228]	[]
582_13698	chrX	71456809	71457209	+	866	43.0	[]	[]	[5.9220176]	[108]	[]	[71457008]
582_13699	chrX	106874023	106874423	+	749	43.0	[7.3027105]	[118]	[5.830307]	[117]	[106874239]	[106874238]
582_13700	chrX	123964060	123964460	+	731	43.0	[11.422971]	[77]	[6.9977837, 6.6739683]	[64, 76]	[123964226]	[123964213, 123964225]
582_13703	chr1	24609886	24610286	+	627	42.5	[5.9220176]	[199]	[]	[]	[24610120]	[]
582_13705	chr1	28178161	28178561	+	869	42.5	[5.9220176]	[93]	[]	[]	[28178318]	[]
582_13707	chr1	30061817	30062217	+	852	42.5	[]	[]	[5.9220176]	[109]	[]	[30062017]
582_13714	chr1	53017144	53017544	+	856	42.5	[]	[]	[9.197866]	[173]	[]	[53017321]
582_13715	chr1	60487930	60488330	+	800	42.5	[10.636991]	[115]	[11.910557]	[114]	[60488126]	[60488125]
582_13717	chr1	103170585	103170985	+	859	42.5	[14.722584, 10.1494055]	[93, 144]	[11.247147]	[92]	[103170774, 103170825]	[103170773]
582_13719	chr1	108861575	108861975	+	871	42.5	[11.009659]	[92]	[7.4599485, 10.810822]	[67, 91]	[108861755]	[108861730, 108861754]
582_1372	chr8	102653495	102653895	+	1000	127.5	[7.947534]	[109]	[10.1494055]	[108]	[102653668]	[102653667]
582_13720	chr1	109919230	109919630	+	809	42.5	[11.009659]	[92]	[10.403485]	[91]	[109919422]	[109919421]
582_13721	chr1	113373636	113374036	+	864	42.5	[5.9220176]	[140]	[]	[]	[113373843]	[]
582_13722	chr1	113670619	113671019	+	742	42.5	[5.9220176]	[138]	[]	[]	[113670847]	[]
582_13724	chr1	143719976	143720376	+	748	42.5	[6.377147]	[116]	[]	[]	[143720171]	[]
582_13725	chr1	147808019	147808419	+	837	42.5	[10.229654]	[103]	[11.503221]	[102]	[147808208]	[147808207]
582_13729	chr1	173661265	173661665	+	763	42.5	[]	[]	[5.9220176]	[119]	[]	[173661467]
582_1373	chr11	95512804	95513204	+	1000	127.0	[10.636991, 10.3232355]	[79, 150]	[11.910557, 7.046636]	[78, 149]	[95512963, 95513034]	[95512962, 95513033]
582_13731	chr1	182181010	182181410	+	869	42.5	[11.422971]	[160]	[6.6739683]	[159]	[182181246]	[182181245]
582_13738	chr1	231594091	231594491	+	857	42.5	[10.636991]	[139]	[11.910557]	[138]	[231594313]	[231594312]
582_1374	chr12	54098629	54099029	+	1000	127.0	[15.210169]	[106]	[15.617505]	[105]	[54098828]	[54098827]
582_13740	chr1	238870756	238871156	+	691	42.5	[10.759561]	[105]	[10.759561]	[104]	[238870940]	[238870939]
582_13742	chr10	12200890	12201290	+	838	42.5	[6.5180492, 5.172857]	[92, 102]	[9.1358795]	[91]	[12201080, 12201090]	[12201079]
582_13743	chr10	25683277	25683677	+	544	42.5	[5.7037597, 11.910557]	[89, 137]	[10.636991]	[136]	[25683456, 25683504]	[25683503]
582_13747	chr10	68623966	68624366	+	788	42.5	[6.7822714]	[109]	[]	[]	[68624154]	[]
582_13749	chr10	73251657	73252057	+	689	42.5	[9.197866]	[131]	[9.494579]	[130]	[73251861]	[73251860]
582_1375	chr13	93310636	93311036	+	1000	127.0	[]	[]	[5.9220176]	[101]	[]	[93310837]
582_13750	chr10	93436948	93437348	+	818	42.5	[11.422971]	[96]	[6.6739683]	[95]	[93437143]	[93437142]
582_13751	chr10	110221745	110222145	+	869	42.5	[]	[]	[6.9395094]	[115]	[]	[110221953]
582_13752	chr10	117454490	117454890	+	821	42.5	[5.9220176]	[111]	[]	[]	[117454692]	[]
582_13757	chr11	11836809	11837209	+	856	42.5	[6.208951, 10.636991]	[95, 118]	[11.910557]	[117]	[11836992, 11837015]	[11837014]
582_13758	chr11	12066182	12066582	+	853	42.5	[7.485369]	[122]	[10.636991]	[121]	[12066402]	[12066401]
582_13765	chr12	42961500	42961900	+	879	42.5	[5.9220176]	[108]	[]	[]	[42961706]	[]
582_1377	chr19	55281155	55281555	+	1000	127.0	[]	[]	[5.9220176]	[107]	[]	[55281355]
582_13770	chr12	109780489	109780889	+	857	42.5	[15.210169]	[106]	[15.210169]	[105]	[109780693]	[109780692]
582_13771	chr12	111437781	111438181	+	672	42.5	[]	[]	[10.495195]	[127]	[]	[111437990]
582_13772	chr12	111788410	111788810	+	713	42.5	[6.6965365]	[128]	[]	[]	[111788580]	[]
582_13774	chr12	119008272	119008672	+	844	42.5	[6.266632, 6.266632]	[72, 114]	[11.015635, 11.015635]	[71, 113]	[119008443, 119008485]	[119008442, 119008484]
582_13775	chr12	121160049	121160449	+	778	42.5	[10.902532]	[107]	[]	[]	[121160205]	[]
582_13779	chr13	89401132	89401532	+	634	42.5	[7.947534]	[127]	[10.1494055]	[126]	[89401330]	[89401329]
582_1378	chr22	37728191	37728591	+	1000	127.0	[]	[]	[10.902532]	[95]	[]	[37728386]
582_13780	chr13	89805425	89805825	+	865	42.5	[]	[]	[9.742069]	[240]	[]	[89805672]
582_13785	chr13	91343212	91343612	+	848	42.5	[5.094671]	[175]	[]	[]	[91343443]	[]
582_13788	chr13	92582524	92582924	+	857	42.5	[6.186383]	[180]	[]	[]	[92582734]	[]
582_13789	chr13	92657522	92657922	+	857	42.5	[11.910557]	[104]	[5.62402]	[103]	[92657717]	[92657716]
582_1379	chr4	168411584	168411984	+	1000	127.0	[]	[]	[5.9220176]	[95]	[]	[168411777]
582_13790	chr13	93268517	93268917	+	804	42.5	[]	[]	[8.710281]	[135]	[]	[93268704]
582_13792	chr14	68247801	68248201	+	869	42.5	[11.503221]	[166]	[10.636991]	[165]	[68248044]	[68248043]
582_13793	chr14	96731546	96731946	+	851	42.5	[10.1494055]	[96]	[7.947534]	[95]	[96731741]	[96731740]
582_13799	chr15	64647338	64647738	+	772	42.5	[7.046636]	[146]	[10.3232355]	[145]	[64647561]	[64647560]
582_138	chr12	46430431	46430831	+	1000	286.0	[]	[]	[5.9220176]	[100]	[]	[46430631]
582_13803	chr16	3620493	3620893	+	631	42.5	[10.1494055]	[74]	[7.947534]	[73]	[3620665]	[3620664]
582_13804	chr16	3924760	3925160	+	810	42.5	[10.229654]	[105]	[11.910557]	[104]	[3924958]	[3924957]
582_13809	chr16	68220678	68221078	+	804	42.5	[8.601925]	[110]	[11.390118]	[109]	[68220872]	[68220871]
582_13811	chr16	80355358	80355758	+	808	42.5	[7.4599485]	[89]	[6.186383]	[88]	[80355546]	[80355545]
582_13812	chr16	81123134	81123534	+	868	42.5	[8.710281]	[119]	[5.9388933]	[118]	[81123351]	[81123350]
582_13816	chr16	88306706	88307106	+	876	42.5	[10.229654]	[127]	[11.910557]	[126]	[88306914]	[88306913]
582_13817	chr17	50942827	50943227	+	770	42.5	[]	[]	[5.9220176]	[115]	[]	[50943036]
582_13821	chr17	80755932	80756332	+	766	42.5	[]	[]	[5.9220176]	[92]	[]	[80756124]
582_13823	chr18	6007103	6007503	+	623	42.5	[9.901916]	[91]	[9.197866]	[90]	[6007292]	[6007291]
582_13826	chr18	24825425	24825825	+	878	42.5	[5.9220176]	[95]	[]	[]	[24825617]	[]
582_13828	chr18	58667659	58668059	+	824	42.5	[]	[]	[5.5146813]	[154]	[]	[58667872]
582_13829	chr18	69592593	69592993	+	873	42.5	[5.9220176, 7.3027105]	[100, 137]	[5.830307]	[136]	[69592789, 69592826]	[69592825]
582_1383	chr9	32554127	32554527	+	1000	127.0	[15.12992]	[101]	[11.247147]	[100]	[32554326]	[32554325]
582_13830	chr19	14118633	14119033	+	871	42.5	[9.216128]	[111]	[10.073735]	[110]	[14118821]	[14118820]
582_13832	chr19	20110478	20110878	+	681	42.5	[]	[]	[5.9220176]	[107]	[]	[20110674]
582_13835	chr2	9640329	9640729	+	807	42.5	[]	[]	[5.9220176]	[113]	[]	[9640537]
582_13836	chr2	24692620	24693020	+	855	42.5	[10.1494055]	[117]	[7.947534]	[116]	[24692828]	[24692827]
582_13839	chr2	30420943	30421343	+	838	42.5	[]	[]	[5.5822563]	[194]	[]	[30421189]
582_13844	chr2	54077256	54077656	+	667	42.5	[10.636991]	[93]	[6.8975863]	[92]	[54077425]	[54077424]
582_13846	chr2	72747289	72747689	+	877	42.5	[5.9220176]	[117]	[9.197866]	[56]	[72747504]	[72747443]
582_13847	chr2	72827489	72827889	+	865	42.5	[10.1494055]	[86]	[7.947534]	[85]	[72827674]	[72827673]
582_13848	chr2	85704069	85704469	+	871	42.5	[7.947534]	[99]	[10.1494055]	[98]	[85704236]	[85704235]
582_13849	chr2	100940299	100940699	+	745	42.5	[6.0291443]	[140]	[]	[]	[100940462]	[]
582_1385	chr1	204190143	204190543	+	1000	126.5	[14.722584]	[106]	[11.247147]	[105]	[204190345]	[204190344]
582_13850	chr2	113241018	113241418	+	728	42.5	[]	[]	[5.6703434]	[153]	[]	[113241236]
582_13851	chr2	127224125	127224525	+	558	42.5	[]	[]	[5.9220176]	[101]	[]	[127224300]
582_13852	chr2	156728370	156728770	+	870	42.5	[10.1494055]	[103]	[7.947534]	[102]	[156728567]	[156728566]
582_13853	chr2	157827275	157827675	+	681	42.5	[]	[]	[6.4424567]	[169]	[]	[157827476]
582_13856	chr2	175690007	175690407	+	871	42.5	[6.616287, 5.476728]	[181, 193]	[]	[]	[175690232, 175690244]	[]
582_13859	chr2	190335198	190335598	+	863	42.5	[10.229654]	[59]	[11.910557]	[58]	[190335351]	[190335350]
582_13860	chr2	201126218	201126618	+	672	42.5	[7.485369]	[116]	[6.2118034, 5.3594403]	[115, 132]	[201126427]	[201126426, 201126443]
582_13864	chr2	216597719	216598119	+	743	42.5	[5.9220176]	[127]	[]	[]	[216597915]	[]
582_13865	chr2	228015736	228016136	+	875	42.5	[]	[]	[5.5146813, 5.9220176]	[104, 128]	[]	[228015931, 228015955]
582_13867	chr20	20466531	20466931	+	805	42.5	[]	[]	[5.5146813]	[100]	[]	[20466720]
582_13868	chr20	34441473	34441873	+	597	42.5	[5.9220176]	[115]	[]	[]	[34441643]	[]
582_13871	chr21	14363837	14364237	+	649	42.5	[6.6739683, 5.3427215]	[75, 84]	[11.422971]	[74]	[14364000, 14364009]	[14363999]
582_13874	chr21	40625992	40626392	+	751	42.5	[15.210169]	[102]	[15.210169]	[101]	[40626182]	[40626181]
582_13877	chr22	21655377	21655777	+	811	42.5	[9.009261]	[180]	[11.390118]	[179]	[21655561]	[21655560]
582_13878	chr22	21810051	21810451	+	780	42.5	[10.073735]	[206]	[]	[]	[21810287]	[]
