#PeakID(python scan_motif.py ./ENCODE_processed_files/ARID2_idr.fa ARID2 --motif_path ./motifs/ --distance 50  --cutoff --size 400)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
652_17373	chr1	27235163	27235563	+	1000	37.0	[]	[]	[6.5447836]	[94]	[]	[27235350]
652_17375	chr1	30791214	30791614	+	564	37.0	[6.5447836, 6.5447836]	[145, 224]	[]	[]	[30791378, 30791457]	[]
652_17378	chr1	32242224	32242624	+	654	37.0	[6.5447836]	[74]	[]	[]	[32242395]	[]
652_17382	chr1	40875961	40876361	+	940	37.0	[6.5447836]	[190]	[]	[]	[40876160]	[]
652_17383	chr1	41160507	41160907	+	1000	37.0	[8.236117, 6.5447836]	[92, 146]	[]	[]	[41160682, 41160736]	[]
652_17384	chr1	42766702	42767102	+	557	37.0	[6.5447836]	[94]	[]	[]	[42766862]	[]
652_17391	chr1	51487645	51488045	+	998	37.0	[6.5447836]	[78]	[]	[]	[51487805]	[]
652_17392	chr1	51736198	51736598	+	815	37.0	[11.127059]	[76]	[]	[]	[51736352]	[]
652_17398	chr1	91501270	91501670	+	937	37.0	[6.5447836]	[145]	[]	[]	[91501510]	[]
652_17399	chr1	92708414	92708814	+	965	37.0	[8.236117]	[93]	[6.5447836]	[177]	[92708570]	[92708654]
652_17400	chr1	100459504	100459904	+	827	37.0	[]	[]	[6.5447836]	[67]	[]	[100459664]
652_17401	chr1	100894468	100894868	+	952	37.0	[]	[]	[6.5447836]	[123]	[]	[100894628]
652_17402	chr1	100896306	100896706	+	967	37.0	[]	[]	[6.5447836]	[205]	[]	[100896530]
652_17403	chr1	101071533	101071933	+	1000	37.0	[]	[]	[6.5447836]	[114]	[]	[101071729]
652_17405	chr1	109218514	109218914	+	984	37.0	[]	[]	[8.236117]	[133]	[]	[109218722]
652_17409	chr1	113874465	113874865	+	978	37.0	[6.6472974]	[221]	[]	[]	[113874701]	[]
652_17414	chr1	151783493	151783893	+	909	37.0	[]	[]	[6.5447836]	[142]	[]	[151783710]
652_17420	chr1	161506810	161507210	+	1000	37.0	[6.5447836, 6.5447836]	[129, 163]	[]	[]	[161507025, 161507059]	[]
652_17421	chr1	161642665	161643065	+	991	37.0	[]	[]	[6.5447836]	[145]	[]	[161642848]
652_17422	chr1	162386313	162386713	+	1000	37.0	[]	[]	[11.127059]	[124]	[]	[162386479]
652_17425	chr1	167821286	167821686	+	1000	37.0	[]	[]	[6.5447836]	[208]	[]	[167821495]
652_1743	chr1	30768855	30769255	+	1000	74.5	[6.5447836]	[149]	[]	[]	[30769100]	[]
652_17434	chr1	182359670	182360070	+	970	37.0	[6.5447836]	[165]	[]	[]	[182359845]	[]
652_17435	chr1	182791630	182792030	+	782	37.0	[]	[]	[8.236117]	[176]	[]	[182791843]
652_17436	chr1	197180283	197180683	+	816	37.0	[9.98438]	[142]	[]	[]	[197180521]	[]
652_17444	chr1	222643844	222644244	+	734	37.0	[]	[]	[6.5447836]	[121]	[]	[222644045]
652_17445	chr1	223845022	223845422	+	975	37.0	[]	[]	[6.5447836]	[60]	[]	[223845178]
652_17450	chr1	233665877	233666277	+	986	37.0	[]	[]	[6.9436774]	[185]	[]	[233666077]
652_17451	chr1	234600499	234600899	+	1000	37.0	[11.127059]	[222]	[]	[]	[234600736]	[]
652_17459	chr10	14889392	14889792	+	843	37.0	[6.5447836]	[142]	[13.202995]	[108]	[14889598]	[14889564]
652_1746	chr1	156096594	156096994	+	1000	74.5	[]	[]	[6.5447836]	[147]	[]	[156096841]
652_17460	chr10	17599083	17599483	+	791	37.0	[6.5447836]	[71]	[]	[]	[17599240]	[]
652_17462	chr10	25493130	25493530	+	874	37.0	[13.202995]	[201]	[11.127059]	[183]	[25493368]	[25493350]
652_17469	chr10	49180778	49181178	+	995	37.0	[6.5447836]	[129]	[]	[]	[49180964]	[]
652_17470	chr10	50234222	50234622	+	985	37.0	[6.5447836]	[172]	[]	[]	[50234452]	[]
652_17471	chr10	50586440	50586840	+	905	37.0	[6.5447836]	[92]	[]	[]	[50586610]	[]
652_17474	chr10	69327603	69328003	+	781	37.0	[6.5447836]	[99]	[8.236117]	[191]	[69327757]	[69327849]
652_17482	chr10	79083228	79083628	+	877	37.0	[8.236117]	[206]	[]	[]	[79083464]	[]
652_17484	chr10	80769802	80770202	+	913	37.0	[6.5447836]	[108]	[]	[]	[80770006]	[]
652_17485	chr10	86899672	86900072	+	896	37.0	[6.5447836]	[139]	[]	[]	[86899903]	[]
652_17492	chr11	6439021	6439421	+	1000	37.0	[11.127059]	[174]	[]	[]	[6439270]	[]
652_17493	chr11	7986666	7987066	+	1000	37.0	[6.5447836]	[104]	[]	[]	[7986869]	[]
652_17498	chr11	36097344	36097744	+	924	37.0	[9.98438]	[217]	[]	[]	[36097580]	[]
652_17499	chr11	46117775	46118175	+	1000	37.0	[6.5447836]	[122]	[6.5447836, 11.127059]	[113, 174]	[46117970]	[46117961, 46118022]
652_17501	chr11	59616010	59616410	+	1000	37.0	[]	[]	[6.5447836, 6.5447836]	[89, 148]	[]	[59616196, 59616255]
652_17502	chr11	59857493	59857893	+	915	37.0	[]	[]	[6.5447836]	[176]	[]	[59857691]
652_17507	chr11	64207627	64208027	+	809	37.0	[]	[]	[6.5447836]	[87]	[]	[64207802]
652_17515	chr11	74492796	74493196	+	845	37.0	[]	[]	[6.5447836, 6.5447836]	[111, 116]	[]	[74492989, 74492994]
652_1752	chr12	47837571	47837971	+	1000	74.5	[]	[]	[6.5447836]	[138]	[]	[47837808]
652_17524	chr11	119067319	119067719	+	998	37.0	[]	[]	[6.5447836]	[140]	[]	[119067534]
652_17530	chr12	8078346	8078746	+	970	37.0	[13.202995, 6.5447836]	[169, 180]	[]	[]	[8078586, 8078597]	[]
652_17536	chr12	50167572	50167972	+	783	37.0	[]	[]	[6.5447836]	[168]	[]	[50167810]
652_1754	chr16	69754770	69755170	+	1000	74.5	[]	[]	[6.5447836]	[145]	[]	[69755008]
652_17546	chr12	93177603	93178003	+	898	37.0	[]	[]	[6.5447836, 6.5447836]	[202, 207]	[]	[93177836, 93177841]
652_17548	chr12	104598501	104598901	+	1000	37.0	[]	[]	[11.127059, 6.5447836]	[163, 168]	[]	[104598711, 104598716]
652_17554	chr12	118345422	118345822	+	1000	37.0	[]	[]	[6.5447836]	[150]	[]	[118345592]
652_17557	chr12	121711775	121712175	+	997	37.0	[11.127059]	[107]	[]	[]	[121711971]	[]
652_17560	chr12	123713325	123713725	+	1000	37.0	[6.5447836]	[136]	[6.5447836]	[143]	[123713529]	[123713536]
652_17565	chr13	91329447	91329847	+	945	37.0	[6.5447836]	[162]	[]	[]	[91329654]	[]
652_17566	chr13	91337678	91338078	+	865	37.0	[6.5447836]	[162]	[6.5447836]	[192]	[91337870]	[91337900]
652_17568	chr13	93249771	93250171	+	948	37.0	[]	[]	[6.5447836]	[156]	[]	[93249974]
652_17569	chr13	107850996	107851396	+	1000	37.0	[]	[]	[6.5447836]	[93]	[]	[107851151]
652_17572	chr14	24297573	24297973	+	1000	37.0	[]	[]	[6.9436774]	[76]	[]	[24297740]
652_17574	chr14	58171025	58171425	+	891	37.0	[6.5447836, 6.5447836]	[99, 104]	[]	[]	[58171221, 58171226]	[]
652_17578	chr14	81464464	81464864	+	982	37.0	[]	[]	[7.1368794]	[84]	[]	[81464645]
652_17581	chr14	103314986	103315386	+	629	37.0	[6.5447836, 6.5447836]	[108, 113]	[]	[]	[103315194, 103315199]	[]
652_17586	chr15	35557498	35557898	+	927	37.0	[]	[]	[8.236117]	[102]	[]	[35557699]
652_17589	chr15	42275667	42276067	+	993	37.0	[]	[]	[6.5447836]	[172]	[]	[42275879]
652_17592	chr15	55168399	55168799	+	740	37.0	[6.5447836]	[164]	[]	[]	[55168637]	[]
652_17593	chr15	55405640	55406040	+	979	37.0	[]	[]	[6.5447836]	[131]	[]	[55405869]
652_17595	chr15	58833786	58834186	+	966	37.0	[6.5447836]	[166]	[]	[]	[58834031]	[]
652_17596	chr15	60359660	60360060	+	996	37.0	[6.5447836]	[146]	[6.5447836]	[66]	[60359896]	[60359816]
652_17597	chr15	65778345	65778745	+	956	37.0	[7.1368794]	[106]	[]	[]	[65778540]	[]
652_17600	chr15	68984145	68984545	+	1000	37.0	[]	[]	[13.202995, 6.5447836]	[103, 153]	[]	[68984311, 68984361]
652_17602	chr15	73504888	73505288	+	1000	37.0	[]	[]	[13.202995, 11.127059, 6.5447836, 11.127059]	[107, 140, 177, 181]	[]	[73505050, 73505083, 73505120, 73505124]
652_17604	chr15	79381042	79381442	+	1000	37.0	[6.5447836]	[133]	[]	[]	[79381258]	[]
652_17606	chr15	84715094	84715494	+	983	37.0	[11.127059]	[80]	[6.5447836]	[97]	[84715271]	[84715288]
652_17617	chr16	24113181	24113581	+	976	37.0	[]	[]	[6.5447836, 6.5447836]	[128, 199]	[]	[24113352, 24113423]
652_17618	chr16	24541436	24541836	+	1000	37.0	[6.5447836, 8.236117, 11.127059]	[103, 114, 180]	[]	[]	[24541599, 24541610, 24541676]	[]
652_17619	chr16	28925641	28926041	+	841	37.0	[6.5447836]	[127]	[11.127059]	[138]	[28925837]	[28925848]
652_17624	chr16	53209413	53209813	+	888	37.0	[6.5447836]	[104]	[]	[]	[53209598]	[]
652_1763	chr22	20852049	20852449	+	1000	74.5	[6.5447836, 6.5447836]	[83, 135]	[]	[]	[20852223, 20852275]	[]
652_17637	chr16	90077548	90077948	+	962	37.0	[]	[]	[6.5447836]	[142]	[]	[90077760]
652_17639	chr17	8186622	8187022	+	994	37.0	[6.5447836]	[102]	[]	[]	[8186818]	[]
652_17640	chr17	28897806	28898206	+	677	37.0	[]	[]	[6.5447836]	[104]	[]	[28898007]
652_17643	chr17	29722229	29722629	+	561	37.0	[6.5447836, 8.236117]	[196, 221]	[]	[]	[29722427, 29722452]	[]
652_17645	chr17	39201151	39201551	+	990	37.0	[]	[]	[6.5447836]	[134]	[]	[39201358]
652_17646	chr17	39903477	39903877	+	869	37.0	[6.5447836]	[162]	[]	[]	[39903725]	[]
652_17652	chr17	55735789	55736189	+	1000	37.0	[]	[]	[6.5447836]	[104]	[]	[55735975]
652_17654	chr17	58711023	58711423	+	858	37.0	[]	[]	[6.5447836]	[126]	[]	[58711190]
652_17656	chr17	64599168	64599568	+	975	37.0	[6.5447836]	[143]	[6.5447836]	[89]	[64599409]	[64599355]
652_17658	chr17	67963198	67963598	+	895	37.0	[6.5447836]	[175]	[]	[]	[67963393]	[]
652_17673	chr18	21914726	21915126	+	878	37.0	[]	[]	[11.127059, 13.202995]	[78, 103]	[]	[21914877, 21914902]
652_17684	chr19	10740855	10741255	+	936	37.0	[8.236117]	[131]	[]	[]	[10741030]	[]
652_17689	chr19	17946242	17946642	+	990	37.0	[6.5447836]	[179]	[]	[]	[17946457]	[]
652_17691	chr19	34345857	34346257	+	803	37.0	[6.5447836]	[147]	[]	[]	[34346076]	[]
652_17694	chr19	38852443	38852843	+	976	37.0	[6.5447836]	[139]	[]	[]	[38852681]	[]
652_17696	chr19	38898787	38899187	+	626	37.0	[6.5447836]	[196]	[]	[]	[38899037]	[]
652_17697	chr19	39401276	39401676	+	564	37.0	[13.202995]	[303]	[]	[]	[39401503]	[]
652_1770	chr6	3732508	3732908	+	1000	74.5	[6.5447836]	[167]	[]	[]	[3732759]	[]
652_17703	chr19	45862361	45862761	+	756	37.0	[13.202995]	[109]	[]	[]	[45862529]	[]
652_17705	chr19	48103019	48103419	+	990	37.0	[]	[]	[6.5447836]	[117]	[]	[48103231]
652_17709	chr19	50649796	50650196	+	994	37.0	[]	[]	[6.5447836]	[152]	[]	[50649955]
652_1771	chr6	10403920	10404320	+	1000	74.5	[6.5447836]	[57]	[]	[]	[10404075]	[]
652_17711	chr19	51339404	51339804	+	1000	37.0	[]	[]	[6.5447836]	[233]	[]	[51339641]
652_17712	chr19	51441037	51441437	+	1000	37.0	[6.5447836]	[172]	[]	[]	[51441228]	[]
652_17714	chr19	52690951	52691351	+	1000	37.0	[]	[]	[6.5447836]	[100]	[]	[52691111]
652_17715	chr19	53102353	53102753	+	972	37.0	[]	[]	[6.5447836, 6.5447836]	[81, 105]	[]	[53102518, 53102542]
652_17720	chr2	6893847	6894247	+	1000	37.0	[6.5447836]	[127]	[]	[]	[6894058]	[]
652_17725	chr2	32721346	32721746	+	987	37.0	[11.127059]	[123]	[13.202995]	[169]	[32721540]	[32721586]
652_17731	chr2	55693811	55694211	+	885	37.0	[11.127059, 6.5447836]	[169, 173]	[]	[]	[55694042, 55694046]	[]
652_17737	chr2	74032163	74032563	+	974	37.0	[]	[]	[6.5447836]	[158]	[]	[74032380]
652_17741	chr2	94221315	94221715	+	1000	37.0	[6.5447836, 6.5447836]	[79, 128]	[]	[]	[94221466, 94221515]	[]
652_17746	chr2	119702850	119703250	+	774	37.0	[]	[]	[6.5447836]	[63]	[]	[119703005]
652_17750	chr2	157233258	157233658	+	923	37.0	[]	[]	[6.5447836, 6.5447836]	[72, 157]	[]	[157233419, 157233504]
652_17752	chr2	171157064	171157464	+	998	37.0	[]	[]	[13.202995]	[179]	[]	[171157282]
652_17753	chr2	171162567	171162967	+	943	37.0	[11.127059]	[156]	[6.5447836]	[189]	[171162745]	[171162778]
652_17755	chr2	173076341	173076741	+	714	37.0	[]	[]	[6.5447836]	[84]	[]	[173076518]
652_17759	chr2	190180107	190180507	+	910	37.0	[]	[]	[6.5447836]	[94]	[]	[190180272]
652_17768	chr20	35601532	35601932	+	968	37.0	[6.5447836]	[126]	[]	[]	[35601749]	[]
652_17774	chr20	38692337	38692737	+	721	37.0	[]	[]	[6.5447836]	[81]	[]	[38692501]
652_17775	chr20	41048709	41049109	+	1000	37.0	[6.5447836, 6.5447836, 6.5447836]	[110, 142, 150]	[]	[]	[41048909, 41048941, 41048949]	[]
652_17784	chr21	35047312	35047712	+	994	37.0	[]	[]	[6.5447836, 6.5447836]	[90, 107]	[]	[35047478, 35047495]
652_17785	chr21	38057615	38058015	+	842	37.0	[]	[]	[6.5447836]	[191]	[]	[38057842]
652_17786	chr21	39312057	39312457	+	659	37.0	[6.5447836]	[103]	[9.98438]	[93]	[39312233]	[39312223]
652_17789	chr22	19617859	19618259	+	978	37.0	[11.127059, 11.127059]	[59, 143]	[]	[]	[19618012, 19618096]	[]
652_1779	chr7	100840437	100840837	+	1000	74.5	[6.5447836]	[158]	[]	[]	[100840678]	[]
652_17791	chr22	19664911	19665311	+	979	37.0	[]	[]	[6.5447836, 6.5447836]	[99, 104]	[]	[19665066, 19665071]
652_17803	chr22	22016731	22017131	+	975	37.0	[6.5447836]	[123]	[]	[]	[22016919]	[]
652_17805	chr22	22056496	22056896	+	1000	37.0	[]	[]	[6.5447836, 11.127059]	[164, 198]	[]	[22056689, 22056723]
652_17808	chr22	22481083	22481483	+	945	37.0	[]	[]	[6.5447836]	[119]	[]	[22481252]
652_1781	chr8	21921988	21922388	+	1000	74.5	[]	[]	[9.98438, 6.5447836]	[76, 87]	[]	[21922157, 21922168]
652_17813	chr22	22949747	22950147	+	939	37.0	[6.5447836]	[167]	[]	[]	[22949923]	[]
652_17820	chr3	4823420	4823820	+	981	37.0	[9.98438]	[157]	[]	[]	[4823643]	[]
652_17824	chr3	14780894	14781294	+	942	37.0	[6.5447836]	[73]	[]	[]	[14781056]	[]
652_17827	chr3	36792330	36792730	+	1000	37.0	[6.5447836]	[70]	[]	[]	[36792496]	[]
652_17828	chr3	39154165	39154565	+	1000	37.0	[]	[]	[6.5447836]	[172]	[]	[39154361]
652_17829	chr3	39208462	39208862	+	1000	37.0	[]	[]	[11.127059]	[166]	[]	[39208701]
652_17830	chr3	39384583	39384983	+	813	37.0	[]	[]	[6.5447836]	[127]	[]	[39384791]
652_17835	chr3	72319161	72319561	+	961	37.0	[]	[]	[13.202995, 6.5447836]	[168, 173]	[]	[72319340, 72319345]
652_17839	chr3	149180216	149180616	+	893	37.0	[]	[]	[6.5447836, 6.5447836]	[165, 177]	[]	[149180399, 149180411]
652_1784	chr9	131137935	131138335	+	1000	74.5	[]	[]	[6.5447836]	[137]	[]	[131138168]
652_17848	chr3	195709712	195710112	+	1000	37.0	[]	[]	[6.5447836]	[168]	[]	[195709934]
652_17852	chr4	2844446	2844846	+	990	37.0	[]	[]	[11.127059]	[101]	[]	[2844637]
652_17862	chr4	81421457	81421857	+	649	37.0	[]	[]	[9.98438]	[141]	[]	[81421680]
652_17867	chr4	122716818	122717218	+	936	37.0	[6.5447836]	[102]	[]	[]	[122717007]	[]
652_17877	chr5	66144878	66145278	+	969	37.0	[]	[]	[11.127059]	[143]	[]	[66145070]
652_17879	chr5	72849649	72850049	+	878	37.0	[6.5447836]	[141]	[]	[]	[72849883]	[]
652_1788	chr1	12658932	12659332	+	1000	74.0	[6.5447836]	[123]	[]	[]	[12659142]	[]
652_17881	chr5	78320464	78320864	+	955	37.0	[]	[]	[6.5447836]	[78]	[]	[78320633]
652_17882	chr5	81751319	81751719	+	624	37.0	[6.5447836]	[144]	[]	[]	[81751474]	[]
652_17884	chr5	90612973	90613373	+	981	37.0	[]	[]	[6.5447836]	[146]	[]	[90613138]
652_17887	chr5	129082230	129082630	+	1000	37.0	[6.5447836, 6.5447836, 6.5447836, 6.5447836, 6.5447836, 13.202995]	[94, 108, 113, 118, 123, 161]	[]	[]	[129082394, 129082408, 129082413, 129082418, 129082423, 129082461]	[]
652_17889	chr5	129767845	129768245	+	1000	37.0	[6.5447836]	[86]	[]	[]	[129768029]	[]
652_17897	chr5	141691306	141691706	+	874	37.0	[]	[]	[6.5447836]	[130]	[]	[141691494]
652_17900	chr5	154759722	154760122	+	1000	37.0	[6.5447836, 6.5447836]	[80, 104]	[]	[]	[154759879, 154759903]	[]
652_17901	chr5	157744667	157745067	+	1000	37.0	[9.212816]	[146]	[]	[]	[157744825]	[]
652_17912	chr6	15131499	15131899	+	968	37.0	[7.1368794]	[138]	[]	[]	[15131732]	[]
652_17920	chr6	26212780	26213180	+	988	37.0	[]	[]	[9.98438]	[113]	[]	[26212938]
652_17923	chr6	30411389	30411789	+	969	37.0	[6.5447836]	[113]	[]	[]	[30411569]	[]
652_17932	chr6	42091420	42091820	+	867	37.0	[6.5447836]	[99]	[]	[]	[42091615]	[]
652_17937	chr6	43807575	43807975	+	860	37.0	[]	[]	[6.9436774]	[232]	[]	[43807825]
652_17942	chr6	70412875	70413275	+	886	37.0	[6.5447836]	[162]	[]	[]	[70413071]	[]
652_17943	chr6	73326591	73326991	+	729	37.0	[6.5447836, 6.5447836]	[55, 95]	[]	[]	[73326742, 73326782]	[]
652_17944	chr6	79672613	79673013	+	985	37.0	[6.5447836]	[141]	[]	[]	[79672851]	[]
652_17951	chr6	134063206	134063606	+	826	37.0	[]	[]	[6.5447836]	[141]	[]	[134063406]
652_17954	chr6	139372687	139373087	+	979	37.0	[6.5447836]	[163]	[]	[]	[139372898]	[]
652_17960	chr7	5575026	5575426	+	947	37.0	[6.9436774]	[197]	[]	[]	[5575256]	[]
652_17961	chr7	5755626	5756026	+	929	37.0	[9.98438]	[154]	[]	[]	[5755852]	[]
652_17963	chr7	12385270	12385670	+	968	37.0	[6.5447836, 11.127059]	[109, 196]	[]	[]	[12385421, 12385508]	[]
652_17965	chr7	16492618	16493018	+	998	37.0	[]	[]	[6.5447836, 6.5447836]	[198, 203]	[]	[16492842, 16492847]
652_17970	chr7	38179550	38179950	+	687	37.0	[6.5447836, 6.5447836]	[121, 138]	[]	[]	[38179706, 38179723]	[]
652_17971	chr7	39721844	39722244	+	1000	37.0	[6.5447836, 11.127059]	[129, 134]	[]	[]	[39722068, 39722073]	[]
652_17974	chr7	64666066	64666466	+	948	37.0	[6.5447836]	[84]	[]	[]	[64666249]	[]
652_17979	chr7	76049219	76049619	+	854	37.0	[13.202995]	[120]	[]	[]	[76049416]	[]
652_1798	chr12	57001392	57001792	+	1000	74.0	[6.5447836]	[149]	[]	[]	[57001630]	[]
652_17990	chr7	106566750	106567150	+	969	37.0	[6.9436774]	[88]	[]	[]	[106566923]	[]
652_18000	chr7	121046977	121047377	+	900	37.0	[8.236117]	[156]	[6.5447836]	[117]	[121047169]	[121047130]
652_18001	chr7	121120817	121121217	+	776	37.0	[6.5447836]	[125]	[]	[]	[121121018]	[]
652_18003	chr7	123719260	123719660	+	1000	37.0	[]	[]	[6.5447836]	[118]	[]	[123719440]
652_18004	chr7	124785171	124785571	+	656	37.0	[6.5447836]	[89]	[]	[]	[124785344]	[]
652_18013	chr7	139101769	139102169	+	996	37.0	[]	[]	[11.127059]	[98]	[]	[139101923]
652_18014	chr7	139339384	139339784	+	999	37.0	[6.5447836, 8.236117]	[165, 222]	[]	[]	[139339558, 139339615]	[]
652_18017	chr7	148697208	148697608	+	994	37.0	[]	[]	[6.5447836]	[115]	[]	[148697423]
652_18019	chr7	149873051	149873451	+	975	37.0	[]	[]	[6.5447836]	[95]	[]	[149873224]
652_18027	chr8	38105777	38106177	+	990	37.0	[]	[]	[9.98438]	[90]	[]	[38105957]
652_18029	chr8	55843905	55844305	+	1000	37.0	[6.5447836]	[145]	[]	[]	[55844063]	[]
652_1803	chr19	1826218	1826618	+	1000	74.0	[6.5447836]	[170]	[]	[]	[1826459]	[]
652_18033	chr8	90167946	90168346	+	993	37.0	[8.236117]	[196]	[]	[]	[90168173]	[]
652_18035	chr8	105772874	105773274	+	949	37.0	[]	[]	[6.5447836]	[177]	[]	[105773095]
652_18036	chr8	120951172	120951572	+	941	37.0	[]	[]	[6.5447836]	[90]	[]	[120951360]
652_18038	chr8	129707895	129708295	+	1000	37.0	[11.127059]	[148]	[]	[]	[129708138]	[]
652_18040	chr8	129938948	129939348	+	761	37.0	[6.6472974]	[113]	[]	[]	[129939153]	[]
652_18042	chr8	144315910	144316310	+	977	37.0	[]	[]	[6.5447836]	[102]	[]	[144316090]
652_18045	chr9	97938110	97938510	+	726	37.0	[]	[]	[11.127059]	[110]	[]	[97938280]
652_1805	chr2	30164995	30165395	+	1000	74.0	[]	[]	[6.5447836]	[110]	[]	[30165190]
652_18052	chr9	116471394	116471794	+	914	37.0	[6.5447836]	[88]	[]	[]	[116471579]	[]
652_18053	chr9	120403244	120403644	+	1000	37.0	[]	[]	[6.9436774]	[166]	[]	[120403451]
652_18063	chr9	128845690	128846090	+	643	37.0	[]	[]	[6.5447836, 8.236117]	[120, 125]	[]	[128845886, 128845891]
652_18066	chr9	133123135	133123535	+	1000	37.0	[]	[]	[11.127059]	[105]	[]	[133123289]
652_18071	chrUn_KI270742v1	17819	18219	+	1000	37.0	[]	[]	[11.127059]	[77]	[]	[17983]
652_1808	chr21	29849629	29850029	+	1000	74.0	[]	[]	[6.5447836]	[196]	[]	[29849869]
652_18080	chrX	154802129	154802529	+	686	37.0	[]	[]	[6.5447836]	[95]	[]	[154802289]
652_18084	chr1	12031140	12031540	+	974	36.5	[6.5447836]	[106]	[]	[]	[12031306]	[]
652_18090	chr1	21791244	21791644	+	967	36.5	[6.5447836, 6.5447836]	[143, 153]	[]	[]	[21791469, 21791479]	[]
652_18092	chr1	26377041	26377441	+	958	36.5	[6.5447836]	[229]	[]	[]	[26377271]	[]
652_18096	chr1	35269725	35270125	+	975	36.5	[8.236117]	[101]	[6.5447836]	[72]	[35269921]	[35269892]
652_18098	chr1	35637159	35637559	+	986	36.5	[]	[]	[6.5447836, 13.202995]	[184, 189]	[]	[35637397, 35637402]
652_18102	chr1	38915439	38915839	+	984	36.5	[11.127059]	[96]	[]	[]	[38915623]	[]
652_18104	chr1	39576533	39576933	+	959	36.5	[]	[]	[11.127059]	[101]	[]	[39576713]
652_18109	chr1	42957261	42957661	+	980	36.5	[6.5447836]	[183]	[]	[]	[42957483]	[]
652_18113	chr1	45574258	45574658	+	800	36.5	[]	[]	[8.236117]	[216]	[]	[45574477]
652_18117	chr1	51732535	51732935	+	959	36.5	[6.5447836]	[235]	[]	[]	[51732782]	[]
652_18122	chr1	70205569	70205969	+	978	36.5	[6.5447836]	[90]	[]	[]	[70205724]	[]
652_18126	chr1	108645800	108646200	+	986	36.5	[6.5447836]	[148]	[]	[]	[108646022]	[]
652_18128	chr1	111030481	111030881	+	865	36.5	[6.5447836]	[161]	[]	[]	[111030731]	[]
652_1813	chr3	170414099	170414499	+	1000	74.0	[9.98438]	[91]	[]	[]	[170414290]	[]
652_18130	chr1	112675794	112676194	+	894	36.5	[6.5447836]	[99]	[]	[]	[112675959]	[]
652_18131	chr1	147245139	147245539	+	961	36.5	[]	[]	[6.5447836]	[120]	[]	[147245319]
652_18133	chr1	150290717	150291117	+	595	36.5	[]	[]	[9.98438]	[108]	[]	[150290912]
652_18135	chr1	154955913	154956313	+	960	36.5	[]	[]	[6.5447836]	[167]	[]	[154956097]
652_18139	chr1	161374379	161374779	+	696	36.5	[8.236117]	[153]	[]	[]	[161374629]	[]
652_18142	chr1	176207653	176208053	+	811	36.5	[6.5447836]	[110]	[]	[]	[176207860]	[]
652_18145	chr1	180527044	180527444	+	974	36.5	[13.202995, 6.5447836, 6.5447836]	[147, 186, 195]	[]	[]	[180527217, 180527256, 180527265]	[]
652_18146	chr1	180853549	180853949	+	762	36.5	[]	[]	[6.5447836]	[107]	[]	[180853753]
652_18148	chr1	183996402	183996802	+	905	36.5	[]	[]	[13.202995]	[203]	[]	[183996649]
652_1815	chr5	10452678	10453078	+	1000	74.0	[6.5447836]	[78]	[]	[]	[10452848]	[]
652_18156	chr1	205588664	205589064	+	807	36.5	[6.5447836]	[75]	[]	[]	[205588833]	[]
652_18159	chr1	206925386	206925786	+	896	36.5	[6.5447836]	[120]	[6.5447836]	[176]	[206925544]	[206925600]
652_18160	chr1	207779082	207779482	+	858	36.5	[]	[]	[13.202995]	[104]	[]	[207779284]
652_18161	chr1	211222414	211222814	+	977	36.5	[]	[]	[13.202995]	[162]	[]	[211222621]
652_18163	chr1	213374289	213374689	+	955	36.5	[6.5447836]	[138]	[]	[]	[213374521]	[]
652_18164	chr1	214123162	214123562	+	985	36.5	[6.5447836]	[98]	[]	[]	[214123341]	[]
652_18167	chr1	224430621	224431021	+	703	36.5	[]	[]	[6.5447836]	[101]	[]	[224430773]
652_1817	chr6	26571575	26571975	+	1000	74.0	[6.5447836]	[190]	[6.5447836]	[162]	[26571813]	[26571785]
652_18173	chr1	246068687	246069087	+	874	36.5	[]	[]	[6.5447836, 6.5447836, 6.5447836]	[140, 152, 159]	[]	[246068877, 246068889, 246068896]
652_18174	chr1	246075099	246075499	+	823	36.5	[8.236117]	[142]	[]	[]	[246075321]	[]
652_18176	chr1	246723703	246724103	+	967	36.5	[6.5447836, 6.5447836]	[121, 128]	[]	[]	[246723895, 246723902]	[]
652_18186	chr10	24617721	24618121	+	969	36.5	[6.5447836]	[94]	[]	[]	[24617914]	[]
652_18191	chr10	43402255	43402655	+	923	36.5	[]	[]	[6.5447836]	[226]	[]	[43402494]
652_18193	chr10	45495827	45496227	+	880	36.5	[6.9436774]	[171]	[6.6472974]	[97]	[45496057]	[45495983]
652_18194	chr10	48396196	48396596	+	935	36.5	[6.5447836]	[101]	[]	[]	[48396395]	[]
652_18195	chr10	50338109	50338509	+	872	36.5	[]	[]	[6.5447836]	[121]	[]	[50338282]
652_18199	chr10	72098775	72099175	+	902	36.5	[6.5447836]	[150]	[]	[]	[72099020]	[]
652_18200	chr10	73781177	73781577	+	958	36.5	[]	[]	[6.5447836]	[198]	[]	[73781378]
652_18201	chr10	75191775	75192175	+	881	36.5	[8.236117]	[176]	[]	[]	[75192017]	[]
652_18202	chr10	77836401	77836801	+	994	36.5	[6.5447836]	[146]	[]	[]	[77836637]	[]
652_18205	chr10	86755335	86755735	+	941	36.5	[]	[]	[6.5447836]	[131]	[]	[86755552]
