#PeakID(python identify_motif.py ./ENCODE_processed_files/KLF1_idr.fa KLF1 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
293_1000	chr10	73246885	73247285	+	1000	67.5	[8.786449, 10.0477295, 8.836867]	[59, 63, 140]	[7.797938]	[76]	[73247042, 73247046, 73247123]	[73247059]
293_2698	chr11	47848174	47848574	+	1000	49.5	[]	[]	[7.9846697, 12.520998, 7.1055546, 7.5088573]	[147, 149, 154, 158]	[]	[47848383, 47848385, 47848390, 47848394]
293_2699	chr14	22871602	22872002	+	1000	49.5	[8.956747]	[143]	[7.1055546, 10.534392]	[86, 90]	[22871822]	[22871765, 22871769]
293_270	chr1	228463565	228463965	+	1000	113.5	[7.5088573]	[113]	[7.0663056]	[86]	[228463771]	[228463744]
293_2700	chr14	50116401	50116801	+	1000	49.5	[10.534392, 7.5088573]	[112, 125]	[]	[]	[50116607, 50116620]	[]
293_2701	chr16	46688689	46689089	+	1000	49.5	[9.09216]	[195]	[]	[]	[46688937]	[]
293_2706	chr18	32091723	32092123	+	1000	49.5	[10.7842245, 6.0706253, 7.5088573]	[85, 100, 118]	[]	[]	[32091905, 32091920, 32091938]	[]
293_271	chr19	19405218	19405618	+	1000	113.5	[7.1055546]	[101]	[7.9705]	[94]	[19405408]	[19405401]
293_2712	chr19	41262208	41262608	+	1000	49.5	[]	[]	[14.252311]	[122]	[]	[41262380]
293_2713	chr19	45442669	45443069	+	1000	49.5	[]	[]	[12.265705]	[161]	[]	[45442848]
293_2714	chr2	27409433	27409833	+	1000	49.5	[7.5940995, 10.534392]	[113, 118]	[]	[]	[27409621, 27409626]	[]
293_2718	chr21	29073499	29073899	+	1000	49.5	[9.09216]	[146]	[]	[]	[29073714]	[]
293_2720	chr22	19713610	19714010	+	1000	49.5	[7.5940995]	[163]	[9.052912]	[134]	[19713819]	[19713790]
293_2733	chr22	22850684	22851084	+	1000	49.5	[]	[]	[6.313181]	[83]	[]	[22850835]
293_2736	chr22	23234694	23235094	+	1000	49.5	[]	[]	[7.662525]	[159]	[]	[23234898]
293_2738	chr3	157500203	157500603	+	1000	49.5	[]	[]	[11.779043, 14.252311]	[102, 119]	[]	[157500396, 157500413]
293_2743	chr6	52503877	52504277	+	1000	49.5	[9.052912, 8.057231]	[151, 164]	[]	[]	[52504105, 52504118]	[]
293_2746	chr6	158819271	158819671	+	1000	49.5	[7.0663056]	[154]	[12.520998]	[219]	[158819428]	[158819493]
293_2748	chr7	121396235	121396635	+	1000	49.5	[7.1055546, 7.0663056]	[122, 206]	[8.956747]	[191]	[121396393, 121396477]	[121396462]
293_2749	chr7	140175370	140175770	+	1000	49.5	[9.577935]	[100]	[]	[]	[140175538]	[]
293_2750	chr8	38938412	38938812	+	1000	49.5	[10.68806]	[152]	[]	[]	[38938652]	[]
293_2751	chr9	97922106	97922506	+	1000	49.5	[7.7586894]	[144]	[]	[]	[97922338]	[]
293_2761	chr1	17441550	17441950	+	1000	49.0	[7.643828]	[139]	[10.823473]	[191]	[17441725]	[17441777]
293_2762	chr1	44631646	44632046	+	1000	49.0	[]	[]	[10.0477295]	[82]	[]	[44631811]
293_2766	chr1	203026028	203026428	+	1000	49.0	[]	[]	[8.956747]	[173]	[]	[203026248]
293_2767	chr1	223244412	223244812	+	1000	49.0	[12.520998]	[92]	[]	[]	[223244603]	[]
293_277	chr7	45111544	45111944	+	1000	113.5	[6.7998433, 7.801938, 9.788544]	[138, 160, 179]	[]	[]	[45111754, 45111776, 45111795]	[]
293_2772	chr11	61967565	61967965	+	1000	49.0	[10.534392]	[92]	[8.956747]	[109]	[61967738]	[61967755]
293_2774	chr11	67288308	67288708	+	1000	49.0	[]	[]	[7.643828, 9.495462]	[108, 114]	[]	[67288496, 67288502]
293_2776	chr12	79935115	79935515	+	1000	49.0	[]	[]	[14.252311]	[107]	[]	[79935319]
293_2779	chr15	40045040	40045440	+	1000	49.0	[12.265705]	[76]	[6.224293]	[110]	[40045201]	[40045235]
293_2781	chr16	2155463	2155863	+	1000	49.0	[7.0663056]	[153]	[]	[]	[2155640]	[]
293_2786	chr17	51260185	51260585	+	1000	49.0	[11.226776]	[119]	[10.534392]	[161]	[51260363]	[51260405]
293_2789	chr19	11435298	11435698	+	1000	49.0	[6.224293]	[188]	[]	[]	[11435541]	[]
293_2793	chr2	26503329	26503729	+	1000	49.0	[]	[]	[7.0663056]	[169]	[]	[26503544]
293_281	chr6	7106652	7107052	+	1000	112.5	[]	[]	[7.5940995, 12.520998]	[83, 148]	[]	[7106814, 7106879]
293_2810	chr22	22870045	22870445	+	1000	49.0	[7.643828]	[126]	[6.224293]	[167]	[22870225]	[22870266]
293_2814	chr3	4741640	4742040	+	1000	49.0	[]	[]	[9.577935]	[156]	[]	[4741828]
293_2817	chr3	128123764	128124164	+	1000	49.0	[12.265705]	[196]	[]	[]	[128124011]	[]
293_2818	chr3	134485800	134486200	+	1000	49.0	[12.265705, 6.253357, 6.253357, 6.253357, 6.253357, 8.956747]	[109, 114, 115, 116, 117, 121]	[7.5940995, 6.313181]	[167, 173]	[134485987, 134485992, 134485993, 134485994, 134485995, 134485999]	[134486045, 134486051]
293_2819	chr3	183447268	183447668	+	1000	49.0	[14.252311]	[192]	[]	[]	[183447463]	[]
293_2821	chr4	75514347	75514747	+	1000	49.0	[8.061124]	[157]	[9.2401705]	[173]	[75514559]	[75514575]
293_2826	chr5	108382120	108382520	+	1000	49.0	[8.836867, 8.956747]	[83, 88]	[8.836867]	[127]	[108382275, 108382280]	[108382319]
293_2827	chr5	115841437	115841837	+	1000	49.0	[]	[]	[8.836867]	[142]	[]	[115841602]
293_283	chr8	38368503	38368903	+	1000	112.5	[7.1046667, 14.252311]	[93, 153]	[]	[]	[38368667, 38368727]	[]
293_2832	chr7	44123575	44123975	+	1000	49.0	[]	[]	[10.534392, 7.782383]	[118, 190]	[]	[44123734, 44123806]
293_2833	chr7	66115323	66115723	+	1000	49.0	[]	[]	[9.495462, 11.779043, 7.5940995, 11.779043]	[67, 119, 121, 127]	[]	[66115485, 66115537, 66115539, 66115545]
293_2834	chr7	92134390	92134790	+	1000	49.0	[12.265705]	[87]	[]	[]	[92134552]	[]
293_284	chr12	124914487	124914887	+	1000	112.0	[14.252311]	[85]	[]	[]	[124914658]	[]
293_2846	chr9	132669677	132670077	+	1000	49.0	[6.313181]	[116]	[]	[]	[132669854]	[]
293_2855	chr1	40691721	40692121	+	1000	48.5	[]	[]	[8.956747]	[157]	[]	[40691922]
293_2856	chr1	43367999	43368399	+	1000	48.5	[9.052912, 7.1055546]	[100, 125]	[]	[]	[43368174, 43368199]	[]
293_2859	chr10	1056398	1056798	+	1000	48.5	[]	[]	[12.520998, 7.591329]	[173, 179]	[]	[1056630, 1056636]
293_2865	chr11	74171112	74171512	+	1000	48.5	[7.5940995]	[151]	[]	[]	[74171359]	[]
293_2866	chr11	125625454	125625854	+	1000	48.5	[6.0706253]	[76]	[]	[]	[125625617]	[]
293_2867	chr14	19372990	19373390	+	1000	48.5	[]	[]	[10.534392]	[87]	[]	[19373174]
293_287	chr3	16264806	16265206	+	1000	112.0	[7.5088573]	[131]	[]	[]	[16265024]	[]
293_2875	chr17	7479871	7480271	+	1000	48.5	[11.779043]	[119]	[]	[]	[7480074]	[]
293_2876	chr17	28711399	28711799	+	1000	48.5	[10.534392]	[60]	[]	[]	[28711555]	[]
293_2877	chr17	28861833	28862233	+	1000	48.5	[]	[]	[12.520998]	[101]	[]	[28862027]
293_288	chr1	203861389	203861789	+	1000	111.5	[]	[]	[10.823473]	[160]	[]	[203861634]
293_2884	chr18	54224528	54224928	+	1000	48.5	[]	[]	[12.265705]	[88]	[]	[54224704]
293_2886	chr19	9584346	9584746	+	1000	48.5	[]	[]	[10.534392]	[134]	[]	[9584577]
293_2887	chr19	13102683	13103083	+	1000	48.5	[]	[]	[10.534392]	[189]	[]	[13102916]
293_2888	chr19	13905943	13906343	+	1000	48.5	[7.0663056]	[77]	[]	[]	[13906096]	[]
293_2889	chr19	35628738	35629138	+	1000	48.5	[]	[]	[14.252311]	[205]	[]	[35628972]
293_2893	chr2	219245361	219245761	+	1000	48.5	[]	[]	[9.09216, 6.224293]	[176, 190]	[]	[219245574, 219245588]
293_2897	chr22	20266823	20267223	+	1000	48.5	[]	[]	[7.9705, 10.68806]	[140, 146]	[]	[20267003, 20267009]
293_290	chr6	110815423	110815823	+	1000	111.5	[7.5940995, 6.7998433, 8.956747]	[82, 88, 129]	[]	[]	[110815580, 110815586, 110815627]	[]
293_2907	chr22	22921168	22921568	+	1000	48.5	[]	[]	[11.779043, 7.5940995]	[144, 164]	[]	[22921355, 22921375]
293_2912	chr3	39180759	39181159	+	1000	48.5	[9.792437]	[144]	[10.534392]	[164]	[39180986]	[39181006]
293_2914	chr3	139389548	139389948	+	1000	48.5	[10.534392]	[159]	[]	[]	[139389737]	[]
293_2916	chr4	1347005	1347405	+	1000	48.5	[]	[]	[10.534392, 6.7998433, 8.057231, 7.5940995, 10.534392]	[184, 189, 217, 223, 241]	[]	[1347199, 1347204, 1347232, 1347238, 1347256]
293_2918	chr4	40311906	40312306	+	1000	48.5	[14.252311]	[65]	[]	[]	[40312065]	[]
293_2921	chr5	112707352	112707752	+	1000	48.5	[]	[]	[10.534392, 14.252311]	[139, 144]	[]	[112707549, 112707554]
293_2923	chr5	160508778	160509178	+	1000	48.5	[10.823473]	[161]	[]	[]	[160509018]	[]
293_2924	chr5	180803598	180803998	+	1000	48.5	[6.7998433, 9.09216]	[77, 121]	[10.0477295]	[160]	[180803750, 180803794]	[180803833]
293_2925	chr5	180810337	180810737	+	1000	48.5	[]	[]	[7.5088573, 8.956747, 6.7998433]	[127, 138, 143]	[]	[180810541, 180810552, 180810557]
293_2928	chr6	31734710	31735110	+	1000	48.5	[]	[]	[7.5940995]	[115]	[]	[31734873]
293_2934	chr7	66740336	66740736	+	1000	48.5	[8.057231]	[143]	[]	[]	[66740510]	[]
293_2939	chr8	96261655	96262055	+	1000	48.5	[10.534392]	[148]	[]	[]	[96261878]	[]
293_2940	chr8	96644800	96645200	+	1000	48.5	[7.846622]	[128]	[]	[]	[96645000]	[]
293_295	chr22	20393745	20394145	+	1000	111.0	[]	[]	[7.5940995]	[150]	[]	[20393980]
293_2950	chr1	35557572	35557972	+	1000	48.0	[]	[]	[7.9846697, 12.520998, 7.9846697, 9.495462, 6.224293]	[136, 138, 142, 144, 170]	[]	[35557762, 35557764, 35557768, 35557770, 35557796]
293_2951	chr1	42658104	42658504	+	1000	48.0	[]	[]	[7.5088573]	[141]	[]	[42658329]
293_2955	chr1	109984512	109984912	+	1000	48.0	[6.0706253, 8.956747]	[107, 119]	[]	[]	[109984701, 109984713]	[]
293_2957	chr1	154957288	154957688	+	1000	48.0	[14.252311, 12.520998]	[95, 115]	[]	[]	[154957476, 154957496]	[]
293_2960	chr1	205631889	205632289	+	1000	48.0	[]	[]	[7.782383, 7.5940995, 7.643828]	[85, 117, 122]	[]	[205632055, 205632087, 205632092]
293_2961	chr1	205749312	205749712	+	1000	48.0	[12.520998, 7.9846697, 7.5088573]	[152, 154, 197]	[8.057231, 10.68806]	[216, 221]	[205749485, 205749487, 205749530]	[205749549, 205749554]
293_2962	chr1	211515497	211515897	+	1000	48.0	[7.0663056]	[124]	[]	[]	[211515708]	[]
293_2963	chr1	229753749	229754149	+	1000	48.0	[7.5940995]	[122]	[10.68806]	[74]	[229753955]	[229753907]
293_2965	chr10	123135067	123135467	+	1000	48.0	[8.956747, 8.956747]	[167, 174]	[]	[]	[123135278, 123135285]	[]
293_2969	chr11	66510408	66510808	+	1000	48.0	[]	[]	[10.534392]	[144]	[]	[66510625]
293_2970	chr11	73182740	73183140	+	1000	48.0	[9.495462]	[139]	[]	[]	[73182954]	[]
293_2973	chr12	107685713	107686113	+	1000	48.0	[9.792437]	[120]	[]	[]	[107685878]	[]
293_2974	chr12	113966194	113966594	+	1000	48.0	[10.7842245]	[164]	[7.801938, 9.09216]	[132, 178]	[113966405]	[113966373, 113966419]
293_2978	chr15	64387532	64387932	+	1000	48.0	[]	[]	[7.0663056]	[86]	[]	[64387718]
293_2979	chr16	3124334	3124734	+	1000	48.0	[7.1055546, 10.534392]	[163, 168]	[]	[]	[3124563, 3124568]	[]
293_298	chr12	107903597	107903997	+	1000	110.0	[12.265705, 12.265705]	[156, 166]	[]	[]	[107903819, 107903829]	[]
293_2980	chr16	11345310	11345710	+	1000	48.0	[]	[]	[7.9705]	[139]	[]	[11345512]
293_2982	chr16	57244955	57245355	+	1000	48.0	[]	[]	[9.2401705]	[148]	[]	[57245178]
293_2986	chr17	64496979	64497379	+	1000	48.0	[10.534392, 8.956747]	[112, 175]	[]	[]	[64497143, 64497206]	[]
293_2990	chr18	3652670	3653070	+	1000	48.0	[8.214792]	[221]	[]	[]	[3652918]	[]
293_2999	chr2	73214049	73214449	+	1000	48.0	[]	[]	[14.252311, 6.0706253]	[103, 123]	[]	[73214208, 73214228]
293_300	chr22	23145234	23145634	+	1000	110.0	[10.534392]	[109]	[]	[]	[23145424]	[]
293_3000	chr2	110212382	110212782	+	1000	48.0	[]	[]	[12.520998, 8.797619]	[137, 142]	[]	[110212592, 110212597]
293_3001	chr2	130181388	130181788	+	1000	48.0	[12.265705]	[173]	[7.0663056]	[188]	[130181618]	[130181633]
293_3002	chr2	178450649	178451049	+	1000	48.0	[7.5940995]	[163]	[10.534392, 7.801938]	[147, 175]	[178450837]	[178450821, 178450849]
293_3025	chr5	138492012	138492412	+	1000	48.0	[7.1055546]	[151]	[]	[]	[138492250]	[]
293_3026	chr5	176388755	176389155	+	1000	48.0	[]	[]	[7.9705]	[135]	[]	[176388980]
293_3027	chr5	179858660	179859060	+	1000	48.0	[10.534392]	[107]	[]	[]	[179858857]	[]
293_3031	chr7	106111822	106112222	+	1000	48.0	[10.68806]	[84]	[]	[]	[106112006]	[]
293_3032	chr8	142403271	142403671	+	1000	48.0	[7.5088573]	[122]	[]	[]	[142403481]	[]
293_3043	chr1	1358584	1358984	+	1000	47.5	[7.9705]	[80]	[8.956747, 7.846622]	[66, 71]	[1358759]	[1358745, 1358750]
293_3056	chr1	108876751	108877151	+	1000	47.5	[]	[]	[7.591329]	[127]	[]	[108876939]
293_306	chr19	2096112	2096512	+	1000	109.0	[7.5940995, 7.9705]	[137, 153]	[]	[]	[2096342, 2096358]	[]
293_3061	chr1	154936509	154936909	+	1000	47.5	[7.801938]	[91]	[]	[]	[154936693]	[]
293_3062	chr1	173868388	173868788	+	1000	47.5	[7.9846697, 8.061124, 8.956747, 8.956747]	[133, 169, 187, 217]	[]	[]	[173868554, 173868590, 173868608, 173868638]	[]
293_3068	chr10	73940619	73941019	+	1000	47.5	[]	[]	[7.9846697]	[186]	[]	[73940857]
293_3071	chr11	65873553	65873953	+	1000	47.5	[6.0706253, 7.1055546]	[106, 117]	[]	[]	[65873740, 65873751]	[]
293_3074	chr12	62260002	62260402	+	1000	47.5	[]	[]	[10.534392]	[162]	[]	[62260209]
293_3075	chr12	131860846	131861246	+	1000	47.5	[7.5940995]	[170]	[]	[]	[131861025]	[]
293_3076	chr14	75278469	75278869	+	1000	47.5	[]	[]	[6.0706253]	[187]	[]	[75278662]
293_3078	chr15	82849482	82849882	+	1000	47.5	[]	[]	[10.534392]	[166]	[]	[82849689]
293_3079	chr16	20806372	20806772	+	1000	47.5	[10.534392]	[145]	[12.265705, 10.68806]	[182, 189]	[20806567]	[20806604, 20806611]
293_3082	chr16	85553384	85553784	+	1000	47.5	[]	[]	[6.0706253]	[70]	[]	[85553543]
293_3083	chr17	49708075	49708475	+	1000	47.5	[]	[]	[7.5940995, 6.0706253, 7.0663056, 9.788544]	[59, 106, 111, 121]	[]	[49708231, 49708278, 49708283, 49708293]
293_3084	chr17	76737249	76737649	+	1000	47.5	[10.534392]	[116]	[7.1055546]	[153]	[76737455]	[76737492]
293_3085	chr17	78840885	78841285	+	1000	47.5	[7.0663056, 6.3597064]	[63, 136]	[]	[]	[78841043, 78841116]	[]
293_3086	chr17	81057098	81057498	+	1000	47.5	[9.495462, 10.7842245]	[131, 176]	[7.5940995]	[143]	[81057255, 81057300]	[81057267]
293_3088	chr17	82886003	82886403	+	1000	47.5	[6.483479]	[140]	[]	[]	[82886203]	[]
293_309	chr10	42638058	42638458	+	1000	108.0	[]	[]	[9.2401705]	[144]	[]	[42638271]
293_3094	chr19	19489322	19489722	+	1000	47.5	[7.2199736]	[96]	[7.846622]	[137]	[19489482]	[19489523]
293_31	chr1	161166361	161166761	+	1000	407.5	[]	[]	[14.252311]	[121]	[]	[161166572]
293_3100	chr2	73926699	73927099	+	1000	47.5	[]	[]	[9.052912]	[108]	[]	[73926904]
293_3103	chr20	36050500	36050900	+	1000	47.5	[]	[]	[8.057231, 9.052912]	[200, 205]	[]	[36050728, 36050733]
293_3104	chr21	25607331	25607731	+	1000	47.5	[7.5088573]	[80]	[]	[]	[25607509]	[]
293_3106	chr21	42666008	42666408	+	1000	47.5	[]	[]	[12.265705, 12.265705, 12.265705]	[64, 83, 103]	[]	[42666170, 42666189, 42666209]
293_312	chr1	44035859	44036259	+	1000	107.5	[]	[]	[10.534392]	[96]	[]	[44036039]
293_3122	chr22	23112396	23112796	+	1000	47.5	[]	[]	[9.052912]	[184]	[]	[23112583]
293_3126	chr22	27726741	27727141	+	1000	47.5	[14.252311, 7.5940995]	[105, 139]	[]	[]	[27726927, 27726961]	[]
293_3128	chr3	41199200	41199600	+	1000	47.5	[10.534392]	[124]	[]	[]	[41199398]	[]
293_3133	chr5	141968966	141969366	+	983	47.5	[]	[]	[7.5088573]	[127]	[]	[141969187]
293_3137	chr6	31862659	31863059	+	1000	47.5	[7.1055546]	[189]	[]	[]	[31862871]	[]
293_3139	chr6	37059297	37059697	+	1000	47.5	[9.577935]	[159]	[]	[]	[37059531]	[]
293_3140	chr6	132512771	132513171	+	1000	47.5	[8.956747]	[156]	[]	[]	[132512985]	[]
293_3142	chr6	151040908	151041308	+	1000	47.5	[]	[]	[14.252311, 10.68806]	[116, 135]	[]	[151041105, 151041124]
293_3147	chr7	99465961	99466361	+	1000	47.5	[8.836867]	[156]	[]	[]	[99466198]	[]
293_3155	chr9	130835873	130836273	+	1000	47.5	[12.520998, 7.9846697]	[143, 145]	[]	[]	[130836101, 130836103]	[]
293_3157	chr9	130892398	130892798	+	1000	47.5	[7.5088573]	[77]	[7.1046667]	[121]	[130892571]	[130892615]
293_3168	chr1	154352605	154353005	+	1000	47.0	[11.779043]	[164]	[]	[]	[154352837]	[]
293_3177	chr12	389126	389526	+	1000	47.0	[7.5088573]	[121]	[]	[]	[389327]	[]
293_3188	chr17	27380996	27381396	+	1000	47.0	[6.7998433, 12.265705, 10.534392]	[87, 127, 155]	[]	[]	[27381179, 27381219, 27381247]	[]
293_3190	chr17	63827325	63827725	+	1000	47.0	[]	[]	[7.9705]	[157]	[]	[63827555]
293_3199	chr19	12947846	12948246	+	1000	47.0	[]	[]	[6.483479, 10.0477295]	[128, 132]	[]	[12948030, 12948034]
293_3201	chr19	17075287	17075687	+	1000	47.0	[8.061124]	[88]	[]	[]	[17075472]	[]
293_3202	chr19	17469303	17469703	+	1000	47.0	[12.265705]	[149]	[7.9846697, 12.520998]	[193, 195]	[17469483]	[17469527, 17469529]
293_3203	chr19	38374464	38374864	+	1000	47.0	[10.534392]	[181]	[7.1055546]	[158]	[38374684]	[38374661]
293_3204	chr19	38850446	38850846	+	1000	47.0	[]	[]	[6.0706253]	[129]	[]	[38850637]
293_3205	chr19	45669057	45669457	+	1000	47.0	[10.534392]	[107]	[]	[]	[45669262]	[]
293_3207	chr2	15591523	15591923	+	1000	47.0	[]	[]	[6.0706253]	[153]	[]	[15591760]
293_321	chr1	229508209	229508609	+	1000	106.5	[]	[]	[7.5940995, 7.0663056]	[77, 100]	[]	[229508382, 229508405]
293_3211	chr2	131092995	131093395	+	1000	47.0	[7.1055546]	[147]	[]	[]	[131093198]	[]
293_3213	chr21	29024623	29025023	+	1000	47.0	[]	[]	[6.313181]	[133]	[]	[29024776]
293_3215	chr22	19753195	19753595	+	1000	47.0	[7.5940995, 8.214792]	[146, 148]	[]	[]	[19753401, 19753403]	[]
293_3228	chr22	22880335	22880735	+	1000	47.0	[]	[]	[10.0477295]	[215]	[]	[22880560]
293_3231	chr3	23916916	23917316	+	1000	47.0	[]	[]	[8.057231]	[114]	[]	[23917103]
293_3232	chr3	49021378	49021778	+	1000	47.0	[12.265705, 12.265705]	[135, 176]	[]	[]	[49021550, 49021591]	[]
293_3237	chr5	74766894	74767294	+	1000	47.0	[9.788544]	[197]	[]	[]	[74767111]	[]
293_324	chr22	46085694	46086094	+	1000	106.5	[10.534392]	[139]	[10.823473]	[162]	[46085902]	[46085925]
293_3241	chr6	33410083	33410483	+	1000	47.0	[7.0663056]	[168]	[]	[]	[33410276]	[]
293_3242	chr6	35452309	35452709	+	1000	47.0	[7.643828]	[130]	[]	[]	[35452505]	[]
293_3247	chr8	22137254	22137654	+	1000	47.0	[12.520998]	[174]	[6.7998433]	[148]	[22137486]	[22137460]
293_325	chr10	11875743	11876143	+	1000	106.0	[]	[]	[12.520998]	[125]	[]	[11875966]
293_3255	chr9	136644395	136644795	+	1000	47.0	[10.534392]	[106]	[9.052912, 8.956747]	[72, 76]	[136644584]	[136644550, 136644554]
293_3257	chr1	842778	843178	+	1000	46.5	[9.792437, 12.520998, 7.5940995]	[104, 165, 172]	[]	[]	[842953, 843014, 843021]	[]
293_3258	chr1	23790806	23791206	+	1000	46.5	[]	[]	[7.662525]	[217]	[]	[23791029]
293_3259	chr1	26178111	26178511	+	1000	46.5	[14.252311]	[134]	[]	[]	[26178339]	[]
293_3260	chr1	26500346	26500746	+	951	46.5	[6.224293]	[161]	[]	[]	[26500514]	[]
293_3266	chr1	156920375	156920775	+	647	46.5	[7.1055546]	[167]	[]	[]	[156920614]	[]
293_3268	chr1	181088602	181089002	+	1000	46.5	[]	[]	[10.823473]	[112]	[]	[181088806]
293_3276	chr11	33161374	33161774	+	1000	46.5	[]	[]	[10.534392, 7.1055546]	[114, 174]	[]	[33161547, 33161607]
293_3279	chr11	65421357	65421757	+	1000	46.5	[]	[]	[14.252311, 6.1098485]	[137, 143]	[]	[65421526, 65421532]
293_3288	chr16	67935474	67935874	+	1000	46.5	[]	[]	[10.534392]	[169]	[]	[67935710]
293_3293	chr17	51121740	51122140	+	1000	46.5	[7.591329, 7.801938]	[119, 125]	[]	[]	[51121952, 51121958]	[]
293_3299	chr19	12874751	12875151	+	1000	46.5	[12.520998]	[181]	[]	[]	[12875000]	[]
293_3305	chr2	101697191	101697591	+	1000	46.5	[7.9705]	[134]	[]	[]	[101697377]	[]
293_3306	chr2	170928879	170929279	+	1000	46.5	[7.5088573]	[198]	[]	[]	[170929098]	[]
293_3309	chr20	35954174	35954574	+	1000	46.5	[]	[]	[7.9846697, 12.520998]	[115, 117]	[]	[35954346, 35954348]
293_331	chr22	23281684	23282084	+	1000	105.0	[]	[]	[7.5940995]	[136]	[]	[23281904]
293_3312	chr20	62237996	62238396	+	1000	46.5	[12.265705, 12.265705]	[90, 140]	[7.5088573]	[79]	[62238178, 62238228]	[62238167]
293_332	chr3	48556972	48557372	+	1000	105.0	[8.057231, 7.5088573]	[103, 116]	[]	[]	[48557156, 48557169]	[]
293_3330	chr3	177357353	177357753	+	1000	46.5	[]	[]	[6.149097, 9.052912]	[131, 149]	[]	[177357581, 177357599]
293_3331	chr4	55853472	55853872	+	1000	46.5	[]	[]	[6.766902]	[180]	[]	[55853718]
293_3332	chr4	185425764	185426164	+	1000	46.5	[]	[]	[10.534392]	[137]	[]	[185425956]
293_3343	chr9	127735066	127735466	+	1000	46.5	[6.7998433]	[199]	[8.786449]	[163]	[127735309]	[127735273]
293_3346	chr9	131160474	131160874	+	1000	46.5	[]	[]	[10.7842245]	[104]	[]	[131160675]
293_3347	chr1	1433141	1433541	+	867	46.0	[]	[]	[12.520998]	[88]	[]	[1433317]
293_3349	chr1	2653879	2654279	+	1000	46.0	[7.643828, 7.5940995, 14.252311]	[101, 141, 181]	[]	[]	[2654044, 2654084, 2654124]	[]
293_3352	chr1	25819715	25820115	+	1000	46.0	[]	[]	[8.061124]	[139]	[]	[25819935]
293_3360	chr1	228174330	228174730	+	1000	46.0	[]	[]	[12.265705, 12.265705, 7.5940995]	[66, 82, 96]	[]	[228174485, 228174501, 228174515]
293_3361	chr1	247210545	247210945	+	1000	46.0	[]	[]	[7.5940995]	[178]	[]	[247210764]
293_3365	chr11	57667659	57668059	+	1000	46.0	[8.836867]	[98]	[12.520998]	[119]	[57667842]	[57667863]
293_3366	chr11	94128621	94129021	+	1000	46.0	[9.09216, 10.534392, 12.265705]	[75, 80, 113]	[]	[]	[94128791, 94128796, 94128829]	[]
293_3367	chr11	108121389	108121789	+	1000	46.0	[]	[]	[7.9705]	[85]	[]	[108121540]
293_3368	chr11	111601882	111602282	+	973	46.0	[]	[]	[9.09216, 7.5088573, 10.534392]	[140, 144, 159]	[]	[111602060, 111602064, 111602079]
293_3370	chr12	54280502	54280902	+	1000	46.0	[]	[]	[7.5088573, 6.0706253]	[129, 159]	[]	[54280659, 54280689]
293_3378	chr16	74368080	74368480	+	1000	46.0	[10.534392]	[145]	[]	[]	[74368315]	[]
293_338	chr1	207321371	207321771	+	1000	104.0	[9.495462, 9.052912]	[109, 127]	[6.766902]	[55]	[207321578, 207321596]	[207321524]
293_3381	chr17	28728565	28728965	+	1000	46.0	[]	[]	[10.534392, 10.0477295]	[156, 172]	[]	[28728742, 28728758]
293_3383	chr17	50200594	50200994	+	1000	46.0	[7.9705]	[125]	[8.057231]	[115]	[50200794]	[50200784]
293_3395	chr2	10057127	10057527	+	1000	46.0	[12.265705]	[77]	[6.483479]	[64]	[10057299]	[10057286]
293_3397	chr2	69975958	69976358	+	1000	46.0	[7.9705]	[79]	[]	[]	[69976117]	[]
293_3405	chr22	21076882	21077282	+	1000	46.0	[14.252311]	[154]	[]	[]	[21077113]	[]
293_3411	chr22	22397312	22397712	+	1000	46.0	[7.846622]	[225]	[]	[]	[22397561]	[]
293_3417	chr22	22901391	22901791	+	1000	46.0	[8.786449]	[172]	[]	[]	[22901590]	[]
293_342	chr17	49739676	49740076	+	1000	103.0	[7.5940995]	[146]	[]	[]	[49739881]	[]
293_3427	chr3	183099309	183099709	+	1000	46.0	[7.5940995, 7.5940995]	[167, 174]	[]	[]	[183099493, 183099500]	[]
293_3429	chr3	196338338	196338738	+	1000	46.0	[10.0477295]	[153]	[]	[]	[196338519]	[]
293_3432	chr4	4248058	4248458	+	1000	46.0	[]	[]	[7.5940995]	[161]	[]	[4248266]
293_3433	chr5	67206907	67207307	+	1000	46.0	[]	[]	[7.5940995, 12.520998]	[101, 133]	[]	[67207089, 67207121]
293_3436	chr6	17600006	17600406	+	1000	46.0	[10.534392]	[142]	[7.591329]	[175]	[17600223]	[17600256]
293_344	chr6	169751529	169751929	+	1000	103.0	[]	[]	[7.846622]	[157]	[]	[169751723]
293_3440	chr6	166342380	166342780	+	1000	46.0	[7.0663056]	[119]	[]	[]	[166342584]	[]
293_3441	chr7	56051292	56051692	+	1000	46.0	[9.09216, 9.2401705, 6.0706253]	[174, 181, 208]	[]	[]	[56051482, 56051489, 56051516]	[]
293_3444	chr7	112206302	112206702	+	1000	46.0	[]	[]	[10.534392]	[174]	[]	[112206552]
293_3449	chr8	10839749	10840149	+	1000	46.0	[]	[]	[7.5088573, 10.534392]	[146, 156]	[]	[10839937, 10839947]
