#PeakID(python scan_motif.py ./ENCODE_processed_files/NFATC3_idr.fa NFATC3 --motif_path ./motifs/ --distance 50  --cutoff --size 400)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
28_14496	chr1	86780878	86781278	+	854	33.0	[7.657809]	[128]	[]	[]	[86781095]	[]
28_14499	chr1	93347130	93347530	+	992	33.0	[]	[]	[7.408826]	[106]	[]	[93347300]
28_1450	chr3	178170601	178171001	+	1000	64.5	[]	[]	[7.657809, 7.408826]	[79, 106]	[]	[178170771, 178170798]
28_14500	chr1	99993142	99993542	+	985	33.0	[10.276439]	[81]	[]	[]	[99993312]	[]
28_14503	chr1	115669027	115669427	+	694	33.0	[10.276439]	[164]	[]	[]	[115669247]	[]
28_14505	chr1	122842488	122842888	+	953	33.0	[]	[]	[7.408826, 10.276439]	[64, 124]	[]	[122842646, 122842706]
28_14507	chr1	155860565	155860965	+	955	33.0	[7.408826]	[138]	[10.276439]	[90]	[155860803]	[155860755]
28_14508	chr1	155933747	155934147	+	956	33.0	[7.408826, 7.657809]	[89, 130]	[]	[]	[155933904, 155933945]	[]
28_1451	chr5	113042782	113043182	+	1000	64.5	[]	[]	[10.276439]	[139]	[]	[113042989]
28_14511	chr1	156752576	156752976	+	947	33.0	[7.657809]	[174]	[]	[]	[156752752]	[]
28_14512	chr1	161131848	161132248	+	882	33.0	[10.276439]	[85]	[]	[]	[161132002]	[]
28_14513	chr1	161307354	161307754	+	890	33.0	[]	[]	[10.276439]	[133]	[]	[161307534]
28_14514	chr1	165773298	165773698	+	968	33.0	[]	[]	[7.657809, 7.657809]	[154, 179]	[]	[165773477, 165773502]
28_14515	chr1	167923953	167924353	+	962	33.0	[7.408826]	[149]	[]	[]	[167924111]	[]
28_14516	chr1	169486292	169486692	+	999	33.0	[]	[]	[10.276439]	[176]	[]	[169486470]
28_14517	chr1	169711831	169712231	+	623	33.0	[10.276439]	[133]	[10.276439]	[204]	[169712009]	[169712080]
28_14520	chr1	174968217	174968617	+	870	33.0	[]	[]	[7.657809, 7.408826]	[82, 152]	[]	[174968395, 174968465]
28_14522	chr1	197928825	197929225	+	898	33.0	[7.0441737]	[92]	[]	[]	[197929007]	[]
28_14527	chr1	205238189	205238589	+	910	33.0	[]	[]	[7.408826]	[140]	[]	[205238367]
28_1453	chr6	28896019	28896419	+	1000	64.5	[]	[]	[7.408826]	[144]	[]	[28896205]
28_14530	chr1	207334209	207334609	+	952	33.0	[]	[]	[7.408826, 7.408826]	[119, 174]	[]	[207334387, 207334442]
28_14532	chr1	207747361	207747761	+	859	33.0	[7.657809]	[133]	[7.408826, 7.657809]	[83, 149]	[207747589]	[207747539, 207747605]
28_14537	chr1	212609968	212610368	+	910	33.0	[7.408826]	[188]	[]	[]	[212610175]	[]
28_14538	chr1	213053384	213053784	+	980	33.0	[7.0441737]	[190]	[]	[]	[213053577]	[]
28_14540	chr1	225998080	225998480	+	890	33.0	[]	[]	[7.408826, 10.276439]	[161, 170]	[]	[225998261, 225998270]
28_14541	chr1	228265124	228265524	+	981	33.0	[7.408826]	[72]	[]	[]	[228265285]	[]
28_14549	chr1	244367722	244368122	+	927	33.0	[]	[]	[7.408826]	[114]	[]	[244367929]
28_1455	chr6	31621319	31621719	+	1000	64.5	[10.276439, 10.276439]	[94, 105]	[]	[]	[31621509, 31621520]	[]
28_14551	chr1	246696434	246696834	+	613	33.0	[10.276439]	[141]	[]	[]	[246696659]	[]
28_14553	chr10	5560227	5560627	+	988	33.0	[]	[]	[7.408826, 10.276439]	[135, 219]	[]	[5560387, 5560471]
28_14554	chr10	7687257	7687657	+	969	33.0	[]	[]	[10.276439]	[102]	[]	[7687456]
28_14555	chr10	11178702	11179102	+	868	33.0	[]	[]	[7.408826]	[179]	[]	[11178933]
28_14557	chr10	15344713	15345113	+	864	33.0	[]	[]	[7.408826]	[241]	[]	[15344961]
28_14559	chr10	22003777	22004177	+	916	33.0	[]	[]	[7.0441737]	[98]	[]	[22003955]
28_1456	chr6	146914014	146914414	+	1000	64.5	[]	[]	[7.408826]	[188]	[]	[146914250]
28_14560	chr10	22624368	22624768	+	988	33.0	[]	[]	[7.657809]	[149]	[]	[22624574]
28_14564	chr10	32951076	32951476	+	976	33.0	[]	[]	[7.408826, 7.657809, 7.408826]	[124, 161, 210]	[]	[32951234, 32951271, 32951320]
28_14566	chr10	50323451	50323851	+	910	33.0	[7.408826]	[169]	[]	[]	[50323692]	[]
28_14573	chr10	72291165	72291565	+	983	33.0	[7.0441737, 7.408826]	[70, 141]	[10.276439]	[151]	[72291323, 72291394]	[72291404]
28_14575	chr10	73713799	73714199	+	857	33.0	[7.0441737, 7.0441737]	[167, 173]	[]	[]	[73713989, 73713995]	[]
28_14578	chr10	120851064	120851464	+	687	33.0	[]	[]	[7.408826, 7.657809, 7.0441737]	[144, 176, 192]	[]	[120851227, 120851259, 120851275]
28_14579	chr10	130138371	130138771	+	541	33.0	[]	[]	[9.601446]	[159]	[]	[130138585]
28_1458	chr7	585358	585758	+	1000	64.5	[9.601446]	[107]	[]	[]	[585564]	[]
28_14589	chr11	32432778	32433178	+	924	33.0	[7.0441737]	[218]	[]	[]	[32432999]	[]
28_1459	chr7	6023896	6024296	+	1000	64.5	[]	[]	[7.657809]	[138]	[]	[6024100]
28_14590	chr11	34050871	34051271	+	957	33.0	[]	[]	[7.408826]	[132]	[]	[34051044]
28_14591	chr11	38336398	38336798	+	897	33.0	[]	[]	[10.276439]	[164]	[]	[38336589]
28_14593	chr11	46273270	46273670	+	782	33.0	[]	[]	[7.408826]	[193]	[]	[46273503]
28_14596	chr11	63680933	63681333	+	815	33.0	[10.276439]	[174]	[7.657809]	[153]	[63681136]	[63681115]
28_14599	chr11	69297484	69297884	+	952	33.0	[7.657809]	[154]	[]	[]	[69297664]	[]
28_146	chr15	92831586	92831986	+	1000	153.5	[7.657809]	[143]	[]	[]	[92831823]	[]
28_1460	chr7	127838876	127839276	+	1000	64.5	[7.657809]	[176]	[]	[]	[127839126]	[]
28_14606	chr11	85648619	85649019	+	985	33.0	[10.276439]	[117]	[7.657809]	[95]	[85648806]	[85648784]
28_14607	chr11	95415901	95416301	+	786	33.0	[]	[]	[7.0441737]	[213]	[]	[95416118]
28_14609	chr11	111446518	111446918	+	884	33.0	[7.408826]	[151]	[]	[]	[111446674]	[]
28_1461	chr8	6734267	6734667	+	1000	64.5	[10.276439, 10.276439]	[114, 164]	[]	[]	[6734461, 6734511]	[]
28_14611	chr11	120337551	120337951	+	909	33.0	[10.276439]	[189]	[]	[]	[120337795]	[]
28_14613	chr12	4153464	4153864	+	919	33.0	[7.408826]	[108]	[]	[]	[4153661]	[]
28_14615	chr12	28542989	28543389	+	921	33.0	[10.276439]	[155]	[]	[]	[28543229]	[]
28_14617	chr12	47307852	47308252	+	623	33.0	[]	[]	[7.657809]	[194]	[]	[47308070]
28_1462	chr9	131165645	131166045	+	1000	64.5	[7.657809]	[131]	[]	[]	[131165874]	[]
28_14622	chr12	53746673	53747073	+	946	33.0	[]	[]	[10.276439]	[118]	[]	[53746853]
28_14623	chr12	54010994	54011394	+	971	33.0	[7.0441737]	[220]	[]	[]	[54011240]	[]
28_14626	chr12	71671739	71672139	+	947	33.0	[]	[]	[7.0441737]	[152]	[]	[71671937]
28_14627	chr12	95215951	95216351	+	853	33.0	[7.408826]	[94]	[]	[]	[95216102]	[]
28_14629	chr12	104576955	104577355	+	1000	33.0	[]	[]	[10.276439]	[153]	[]	[104577160]
28_14630	chr12	104671698	104672098	+	932	33.0	[7.408826]	[120]	[]	[]	[104671909]	[]
28_14634	chr12	116346704	116347104	+	891	33.0	[7.657809]	[118]	[7.408826]	[110]	[116346893]	[116346885]
28_14638	chr12	124883176	124883576	+	870	33.0	[]	[]	[7.408826]	[112]	[]	[124883338]
28_14639	chr13	91381331	91381731	+	801	33.0	[7.408826]	[81]	[]	[]	[91381494]	[]
28_14642	chr13	114004757	114005157	+	827	33.0	[10.276439]	[110]	[7.408826]	[96]	[114004962]	[114004948]
28_14644	chr14	20681476	20681876	+	913	33.0	[7.408826]	[154]	[]	[]	[20681651]	[]
28_14647	chr14	24242814	24243214	+	962	33.0	[7.657809]	[79]	[]	[]	[24242975]	[]
28_14651	chr14	68483930	68484330	+	968	33.0	[7.408826]	[219]	[]	[]	[68484165]	[]
28_14654	chr15	34061894	34062294	+	866	33.0	[7.408826]	[108]	[]	[]	[34062056]	[]
28_14657	chr15	40568885	40569285	+	962	33.0	[7.657809, 7.408826]	[181, 191]	[]	[]	[40569086, 40569096]	[]
28_14658	chr15	40755369	40755769	+	982	33.0	[]	[]	[10.276439]	[141]	[]	[40755605]
28_14659	chr15	41115085	41115485	+	891	33.0	[10.276439]	[188]	[]	[]	[41115324]	[]
28_14663	chr15	44788687	44789087	+	781	33.0	[]	[]	[10.276439]	[166]	[]	[44788927]
28_14670	chr15	65862790	65863190	+	865	33.0	[]	[]	[7.408826]	[195]	[]	[65863020]
28_14673	chr15	75639199	75639599	+	859	33.0	[]	[]	[10.276439]	[150]	[]	[75639439]
28_14674	chr15	79993380	79993780	+	713	33.0	[]	[]	[7.0441737]	[131]	[]	[79993588]
28_14675	chr15	80093774	80094174	+	920	33.0	[]	[]	[10.276439]	[104]	[]	[80093950]
28_14676	chr15	82540236	82540636	+	990	33.0	[]	[]	[7.408826]	[119]	[]	[82540451]
28_14677	chr15	84839166	84839566	+	884	33.0	[10.276439]	[96]	[]	[]	[84839360]	[]
28_14679	chr15	89772892	89773292	+	968	33.0	[]	[]	[7.657809]	[73]	[]	[89773046]
28_14681	chr16	4415320	4415720	+	977	33.0	[]	[]	[7.408826]	[108]	[]	[4415521]
28_14683	chr16	23901838	23902238	+	723	33.0	[]	[]	[7.657809]	[171]	[]	[23902043]
28_14685	chr16	30693839	30694239	+	874	33.0	[7.408826]	[180]	[7.657809]	[110]	[30694060]	[30693990]
28_14686	chr16	30806128	30806528	+	691	33.0	[9.601446, 10.276439, 10.276439]	[96, 147, 164]	[]	[]	[30806305, 30806356, 30806373]	[]
28_1469	chr1	124377027	124377427	+	1000	64.0	[]	[]	[7.408826]	[96]	[]	[124377207]
28_14690	chr16	66553360	66553760	+	977	33.0	[]	[]	[10.276439, 7.408826]	[76, 152]	[]	[66553532, 66553608]
28_14691	chr16	66895167	66895567	+	977	33.0	[]	[]	[7.408826]	[150]	[]	[66895413]
28_14692	chr16	69567358	69567758	+	867	33.0	[7.657809]	[147]	[]	[]	[69567528]	[]
28_14695	chr16	75464758	75465158	+	971	33.0	[]	[]	[10.276439, 7.0441737]	[132, 148]	[]	[75464975, 75464991]
28_1470	chr1	124777995	124778395	+	1000	64.0	[]	[]	[7.408826]	[167]	[]	[124778196]
28_14700	chr17	28727379	28727779	+	835	33.0	[7.408826]	[101]	[]	[]	[28727533]	[]
28_14703	chr17	38864797	38865197	+	998	33.0	[]	[]	[10.276439]	[160]	[]	[38864983]
28_14705	chr17	42310543	42310943	+	1000	33.0	[]	[]	[10.276439]	[86]	[]	[42310694]
28_14706	chr17	42517295	42517695	+	987	33.0	[]	[]	[7.408826]	[190]	[]	[42517505]
28_1471	chr1	125182446	125182846	+	1000	64.0	[7.657809, 7.657809, 10.276439, 7.657809, 7.657809]	[68, 84, 94, 110, 136]	[]	[]	[125182611, 125182627, 125182637, 125182653, 125182679]	[]
28_14710	chr17	48254796	48255196	+	813	33.0	[7.408826]	[140]	[10.276439]	[182]	[48254952]	[48254994]
28_14712	chr17	57365297	57365697	+	972	33.0	[]	[]	[7.408826]	[117]	[]	[57365455]
28_14715	chr17	75393861	75394261	+	877	33.0	[7.408826]	[125]	[]	[]	[75394073]	[]
28_14719	chr18	3541068	3541468	+	988	33.0	[]	[]	[7.408826]	[160]	[]	[3541292]
28_1472	chr1	156816674	156817074	+	1000	64.0	[]	[]	[10.276439]	[93]	[]	[156816866]
28_14721	chr18	3771485	3771885	+	716	33.0	[10.276439]	[97]	[]	[]	[3771644]	[]
28_14722	chr18	6920042	6920442	+	930	33.0	[7.657809]	[93]	[]	[]	[6920224]	[]
28_14724	chr18	9897016	9897416	+	852	33.0	[7.408826, 7.0441737]	[206, 228]	[]	[]	[9897243, 9897265]	[]
28_14725	chr18	11852213	11852613	+	967	33.0	[7.408826]	[157]	[]	[]	[11852412]	[]
28_14726	chr18	23453737	23454137	+	973	33.0	[]	[]	[10.276439]	[124]	[]	[23453936]
28_14727	chr18	70205542	70205942	+	895	33.0	[]	[]	[9.601446]	[107]	[]	[70205734]
28_1473	chr1	169367951	169368351	+	1000	64.0	[]	[]	[10.276439]	[148]	[]	[169368149]
28_14733	chr19	3975391	3975791	+	990	33.0	[7.657809]	[170]	[]	[]	[3975593]	[]
28_14735	chr19	9586555	9586955	+	864	33.0	[]	[]	[10.276439]	[58]	[]	[9586711]
28_14739	chr19	16086373	16086773	+	798	33.0	[]	[]	[7.408826]	[141]	[]	[16086581]
28_1474	chr1	201578147	201578547	+	1000	64.0	[10.276439, 7.0441737]	[126, 193]	[]	[]	[201578324, 201578391]	[]
28_14744	chr19	19063106	19063506	+	894	33.0	[10.276439]	[83]	[]	[]	[19063271]	[]
28_14747	chr19	35441500	35441900	+	945	33.0	[7.0441737]	[120]	[7.408826]	[93]	[35441707]	[35441680]
28_14748	chr19	36035468	36035868	+	987	33.0	[]	[]	[7.408826]	[154]	[]	[36035701]
28_14749	chr19	36489685	36490085	+	924	33.0	[]	[]	[10.276439]	[100]	[]	[36489882]
28_14754	chr19	44849619	44850019	+	969	33.0	[]	[]	[7.408826]	[114]	[]	[44849805]
28_1476	chr1	225999480	225999880	+	1000	64.0	[7.408826]	[107]	[]	[]	[225999682]	[]
28_14764	chr19	51661329	51661729	+	984	33.0	[]	[]	[7.408826]	[181]	[]	[51661565]
28_14769	chr2	27216923	27217323	+	939	33.0	[7.408826]	[148]	[]	[]	[27217159]	[]
28_14772	chr2	46872107	46872507	+	943	33.0	[10.276439]	[171]	[9.601446, 10.276439]	[118, 144]	[46872353]	[46872300, 46872326]
28_14775	chr2	61658813	61659213	+	1000	33.0	[]	[]	[10.276439]	[74]	[]	[61658972]
28_14776	chr2	61889679	61890079	+	984	33.0	[9.601446]	[87]	[]	[]	[61889849]	[]
28_1478	chr1	236352042	236352442	+	1000	64.0	[9.601446]	[83]	[]	[]	[236352209]	[]
28_14781	chr2	70243896	70244296	+	837	33.0	[7.408826]	[97]	[]	[]	[70244080]	[]
28_14787	chr2	113756658	113757058	+	754	33.0	[]	[]	[7.408826]	[139]	[]	[113756897]
28_14788	chr2	144452591	144452991	+	912	33.0	[]	[]	[7.408826]	[151]	[]	[144452814]
28_14790	chr2	149597611	149598011	+	853	33.0	[7.408826]	[134]	[]	[]	[149597819]	[]
28_14792	chr2	167964952	167965352	+	998	33.0	[]	[]	[10.276439]	[192]	[]	[167965158]
28_14794	chr2	171529910	171530310	+	982	33.0	[]	[]	[7.408826]	[114]	[]	[171530110]
28_14795	chr2	178132360	178132760	+	563	33.0	[7.657809]	[67]	[10.276439]	[95]	[178132511]	[178132539]
28_14796	chr2	183034646	183035046	+	883	33.0	[]	[]	[7.657809, 7.408826]	[187, 240]	[]	[183034834, 183034887]
28_14797	chr2	189613279	189613679	+	875	33.0	[]	[]	[10.276439, 7.408826, 7.408826, 7.408826, 7.408826]	[140, 177, 193, 201, 208]	[]	[189613439, 189613476, 189613492, 189613500, 189613507]
28_14799	chr2	191836103	191836503	+	944	33.0	[7.408826]	[233]	[]	[]	[191836344]	[]
28_1480	chr10	42782557	42782957	+	1000	64.0	[9.601446, 9.601446]	[139, 145]	[]	[]	[42782778, 42782784]	[]
28_14800	chr2	201117461	201117861	+	923	33.0	[9.601446]	[128]	[]	[]	[201117643]	[]
28_14801	chr2	201258151	201258551	+	938	33.0	[]	[]	[7.408826]	[206]	[]	[201258366]
28_14803	chr2	203347271	203347671	+	931	33.0	[]	[]	[7.408826, 10.276439]	[172, 186]	[]	[203347505, 203347519]
28_14805	chr2	237923802	237924202	+	920	33.0	[7.408826, 7.408826]	[234, 239]	[]	[]	[237924046, 237924051]	[]
28_14808	chr20	542771	543171	+	925	33.0	[7.0441737]	[85]	[]	[]	[542947]	[]
28_14809	chr20	16729781	16730181	+	997	33.0	[7.408826]	[167]	[]	[]	[16730023]	[]
28_14810	chr20	25237882	25238282	+	959	33.0	[10.276439]	[148]	[]	[]	[25238044]	[]
28_14816	chr20	35145272	35145672	+	963	33.0	[]	[]	[10.276439]	[165]	[]	[35145512]
28_14817	chr20	36746267	36746667	+	894	33.0	[]	[]	[10.276439]	[150]	[]	[36746485]
28_14819	chr20	41047934	41048334	+	975	33.0	[]	[]	[7.657809]	[154]	[]	[41048168]
28_1482	chr11	71928620	71929020	+	1000	64.0	[10.276439]	[180]	[]	[]	[71928836]	[]
28_14823	chr20	49685852	49686252	+	993	33.0	[]	[]	[10.276439]	[217]	[]	[49686096]
28_14826	chr20	53608241	53608641	+	706	33.0	[]	[]	[7.408826]	[118]	[]	[53608450]
28_1483	chr11	86193404	86193804	+	1000	64.0	[]	[]	[7.408826]	[158]	[]	[86193622]
28_14830	chr21	14491248	14491648	+	824	33.0	[7.408826, 10.276439]	[98, 128]	[]	[]	[14491412, 14491442]	[]
28_14832	chr21	32726800	32727200	+	996	33.0	[7.408826]	[144]	[]	[]	[32726957]	[]
28_14833	chr21	34996842	34997242	+	1000	33.0	[10.276439]	[178]	[]	[]	[34997073]	[]
28_14834	chr21	35014254	35014654	+	663	33.0	[7.408826, 10.276439]	[95, 167]	[9.601446]	[179]	[35014411, 35014483]	[35014495]
28_14836	chr21	35504248	35504648	+	986	33.0	[]	[]	[10.276439]	[204]	[]	[35504498]
28_14837	chr21	36630675	36631075	+	990	33.0	[7.408826]	[111]	[7.0441737]	[75]	[36630882]	[36630846]
28_14842	chr21	44871945	44872345	+	957	33.0	[]	[]	[10.276439]	[177]	[]	[44872163]
28_14843	chr21	45517944	45518344	+	853	33.0	[]	[]	[10.276439]	[98]	[]	[45518133]
28_14846	chr22	18075993	18076393	+	830	33.0	[]	[]	[7.657809]	[150]	[]	[18076240]
28_14849	chr22	19371502	19371902	+	967	33.0	[10.276439, 7.408826]	[113, 128]	[7.657809]	[139]	[19371684, 19371699]	[19371710]
28_1485	chr13	107906143	107906543	+	1000	64.0	[]	[]	[7.408826]	[92]	[]	[107906334]
28_14850	chr22	19427509	19427909	+	956	33.0	[7.657809]	[168]	[]	[]	[19427757]	[]
28_14857	chr22	21730032	21730432	+	981	33.0	[10.276439]	[135]	[]	[]	[21730228]	[]
28_1486	chr15	50261113	50261513	+	1000	64.0	[10.276439]	[172]	[]	[]	[50261287]	[]
28_14864	chr22	22542966	22543366	+	836	33.0	[9.601446]	[152]	[]	[]	[22543209]	[]
28_14867	chr22	22751794	22752194	+	861	33.0	[7.408826]	[151]	[]	[]	[22751967]	[]
28_14871	chr22	30591801	30592201	+	981	33.0	[7.408826, 10.276439]	[117, 170]	[]	[]	[30591995, 30592048]	[]
28_14873	chr22	43143431	43143831	+	879	33.0	[]	[]	[7.657809]	[139]	[]	[43143619]
28_14875	chr3	4827712	4828112	+	971	33.0	[]	[]	[7.0441737]	[109]	[]	[4827874]
28_14878	chr3	13485096	13485496	+	970	33.0	[7.408826]	[220]	[]	[]	[13485341]	[]
28_14885	chr3	31532024	31532424	+	985	33.0	[9.601446]	[152]	[]	[]	[31532194]	[]
28_1489	chr17	50933382	50933782	+	1000	64.0	[]	[]	[10.276439]	[140]	[]	[50933608]
28_14893	chr3	129413495	129413895	+	979	33.0	[7.408826]	[218]	[]	[]	[129413745]	[]
28_14896	chr3	142026695	142027095	+	857	33.0	[10.276439]	[147]	[]	[]	[142026846]	[]
28_14897	chr3	143283556	143283956	+	976	33.0	[]	[]	[9.601446]	[112]	[]	[143283763]
28_14898	chr3	150727658	150728058	+	950	33.0	[7.408826]	[112]	[]	[]	[150727861]	[]
28_14901	chr3	168117857	168118257	+	981	33.0	[]	[]	[7.408826]	[78]	[]	[168118034]
28_14904	chr3	172391622	172392022	+	876	33.0	[10.276439]	[129]	[]	[]	[172391849]	[]
28_1491	chr20	37095890	37096290	+	1000	64.0	[7.408826]	[171]	[9.601446]	[201]	[37096092]	[37096122]
28_14912	chr3	198079837	198080237	+	589	33.0	[9.601446]	[104]	[]	[]	[198080016]	[]
28_14914	chr4	6892305	6892705	+	947	33.0	[10.276439]	[181]	[9.601446]	[85]	[6892556]	[6892460]
28_14919	chr4	42657212	42657612	+	954	33.0	[]	[]	[7.408826]	[142]	[]	[42657410]
28_14920	chr4	48187801	48188201	+	958	33.0	[]	[]	[10.276439]	[162]	[]	[48188044]
28_14922	chr4	48504288	48504688	+	545	33.0	[]	[]	[7.408826]	[148]	[]	[48504449]
28_14927	chr4	87017534	87017934	+	993	33.0	[]	[]	[10.276439]	[162]	[]	[87017738]
28_14931	chr4	112170937	112171337	+	922	33.0	[]	[]	[7.408826]	[140]	[]	[112171133]
28_14932	chr4	119211939	119212339	+	845	33.0	[]	[]	[9.601446, 7.408826]	[182, 193]	[]	[119212125, 119212136]
28_14933	chr4	127515217	127515617	+	943	33.0	[]	[]	[7.408826, 9.601446]	[76, 111]	[]	[127515391, 127515426]
28_14934	chr4	128290118	128290518	+	982	33.0	[10.276439]	[174]	[]	[]	[128290327]	[]
28_14937	chr4	153518414	153518814	+	983	33.0	[7.408826]	[235]	[]	[]	[153518656]	[]
28_14942	chr4	169622146	169622546	+	991	33.0	[10.276439, 10.276439, 7.408826]	[102, 127, 133]	[]	[]	[169622339, 169622364, 169622370]	[]
28_14944	chr5	10317946	10318346	+	927	33.0	[7.408826]	[136]	[]	[]	[10318101]	[]
28_14954	chr5	88884420	88884820	+	969	33.0	[10.276439]	[167]	[]	[]	[88884601]	[]
28_14956	chr5	91368684	91369084	+	758	33.0	[]	[]	[7.408826]	[140]	[]	[91368855]
28_14959	chr5	119302936	119303336	+	904	33.0	[7.657809]	[184]	[7.408826, 7.408826]	[111, 119]	[119303172]	[119303099, 119303107]
28_14964	chr5	139273860	139274260	+	986	33.0	[7.408826]	[119]	[]	[]	[139274016]	[]
28_14965	chr5	139294531	139294931	+	962	33.0	[10.276439]	[107]	[]	[]	[139294729]	[]
28_14969	chr5	140699949	140700349	+	726	33.0	[7.408826]	[140]	[]	[]	[140700168]	[]
28_14973	chr5	159206168	159206568	+	958	33.0	[]	[]	[10.276439]	[169]	[]	[159206354]
28_14975	chr5	177025020	177025420	+	961	33.0	[7.657809]	[186]	[]	[]	[177025265]	[]
28_14977	chr5	180106118	180106518	+	895	33.0	[10.276439]	[111]	[]	[]	[180106307]	[]
28_1498	chr22	22954544	22954944	+	1000	64.0	[]	[]	[9.601446]	[95]	[]	[22954725]
28_14981	chr6	8219357	8219757	+	557	33.0	[]	[]	[10.276439]	[77]	[]	[8219526]
28_14982	chr6	12075185	12075585	+	860	33.0	[7.408826, 7.408826]	[138, 143]	[]	[]	[12075396, 12075401]	[]
28_14983	chr6	14046322	14046722	+	982	33.0	[7.408826]	[134]	[]	[]	[14046539]	[]
28_14984	chr6	14776750	14777150	+	923	33.0	[7.408826]	[154]	[]	[]	[14776937]	[]
28_14986	chr6	17870611	17871011	+	983	33.0	[]	[]	[9.601446]	[131]	[]	[17870840]
28_14988	chr6	18034717	18035117	+	980	33.0	[]	[]	[7.0441737]	[238]	[]	[18034958]
28_1499	chr3	4977473	4977873	+	1000	64.0	[10.276439]	[72]	[]	[]	[4977637]	[]
28_14994	chr6	28781308	28781708	+	908	33.0	[]	[]	[7.408826]	[195]	[]	[28781517]
28_14996	chr6	31197751	31198151	+	977	33.0	[9.601446]	[138]	[]	[]	[31197984]	[]
28_14999	chr6	33453919	33454319	+	972	33.0	[7.0441737]	[70]	[10.276439]	[130]	[33454089]	[33454149]
28_15	chr7	16645536	16645936	+	1000	675.0	[]	[]	[9.601446]	[64]	[]	[16645698]
28_1500	chr3	197444223	197444623	+	1000	64.0	[]	[]	[7.0441737]	[153]	[]	[197444409]
28_15000	chr6	35247816	35248216	+	972	33.0	[]	[]	[10.276439]	[136]	[]	[35248031]
28_15003	chr6	42045340	42045740	+	979	33.0	[]	[]	[7.408826, 7.657809]	[97, 148]	[]	[42045535, 42045586]
28_15004	chr6	42702195	42702595	+	975	33.0	[]	[]	[10.276439]	[133]	[]	[42702396]
28_15006	chr6	49662964	49663364	+	983	33.0	[7.408826]	[193]	[]	[]	[49663179]	[]
28_15009	chr6	63574172	63574572	+	901	33.0	[7.408826]	[148]	[]	[]	[63574394]	[]
28_1501	chr4	150302493	150302893	+	1000	64.0	[10.276439, 7.657809]	[74, 79]	[]	[]	[150302654, 150302659]	[]
28_15013	chr6	133923957	133924357	+	851	33.0	[7.408826]	[91]	[]	[]	[133924147]	[]
28_15014	chr6	135075004	135075404	+	864	33.0	[7.408826]	[106]	[]	[]	[135075209]	[]
28_15015	chr6	135231038	135231438	+	918	33.0	[10.276439]	[90]	[]	[]	[135231225]	[]
28_15016	chr6	139475251	139475651	+	995	33.0	[]	[]	[7.0441737]	[165]	[]	[139475458]
28_15017	chr6	139777305	139777705	+	959	33.0	[]	[]	[10.276439]	[151]	[]	[139777508]
28_15018	chr6	143168311	143168711	+	914	33.0	[10.276439]	[195]	[]	[]	[143168549]	[]
28_15019	chr6	145787787	145788187	+	816	33.0	[]	[]	[7.657809]	[137]	[]	[145787950]
28_1502	chr6	26594794	26595194	+	1000	64.0	[7.0441737]	[151]	[7.408826]	[189]	[26594963]	[26595001]
28_15020	chr6	146898944	146899344	+	936	33.0	[7.657809]	[160]	[7.0441737]	[152]	[146899115]	[146899107]
28_15021	chr6	147211998	147212398	+	935	33.0	[]	[]	[7.657809, 10.276439, 7.408826, 7.657809]	[108, 119, 155, 179]	[]	[147212153, 147212164, 147212200, 147212224]
28_15024	chr6	157757985	157758385	+	935	33.0	[]	[]	[7.408826, 7.408826]	[126, 134]	[]	[157758207, 157758215]
28_15029	chr7	2845616	2846016	+	924	33.0	[7.0441737]	[136]	[]	[]	[2845850]	[]
28_15030	chr7	7184029	7184429	+	705	33.0	[]	[]	[7.408826]	[161]	[]	[7184252]
28_15034	chr7	32673123	32673523	+	872	33.0	[7.0441737]	[93]	[]	[]	[32673314]	[]
28_15037	chr7	74650069	74650469	+	973	33.0	[10.276439]	[144]	[]	[]	[74650308]	[]
28_15038	chr7	77530895	77531295	+	975	33.0	[7.408826, 10.276439]	[178, 186]	[]	[]	[77531079, 77531087]	[]
28_15039	chr7	84847854	84848254	+	984	33.0	[7.408826]	[195]	[]	[]	[84848079]	[]
28_15041	chr7	95690467	95690867	+	830	33.0	[]	[]	[10.276439]	[158]	[]	[95690707]
28_15043	chr7	102977482	102977882	+	979	33.0	[]	[]	[7.0441737]	[124]	[]	[102977687]
28_15045	chr7	106281758	106282158	+	993	33.0	[7.408826]	[216]	[]	[]	[106281988]	[]
28_15047	chr7	127393008	127393408	+	785	33.0	[7.408826]	[100]	[]	[]	[127393194]	[]
28_15048	chr7	129225813	129226213	+	960	33.0	[10.276439]	[94]	[]	[]	[129225986]	[]
28_15051	chr7	130903670	130904070	+	980	33.0	[7.0441737]	[176]	[10.276439]	[145]	[130903899]	[130903868]
28_15055	chr7	139500001	139500401	+	972	33.0	[10.276439]	[162]	[7.408826]	[93]	[139500248]	[139500179]
28_15056	chr7	142603775	142604175	+	896	33.0	[7.408826]	[240]	[]	[]	[142604020]	[]
28_15057	chr7	142964632	142965032	+	799	33.0	[7.657809]	[95]	[]	[]	[142964801]	[]
28_15061	chr7	155001036	155001436	+	748	33.0	[7.0441737, 7.0441737]	[154, 169]	[]	[]	[155001233, 155001248]	[]
