#PeakID(python identify_motif.py ./ENCODE_processed_files/EGR1_idr.fa EGR1 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
124_10003	chr22	31084698	31085098	+	1000	64.5	[9.087717]	[114]	[11.022005, 8.912237]	[140, 170]	[31084885]	[31084911, 31084941]
124_16752	chr15	74787802	74788202	+	1000	43.0	[]	[]	[10.904808]	[181]	[]	[74788047]
124_16755	chr15	82750311	82750711	+	1000	43.0	[7.281703]	[204]	[7.0970693]	[188]	[82750518]	[82750502]
124_16758	chr16	2531808	2532208	+	1000	43.0	[7.674471, 8.190466]	[169, 180]	[]	[]	[2531983, 2531994]	[]
124_16766	chr16	85374148	85374548	+	1000	43.0	[]	[]	[6.617683, 6.6181555]	[126, 136]	[]	[85374337, 85374347]
124_16768	chr16	88494403	88494803	+	1000	43.0	[]	[]	[9.401702]	[91]	[]	[88494574]
124_1677	chr9	136587165	136587565	+	1000	193.0	[8.923889]	[218]	[11.031469, 7.3365264]	[156, 171]	[136587385]	[136587323, 136587338]
124_16771	chr17	18161196	18161596	+	1000	43.0	[11.70845]	[128]	[]	[]	[18161386]	[]
124_16774	chr17	36878933	36879333	+	1000	43.0	[]	[]	[7.3986516, 12.417288]	[160, 172]	[]	[36879115, 36879127]
124_1678	chr1	12168141	12168541	+	1000	192.5	[]	[]	[7.386388, 8.010488]	[102, 148]	[]	[12168337, 12168383]
124_16781	chr17	74430609	74431009	+	879	43.0	[8.923889]	[165]	[]	[]	[74430831]	[]
124_16782	chr17	80415221	80415621	+	959	43.0	[]	[]	[11.730531, 7.8132887]	[129, 131]	[]	[80415426, 80415428]
124_16786	chr18	79680572	79680972	+	805	43.0	[]	[]	[13.002923]	[196]	[]	[79680819]
124_16789	chr19	10260040	10260440	+	1000	43.0	[]	[]	[14.474671]	[112]	[]	[10260243]
124_16796	chr19	34173331	34173731	+	1000	43.0	[]	[]	[10.067872]	[149]	[]	[34173498]
124_16799	chr19	36418267	36418667	+	741	43.0	[8.206155, 7.5214887]	[96, 98]	[]	[]	[36418426, 36418428]	[]
124_1680	chr11	2930126	2930526	+	1000	192.5	[10.22132]	[77]	[8.215844, 13.844391]	[109, 115]	[2930303]	[2930335, 2930341]
124_16803	chr19	49641771	49642171	+	909	43.0	[7.5615997, 9.654271]	[103, 109]	[]	[]	[49641948, 49641954]	[]
124_16805	chr19	52857509	52857909	+	1000	43.0	[]	[]	[13.765835, 8.912237]	[145, 197]	[]	[52857695, 52857747]
124_16807	chr2	8633773	8634173	+	1000	43.0	[11.70845]	[100]	[]	[]	[8633970]	[]
124_1681	chr11	70270350	70270750	+	1000	192.5	[10.628352, 6.646445, 10.977412]	[85, 159, 163]	[6.963041, 7.25986]	[107, 110]	[70270501, 70270575, 70270579]	[70270523, 70270526]
124_16813	chr2	99485408	99485808	+	1000	43.0	[]	[]	[8.759106]	[123]	[]	[99485614]
124_16821	chr2	227472654	227473054	+	1000	43.0	[]	[]	[9.445863, 12.52125, 8.73304]	[112, 123, 146]	[]	[227472836, 227472847, 227472870]
124_16829	chr20	58552513	58552913	+	957	43.0	[]	[]	[9.142367]	[155]	[]	[58552737]
124_16833	chr22	17980517	17980917	+	863	43.0	[6.7762966, 8.078561]	[145, 151]	[]	[]	[17980707, 17980713]	[]
124_16837	chr22	21686553	21686953	+	1000	43.0	[]	[]	[7.432312]	[153]	[]	[21686733]
124_16841	chr22	23674278	23674678	+	1000	43.0	[]	[]	[8.480857, 10.628352]	[115, 135]	[]	[23674473, 23674493]
124_16844	chr22	32475012	32475412	+	1000	43.0	[]	[]	[9.673146, 8.002081, 13.088298, 7.8153796, 10.893155, 7.034864, 6.825249]	[67, 82, 108, 110, 114, 138, 149]	[]	[32475174, 32475189, 32475215, 32475217, 32475221, 32475245, 32475256]
124_16846	chr22	41446756	41447156	+	1000	43.0	[6.854853]	[126]	[]	[]	[41446925]	[]
124_16850	chr3	5426396	5426796	+	1000	43.0	[]	[]	[10.223966]	[146]	[]	[5426611]
124_16859	chr3	52770656	52771056	+	1000	43.0	[]	[]	[11.784916, 7.715923]	[109, 135]	[]	[52770842, 52770868]
124_1686	chr7	6081334	6081734	+	1000	192.5	[7.622278, 13.767925, 6.5776134, 9.116671]	[61, 105, 109, 111]	[7.4628534]	[127]	[6081491, 6081535, 6081539, 6081541]	[6081557]
124_16861	chr3	128487775	128488175	+	967	43.0	[11.853682]	[116]	[9.087717]	[109]	[128487944]	[128487937]
124_16869	chr4	2008015	2008415	+	1000	43.0	[10.43637]	[132]	[]	[]	[2008215]	[]
124_1687	chr8	143018845	143019245	+	1000	192.5	[10.472259, 13.844391]	[130, 164]	[]	[]	[143019047, 143019081]	[]
124_16873	chr4	139302346	139302746	+	1000	43.0	[]	[]	[10.977412]	[133]	[]	[139302565]
124_16877	chr5	68288578	68288978	+	1000	43.0	[]	[]	[6.9615703]	[347]	[]	[68288825]
124_16878	chr5	68368274	68368674	+	1000	43.0	[12.190124]	[99]	[]	[]	[68368453]	[]
124_16880	chr5	73498340	73498740	+	1000	43.0	[]	[]	[6.8117566]	[163]	[]	[73498582]
124_16881	chr5	132664074	132664474	+	1000	43.0	[6.837073]	[138]	[]	[]	[132664265]	[]
124_16885	chr5	169795370	169795770	+	939	43.0	[]	[]	[9.586199]	[145]	[]	[169795598]
124_16890	chr6	20303003	20303403	+	1000	43.0	[]	[]	[7.1776633]	[144]	[]	[20303245]
124_16898	chr6	138588800	138589200	+	1000	43.0	[]	[]	[6.701721]	[144]	[]	[138589043]
124_169	chr6	31197544	31197944	+	1000	402.0	[]	[]	[12.4531765, 9.237138]	[90, 101]	[]	[31197728, 31197739]
124_16900	chr6	169723372	169723772	+	1000	43.0	[]	[]	[6.982304]	[125]	[]	[169723537]
124_16903	chr7	87213826	87214226	+	641	43.0	[8.336318]	[113]	[8.037829]	[122]	[87214039]	[87214048]
124_16904	chr7	95608631	95609031	+	1000	43.0	[8.817991]	[142]	[10.9346075]	[151]	[95608857]	[95608866]
124_1691	chr13	111153400	111153800	+	1000	192.0	[]	[]	[8.160666, 6.9883585, 11.6000185, 7.8499513, 12.493753, 7.128622]	[62, 71, 77, 114, 124, 126]	[]	[111153561, 111153570, 111153576, 111153613, 111153623, 111153625]
124_16911	chr7	112414843	112415243	+	546	43.0	[7.2205334]	[86]	[]	[]	[112415001]	[]
124_16912	chr7	117011668	117012068	+	1000	43.0	[]	[]	[7.7197247]	[142]	[]	[117011884]
124_16918	chr8	27330431	27330831	+	923	43.0	[]	[]	[7.673353, 7.761374]	[120, 132]	[]	[27330624, 27330636]
124_1692	chr16	1470811	1471211	+	1000	192.0	[13.765835, 7.115938]	[103, 133]	[]	[]	[1470998, 1471028]	[]
124_16920	chr8	56015940	56016340	+	875	43.0	[]	[]	[8.874801, 10.354498, 6.7984934]	[109, 115, 117]	[]	[56016144, 56016150, 56016152]
124_16923	chr8	92607728	92608128	+	1000	43.0	[7.53168]	[146]	[8.118708]	[113]	[92607954]	[92607921]
124_16924	chr8	95228836	95229236	+	1000	43.0	[]	[]	[9.063811]	[122]	[]	[95229056]
124_1693	chr19	4968668	4969068	+	1000	192.0	[9.626775]	[74]	[10.463866, 11.730531, 8.222975]	[111, 115, 121]	[4968836]	[4968873, 4968877, 4968883]
124_16930	chr9	111937947	111938347	+	716	43.0	[]	[]	[13.090944]	[99]	[]	[111938100]
124_1694	chr6	53547991	53548391	+	1000	192.0	[7.097008, 8.923889, 10.628352]	[79, 107, 137]	[9.009161, 9.234492]	[65, 72]	[53548162, 53548190, 53548220]	[53548148, 53548155]
124_16942	chr1	11762113	11762513	+	1000	42.5	[7.6606145]	[126]	[]	[]	[11762294]	[]
124_16947	chr1	24535688	24536088	+	1000	42.5	[8.404391]	[161]	[]	[]	[24535901]	[]
124_16952	chr1	36187952	36188352	+	1000	42.5	[8.020176, 12.268681]	[121, 154]	[]	[]	[36188163, 36188196]	[]
124_16957	chr1	84620662	84621062	+	1000	42.5	[]	[]	[8.64234]	[165]	[]	[84620905]
124_16962	chr1	156923750	156924150	+	1000	42.5	[8.55247, 9.142367]	[103, 113]	[13.562841]	[80]	[156923927, 156923937]	[156923904]
124_16965	chr1	200150722	200151122	+	892	42.5	[8.112221]	[92]	[9.718811]	[133]	[200150904]	[200150945]
124_16967	chr1	205356747	205357147	+	1000	42.5	[8.91994]	[117]	[6.6443834, 10.977412]	[99, 105]	[205356948]	[205356930, 205356936]
124_16970	chr1	212609075	212609475	+	972	42.5	[7.5878534]	[69]	[9.03239, 7.7197247, 13.081168, 10.342095, 6.774656]	[98, 109, 113, 119, 125]	[212609230]	[212609259, 212609270, 212609274, 212609280, 212609286]
124_16978	chr10	73730299	73730699	+	1000	42.5	[6.74237]	[152]	[]	[]	[73730521]	[]
124_16981	chr10	117174805	117175205	+	1000	42.5	[9.522328]	[113]	[]	[]	[117174977]	[]
124_16990	chr11	78046200	78046600	+	1000	42.5	[]	[]	[6.552371, 7.7370796]	[114, 120]	[]	[78046388, 78046394]
124_16996	chr12	26122710	26123110	+	1000	42.5	[]	[]	[7.60528]	[285]	[]	[26122907]
124_16998	chr12	38906617	38907017	+	1000	42.5	[]	[]	[10.977412, 8.286773]	[127, 131]	[]	[38906839, 38906843]
124_16999	chr12	50103753	50104153	+	1000	42.5	[11.023784, 9.113229]	[98, 128]	[]	[]	[50103931, 50103961]	[]
124_17	chr10	72625909	72626309	+	1000	621.5	[8.920029, 12.958331]	[90, 99]	[]	[]	[72626095, 72626104]	[]
124_170	chr10	79067341	79067741	+	1000	401.0	[13.844391]	[74]	[9.104329, 9.796298, 15.82531, 7.046945, 10.26563, 11.255987]	[99, 101, 105, 114, 116, 138]	[79067511]	[79067536, 79067538, 79067542, 79067551, 79067553, 79067575]
124_17001	chr12	56103986	56104386	+	816	42.5	[8.379145]	[128]	[]	[]	[56104178]	[]
124_17006	chr12	102376136	102376536	+	1000	42.5	[10.364898, 6.903748]	[87, 93]	[]	[]	[102376317, 102376323]	[]
124_1701	chr1	109493884	109494284	+	1000	191.0	[8.28363, 8.874801]	[86, 92]	[]	[]	[109494063, 109494069]	[]
124_17011	chr14	93332204	93332604	+	665	42.5	[8.026177, 7.7633767, 13.562841, 7.6102953, 9.189693]	[92, 98, 104, 145, 147]	[]	[]	[93332366, 93332372, 93332378, 93332419, 93332421]	[]
124_17012	chr14	100554031	100554431	+	685	42.5	[]	[]	[10.628352]	[96]	[]	[100554218]
124_17015	chr16	58734169	58734569	+	966	42.5	[]	[]	[9.554171]	[136]	[]	[58734404]
124_17019	chr16	89356958	89357358	+	1000	42.5	[]	[]	[7.4628534]	[183]	[]	[89357203]
124_1702	chr10	68331795	68332195	+	1000	191.0	[7.045864, 6.778187]	[73, 144]	[6.852762]	[114]	[68331950, 68332021]	[68331991]
124_17022	chr17	29592837	29593237	+	1000	42.5	[12.958331]	[71]	[]	[]	[29592989]	[]
124_17024	chr17	39196794	39197194	+	1000	42.5	[11.787007, 11.70845, 7.803038, 8.171691]	[106, 117, 121, 134]	[]	[]	[39196988, 39196999, 39197003, 39197016]	[]
124_17029	chr17	75904804	75905204	+	1000	42.5	[10.472259]	[111]	[]	[]	[75904974]	[]
124_1703	chr16	84186953	84187353	+	1000	191.0	[9.626775]	[74]	[11.123285]	[116]	[84187120]	[84187162]
124_17034	chr19	4669758	4670158	+	1000	42.5	[11.459085, 7.128622, 8.986765]	[65, 151, 156]	[]	[]	[4669915, 4670001, 4670006]	[]
124_17035	chr19	5904185	5904585	+	1000	42.5	[]	[]	[7.9445267]	[123]	[]	[5904374]
124_17040	chr19	14337485	14337885	+	990	42.5	[9.03239, 9.240779, 10.258781]	[113, 131, 152]	[]	[]	[14337671, 14337689, 14337710]	[]
124_17049	chr19	49426180	49426580	+	1000	42.5	[8.38398]	[153]	[12.958331]	[103]	[49426398]	[49426348]
124_17052	chr19	56393321	56393721	+	1000	42.5	[7.128622, 9.121621]	[59, 61]	[]	[]	[56393475, 56393477]	[]
124_17053	chr2	8534672	8535072	+	1000	42.5	[]	[]	[11.787007]	[154]	[]	[8534896]
124_17055	chr2	25347476	25347876	+	1000	42.5	[9.727532, 6.903809]	[80, 82]	[]	[]	[25347653, 25347655]	[]
124_17061	chr2	69307424	69307824	+	990	42.5	[9.277715, 8.438267, 8.201398]	[149, 155, 161]	[]	[]	[69307635, 69307641, 69307647]	[]
124_17063	chr2	126776649	126777049	+	1000	42.5	[8.045562]	[158]	[]	[]	[126776899]	[]
124_17068	chr2	176174910	176175310	+	1000	42.5	[8.920029, 10.628352, 8.28363]	[78, 118, 124]	[]	[]	[176175075, 176175115, 176175121]	[]
124_17070	chr20	18587679	18588079	+	1000	42.5	[]	[]	[10.258781, 7.677117, 10.900947, 8.806168, 13.440004, 8.648783]	[77, 83, 113, 117, 140, 146]	[]	[18587845, 18587851, 18587881, 18587885, 18587908, 18587914]
124_1708	chr20	327263	327663	+	1000	191.0	[7.495274]	[105]	[11.6000185]	[124]	[327461]	[327480]
124_17097	chr22	40636736	40637136	+	1000	42.5	[]	[]	[7.9278016, 10.472259]	[151, 171]	[]	[40636960, 40636980]
124_17103	chr3	119498338	119498738	+	980	42.5	[7.60528]	[76]	[12.190124]	[159]	[119498506]	[119498589]
124_17109	chr3	169772859	169773259	+	914	42.5	[9.405562, 7.8821154]	[82, 86]	[]	[]	[169773040, 169773044]	[]
124_17112	chr3	184229852	184230252	+	988	42.5	[9.142367]	[155]	[]	[]	[184230027]	[]
124_17117	chr4	177309504	177309904	+	755	42.5	[8.20979, 7.0970693]	[113, 121]	[6.7622533, 9.542635]	[131, 171]	[177309696, 177309704]	[177309714, 177309754]
124_1712	chr6	26659581	26659981	+	1000	191.0	[11.787007]	[65]	[]	[]	[26659745]	[]
124_17127	chr5	139651411	139651811	+	978	42.5	[]	[]	[8.44363, 7.0828924]	[97, 99]	[]	[139651563, 139651565]
124_1713	chr6	32189976	32190376	+	1000	191.0	[]	[]	[12.268681, 7.5214887, 6.533573, 8.201655]	[98, 102, 142, 150]	[]	[32190166, 32190170, 32190210, 32190218]
124_17137	chr6	17987954	17988354	+	875	42.5	[6.7165995, 10.977412]	[95, 98]	[]	[]	[17988139, 17988142]	[]
124_17141	chr6	30344948	30345348	+	1000	42.5	[8.197597]	[76]	[7.715923, 7.3365264, 8.912237]	[78, 84, 138]	[30345113]	[30345115, 30345121, 30345175]
124_17142	chr6	31580820	31581220	+	688	42.5	[]	[]	[7.166186]	[184]	[]	[31581059]
124_17146	chr6	41894227	41894627	+	1000	42.5	[10.836796, 6.578884]	[177, 181]	[]	[]	[41894465, 41894469]	[]
124_17148	chr6	67362965	67363365	+	871	42.5	[]	[]	[9.925445]	[138]	[]	[67363175]
124_17160	chr7	100177350	100177750	+	1000	42.5	[]	[]	[10.004002, 8.877223]	[177, 210]	[]	[100177555, 100177588]
124_17169	chr7	139232146	139232546	+	942	42.5	[7.25986]	[210]	[]	[]	[139232364]	[]
124_1717	chr1	154272430	154272830	+	1000	190.5	[]	[]	[10.904808]	[90]	[]	[154272620]
124_17174	chr8	9555695	9556095	+	1000	42.5	[]	[]	[9.35822, 9.862483, 7.0282426]	[95, 99, 108]	[]	[9555884, 9555888, 9555897]
124_1718	chr12	54432487	54432887	+	1000	190.5	[9.109602]	[95]	[]	[]	[54432672]	[]
124_17183	chr8	143333919	143334319	+	984	42.5	[10.364898]	[80]	[]	[]	[143334096]	[]
124_17184	chr9	93060877	93061277	+	950	42.5	[]	[]	[8.38398]	[94]	[]	[93061029]
124_1719	chr16	67226818	67227218	+	1000	190.5	[8.874801, 11.784916]	[118, 124]	[]	[]	[67227009, 67227015]	[]
124_17194	chr9	133002912	133003312	+	670	42.5	[]	[]	[7.7511535]	[207]	[]	[133003140]
124_17195	chr9	136617228	136617628	+	782	42.5	[10.357813]	[159]	[]	[]	[136617462]	[]
124_1720	chr17	39402474	39402874	+	1000	190.5	[]	[]	[7.539584, 7.9887404, 14.326064]	[125, 137, 143]	[]	[39402695, 39402707, 39402713]
124_17200	chr1	10796554	10796954	+	1000	42.0	[7.3008356, 6.837073]	[140, 148]	[7.618111, 7.138398, 10.900947, 8.912237]	[82, 84, 90, 122]	[10796791, 10796799]	[10796733, 10796735, 10796741, 10796773]
124_17211	chr1	67833461	67833861	+	1000	42.0	[7.636127, 13.844391, 7.284421]	[150, 166, 168]	[]	[]	[67833693, 67833709, 67833711]	[]
124_17218	chr1	155070969	155071369	+	1000	42.0	[8.55247, 8.190466]	[70, 83]	[6.778187]	[152]	[155071127, 155071140]	[155071209]
124_1722	chr17	75515820	75516220	+	1000	190.5	[6.646445, 10.472259]	[90, 94]	[6.746573]	[73]	[75516008, 75516012]	[75515991]
124_17229	chr1	241847932	241848332	+	907	42.0	[]	[]	[7.5615997]	[170]	[]	[241848168]
124_17230	chr1	246931904	246932304	+	906	42.0	[]	[]	[6.56107]	[128]	[]	[246932107]
124_17232	chr10	6053891	6054291	+	1000	42.0	[7.994332, 11.70845]	[99, 108]	[]	[]	[6054082, 6054091]	[]
124_17234	chr10	68471550	68471950	+	1000	42.0	[7.0978427]	[170]	[]	[]	[68471767]	[]
124_17236	chr10	71260596	71260996	+	1000	42.0	[]	[]	[8.256308, 7.528815]	[172, 179]	[]	[71260801, 71260808]
124_17238	chr10	95656692	95657092	+	797	42.0	[13.002923]	[134]	[]	[]	[95656907]	[]
124_1724	chr3	185937804	185938204	+	1000	190.5	[8.874801]	[92]	[]	[]	[185937996]	[]
124_17246	chr11	62324951	62325351	+	1000	42.0	[7.29909]	[107]	[]	[]	[62325141]	[]
124_17247	chr11	63923293	63923693	+	913	42.0	[9.742292]	[111]	[]	[]	[63923451]	[]
124_1725	chr8	144786716	144787116	+	1000	190.5	[]	[]	[12.609271]	[107]	[]	[144786906]
124_17255	chr12	50597396	50597796	+	932	42.0	[]	[]	[7.3008356]	[201]	[]	[50597646]
124_17267	chr13	94664840	94665240	+	1000	42.0	[10.395793]	[123]	[]	[]	[94665047]	[]
124_17271	chr14	75419397	75419797	+	772	42.0	[10.628352, 9.490834]	[103, 115]	[]	[]	[75419587, 75419599]	[]
124_17273	chr14	95530558	95530958	+	994	42.0	[]	[]	[10.461775]	[87]	[]	[95530714]
124_17274	chr14	100305452	100305852	+	977	42.0	[6.701721, 7.4628534]	[123, 141]	[6.7165995]	[174]	[100305624, 100305642]	[100305675]
124_17283	chr15	94855796	94856196	+	1000	42.0	[7.1776633]	[188]	[]	[]	[94855994]	[]
124_17284	chr16	1282450	1282850	+	1000	42.0	[]	[]	[12.415197]	[333]	[]	[1282700]
124_17293	chr17	29588708	29589108	+	1000	42.0	[6.896305, 10.027796, 9.540544]	[67, 84, 146]	[11.787007]	[112]	[29588874, 29588891, 29588953]	[29588919]
124_1730	chr5	176660785	176661185	+	1000	190.0	[15.82531]	[112]	[]	[]	[176660994]	[]
124_17308	chr18	50287548	50287948	+	1000	42.0	[7.718569]	[226]	[]	[]	[50287712]	[]
124_1731	chr6	47420441	47420841	+	1000	190.0	[11.505457]	[101]	[]	[]	[47420629]	[]
124_17310	chr19	2783119	2783519	+	1000	42.0	[8.118708]	[185]	[]	[]	[2783313]	[]
124_17315	chr19	42216889	42217289	+	1000	42.0	[7.045864, 8.38398, 6.9369655]	[128, 139, 145]	[]	[]	[42217106, 42217117, 42217123]	[]
124_17318	chr19	51904581	51904981	+	1000	42.0	[10.364898, 10.9346075]	[116, 160]	[]	[]	[51904784, 51904828]	[]
124_17322	chr2	6866027	6866427	+	1000	42.0	[10.135944]	[80]	[]	[]	[6866193]	[]
124_17328	chr2	74548873	74549273	+	1000	42.0	[11.6000185, 7.284421, 10.9346075]	[102, 104, 169]	[8.200242]	[112]	[74549053, 74549055, 74549120]	[74549063]
124_17329	chr2	112541864	112542264	+	940	42.0	[]	[]	[8.3342705]	[125]	[]	[112542071]
124_1733	chr7	117014662	117015062	+	1000	190.0	[]	[]	[12.190124]	[109]	[]	[117014871]
124_17330	chr2	170013900	170014300	+	1000	42.0	[7.620757]	[133]	[]	[]	[170014107]	[]
124_17333	chr2	219388331	219388731	+	1000	42.0	[7.524163, 8.113635, 8.070797, 7.13231, 11.523553]	[87, 104, 116, 152, 161]	[8.923889]	[124]	[219388494, 219388511, 219388523, 219388559, 219388568]	[219388531]
124_17340	chr21	44911450	44911850	+	981	42.0	[11.505457, 6.603051]	[169, 185]	[]	[]	[44911681, 44911697]	[]
124_17351	chr22	23767580	23767980	+	1000	42.0	[7.7131734]	[119]	[]	[]	[23767782]	[]
124_17361	chr3	25782866	25783266	+	1000	42.0	[]	[]	[11.787007]	[108]	[]	[25783062]
124_17368	chr3	113804455	113804855	+	999	42.0	[6.73886]	[178]	[]	[]	[113804688]	[]
124_17371	chr3	139329272	139329672	+	969	42.0	[8.522187]	[187]	[]	[]	[139329522]	[]
124_17373	chr3	183255264	183255664	+	996	42.0	[7.3311114, 11.84134]	[123, 127]	[]	[]	[183255469, 183255473]	[]
124_17374	chr3	196144021	196144421	+	1000	42.0	[6.56107]	[134]	[]	[]	[196144233]	[]
124_17376	chr4	5051287	5051687	+	654	42.0	[10.628352, 8.039948]	[120, 149]	[]	[]	[5051468, 5051497]	[]
124_17380	chr4	98648549	98648949	+	958	42.0	[13.767925, 8.305424]	[98, 113]	[]	[]	[98648727, 98648742]	[]
124_17388	chr5	61159595	61159995	+	1000	42.0	[14.2495985]	[180]	[]	[]	[61159764]	[]
124_17390	chr5	158820250	158820650	+	1000	42.0	[11.031469]	[62]	[10.900947]	[145]	[158820406]	[158820489]
124_17399	chr6	43926568	43926968	+	1000	42.0	[]	[]	[6.9750056]	[181]	[]	[43926811]
124_174	chr19	13163034	13163434	+	1000	399.0	[]	[]	[13.844391, 8.874801, 7.0303335, 10.953932]	[70, 101, 107, 127]	[]	[13163189, 13163220, 13163226, 13163246]
124_17410	chr7	100693489	100693889	+	1000	42.0	[8.149014]	[91]	[8.227886, 9.116732]	[156, 175]	[100693654]	[100693719, 100693738]
124_1742	chr1	30718519	30718919	+	1000	189.0	[8.070797, 13.844391, 7.904601]	[91, 108, 118]	[]	[]	[30718696, 30718713, 30718723]	[]
124_17423	chr9	36900619	36901019	+	729	42.0	[11.784916]	[137]	[]	[]	[36900793]	[]
124_17425	chr9	104968122	104968522	+	1000	42.0	[9.443771]	[100]	[]	[]	[104968305]	[]
124_17426	chr9	124045600	124046000	+	1000	42.0	[]	[]	[10.628352]	[75]	[]	[124045774]
124_17427	chr9	127612877	127613277	+	957	42.0	[10.628352]	[133]	[]	[]	[127613104]	[]
124_17431	chr9	131556011	131556411	+	988	42.0	[8.768881]	[107]	[13.844391]	[124]	[131556203]	[131556220]
124_17436	chr1	1080420	1080820	+	1000	41.5	[8.672139, 9.727532]	[68, 128]	[]	[]	[1080587, 1080647]	[]
124_17439	chr1	8004564	8004964	+	927	41.5	[8.568877, 6.865229]	[104, 106]	[]	[]	[8004749, 8004751]	[]
124_17456	chr1	88684736	88685136	+	1000	41.5	[8.73304]	[133]	[]	[]	[88684939]	[]
124_1746	chr19	45245388	45245788	+	1000	189.0	[7.758964, 7.3008356, 9.542635, 12.958331]	[85, 89, 95, 118]	[]	[]	[45245569, 45245573, 45245579, 45245602]	[]
124_17464	chr1	183472806	183473206	+	871	41.5	[]	[]	[6.734695, 8.201398, 8.170443]	[138, 158, 207]	[]	[183472969, 183472989, 183473038]
124_17468	chr1	244299455	244299855	+	1000	41.5	[]	[]	[7.852597]	[75]	[]	[244299612]
124_17472	chr10	30682370	30682770	+	1000	41.5	[7.060558]	[108]	[]	[]	[30682570]	[]
124_17476	chr10	84264694	84265094	+	1000	41.5	[]	[]	[13.767925]	[85]	[]	[84264865]
124_17478	chr11	1753203	1753603	+	1000	41.5	[]	[]	[9.586199, 7.618111, 7.138398, 6.9169784, 12.190124, 7.5214887, 7.7244816, 10.549796]	[97, 101, 103, 109, 113, 117, 119, 123]	[]	[1753394, 1753398, 1753400, 1753406, 1753410, 1753414, 1753416, 1753420]
124_17479	chr11	4146410	4146810	+	1000	41.5	[]	[]	[8.886065]	[147]	[]	[4146620]
124_17480	chr11	20079951	20080351	+	1000	41.5	[]	[]	[11.123285]	[122]	[]	[20080157]
124_17482	chr11	66510414	66510814	+	788	41.5	[]	[]	[11.417694, 8.912237]	[159, 165]	[]	[66510621, 66510627]
124_17483	chr11	72632447	72632847	+	1000	41.5	[8.336318]	[172]	[]	[]	[72632673]	[]
124_17486	chr11	106022287	106022687	+	891	41.5	[10.977412]	[107]	[]	[]	[106022448]	[]
124_17491	chr12	52010163	52010563	+	1000	41.5	[6.864414]	[158]	[]	[]	[52010399]	[]
124_17493	chr12	75334482	75334882	+	1000	41.5	[]	[]	[14.326064]	[139]	[]	[75334646]
124_17496	chr12	104288695	104289095	+	883	41.5	[10.472259]	[104]	[8.38398]	[132]	[104288854]	[104288882]
124_17499	chr12	132506898	132507298	+	909	41.5	[]	[]	[13.844391]	[130]	[]	[132507117]
124_17506	chr14	54762248	54762648	+	935	41.5	[]	[]	[6.973857]	[146]	[]	[54762488]
124_1751	chr12	49130685	49131085	+	1000	188.5	[11.787007, 8.634997]	[100, 146]	[7.2720184, 10.503044, 9.116671]	[69, 71, 148]	[49130881, 49130927]	[49130850, 49130852, 49130929]
124_17513	chr16	28310023	28310423	+	1000	41.5	[]	[]	[8.431228, 11.70845]	[96, 125]	[]	[28310201, 28310230]
124_17534	chr19	1655919	1656319	+	931	41.5	[8.219494]	[202]	[8.070797]	[166]	[1656144]	[1656108]
124_17537	chr19	3557612	3558012	+	1000	41.5	[8.514492]	[208]	[8.026177]	[153]	[3557860]	[3557805]
124_17538	chr19	4679189	4679589	+	989	41.5	[9.05055, 6.742392]	[112, 114]	[]	[]	[4679344, 4679346]	[]
124_17540	chr19	7870394	7870794	+	1000	41.5	[]	[]	[6.9750056]	[144]	[]	[7870630]
124_17543	chr19	14786442	14786842	+	865	41.5	[]	[]	[9.468438, 9.727532]	[131, 133]	[]	[14786661, 14786663]
124_17545	chr19	17267269	17267669	+	865	41.5	[]	[]	[8.093007]	[161]	[]	[17267480]
124_17556	chr2	61166004	61166404	+	1000	41.5	[]	[]	[8.886065]	[187]	[]	[61166248]
124_17557	chr2	64606693	64607093	+	1000	41.5	[9.443771]	[138]	[]	[]	[64606873]	[]
124_1756	chr7	149719971	149720371	+	1000	188.5	[9.742292]	[113]	[]	[]	[149720157]	[]
124_17560	chr2	120777078	120777478	+	675	41.5	[]	[]	[8.206155, 7.0475]	[65, 158]	[]	[120777229, 120777322]
124_17562	chr2	231238709	231239109	+	1000	41.5	[7.907247]	[144]	[]	[]	[231238940]	[]
124_17563	chr2	231961742	231962142	+	1000	41.5	[11.068636]	[86]	[]	[]	[231961923]	[]
124_17566	chr20	33720060	33720460	+	1000	41.5	[9.043064, 8.093007]	[171, 194]	[]	[]	[33720276, 33720299]	[]
124_1757	chr9	135500359	135500759	+	1000	188.5	[13.844391]	[112]	[]	[]	[135500558]	[]
124_17588	chr22	42769675	42770075	+	1000	41.5	[]	[]	[11.6000185]	[101]	[]	[42769864]
124_17589	chr22	49369165	49369565	+	903	41.5	[13.002923]	[110]	[]	[]	[49369352]	[]
124_17594	chr3	48503128	48503528	+	1000	41.5	[]	[]	[12.958331]	[125]	[]	[48503302]
124_17603	chr4	150321184	150321584	+	602	41.5	[]	[]	[8.737981]	[120]	[]	[150321389]
124_1761	chr21	43789563	43789963	+	1000	188.0	[]	[]	[12.268681, 13.765835, 8.971439, 7.803038]	[123, 129, 166, 168]	[]	[43789767, 43789773, 43789810, 43789812]
