#PeakID(python scan_motif.py ./ENCODE_processed_files/KLF1_idr.fa KLF1 --motif_path ./motifs/ --distance 50  --cutoff --size 400)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
293_237	chr1	208184265	208184665	+	1000	122.5	[10.7842245]	[166]	[14.252311]	[136]	[208184503]	[208184473]
293_2370	chr1	150561972	150562372	+	1000	51.5	[]	[]	[8.956747, 12.520998, 9.495462]	[132, 137, 142]	[]	[150562134, 150562139, 150562144]
293_2374	chr1	226870638	226871038	+	1000	51.5	[]	[]	[7.5088573]	[106]	[]	[226870838]
293_2376	chr10	101830527	101830927	+	1000	51.5	[7.5940995, 8.836867, 8.956747, 7.5940995]	[68, 113, 118, 126]	[]	[]	[101830681, 101830726, 101830731, 101830739]	[]
293_2377	chr11	32583600	32584000	+	1000	51.5	[10.534392]	[108]	[]	[]	[32583758]	[]
293_2378	chr11	61792465	61792865	+	1000	51.5	[]	[]	[11.226776]	[170]	[]	[61792692]
293_2379	chr11	78188382	78188782	+	1000	51.5	[7.9705]	[169]	[7.5088573]	[238]	[78188563]	[78188632]
293_238	chr11	46700529	46700929	+	1000	122.5	[10.534392]	[96]	[]	[]	[46700711]	[]
293_2380	chr11	108222817	108223217	+	1000	51.5	[]	[]	[7.662525]	[174]	[]	[108223061]
293_2381	chr12	46383785	46384185	+	1000	51.5	[8.836867]	[108]	[]	[]	[46383966]	[]
293_2384	chr14	102550953	102551353	+	1000	51.5	[7.2592225]	[78]	[]	[]	[102551115]	[]
293_2385	chr15	31215424	31215824	+	1000	51.5	[]	[]	[10.534392, 12.520998, 12.265705]	[104, 157, 177]	[]	[31215601, 31215654, 31215674]
293_2387	chr15	51004085	51004485	+	1000	51.5	[6.7998433]	[104]	[]	[]	[51004282]	[]
293_2388	chr15	52019708	52020108	+	1000	51.5	[9.052912]	[128]	[]	[]	[52019903]	[]
293_2389	chr16	3400979	3401379	+	1000	51.5	[10.534392]	[195]	[]	[]	[3401205]	[]
293_2390	chr16	9090973	9091373	+	1000	51.5	[]	[]	[7.9705]	[161]	[]	[9091206]
293_2392	chr16	81007135	81007535	+	1000	51.5	[]	[]	[14.252311, 7.9846697]	[172, 209]	[]	[81007316, 81007353]
293_2393	chr16	84536925	84537325	+	1000	51.5	[12.520998]	[155]	[]	[]	[84537134]	[]
293_2394	chr17	39723507	39723907	+	1000	51.5	[]	[]	[9.09216, 14.252311, 8.956747]	[71, 109, 131]	[]	[39723678, 39723716, 39723738]
293_2398	chr18	3602782	3603182	+	1000	51.5	[]	[]	[6.763009]	[161]	[]	[3603023]
293_240	chr1	225999358	225999758	+	1000	121.5	[]	[]	[6.7998433, 10.534392]	[87, 116]	[]	[225999536, 225999565]
293_2401	chr19	39506942	39507342	+	1000	51.5	[]	[]	[7.5940995]	[165]	[]	[39507160]
293_2403	chr19	50511039	50511439	+	1000	51.5	[]	[]	[7.1055546]	[118]	[]	[50511195]
293_2404	chr2	9423250	9423650	+	1000	51.5	[7.662525]	[155]	[7.2592225]	[124]	[9423452]	[9423421]
293_2405	chr2	25878542	25878942	+	1000	51.5	[6.3204575]	[80]	[]	[]	[25878697]	[]
293_2406	chr2	85418269	85418669	+	1000	51.5	[]	[]	[10.534392]	[152]	[]	[85418503]
293_2408	chr2	112683910	112684310	+	856	51.5	[9.052912]	[102]	[8.057231]	[132]	[112684109]	[112684139]
293_2409	chr2	127700546	127700946	+	1000	51.5	[]	[]	[12.265705]	[122]	[]	[127700751]
293_241	chr12	49296483	49296883	+	1000	121.5	[9.495462, 9.052912]	[67, 95]	[]	[]	[49296646, 49296674]	[]
293_2410	chr2	203238999	203239399	+	1000	51.5	[]	[]	[7.1055546]	[207]	[]	[203239228]
293_2411	chr21	44593855	44594255	+	1000	51.5	[9.495462]	[146]	[]	[]	[44594075]	[]
293_2414	chr22	20577596	20577996	+	1000	51.5	[10.823473]	[149]	[]	[]	[20577751]	[]
293_2416	chr22	21850057	21850457	+	1000	51.5	[12.265705]	[110]	[]	[]	[21850238]	[]
293_2417	chr22	22651420	22651820	+	1000	51.5	[]	[]	[7.643828]	[143]	[]	[22651571]
293_2420	chr22	22861736	22862136	+	1000	51.5	[7.2592225]	[159]	[]	[]	[22861952]	[]
293_2422	chr3	44761511	44761911	+	1000	51.5	[12.265705]	[151]	[]	[]	[44761685]	[]
293_2424	chr5	6712773	6713173	+	1000	51.5	[10.534392]	[132]	[]	[]	[6712964]	[]
293_2426	chr5	32174264	32174664	+	1000	51.5	[11.226776]	[144]	[]	[]	[32174424]	[]
293_2427	chr5	95962136	95962536	+	1000	51.5	[]	[]	[7.5940995]	[137]	[]	[95962361]
293_2428	chr5	139637579	139637979	+	1000	51.5	[]	[]	[7.5940995]	[127]	[]	[139637783]
293_243	chr9	129879043	129879443	+	1000	121.5	[]	[]	[12.265705]	[189]	[]	[129879289]
293_2430	chr5	141618910	141619310	+	1000	51.5	[7.0663056]	[132]	[7.5088573]	[194]	[141619076]	[141619138]
293_2431	chr5	180071832	180072232	+	1000	51.5	[]	[]	[8.956747]	[135]	[]	[180072041]
293_2432	chr6	28923744	28924144	+	1000	51.5	[12.520998]	[222]	[]	[]	[28923989]	[]
293_2435	chr6	108074464	108074864	+	1000	51.5	[11.779043, 7.5088573]	[130, 158]	[]	[]	[108074662, 108074690]	[]
293_2440	chr7	149460563	149460963	+	1000	51.5	[9.792437, 9.052912]	[90, 146]	[]	[]	[149460728, 149460784]	[]
293_2442	chr8	144755472	144755872	+	1000	51.5	[]	[]	[8.956747]	[123]	[]	[144755691]
293_2444	chr9	113410492	113410892	+	1000	51.5	[]	[]	[7.801938]	[134]	[]	[113410714]
293_2446	chr9	130769747	130770147	+	1000	51.5	[]	[]	[8.786449]	[198]	[]	[130769981]
293_2447	chr9	131033757	131034157	+	1000	51.5	[]	[]	[11.779043]	[155]	[]	[131033919]
293_245	chr22	19854661	19855061	+	1000	121.0	[12.265705]	[166]	[]	[]	[19854893]	[]
293_2450	chr1	16056017	16056417	+	1000	51.0	[10.534392, 10.534392, 7.5940995]	[84, 141, 147]	[]	[]	[16056175, 16056232, 16056238]	[]
293_2455	chr1	174999872	175000272	+	1000	51.0	[]	[]	[7.643828]	[137]	[]	[175000047]
293_2456	chr1	205122074	205122474	+	1000	51.0	[]	[]	[7.1055546]	[205]	[]	[205122281]
293_2457	chr1	244834722	244835122	+	1000	51.0	[7.5940995]	[88]	[]	[]	[244834883]	[]
293_2458	chr10	30552216	30552616	+	1000	51.0	[]	[]	[12.520998]	[101]	[]	[30552407]
293_2459	chr10	68988841	68989241	+	1000	51.0	[12.265705]	[110]	[]	[]	[68989045]	[]
293_246	chr7	135662229	135662629	+	1000	121.0	[]	[]	[10.534392, 12.265705]	[123, 128]	[]	[135662450, 135662455]
293_2462	chr13	95285776	95286176	+	1000	51.0	[]	[]	[14.252311]	[194]	[]	[95286019]
293_2463	chr13	107919345	107919745	+	1000	51.0	[]	[]	[7.5940995]	[187]	[]	[107919585]
293_2465	chr15	60397028	60397428	+	1000	51.0	[6.483479]	[189]	[]	[]	[60397227]	[]
293_2466	chr16	636245	636645	+	1000	51.0	[]	[]	[7.5940995]	[182]	[]	[636494]
293_2467	chr16	57689836	57690236	+	1000	51.0	[]	[]	[12.265705]	[137]	[]	[57690040]
293_2468	chr16	70428292	70428692	+	1000	51.0	[8.956747]	[119]	[]	[]	[70428464]	[]
293_247	chr1	31170907	31171307	+	1000	120.5	[8.057231, 8.956747]	[86, 167]	[]	[]	[31171067, 31171148]	[]
293_2471	chr17	41786528	41786928	+	1000	51.0	[12.265705, 7.5088573]	[154, 177]	[]	[]	[41786750, 41786773]	[]
293_2472	chr17	42624188	42624588	+	1000	51.0	[]	[]	[7.9705]	[109]	[]	[42624387]
293_2473	chr17	81295119	81295519	+	1000	51.0	[]	[]	[7.5940995]	[179]	[]	[81295352]
293_2474	chr19	10403380	10403780	+	1000	51.0	[10.534392, 10.534392]	[91, 125]	[]	[]	[10403555, 10403589]	[]
293_2475	chr19	12940059	12940459	+	1000	51.0	[7.315276]	[98]	[]	[]	[12940255]	[]
293_2476	chr19	47130482	47130882	+	1000	51.0	[7.591329]	[161]	[]	[]	[47130661]	[]
293_248	chr1	32133562	32133962	+	1000	120.0	[]	[]	[12.265705]	[107]	[]	[32133763]
293_2481	chr2	219217782	219218182	+	1000	51.0	[11.779043, 8.956747]	[89, 131]	[]	[]	[219217962, 219218004]	[]
293_2484	chr22	19408130	19408530	+	1000	51.0	[6.313181]	[119]	[7.1055546, 6.3597064]	[93, 127]	[19408327]	[19408301, 19408335]
293_2487	chr22	21611430	21611830	+	1000	51.0	[]	[]	[7.5940995, 7.5940995]	[104, 133]	[]	[21611606, 21611635]
293_2488	chr22	22143521	22143921	+	1000	51.0	[6.3597064]	[113]	[]	[]	[22143732]	[]
293_2489	chr22	22738663	22739063	+	1000	51.0	[]	[]	[7.2199736, 7.5940995, 7.5940995]	[156, 168, 175]	[]	[22738827, 22738839, 22738846]
293_249	chrX	48574144	48574544	+	1000	120.0	[7.1046667, 7.1046667]	[105, 122]	[]	[]	[48574317, 48574334]	[]
293_2490	chr22	22761875	22762275	+	1000	51.0	[8.786449]	[205]	[]	[]	[22762109]	[]
293_2492	chr22	22904424	22904824	+	1000	51.0	[7.846622]	[83]	[]	[]	[22904598]	[]
293_2499	chr3	43690530	43690930	+	1000	51.0	[7.0663056, 7.7586894]	[209, 222]	[6.313181, 7.0663056]	[176, 239]	[43690742, 43690755]	[43690709, 43690772]
293_25	chr3	72035027	72035427	+	1000	469.5	[]	[]	[10.7842245, 14.252311, 14.252311]	[116, 144, 172]	[]	[72035210, 72035238, 72035266]
293_250	chr1	116372496	116372896	+	1000	119.5	[]	[]	[7.5088573]	[154]	[]	[116372720]
293_2500	chr4	2934714	2935114	+	1000	51.0	[]	[]	[7.5940995]	[214]	[]	[2934954]
293_2503	chr6	10314376	10314776	+	1000	51.0	[9.788544, 7.662525]	[112, 137]	[]	[]	[10314529, 10314554]	[]
293_2504	chr6	16267692	16268092	+	1000	51.0	[]	[]	[7.0663056]	[150]	[]	[16267895]
293_2507	chr6	157323194	157323594	+	1000	51.0	[6.313181]	[84]	[]	[]	[157323372]	[]
293_2508	chr6	158031305	158031705	+	1000	51.0	[]	[]	[12.265705, 9.495462]	[133, 153]	[]	[158031508, 158031528]
293_2509	chr6	159966318	159966718	+	1000	51.0	[]	[]	[14.252311]	[106]	[]	[159966494]
293_251	chr19	12883689	12884089	+	1000	119.5	[9.495462, 12.520998]	[88, 115]	[]	[]	[12883863, 12883890]	[]
293_2512	chr7	12647715	12648115	+	1000	51.0	[7.591329]	[172]	[]	[]	[12647946]	[]
293_2513	chr7	100100551	100100951	+	1000	51.0	[8.214792]	[116]	[]	[]	[100100753]	[]
293_2514	chr7	135977025	135977425	+	1000	51.0	[]	[]	[6.7998433, 7.0663056]	[203, 233]	[]	[135977243, 135977273]
293_2516	chr8	22244826	22245226	+	1000	51.0	[7.0663056]	[235]	[]	[]	[22245070]	[]
293_2517	chr8	133297447	133297847	+	1000	51.0	[]	[]	[7.5088573]	[111]	[]	[133297649]
293_2518	chr8	144528876	144529276	+	1000	51.0	[7.1055546]	[149]	[]	[]	[144529075]	[]
293_2519	chr9	87810751	87811151	+	1000	51.0	[]	[]	[11.779043, 12.520998]	[60, 145]	[]	[87810902, 87810987]
293_2521	chr9	130732518	130732918	+	1000	51.0	[]	[]	[7.5940995]	[127]	[]	[130732716]
293_2523	chr9	130864624	130865024	+	1000	51.0	[7.5940995]	[109]	[]	[]	[130864794]	[]
293_2531	chr1	150010622	150011022	+	1000	50.5	[7.5088573, 6.0706253]	[106, 122]	[]	[]	[150010817, 150010833]	[]
293_2532	chr1	171781128	171781528	+	1000	50.5	[7.5088573, 6.0706253]	[186, 191]	[]	[]	[171781365, 171781370]	[]
293_2534	chr1	234776787	234777187	+	1000	50.5	[7.5940995]	[117]	[]	[]	[234776974]	[]
293_2536	chr1	243255024	243255424	+	1000	50.5	[7.5940995, 9.792437]	[99, 103]	[]	[]	[243255213, 243255217]	[]
293_2537	chr10	17428647	17429047	+	1000	50.5	[]	[]	[8.057231]	[146]	[]	[17428888]
293_2539	chr11	12110186	12110586	+	1000	50.5	[12.265705, 10.68806, 7.5088573, 10.68806]	[82, 89, 114, 149]	[9.052912]	[133]	[12110355, 12110362, 12110387, 12110422]	[12110406]
293_2540	chr11	62621911	62622311	+	1000	50.5	[7.2592225, 6.0706253]	[119, 190]	[]	[]	[62622075, 62622146]	[]
293_2543	chr14	23301426	23301826	+	1000	50.5	[]	[]	[10.534392]	[113]	[]	[23301634]
293_2544	chr14	24688033	24688433	+	1000	50.5	[]	[]	[12.520998]	[141]	[]	[24688247]
293_2545	chr14	67359783	67360183	+	1000	50.5	[8.956747]	[152]	[]	[]	[67359969]	[]
293_2546	chr15	43185169	43185569	+	1000	50.5	[]	[]	[10.534392]	[58]	[]	[43185320]
293_2547	chr15	64461772	64462172	+	1000	50.5	[7.5940995]	[131]	[]	[]	[64461950]	[]
293_2549	chr16	27235251	27235651	+	1000	50.5	[]	[]	[9.495462]	[88]	[]	[27235414]
293_255	chr19	12945506	12945906	+	1000	118.5	[10.534392]	[105]	[]	[]	[12945710]	[]
293_2552	chr16	67183597	67183997	+	1000	50.5	[]	[]	[12.520998]	[109]	[]	[67183760]
293_2556	chr19	32971944	32972344	+	1000	50.5	[7.5940995]	[156]	[]	[]	[32972173]	[]
293_2557	chr19	49867293	49867693	+	1000	50.5	[7.5088573, 10.534392, 6.313181, 6.0706253]	[145, 150, 161, 225]	[]	[]	[49867447, 49867452, 49867463, 49867527]	[]
293_2558	chr2	10408268	10408668	+	1000	50.5	[8.836867]	[153]	[]	[]	[10408495]	[]
293_2559	chr2	86563049	86563449	+	1000	50.5	[9.2401705, 7.022195]	[189, 204]	[]	[]	[86563253, 86563268]	[]
293_256	chr1	30768845	30769245	+	1000	118.0	[]	[]	[14.252311]	[125]	[]	[30769022]
293_2561	chr21	37221158	37221558	+	1000	50.5	[10.534392, 7.801938]	[81, 103]	[]	[]	[37221337, 37221359]	[]
293_2563	chr22	19296941	19297341	+	1000	50.5	[7.5940995]	[127]	[12.265705]	[170]	[19297143]	[19297186]
293_2564	chr22	19641256	19641656	+	1000	50.5	[7.5940995]	[109]	[]	[]	[19641439]	[]
293_2565	chr22	19974173	19974573	+	1000	50.5	[]	[]	[12.265705, 14.252311]	[67, 94]	[]	[19974327, 19974354]
293_2566	chr22	20268358	20268758	+	1000	50.5	[10.68806]	[154]	[]	[]	[20268586]	[]
293_257	chr1	230127032	230127432	+	1000	118.0	[6.0706253, 6.0706253]	[108, 186]	[]	[]	[230127202, 230127280]	[]
293_2573	chr22	22858268	22858668	+	1000	50.5	[]	[]	[10.0477295]	[147]	[]	[22858480]
293_2579	chr3	10320968	10321368	+	1000	50.5	[10.534392]	[176]	[]	[]	[10321214]	[]
293_2580	chr3	14835947	14836347	+	1000	50.5	[]	[]	[14.252311]	[142]	[]	[14836165]
293_2581	chr3	14847937	14848337	+	1000	50.5	[]	[]	[9.495462]	[97]	[]	[14848126]
293_2582	chr3	37994118	37994518	+	1000	50.5	[]	[]	[7.9705]	[160]	[]	[37994329]
293_2584	chr3	197749646	197750046	+	1000	50.5	[10.534392, 10.534392]	[91, 96]	[9.495462]	[112]	[197749820, 197749825]	[197749841]
293_2586	chr6	27139022	27139422	+	1000	50.5	[8.956747]	[100]	[]	[]	[27139182]	[]
293_259	chr7	106774706	106775106	+	1000	118.0	[]	[]	[9.09216]	[99]	[]	[106774868]
293_2590	chr6	56542702	56543102	+	1000	50.5	[9.2401705]	[76]	[]	[]	[56542866]	[]
293_2591	chr6	109304438	109304838	+	1000	50.5	[]	[]	[10.68806]	[163]	[]	[109304682]
293_2592	chr6	150005083	150005483	+	1000	50.5	[7.5088573]	[122]	[8.797619]	[171]	[150005255]	[150005304]
293_2594	chr8	95133529	95133929	+	1000	50.5	[]	[]	[10.534392, 14.252311, 10.823473, 7.5940995]	[97, 111, 117, 148]	[]	[95133697, 95133711, 95133717, 95133748]
293_2599	chr9	131021130	131021530	+	1000	50.5	[9.052912]	[156]	[]	[]	[131021364]	[]
293_2600	chr9	131025757	131026157	+	1000	50.5	[]	[]	[11.226776]	[134]	[]	[131025911]
293_2601	chr9	131071039	131071439	+	1000	50.5	[8.057231]	[185]	[8.956747]	[245]	[131071226]	[131071286]
293_2604	chr9	133417883	133418283	+	1000	50.5	[7.5940995]	[109]	[]	[]	[133418053]	[]
293_2606	chrX	1391658	1392058	+	1000	50.5	[10.534392, 8.057231]	[114, 175]	[]	[]	[1391832, 1391893]	[]
293_261	chr10	17425911	17426311	+	1000	117.5	[9.495462, 7.5940995]	[143, 175]	[]	[]	[17426102, 17426134]	[]
293_2611	chr1	151574957	151575357	+	1000	50.0	[12.520998]	[145]	[9.495462]	[137]	[151575165]	[151575157]
293_2612	chr1	225428170	225428570	+	1000	50.0	[7.0663056]	[104]	[]	[]	[225428369]	[]
293_2615	chr11	65013953	65014353	+	1000	50.0	[]	[]	[8.956747]	[227]	[]	[65014188]
293_2616	chr12	6723892	6724292	+	1000	50.0	[10.534392]	[183]	[]	[]	[6724119]	[]
293_2617	chr12	21501427	21501827	+	1000	50.0	[7.022195]	[110]	[]	[]	[21501630]	[]
293_2618	chr12	53324722	53325122	+	1000	50.0	[12.265705, 8.956747]	[118, 163]	[]	[]	[53324913, 53324958]	[]
293_2619	chr12	62602431	62602831	+	1000	50.0	[10.68806]	[104]	[]	[]	[62602600]	[]
293_262	chr22	20916933	20917333	+	1000	117.5	[7.801938]	[104]	[]	[]	[20917086]	[]
293_2620	chr14	73713847	73714247	+	1000	50.0	[]	[]	[12.265705, 6.7998433]	[86, 161]	[]	[73714010, 73714085]
293_2622	chr15	79896909	79897309	+	1000	50.0	[12.520998]	[129]	[8.061124]	[103]	[79897113]	[79897087]
293_2623	chr16	89004036	89004436	+	1000	50.0	[]	[]	[7.1055546]	[166]	[]	[89004280]
293_2624	chr17	50208597	50208997	+	822	50.0	[]	[]	[6.483479, 10.0477295]	[97, 101]	[]	[50208760, 50208764]
293_2629	chr19	6110443	6110843	+	1000	50.0	[8.057231, 7.1055546]	[102, 118]	[10.534392]	[153]	[6110622, 6110638]	[6110673]
293_263	chr12	121888462	121888862	+	1000	116.0	[7.5088573]	[140]	[]	[]	[121888696]	[]
293_2631	chr19	42242755	42243155	+	1000	50.0	[12.265705]	[202]	[]	[]	[42242995]	[]
293_2635	chr20	58650911	58651311	+	1000	50.0	[7.2592225]	[168]	[7.5088573]	[161]	[58651108]	[58651101]
293_2637	chr21	44339245	44339645	+	1000	50.0	[]	[]	[10.0477295]	[178]	[]	[44339469]
293_264	chr19	17332701	17333101	+	1000	116.0	[9.495462, 10.534392]	[81, 115]	[]	[]	[17332881, 17332915]	[]
293_2642	chr22	22552581	22552981	+	1000	50.0	[7.5940995]	[159]	[]	[]	[22552808]	[]
293_265	chr5	75511665	75512065	+	1000	116.0	[]	[]	[7.591329, 6.313181]	[91, 151]	[]	[75511853, 75511913]
293_2650	chr3	46987359	46987759	+	1000	50.0	[]	[]	[7.0663056]	[180]	[]	[46987595]
293_2651	chr3	128879352	128879752	+	1000	50.0	[7.0663056]	[112]	[]	[]	[128879533]	[]
293_2652	chr3	158801813	158802213	+	1000	50.0	[]	[]	[12.265705]	[98]	[]	[158802008]
293_2653	chr4	70688103	70688503	+	1000	50.0	[10.68806]	[137]	[]	[]	[70688292]	[]
293_2654	chr4	183444288	183444688	+	1000	50.0	[7.1055546, 8.786449]	[131, 140]	[7.0663056]	[113]	[183444468, 183444477]	[183444450]
293_2656	chr6	7313115	7313515	+	1000	50.0	[]	[]	[8.057231]	[121]	[]	[7313302]
293_2658	chr6	37460218	37460618	+	1000	50.0	[]	[]	[8.956747]	[99]	[]	[37460391]
293_2659	chr6	43013909	43014309	+	1000	50.0	[9.2401705, 6.224293]	[132, 144]	[]	[]	[43014113, 43014125]	[]
293_266	chr1	1758774	1759174	+	1000	115.5	[]	[]	[8.836867]	[164]	[]	[1759000]
293_2662	chr6	106911545	106911945	+	1000	50.0	[]	[]	[8.956747]	[141]	[]	[106911779]
293_2663	chr6	119137238	119137638	+	1000	50.0	[12.520998]	[97]	[]	[]	[119137399]	[]
293_2664	chr7	4641953	4642353	+	1000	50.0	[8.956747]	[139]	[]	[]	[4642152]	[]
293_2665	chr7	138460209	138460609	+	1000	50.0	[10.534392]	[141]	[]	[]	[138460398]	[]
293_2666	chr7	143288405	143288805	+	1000	50.0	[8.956747]	[146]	[]	[]	[143288610]	[]
293_2667	chr7	155213930	155214330	+	1000	50.0	[7.591329]	[108]	[]	[]	[155214122]	[]
293_2668	chr8	37589338	37589738	+	1000	50.0	[7.591329]	[107]	[7.797938]	[100]	[37589545]	[37589538]
293_2669	chr8	41818725	41819125	+	1000	50.0	[9.792437]	[74]	[]	[]	[41818882]	[]
293_267	chr19	48878576	48878976	+	1000	115.5	[12.265705]	[115]	[]	[]	[48878778]	[]
293_2670	chr9	93095294	93095694	+	1000	50.0	[]	[]	[7.1055546]	[130]	[]	[93095510]
293_2671	chr9	97386977	97387377	+	1000	50.0	[]	[]	[8.836867]	[112]	[]	[97387146]
293_2673	chr9	128299039	128299439	+	1000	50.0	[14.252311, 7.846622]	[94, 141]	[]	[]	[128299201, 128299248]	[]
293_2676	chr9	130912565	130912965	+	1000	50.0	[]	[]	[9.495462]	[129]	[]	[130912730]
293_2679	chr9	131074832	131075232	+	1000	50.0	[6.3204575]	[79]	[]	[]	[131074998]	[]
293_2684	chr1	31155368	31155768	+	1000	49.5	[9.495462]	[79]	[]	[]	[31155538]	[]
293_2685	chr1	40863938	40864338	+	1000	49.5	[]	[]	[7.315276]	[142]	[]	[40864166]
293_2687	chr1	51072109	51072509	+	1000	49.5	[8.836867, 6.224293]	[126, 172]	[]	[]	[51072281, 51072327]	[]
293_2688	chr1	114780433	114780833	+	1000	49.5	[7.846622]	[90]	[]	[]	[114780616]	[]
293_2691	chr1	155017393	155017793	+	1000	49.5	[]	[]	[14.252311]	[158]	[]	[155017605]
293_2692	chr1	156572373	156572773	+	1000	49.5	[7.643828]	[148]	[]	[]	[156572614]	[]
293_2695	chr10	71860226	71860626	+	1000	49.5	[]	[]	[7.5940995]	[110]	[]	[71860409]
293_2696	chr10	80203127	80203527	+	1000	49.5	[7.022195]	[111]	[9.09216]	[120]	[80203336]	[80203345]
293_2697	chr11	8688827	8689227	+	1000	49.5	[]	[]	[7.5088573]	[194]	[]	[8689076]
293_2698	chr11	47848174	47848574	+	1000	49.5	[]	[]	[7.9846697, 12.520998, 7.1055546, 7.5088573]	[147, 149, 154, 158]	[]	[47848383, 47848385, 47848390, 47848394]
293_2699	chr14	22871602	22872002	+	1000	49.5	[8.956747]	[143]	[7.1055546, 10.534392]	[86, 90]	[22871822]	[22871765, 22871769]
293_270	chr1	228463565	228463965	+	1000	113.5	[7.5088573]	[113]	[7.0663056]	[86]	[228463771]	[228463744]
293_2700	chr14	50116401	50116801	+	1000	49.5	[10.534392, 7.5088573]	[112, 125]	[]	[]	[50116607, 50116620]	[]
293_2701	chr16	46688689	46689089	+	1000	49.5	[9.09216]	[195]	[]	[]	[46688937]	[]
293_2702	chr16	68731893	68732293	+	1000	49.5	[7.0663056]	[157]	[]	[]	[68732129]	[]
293_2705	chr17	56910037	56910437	+	1000	49.5	[9.495462]	[101]	[]	[]	[56910236]	[]
293_2706	chr18	32091723	32092123	+	1000	49.5	[10.7842245, 6.0706253, 7.5088573]	[85, 100, 118]	[]	[]	[32091905, 32091920, 32091938]	[]
293_2707	chr19	1905101	1905501	+	1000	49.5	[8.057231, 7.0663056]	[99, 121]	[]	[]	[1905288, 1905310]	[]
293_2708	chr19	12760442	12760842	+	1000	49.5	[10.0477295, 10.0477295]	[174, 178]	[]	[]	[12760660, 12760664]	[]
293_2709	chr19	13850339	13850739	+	1000	49.5	[]	[]	[10.534392]	[161]	[]	[13850554]
293_271	chr19	19405218	19405618	+	1000	113.5	[7.1055546]	[101]	[7.9705]	[94]	[19405408]	[19405401]
293_2711	chr19	33176965	33177365	+	1000	49.5	[]	[]	[10.7842245]	[155]	[]	[33177206]
293_2712	chr19	41262208	41262608	+	1000	49.5	[]	[]	[14.252311]	[122]	[]	[41262380]
293_2713	chr19	45442669	45443069	+	1000	49.5	[]	[]	[12.265705]	[161]	[]	[45442848]
293_2714	chr2	27409433	27409833	+	1000	49.5	[7.5940995, 10.534392]	[113, 118]	[]	[]	[27409621, 27409626]	[]
293_2718	chr21	29073499	29073899	+	1000	49.5	[9.09216]	[146]	[]	[]	[29073714]	[]
293_2720	chr22	19713610	19714010	+	1000	49.5	[7.5940995]	[163]	[9.052912]	[134]	[19713819]	[19713790]
293_2723	chr22	20321437	20321837	+	1000	49.5	[]	[]	[7.5940995]	[162]	[]	[20321614]
293_2724	chr22	20920043	20920443	+	1000	49.5	[]	[]	[8.061124, 14.252311]	[155, 159]	[]	[20920221, 20920225]
293_2730	chr22	22743161	22743561	+	1000	49.5	[]	[]	[7.5940995]	[170]	[]	[22743404]
293_2733	chr22	22850684	22851084	+	1000	49.5	[]	[]	[6.313181]	[83]	[]	[22850835]
293_2736	chr22	23234694	23235094	+	1000	49.5	[]	[]	[7.662525]	[159]	[]	[23234898]
293_2737	chr3	32685038	32685438	+	1000	49.5	[]	[]	[7.5940995]	[113]	[]	[32685233]
293_2738	chr3	157500203	157500603	+	1000	49.5	[]	[]	[11.779043, 14.252311]	[102, 119]	[]	[157500396, 157500413]
293_274	chr22	21867158	21867558	+	1000	113.5	[7.643828]	[95]	[]	[]	[21867321]	[]
293_2740	chr4	153773308	153773708	+	1000	49.5	[]	[]	[12.520998]	[165]	[]	[153773536]
293_2741	chr5	1004924	1005324	+	1000	49.5	[10.534392, 10.534392]	[89, 173]	[]	[]	[1005078, 1005162]	[]
293_2742	chr5	145835248	145835648	+	1000	49.5	[12.265705, 12.265705]	[126, 132]	[]	[]	[145835427, 145835433]	[]
293_2743	chr6	52503877	52504277	+	1000	49.5	[9.052912, 8.057231]	[151, 164]	[]	[]	[52504105, 52504118]	[]
293_2745	chr6	156720081	156720481	+	1000	49.5	[9.792437, 7.5940995]	[182, 188]	[]	[]	[156720303, 156720309]	[]
293_2746	chr6	158819271	158819671	+	1000	49.5	[7.0663056]	[154]	[12.520998]	[219]	[158819428]	[158819493]
293_2748	chr7	121396235	121396635	+	1000	49.5	[7.1055546, 7.0663056]	[122, 206]	[8.956747]	[191]	[121396393, 121396477]	[121396462]
293_2749	chr7	140175370	140175770	+	1000	49.5	[9.577935]	[100]	[]	[]	[140175538]	[]
293_2750	chr8	38938412	38938812	+	1000	49.5	[10.68806]	[152]	[]	[]	[38938652]	[]
293_2751	chr9	97922106	97922506	+	1000	49.5	[7.7586894]	[144]	[]	[]	[97922338]	[]
293_2753	chr9	130150828	130151228	+	1000	49.5	[7.1046667]	[127]	[]	[]	[130151048]	[]
293_2756	chr9	131055902	131056302	+	1000	49.5	[7.5940995, 7.315276]	[149, 151]	[14.252311]	[139]	[131056063, 131056065]	[131056053]
293_2757	chr9	131135055	131135455	+	1000	49.5	[9.788544]	[164]	[]	[]	[131135239]	[]
293_2760	chr1	1609725	1610125	+	1000	49.0	[7.5940995]	[89]	[7.2199736]	[125]	[1609883]	[1609919]
293_2761	chr1	17441550	17441950	+	1000	49.0	[7.643828]	[139]	[10.823473]	[191]	[17441725]	[17441777]
293_2762	chr1	44631646	44632046	+	1000	49.0	[]	[]	[10.0477295]	[82]	[]	[44631811]
293_2764	chr1	89763286	89763686	+	1000	49.0	[11.779043]	[144]	[]	[]	[89763511]	[]
