#PeakID(python scan_motif.py ./ENCODE_processed_files/TCF3_idr.fa TCF3 --motif_path ./motifs/ --distance 50  --cutoff --size 400)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
203_20824	chr3	20186136	20186536	+	1000	70.0	[8.272243]	[118]	[]	[]	[20186354]	[]
203_20826	chr3	32134820	32135220	+	1000	70.0	[]	[]	[8.235647]	[144]	[]	[32135056]
203_20831	chr3	48240938	48241338	+	1000	70.0	[]	[]	[8.235647]	[190]	[]	[48241168]
203_20838	chr3	160459436	160459836	+	1000	70.0	[8.332749]	[156]	[8.332749]	[75]	[160459673]	[160459592]
203_20841	chr3	183877273	183877673	+	1000	70.0	[8.498569]	[159]	[]	[]	[183877514]	[]
203_20843	chr3	185937747	185938147	+	1000	70.0	[7.5855]	[141]	[]	[]	[185937917]	[]
203_20846	chr4	8486658	8487058	+	1000	70.0	[]	[]	[8.332749]	[75]	[]	[8486823]
203_20847	chr4	10197938	10198338	+	1000	70.0	[7.8880606]	[157]	[8.643063]	[104]	[10198186]	[10198133]
203_2085	chr11	47056254	47056654	+	1000	394.0	[8.643063, 8.643063]	[151, 170]	[8.235647, 8.643063]	[120, 150]	[47056482, 47056501]	[47056451, 47056481]
203_20852	chr4	139692610	139693010	+	1000	70.0	[8.498569]	[92]	[]	[]	[139692791]	[]
203_20853	chr4	183030824	183031224	+	1000	70.0	[12.754859]	[138]	[]	[]	[183031041]	[]
203_20858	chr5	68331160	68331560	+	1000	70.0	[8.643063]	[88]	[]	[]	[68331345]	[]
203_20861	chr5	79514366	79514766	+	1000	70.0	[9.166563]	[163]	[]	[]	[79514597]	[]
203_20866	chr5	131382492	131382892	+	1000	70.0	[]	[]	[8.235647]	[169]	[]	[131382708]
203_20869	chr5	139646713	139647113	+	1000	70.0	[8.332749]	[145]	[]	[]	[139646957]	[]
203_2087	chr12	32054115	32054515	+	1000	394.0	[8.235647, 12.754859]	[91, 97]	[]	[]	[32054294, 32054300]	[]
203_20870	chr5	141521145	141521545	+	1000	70.0	[]	[]	[8.643063]	[171]	[]	[141521389]
203_20871	chr5	146521413	146521813	+	1000	70.0	[9.166563]	[100]	[]	[]	[146521611]	[]
203_20878	chr5	180072007	180072407	+	1000	70.0	[8.801346]	[134]	[]	[]	[180072234]	[]
203_20880	chr6	7173744	7174144	+	1000	70.0	[7.8923073]	[63]	[]	[]	[7173896]	[]
203_20883	chr6	20212496	20212896	+	1000	70.0	[]	[]	[8.643063]	[85]	[]	[20212680]
203_20885	chr6	24721442	24721842	+	1000	70.0	[9.540733]	[92]	[]	[]	[24721629]	[]
203_20890	chr6	30556252	30556652	+	1000	70.0	[]	[]	[9.540733]	[106]	[]	[30556442]
203_20891	chr6	35247836	35248236	+	1000	70.0	[]	[]	[8.332749]	[92]	[]	[35248026]
203_20899	chr6	125986342	125986742	+	1000	70.0	[8.643063]	[154]	[8.801346, 8.643063]	[138, 153]	[125986543]	[125986527, 125986542]
203_209	chr4	8336437	8336837	+	1000	702.0	[8.332749]	[70]	[]	[]	[8336605]	[]
203_20902	chr6	158644428	158644828	+	1000	70.0	[]	[]	[8.332749]	[100]	[]	[158644586]
203_20903	chr6	170554194	170554594	+	1000	70.0	[]	[]	[7.5073967]	[143]	[]	[170554380]
203_20904	chr7	2314495	2314895	+	1000	70.0	[]	[]	[7.5073967, 12.754859]	[88, 124]	[]	[2314660, 2314696]
203_20910	chr7	32200615	32201015	+	1000	70.0	[]	[]	[8.498569]	[158]	[]	[32200855]
203_20912	chr7	44291372	44291772	+	1000	70.0	[]	[]	[8.498569]	[97]	[]	[44291557]
203_20917	chr7	106009399	106009799	+	1000	70.0	[]	[]	[12.754859, 9.166563]	[83, 95]	[]	[106009568, 106009580]
203_20922	chr7	126701015	126701415	+	1000	70.0	[8.643063, 8.498569]	[97, 144]	[]	[]	[126701207, 126701254]	[]
203_20935	chr8	61139240	61139640	+	1000	70.0	[7.5855]	[109]	[]	[]	[61139440]	[]
203_20936	chr8	96893879	96894279	+	1000	70.0	[8.643063]	[109]	[8.272243]	[143]	[96894054]	[96894088]
203_20937	chr8	100499296	100499696	+	1000	70.0	[]	[]	[8.272243]	[100]	[]	[100499464]
203_20939	chr8	124351787	124352187	+	1000	70.0	[8.386223]	[145]	[]	[]	[124352008]	[]
203_20945	chr9	97983020	97983420	+	1000	70.0	[8.643063]	[204]	[8.643063]	[203]	[97983253]	[97983252]
203_20948	chr9	120403188	120403588	+	1000	70.0	[]	[]	[7.5855]	[151]	[]	[120403405]
203_20950	chr9	123373906	123374306	+	1000	70.0	[8.801346]	[175]	[]	[]	[123374154]	[]
203_20952	chr9	124939952	124940352	+	1000	70.0	[8.272243]	[58]	[]	[]	[124940103]	[]
203_20956	chr9	130732140	130732540	+	1000	70.0	[8.235647]	[95]	[]	[]	[130732308]	[]
203_20958	chr9	130839699	130840099	+	1000	70.0	[8.52607]	[122]	[]	[]	[130839919]	[]
203_20959	chr9	130913305	130913705	+	1000	70.0	[8.332749]	[233]	[]	[]	[130913550]	[]
203_20960	chr9	131252582	131252982	+	1000	70.0	[]	[]	[8.332749]	[97]	[]	[131252763]
203_20961	chr9	136206519	136206919	+	1000	70.0	[7.5073967]	[150]	[]	[]	[136206754]	[]
203_20969	chrX	124348105	124348505	+	1000	70.0	[]	[]	[7.5855]	[86]	[]	[124348281]
203_2097	chr10	117411441	117411841	+	1000	393.0	[]	[]	[8.332749]	[93]	[]	[117411621]
203_20973	chr1	14767175	14767575	+	1000	69.0	[8.643063]	[74]	[]	[]	[14767349]	[]
203_20978	chr1	21396966	21397366	+	1000	69.0	[8.332749]	[157]	[]	[]	[21397214]	[]
203_20980	chr1	31072402	31072802	+	1000	69.0	[]	[]	[8.332749]	[108]	[]	[31072590]
203_20983	chr1	33036878	33037278	+	1000	69.0	[]	[]	[9.166563]	[114]	[]	[33037089]
203_20989	chr1	54396270	54396670	+	1000	69.0	[8.332749]	[109]	[]	[]	[54396466]	[]
203_20990	chr1	64865109	64865509	+	1000	69.0	[8.498569]	[106]	[]	[]	[64865309]	[]
203_20992	chr1	91591101	91591501	+	1000	69.0	[]	[]	[8.272243]	[93]	[]	[91591288]
203_20997	chr1	117481450	117481850	+	1000	69.0	[]	[]	[7.8880606]	[66]	[]	[117481614]
203_20998	chr1	155934183	155934583	+	1000	69.0	[9.166563]	[166]	[]	[]	[155934394]	[]
203_2100	chr12	56126744	56127144	+	1000	393.0	[8.643063]	[125]	[]	[]	[56126957]	[]
203_21002	chr1	167803274	167803674	+	1000	69.0	[12.754859]	[195]	[7.8923073]	[114]	[167803518]	[167803437]
203_21007	chr1	203320984	203321384	+	1000	69.0	[8.643063, 12.754859]	[113, 127]	[8.643063]	[112]	[203321193, 203321207]	[203321192]
203_21008	chr1	204493850	204494250	+	1000	69.0	[]	[]	[8.643063, 9.166563]	[96, 142]	[]	[204494044, 204494090]
203_21012	chr1	208021825	208022225	+	1000	69.0	[12.754859]	[93]	[]	[]	[208022000]	[]
203_21015	chr1	246582058	246582458	+	1000	69.0	[]	[]	[8.332749]	[133]	[]	[246582283]
203_21016	chr1	247205064	247205464	+	1000	69.0	[]	[]	[8.52607]	[101]	[]	[247205257]
203_21017	chr1	247212116	247212516	+	1000	69.0	[7.5855]	[111]	[8.643063]	[73]	[247212315]	[247212277]
203_2102	chr17	28872702	28873102	+	1000	393.0	[8.643063]	[96]	[]	[]	[28872897]	[]
203_21021	chr10	6239207	6239607	+	1000	69.0	[]	[]	[8.235647]	[61]	[]	[6239366]
203_21026	chr10	25016403	25016803	+	1000	69.0	[9.540733]	[82]	[]	[]	[25016578]	[]
203_21029	chr10	72861565	72861965	+	1000	69.0	[7.8880606]	[77]	[]	[]	[72861739]	[]
203_21032	chr11	5244676	5245076	+	1000	69.0	[]	[]	[9.540733]	[125]	[]	[5244887]
203_21033	chr11	15655666	15656066	+	1000	69.0	[]	[]	[12.754859]	[106]	[]	[15655847]
203_21035	chr11	32435539	32435939	+	1000	69.0	[8.332749]	[148]	[8.679044]	[124]	[32435786]	[32435762]
203_21037	chr11	38517976	38518376	+	1000	69.0	[]	[]	[8.332749, 12.754859]	[79, 170]	[]	[38518134, 38518225]
203_21038	chr11	57493427	57493827	+	1000	69.0	[]	[]	[12.754859, 8.272243]	[70, 116]	[]	[57493581, 57493627]
203_21039	chr11	59154594	59154994	+	1000	69.0	[]	[]	[8.643063]	[67]	[]	[59154753]
203_21040	chr11	59545291	59545691	+	1000	69.0	[]	[]	[8.332749]	[88]	[]	[59545469]
203_21042	chr11	65096454	65096854	+	1000	69.0	[]	[]	[8.643063]	[77]	[]	[65096630]
203_21045	chr11	66616499	66616899	+	1000	69.0	[]	[]	[7.5855]	[170]	[]	[66616700]
203_21046	chr11	67317521	67317921	+	1000	69.0	[]	[]	[8.643063]	[83]	[]	[67317695]
203_2105	chr2	174074763	174075163	+	1000	393.0	[]	[]	[8.272243]	[80]	[]	[174074940]
203_21052	chr12	12475150	12475550	+	1000	69.0	[8.643063]	[126]	[]	[]	[12475365]	[]
203_21055	chr12	56129115	56129515	+	1000	69.0	[]	[]	[8.332749]	[101]	[]	[56129310]
203_21056	chr12	56636882	56637282	+	1000	69.0	[]	[]	[9.166563]	[82]	[]	[56637046]
203_2106	chr20	33690068	33690468	+	1000	393.0	[8.235647]	[116]	[]	[]	[33690281]	[]
203_21062	chr12	101707118	101707518	+	1000	69.0	[]	[]	[7.5855]	[110]	[]	[101707312]
203_21065	chr12	124917148	124917548	+	1000	69.0	[]	[]	[8.801346, 8.801346]	[64, 142]	[]	[124917303, 124917381]
203_21066	chr12	132144175	132144575	+	1000	69.0	[8.801346]	[105]	[]	[]	[132144352]	[]
203_21067	chr13	82507008	82507408	+	1000	69.0	[8.235647]	[140]	[]	[]	[82507242]	[]
203_21077	chr14	75317136	75317536	+	1000	69.0	[]	[]	[7.5855]	[144]	[]	[75317379]
203_21079	chr14	91149403	91149803	+	1000	69.0	[7.5073967]	[103]	[]	[]	[91149595]	[]
203_21080	chr14	104729226	104729626	+	1000	69.0	[]	[]	[8.332749, 9.540733]	[114, 157]	[]	[104729414, 104729457]
203_21081	chr15	22835333	22835733	+	1000	69.0	[]	[]	[8.332749]	[96]	[]	[22835525]
203_21082	chr15	34969599	34969999	+	1000	69.0	[]	[]	[8.801346]	[133]	[]	[34969831]
203_21083	chr15	40763894	40764294	+	1000	69.0	[8.643063]	[141]	[]	[]	[40764090]	[]
203_21084	chr15	42574300	42574700	+	1000	69.0	[8.52607]	[134]	[]	[]	[42574530]	[]
203_21088	chr15	63238847	63239247	+	1000	69.0	[]	[]	[8.332749]	[120]	[]	[63239060]
203_21093	chr15	101724070	101724470	+	1000	69.0	[8.332749, 8.643063]	[126, 177]	[8.643063]	[159]	[101724226, 101724277]	[101724259]
203_21094	chr16	567033	567433	+	1000	69.0	[]	[]	[8.235647]	[109]	[]	[567238]
203_21100	chr16	58129423	58129823	+	1000	69.0	[12.754859]	[136]	[]	[]	[58129630]	[]
203_21101	chr16	67626900	67627300	+	1000	69.0	[8.52607]	[135]	[]	[]	[67627131]	[]
203_21103	chr16	68310869	68311269	+	1000	69.0	[]	[]	[9.166563]	[156]	[]	[68311096]
203_21106	chr16	81493643	81494043	+	1000	69.0	[12.754859, 9.166563]	[61, 154]	[12.754859]	[97]	[81493799, 81493892]	[81493835]
203_21109	chr17	8164254	8164654	+	1000	69.0	[9.166563]	[136]	[]	[]	[8164437]	[]
203_2111	chr15	64461794	64462194	+	1000	392.0	[9.166563]	[140]	[]	[]	[64462033]	[]
203_21110	chr17	17089182	17089582	+	1000	69.0	[12.754859]	[90]	[]	[]	[17089334]	[]
203_21114	chr17	44340525	44340925	+	1000	69.0	[8.52607]	[103]	[]	[]	[44340713]	[]
203_21118	chr17	58219027	58219427	+	1000	69.0	[8.643063]	[115]	[]	[]	[58219233]	[]
203_2112	chr19	13717319	13717719	+	1000	392.0	[]	[]	[8.235647]	[89]	[]	[13717506]
203_21123	chr17	76182161	76182561	+	1000	69.0	[8.272243, 9.540733]	[113, 171]	[9.540733]	[170]	[76182353, 76182411]	[76182410]
203_21127	chr18	8982449	8982849	+	1000	69.0	[8.498569]	[111]	[]	[]	[8982647]	[]
203_21128	chr18	36468165	36468565	+	1000	69.0	[]	[]	[8.332749]	[160]	[]	[36468398]
203_21131	chr19	1030655	1031055	+	1000	69.0	[8.801346]	[139]	[]	[]	[1030877]	[]
203_21132	chr19	4633254	4633654	+	1000	69.0	[8.498569]	[137]	[]	[]	[4633460]	[]
203_21133	chr19	8321250	8321650	+	1000	69.0	[]	[]	[9.540733]	[167]	[]	[8321489]
203_21137	chr19	13150176	13150576	+	1000	69.0	[8.498569]	[141]	[]	[]	[13150393]	[]
203_21138	chr19	34171502	34171902	+	1000	69.0	[]	[]	[8.643063]	[147]	[]	[34171746]
203_21140	chr19	35269650	35270050	+	1000	69.0	[]	[]	[8.272243]	[72]	[]	[35269820]
203_21144	chr19	45098243	45098643	+	1000	69.0	[]	[]	[8.679044]	[130]	[]	[45098469]
203_21145	chr19	54115446	54115846	+	1000	69.0	[]	[]	[8.272243]	[139]	[]	[54115646]
203_21147	chr2	7574371	7574771	+	1000	69.0	[8.643063]	[93]	[]	[]	[7574561]	[]
203_21149	chr2	28683093	28683493	+	1000	69.0	[8.643063]	[184]	[8.643063]	[183]	[28683340]	[28683339]
203_21152	chr2	55050290	55050690	+	1000	69.0	[9.166563]	[124]	[8.679044]	[111]	[55050488]	[55050475]
203_21153	chr2	58046481	58046881	+	1000	69.0	[]	[]	[8.643063]	[203]	[]	[58046715]
203_21155	chr2	65382824	65383224	+	1000	69.0	[]	[]	[8.643063]	[95]	[]	[65382997]
203_21156	chr2	86197207	86197607	+	1000	69.0	[8.52607]	[114]	[]	[]	[86197385]	[]
203_21160	chr2	128250660	128251060	+	1000	69.0	[]	[]	[8.801346]	[99]	[]	[128250849]
203_21164	chr2	170862506	170862906	+	1000	69.0	[8.643063]	[83]	[]	[]	[170862660]	[]
203_21166	chr2	177893861	177894261	+	1000	69.0	[]	[]	[8.235647]	[87]	[]	[177894019]
203_21169	chr2	202266462	202266862	+	1000	69.0	[7.8923073]	[94]	[]	[]	[202266642]	[]
203_2117	chr9	14395689	14396089	+	1000	392.0	[]	[]	[9.166563]	[66]	[]	[14395855]
203_21170	chr2	202950599	202950999	+	1000	69.0	[]	[]	[9.540733]	[118]	[]	[202950799]
203_21171	chr2	219294791	219295191	+	1000	69.0	[12.754859]	[93]	[8.679044]	[126]	[219294972]	[219295005]
203_21177	chr20	46156056	46156456	+	1000	69.0	[8.679044]	[116]	[8.332749]	[90]	[46156256]	[46156230]
203_21184	chr21	34706396	34706796	+	1000	69.0	[8.235647]	[165]	[]	[]	[34706614]	[]
203_21187	chr22	19176857	19177257	+	1000	69.0	[]	[]	[8.332749]	[166]	[]	[19177053]
203_21194	chr22	22555566	22555966	+	1000	69.0	[]	[]	[8.272243]	[140]	[]	[22555772]
203_21195	chr22	22709685	22710085	+	1000	69.0	[]	[]	[8.643063]	[149]	[]	[22709910]
203_21196	chr22	22736080	22736480	+	1000	69.0	[8.332749]	[120]	[]	[]	[22736298]	[]
203_21198	chr22	23235209	23235609	+	1000	69.0	[]	[]	[8.643063]	[116]	[]	[23235406]
203_21199	chr22	24510714	24511114	+	1000	69.0	[8.643063, 8.643063]	[59, 96]	[8.643063]	[58]	[24510871, 24510908]	[24510870]
203_212	chr11	76700471	76700871	+	1000	701.0	[]	[]	[8.235647]	[68]	[]	[76700637]
203_2120	chr1	211722504	211722904	+	1000	391.0	[]	[]	[8.643063]	[127]	[]	[211722730]
203_21200	chr22	30423956	30424356	+	1000	69.0	[8.643063, 8.801346]	[75, 131]	[]	[]	[30424126, 30424182]	[]
203_21201	chr3	5057773	5058173	+	1000	69.0	[12.754859]	[135]	[]	[]	[5057973]	[]
203_21203	chr3	14230723	14231123	+	1000	69.0	[7.5855]	[150]	[]	[]	[14230940]	[]
203_21207	chr3	48236072	48236472	+	1000	69.0	[8.643063]	[133]	[8.643063]	[132]	[48236275]	[48236274]
203_21208	chr3	49021839	49022239	+	1000	69.0	[8.801346]	[66]	[]	[]	[49022005]	[]
203_21211	chr3	58161688	58162088	+	1000	69.0	[8.498569]	[181]	[]	[]	[58161938]	[]
203_21212	chr3	71245871	71246271	+	1000	69.0	[]	[]	[8.643063]	[154]	[]	[71246108]
203_21213	chr3	72967522	72967922	+	1000	69.0	[]	[]	[8.235647]	[131]	[]	[72967744]
203_21216	chr3	128380716	128381116	+	1000	69.0	[]	[]	[8.272243]	[133]	[]	[128380928]
203_21217	chr3	130433278	130433678	+	1000	69.0	[]	[]	[7.5855]	[76]	[]	[130433432]
203_21220	chr3	149086531	149086931	+	1000	69.0	[]	[]	[8.679044]	[165]	[]	[149086767]
203_21223	chr3	170815350	170815750	+	1000	69.0	[]	[]	[8.332749]	[136]	[]	[170815557]
203_21225	chr3	195715986	195716386	+	1000	69.0	[]	[]	[12.754859, 12.754859]	[116, 145]	[]	[195716202, 195716231]
203_21228	chr4	2963214	2963614	+	1000	69.0	[9.540733, 8.332749]	[76, 125]	[]	[]	[2963386, 2963435]	[]
203_21229	chr4	10386002	10386402	+	1000	69.0	[]	[]	[8.386223]	[152]	[]	[10386232]
203_2123	chr17	28173005	28173405	+	1000	391.0	[8.52607]	[69]	[]	[]	[28173167]	[]
203_21235	chr4	143819082	143819482	+	1000	69.0	[]	[]	[8.235647]	[102]	[]	[143819268]
203_21236	chr4	147684038	147684438	+	1000	69.0	[8.272243]	[72]	[]	[]	[147684209]	[]
203_21237	chr4	183098742	183099142	+	1000	69.0	[8.272243]	[143]	[]	[]	[183098959]	[]
203_21241	chr5	56101176	56101576	+	1000	69.0	[7.5073967]	[104]	[]	[]	[56101368]	[]
203_21242	chr5	62285388	62285788	+	1000	69.0	[7.5073967]	[123]	[8.386223]	[130]	[62285597]	[62285604]
203_21245	chr5	100424017	100424417	+	1000	69.0	[]	[]	[8.643063]	[145]	[]	[100424256]
203_21249	chr5	160399562	160399962	+	1000	69.0	[8.643063]	[125]	[]	[]	[160399770]	[]
203_2125	chr18	30676035	30676435	+	1000	391.0	[8.235647]	[99]	[]	[]	[30676229]	[]
203_21260	chr6	21263856	21264256	+	1000	69.0	[]	[]	[8.332749, 7.5855]	[92, 118]	[]	[21264022, 21264048]
203_21261	chr6	22612289	22612689	+	1000	69.0	[]	[]	[8.332749]	[98]	[]	[22612477]
203_21265	chr6	28710456	28710856	+	1000	69.0	[8.332749]	[126]	[]	[]	[28710653]	[]
203_21269	chr6	53592991	53593391	+	1000	69.0	[8.498569]	[67]	[]	[]	[53593156]	[]
203_2127	chr2	26974309	26974709	+	1000	391.0	[8.643063]	[136]	[8.235647, 8.643063]	[100, 135]	[26974540]	[26974504, 26974539]
203_21280	chr6	140486993	140487393	+	1000	69.0	[]	[]	[9.540733]	[137]	[]	[140487226]
203_21283	chr6	158808029	158808429	+	1000	69.0	[]	[]	[8.272243]	[120]	[]	[158808242]
203_21289	chr7	5563566	5563966	+	1000	69.0	[8.801346]	[117]	[8.272243]	[98]	[5563767]	[5563748]
203_21297	chr7	76358679	76359079	+	1000	69.0	[]	[]	[8.643063]	[172]	[]	[76358920]
203_21299	chr7	102363647	102364047	+	1000	69.0	[8.498569, 8.332749]	[167, 178]	[]	[]	[102363863, 102363874]	[]
203_21304	chr7	131602968	131603368	+	1000	69.0	[8.498569]	[62]	[]	[]	[131603127]	[]
203_21306	chr7	155660456	155660856	+	1000	69.0	[]	[]	[8.386223]	[87]	[]	[155660625]
203_21307	chr7	155688211	155688611	+	1000	69.0	[8.235647]	[116]	[]	[]	[155688413]	[]
203_21308	chr8	8324801	8325201	+	1000	69.0	[]	[]	[12.754859]	[123]	[]	[8324977]
203_21317	chr8	124897283	124897683	+	1000	69.0	[]	[]	[12.754859]	[66]	[]	[124897442]
203_2132	chr6	50959262	50959662	+	1000	391.0	[8.332749]	[131]	[]	[]	[50959489]	[]
203_21322	chr9	19493959	19494359	+	1000	69.0	[8.52607]	[89]	[]	[]	[19494147]	[]
203_21325	chr9	112180308	112180708	+	1000	69.0	[7.5855]	[90]	[]	[]	[112180482]	[]
203_21328	chr9	130859203	130859603	+	1000	69.0	[7.5073967]	[174]	[8.801346]	[134]	[130859445]	[130859405]
203_21329	chr9	131045410	131045810	+	1000	69.0	[]	[]	[8.643063, 8.272243]	[91, 143]	[]	[131045574, 131045626]
203_21331	chrX	41822938	41823338	+	1000	69.0	[12.754859]	[132]	[12.754859]	[114]	[41823162]	[41823144]
203_21338	chr1	2391481	2391881	+	1000	68.0	[8.643063]	[145]	[8.643063]	[144]	[2391676]	[2391675]
203_21339	chr1	3899943	3900343	+	1000	68.0	[8.643063, 7.5855]	[130, 154]	[12.754859, 8.643063]	[97, 129]	[3900145, 3900169]	[3900112, 3900144]
203_21340	chr1	11838653	11839053	+	1000	68.0	[]	[]	[8.235647]	[112]	[]	[11838844]
203_21341	chr1	23743309	23743709	+	1000	68.0	[]	[]	[8.801346]	[178]	[]	[23743542]
203_21346	chr1	33275274	33275674	+	1000	68.0	[]	[]	[9.540733]	[92]	[]	[33275456]
203_21347	chr1	36188132	36188532	+	1000	68.0	[8.272243]	[134]	[]	[]	[36188340]	[]
203_21350	chr1	41898397	41898797	+	1000	68.0	[9.540733]	[116]	[]	[]	[41898588]	[]
203_21352	chr1	46286018	46286418	+	1000	68.0	[8.643063]	[93]	[12.754859]	[134]	[46286206]	[46286247]
203_21353	chr1	46348087	46348487	+	1000	68.0	[8.332749]	[121]	[]	[]	[46348272]	[]
203_21354	chr1	52150459	52150859	+	1000	68.0	[]	[]	[8.332749]	[148]	[]	[52150705]
203_21355	chr1	52703175	52703575	+	1000	68.0	[8.643063, 8.498569]	[90, 105]	[]	[]	[52703359, 52703374]	[]
203_2136	chr18	50358809	50359209	+	1000	390.0	[]	[]	[8.643063, 8.332749]	[92, 124]	[]	[50358999, 50359031]
203_21363	chr1	70264822	70265222	+	1000	68.0	[]	[]	[8.801346]	[137]	[]	[70265054]
203_21364	chr1	91769324	91769724	+	1000	68.0	[8.272243]	[66]	[]	[]	[91769478]	[]
203_21366	chr1	94892921	94893321	+	1000	68.0	[]	[]	[8.643063]	[63]	[]	[94893081]
203_21367	chr1	99969704	99970104	+	1000	68.0	[]	[]	[8.272243]	[157]	[]	[99969867]
203_21378	chr1	159896509	159896909	+	1000	68.0	[]	[]	[8.643063]	[99]	[]	[159896691]
203_21384	chr1	200454439	200454839	+	1000	68.0	[8.643063]	[79]	[]	[]	[200454603]	[]
203_21386	chr1	212307781	212308181	+	1000	68.0	[8.272243]	[132]	[]	[]	[212308006]	[]
203_21388	chr1	219991937	219992337	+	1000	68.0	[7.5073967]	[119]	[]	[]	[219992138]	[]
203_21389	chr1	223783054	223783454	+	1000	68.0	[]	[]	[8.52607, 8.235647]	[147, 156]	[]	[223783289, 223783298]
203_21390	chr1	231091913	231092313	+	1000	68.0	[]	[]	[7.5855]	[113]	[]	[231092110]
203_21399	chr10	50574930	50575330	+	1000	68.0	[]	[]	[8.643063]	[106]	[]	[50575131]
203_214	chr1	160046458	160046858	+	1000	700.0	[8.332749, 8.332749]	[84, 122]	[]	[]	[160046637, 160046675]	[]
203_21400	chr10	59906764	59907164	+	1000	68.0	[]	[]	[12.754859]	[82]	[]	[59906943]
203_21402	chr10	63665720	63666120	+	1000	68.0	[7.8923073]	[169]	[]	[]	[63665960]	[]
203_21403	chr10	72275617	72276017	+	1000	68.0	[8.272243, 8.643063]	[180, 187]	[8.643063]	[186]	[72275799, 72275806]	[72275805]
203_21406	chr10	79067248	79067648	+	1000	68.0	[8.272243]	[123]	[]	[]	[79067469]	[]
203_21407	chr10	80485014	80485414	+	1000	68.0	[8.235647]	[133]	[]	[]	[80485245]	[]
203_21408	chr10	92238745	92239145	+	1000	68.0	[]	[]	[8.801346]	[81]	[]	[92238925]
203_21412	chr10	122848293	122848693	+	1000	68.0	[12.754859]	[128]	[8.643063]	[92]	[122848506]	[122848470]
203_21414	chr10	124547655	124548055	+	1000	68.0	[]	[]	[8.332749]	[135]	[]	[124547887]
203_21415	chr11	324616	325016	+	1000	68.0	[]	[]	[9.166563]	[143]	[]	[324849]
203_21417	chr11	3057196	3057596	+	1000	68.0	[8.643063]	[166]	[8.643063]	[165]	[3057388]	[3057387]
203_21418	chr11	3653332	3653732	+	1000	68.0	[12.754859]	[127]	[]	[]	[3653559]	[]
203_2142	chr3	24185791	24186191	+	1000	390.0	[9.540733]	[160]	[]	[]	[24186042]	[]
203_21421	chr11	5258558	5258958	+	1000	68.0	[7.8923073]	[118]	[]	[]	[5258774]	[]
203_21425	chr11	36453976	36454376	+	1000	68.0	[8.643063, 8.498569]	[88, 97]	[8.332749]	[146]	[36454154, 36454163]	[36454212]
203_21427	chr11	46239137	46239537	+	1000	68.0	[8.801346]	[108]	[]	[]	[46239298]	[]
203_21430	chr11	61334846	61335246	+	1000	68.0	[7.8880606]	[97]	[]	[]	[61335019]	[]
203_21431	chr11	61962968	61963368	+	1000	68.0	[]	[]	[8.272243, 8.235647]	[64, 145]	[]	[61963132, 61963213]
203_21432	chr11	62012523	62012923	+	1000	68.0	[]	[]	[8.643063]	[125]	[]	[62012724]
203_21436	chr11	67629285	67629685	+	1000	68.0	[]	[]	[12.754859]	[175]	[]	[67629523]
203_21437	chr11	69288167	69288567	+	1000	68.0	[8.52607]	[128]	[]	[]	[69288384]	[]
203_21439	chr11	76115574	76115974	+	1000	68.0	[9.540733]	[82]	[]	[]	[76115745]	[]
203_21446	chr12	12810459	12810859	+	1000	68.0	[]	[]	[7.5073967]	[152]	[]	[12810704]
203_21448	chr12	23813185	23813585	+	1000	68.0	[]	[]	[8.235647]	[157]	[]	[23813434]
203_21451	chr12	38669492	38669892	+	1000	68.0	[]	[]	[8.332749]	[120]	[]	[38669710]
203_21453	chr12	51070046	51070446	+	1000	68.0	[8.272243]	[147]	[8.332749]	[170]	[51070274]	[51070297]
203_21455	chr12	55726732	55727132	+	1000	68.0	[8.332749]	[105]	[]	[]	[55726926]	[]
203_21458	chr12	65205036	65205436	+	1000	68.0	[8.332749]	[91]	[]	[]	[65205205]	[]
203_21461	chr12	104412046	104412446	+	1000	68.0	[8.643063]	[88]	[8.498569, 8.332749]	[107, 116]	[104412228]	[104412247, 104412256]
203_21463	chr12	120249410	120249810	+	1000	68.0	[]	[]	[8.235647]	[149]	[]	[120249639]
203_21464	chr12	121400861	121401261	+	1000	68.0	[]	[]	[12.754859]	[166]	[]	[121401099]
203_21469	chr13	52450524	52450924	+	1000	68.0	[]	[]	[9.166563]	[69]	[]	[52450693]
203_21473	chr13	112762275	112762675	+	1000	68.0	[]	[]	[8.332749]	[109]	[]	[112762483]
203_21477	chr14	30884812	30885212	+	1000	68.0	[]	[]	[8.235647]	[72]	[]	[30884981]
203_21486	chr15	73165801	73166201	+	619	68.0	[8.52607]	[71]	[]	[]	[73165968]	[]
203_21489	chr15	79896698	79897098	+	1000	68.0	[7.5855]	[77]	[]	[]	[79896869]	[]
203_2149	chr9	127168720	127169120	+	1000	390.0	[12.754859]	[63]	[]	[]	[127168877]	[]
203_21490	chr15	87619271	87619671	+	1000	68.0	[8.498569]	[98]	[]	[]	[87619455]	[]
203_21494	chr16	721349	721749	+	1000	68.0	[]	[]	[8.272243]	[214]	[]	[721594]
203_21498	chr16	29807592	29807992	+	1000	68.0	[9.540733]	[90]	[]	[]	[29807758]	[]
203_21499	chr16	29863421	29863821	+	1000	68.0	[]	[]	[8.235647]	[100]	[]	[29863599]
203_215	chr7	102441600	102442000	+	1000	700.0	[12.754859]	[113]	[]	[]	[102441810]	[]
