#PeakID(python identify_motif.py ./ENCODE_processed_files/JUND_idr.fa JUND --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
658_22236	chr3	177614984	177615384	+	1000	71.0	[7.025225]	[71]	[]	[]	[177615139]	[]
658_22239	chr4	6052689	6053089	+	1000	71.0	[8.706673]	[110]	[10.9372835]	[110]	[6052887]	[6052887]
658_2224	chr19	4455192	4455592	+	1000	278.0	[15.887955]	[104]	[14.058652]	[104]	[4455395]	[4455395]
658_22245	chr4	73735174	73735574	+	1000	71.0	[7.025031, 6.5350895]	[88, 105]	[7.252707]	[105]	[73735331, 73735348]	[73735348]
658_22246	chr4	74628809	74629209	+	1000	71.0	[11.371393]	[121]	[14.169626]	[121]	[74629009]	[74629009]
658_22247	chr4	85681241	85681641	+	1000	71.0	[7.844876]	[125]	[]	[]	[85681445]	[]
658_22250	chr4	154205550	154205950	+	1000	71.0	[8.170471]	[119]	[]	[]	[154205718]	[]
658_22255	chr5	31532174	31532574	+	1000	71.0	[]	[]	[8.464041]	[130]	[]	[31532393]
658_22257	chr5	41738694	41739094	+	1000	71.0	[9.1401615]	[106]	[8.000293]	[106]	[41738897]	[41738897]
658_22258	chr5	44942361	44942761	+	1000	71.0	[14.058652]	[104]	[7.421833, 15.887955]	[87, 104]	[44942563]	[44942546, 44942563]
658_2226	chr2	33275703	33276103	+	1000	278.0	[12.655612, 9.107981]	[101, 126]	[11.393932, 10.535975]	[101, 126]	[33275899, 33275924]	[33275899, 33275924]
658_22262	chr5	72226942	72227342	+	1000	71.0	[6.38505]	[114]	[]	[]	[72227129]	[]
658_22266	chr5	91381611	91382011	+	1000	71.0	[]	[]	[6.12527]	[88]	[]	[91381794]
658_2227	chr2	112692510	112692910	+	1000	278.0	[13.223235]	[80]	[10.826309]	[80]	[112692679]	[112692679]
658_22279	chr6	12071210	12071610	+	1000	71.0	[10.535975]	[128]	[9.107981]	[128]	[12071424]	[12071424]
658_22280	chr6	14635918	14636318	+	1000	71.0	[13.200696]	[109]	[12.340323]	[109]	[14636118]	[14636118]
658_22294	chr6	106129182	106129582	+	1000	71.0	[14.169626]	[108]	[11.371393]	[108]	[106129388]	[106129388]
658_22295	chr6	107211910	107212310	+	1000	71.0	[15.887955]	[104]	[14.058652]	[104]	[107212112]	[107212112]
658_2230	chr3	179615417	179615817	+	1000	278.0	[9.464114]	[116]	[8.90054]	[116]	[179615628]	[179615628]
658_22302	chr6	150256530	150256930	+	1000	71.0	[11.437814]	[124]	[10.508272]	[124]	[150256729]	[150256729]
658_22305	chr7	4684230	4684630	+	1000	71.0	[13.200696]	[121]	[12.340323]	[121]	[4684433]	[4684433]
658_22309	chr7	12731278	12731678	+	1000	71.0	[7.2759295]	[67]	[8.773093]	[67]	[12731442]	[12731442]
658_22311	chr7	32163044	32163444	+	1000	71.0	[15.887955]	[90]	[14.058652]	[90]	[32163227]	[32163227]
658_22318	chr7	107028968	107029368	+	1000	71.0	[11.827421]	[70]	[9.718622]	[70]	[107029133]	[107029133]
658_22327	chr8	29513223	29513623	+	1000	71.0	[11.482367]	[130]	[9.653064]	[130]	[29513435]	[29513435]
658_22333	chr8	60911716	60912116	+	1000	71.0	[7.031363]	[106]	[10.109092]	[106]	[60911915]	[60911915]
658_2234	chr6	161273984	161274384	+	1000	278.0	[11.371393]	[132]	[14.169626]	[132]	[161274205]	[161274205]
658_22342	chr9	33426973	33427373	+	1000	71.0	[12.655612]	[133]	[11.393932]	[133]	[33427201]	[33427201]
658_22345	chr9	40939361	40939761	+	1000	71.0	[12.655612]	[126]	[11.393932]	[126]	[40939587]	[40939587]
658_22347	chr9	96854388	96854788	+	1000	71.0	[7.275246, 8.318899]	[96, 147]	[]	[]	[96854573, 96854624]	[]
658_22360	chrX	48940510	48940910	+	1000	71.0	[]	[]	[6.850379]	[94]	[]	[48940700]
658_22372	chr1	19341443	19341843	+	1000	70.0	[7.9295206]	[77]	[10.037228]	[77]	[19341606]	[19341606]
658_22378	chr1	31577524	31577924	+	1000	70.0	[10.535975]	[114]	[9.107981]	[114]	[31577730]	[31577730]
658_2238	chr9	73143912	73144312	+	1000	278.0	[12.132883]	[116]	[12.128834]	[116]	[73144128]	[73144128]
658_22380	chr1	37860062	37860462	+	1000	70.0	[8.040495]	[96]	[]	[]	[37860247]	[]
658_22381	chr1	39185526	39185926	+	1000	70.0	[10.826309]	[111]	[13.223235]	[111]	[39185733]	[39185733]
658_22388	chr1	45913359	45913759	+	1000	70.0	[9.468163]	[142]	[8.896491]	[142]	[45913585]	[45913585]
658_22391	chr1	59427163	59427563	+	1000	70.0	[8.539239, 7.997545, 6.3186293]	[94, 134, 149]	[8.446094]	[149]	[59427357, 59427397, 59427412]	[59427412]
658_22400	chr1	119967994	119968394	+	1000	70.0	[6.1900945, 7.6028485]	[127, 140]	[6.5837955]	[127]	[119968206, 119968219]	[119968206]
658_2241	chr12	65655115	65655515	+	1000	277.0	[14.169626]	[105]	[11.371393]	[105]	[65655320]	[65655320]
658_22410	chr1	198681803	198682203	+	1000	70.0	[6.7076235]	[146]	[]	[]	[198682031]	[]
658_22419	chr10	3765071	3765471	+	1000	70.0	[10.257568]	[67]	[8.353066]	[67]	[3765234]	[3765234]
658_22422	chr10	35129195	35129595	+	1000	70.0	[9.653064]	[85]	[11.482367]	[85]	[35129379]	[35129379]
658_22428	chr10	61939567	61939967	+	1000	70.0	[9.107981, 9.718622]	[89, 151]	[10.535975, 11.827421]	[89, 151]	[61939741, 61939803]	[61939741, 61939803]
658_22435	chr10	91908764	91909164	+	1000	70.0	[7.9295206]	[98]	[10.037228]	[98]	[91908961]	[91908961]
658_2244	chr16	79970942	79971342	+	1000	277.0	[11.393932, 13.223235]	[93, 113]	[12.655612, 10.826309, 7.218002]	[93, 113, 149]	[79971129, 79971149]	[79971129, 79971149, 79971185]
658_2245	chr17	42276985	42277385	+	1000	277.0	[8.706673]	[104]	[10.9372835]	[104]	[42277189]	[42277189]
658_2246	chr17	44204356	44204756	+	1000	277.0	[12.340323]	[98]	[13.200696]	[98]	[44204549]	[44204549]
658_22461	chr11	96279600	96280000	+	1000	70.0	[13.223235]	[90]	[10.826309]	[90]	[96279789]	[96279789]
658_22468	chr12	48865754	48866154	+	1000	70.0	[8.16159]	[145]	[9.990892]	[145]	[48865994]	[48865994]
658_2247	chr19	2543593	2543993	+	1000	277.0	[9.107981]	[134]	[10.535975]	[134]	[2543816]	[2543816]
658_2248	chr2	10283287	10283687	+	1000	277.0	[10.535975, 10.535975]	[90, 100]	[9.107981, 9.107981]	[90, 100]	[10283476, 10283486]	[10283476, 10283486]
658_22484	chr13	99124959	99125359	+	1000	70.0	[11.371393]	[88]	[14.169626]	[88]	[99125144]	[99125144]
658_22488	chr14	37595810	37596210	+	1000	70.0	[9.653064]	[120]	[11.482367]	[120]	[37596009]	[37596009]
658_22492	chr14	71361351	71361751	+	1000	70.0	[8.680293]	[125]	[10.575411]	[125]	[71361556]	[71361556]
658_22494	chr14	77302898	77303298	+	790	70.0	[11.393932]	[87]	[12.655612]	[87]	[77303084]	[77303084]
658_22497	chr14	102931251	102931651	+	1000	70.0	[11.371393]	[106]	[14.169626]	[106]	[102931447]	[102931447]
658_22498	chr15	40330493	40330893	+	1000	70.0	[9.719484]	[164]	[7.821013]	[164]	[40330733]	[40330733]
658_2250	chr2	126657867	126658267	+	1000	277.0	[12.340323]	[108]	[13.200696]	[108]	[126658069]	[126658069]
658_22503	chr15	42010413	42010813	+	1000	70.0	[11.437814]	[136]	[10.508272]	[136]	[42010648]	[42010648]
658_22514	chr15	87619273	87619673	+	1000	70.0	[]	[]	[6.876749]	[107]	[]	[87619474]
658_22530	chr16	89557399	89557799	+	1000	70.0	[7.5176497, 7.0715647]	[72, 117]	[6.489596]	[117]	[89557565, 89557610]	[89557610]
658_2254	chr4	151744614	151745014	+	1000	277.0	[11.371393]	[122]	[14.169626]	[122]	[151744825]	[151744825]
658_22542	chr17	76382961	76383361	+	1000	70.0	[8.706673]	[160]	[10.9372835]	[160]	[76383197]	[76383197]
658_22543	chr17	81285387	81285787	+	1000	70.0	[9.990892]	[102]	[8.16159]	[102]	[81285585]	[81285585]
658_22548	chr18	12606856	12607256	+	1000	70.0	[11.482367]	[119]	[9.653064]	[119]	[12607074]	[12607074]
658_22550	chr18	48933878	48934278	+	1000	70.0	[]	[]	[7.6028485]	[120]	[]	[48934040]
658_22551	chr18	49849668	49850068	+	1000	70.0	[10.826309]	[97]	[13.223235]	[97]	[49849858]	[49849858]
658_22553	chr18	57095934	57096334	+	1000	70.0	[10.414554]	[88]	[9.441575]	[88]	[57096119]	[57096119]
658_2258	chr6	135498215	135498615	+	1000	277.0	[8.706673]	[107]	[10.9372835]	[107]	[135498419]	[135498419]
658_22581	chr2	28269176	28269576	+	1000	70.0	[10.826309]	[88]	[13.223235]	[88]	[28269361]	[28269361]
658_22587	chr2	54122941	54123341	+	1000	70.0	[11.371393, 8.147932]	[84, 135]	[14.169626, 6.6167903]	[84, 135]	[54123125, 54123176]	[54123125, 54123176]
658_22589	chr2	69818170	69818570	+	1000	70.0	[6.707188]	[139]	[]	[]	[69818374]	[]
658_22597	chr2	181988134	181988534	+	1000	70.0	[6.60213]	[96]	[]	[]	[181988317]	[]
658_22598	chr2	216221838	216222238	+	1000	70.0	[11.393932]	[143]	[12.655612]	[143]	[216222059]	[216222059]
658_2260	chrX	71182053	71182453	+	1000	277.0	[15.887955]	[123]	[14.058652]	[123]	[71182259]	[71182259]
658_22601	chr2	231706151	231706551	+	1000	70.0	[10.338868]	[103]	[8.119912]	[103]	[231706337]	[231706337]
658_22609	chr20	51487907	51488307	+	1000	70.0	[10.535975, 6.168242]	[103, 152]	[9.107981, 7.3772798]	[103, 152]	[51488107, 51488156]	[51488107, 51488156]
658_22615	chr21	42097798	42098198	+	1000	70.0	[10.826309, 8.896491]	[99, 149]	[13.223235, 9.468163]	[99, 149]	[42097995, 42098045]	[42097995, 42098045]
658_22616	chr21	42644245	42644645	+	1000	70.0	[8.773093]	[162]	[7.2759295]	[162]	[42644490]	[42644490]
658_2262	chr1	205678538	205678938	+	1000	276.0	[8.773093]	[96]	[7.2759295]	[96]	[205678733]	[205678733]
658_22626	chr22	31646448	31646848	+	810	70.0	[9.107981]	[78]	[10.535975]	[78]	[31646613]	[31646613]
658_22637	chr3	12235717	12236117	+	1000	70.0	[15.887955]	[104]	[7.025225, 14.058652]	[62, 104]	[12235910]	[12235868, 12235910]
658_22641	chr3	51539585	51539985	+	1000	70.0	[10.9372835]	[91]	[8.706673]	[91]	[51539774]	[51539774]
658_22643	chr3	57803610	57804010	+	682	70.0	[13.200696]	[131]	[12.340323]	[131]	[57803825]	[57803825]
658_2265	chr11	20035618	20036018	+	1000	276.0	[6.502496, 11.371393, 6.9437904]	[85, 100, 111]	[6.423249, 14.169626, 9.105232]	[85, 100, 111]	[20035794, 20035809, 20035820]	[20035794, 20035809, 20035820]
658_22651	chr3	143135162	143135562	+	1000	70.0	[11.827421]	[123]	[9.718622]	[123]	[143135372]	[143135372]
658_22659	chr4	6892185	6892585	+	1000	70.0	[6.850379]	[95]	[]	[]	[6892369]	[]
658_22660	chr4	10385961	10386361	+	1000	70.0	[7.821013]	[107]	[9.719484]	[107]	[10386154]	[10386154]
658_22667	chr4	79527120	79527520	+	854	70.0	[7.025225, 12.340323, 9.441575]	[106, 114, 121]	[13.200696, 10.414554]	[114, 121]	[79527318, 79527326, 79527333]	[79527326, 79527333]
658_22675	chr5	14696052	14696452	+	1000	70.0	[6.776855]	[65]	[7.182211]	[65]	[14696212]	[14696212]
658_22678	chr5	87300759	87301159	+	643	70.0	[8.509564, 7.031363, 9.653064, 9.105232]	[56, 63, 111, 123]	[9.949216, 10.109092, 7.2844954, 11.482367, 6.9437904]	[56, 63, 87, 111, 123]	[87300914, 87300921, 87300969, 87300981]	[87300914, 87300921, 87300945, 87300969, 87300981]
658_22679	chr5	90548105	90548505	+	1000	70.0	[11.393932]	[103]	[12.655612]	[103]	[90548290]	[90548290]
658_2268	chr17	59829158	59829558	+	1000	276.0	[10.826309]	[54]	[13.223235]	[54]	[59829312]	[59829312]
658_22683	chr5	115349328	115349728	+	1000	70.0	[15.887955]	[109]	[14.058652]	[109]	[115349537]	[115349537]
658_2270	chr2	112640768	112641168	+	1000	276.0	[13.200696]	[103]	[12.340323]	[103]	[112640967]	[112640967]
658_22701	chr6	30544639	30545039	+	1000	70.0	[10.9372835]	[60]	[8.706673]	[60]	[30544793]	[30544793]
658_22706	chr6	36766123	36766523	+	1000	70.0	[]	[]	[7.372508]	[73]	[]	[36766293]
658_22719	chr6	133569480	133569880	+	1000	70.0	[10.9372835, 6.6167903, 6.1900945]	[80, 112, 137]	[8.706673, 8.147932, 6.5837955]	[80, 112, 137]	[133569659, 133569691, 133569716]	[133569659, 133569691, 133569716]
658_2273	chr3	49638424	49638824	+	1000	276.0	[11.371393]	[109]	[14.169626]	[109]	[49638631]	[49638631]
658_22732	chr7	32892796	32893196	+	1000	70.0	[11.827421]	[107]	[9.718622]	[107]	[32892990]	[32892990]
658_22734	chr7	50821471	50821871	+	1000	70.0	[11.393932]	[117]	[12.655612]	[117]	[50821679]	[50821679]
658_22750	chr7	151207014	151207414	+	1000	70.0	[8.053419]	[99]	[9.834473, 7.4997025]	[99, 134]	[151207180]	[151207180, 151207215]
658_22756	chr8	25000572	25000972	+	1000	70.0	[8.706673]	[108]	[10.9372835]	[108]	[25000775]	[25000775]
658_22767	chr8	66421223	66421623	+	1000	70.0	[12.655612]	[124]	[11.393932]	[124]	[66421443]	[66421443]
658_2277	chr7	48088394	48088794	+	1000	276.0	[11.371393]	[109]	[14.169626]	[109]	[48088596]	[48088596]
658_22771	chr8	101538189	101538589	+	1000	70.0	[15.887955]	[89]	[14.058652]	[89]	[101538369]	[101538369]
658_22772	chr8	105100794	105101194	+	1000	70.0	[14.058652]	[89]	[6.2084436, 15.887955]	[70, 89]	[105100977]	[105100958, 105100977]
658_22776	chr9	78296980	78297380	+	1000	70.0	[10.535975]	[109]	[9.107981]	[109]	[78297184]	[78297184]
658_2278	chr1	151988393	151988793	+	1000	275.0	[14.058652]	[129]	[15.887955]	[129]	[151988611]	[151988611]
658_22792	chr1	12143564	12143964	+	1000	69.0	[8.428265, 8.253419]	[104, 121]	[10.182369, 9.939966]	[104, 121]	[12143738, 12143755]	[12143738, 12143755]
658_22809	chr1	43934742	43935142	+	1000	69.0	[6.60213]	[139]	[]	[]	[43934943]	[]
658_22810	chr1	45329491	45329891	+	1000	69.0	[7.372508, 10.826309]	[66, 91]	[13.223235]	[91]	[45329651, 45329676]	[45329676]
658_22811	chr1	47215688	47216088	+	1000	69.0	[10.508272]	[122]	[11.437814]	[122]	[47215896]	[47215896]
658_22821	chr1	110433793	110434193	+	1000	69.0	[9.990892]	[145]	[8.16159]	[145]	[110434031]	[110434031]
658_22842	chr1	236523749	236524149	+	1000	69.0	[7.372508]	[119]	[]	[]	[236523947]	[]
658_2285	chr15	55237505	55237905	+	1000	275.0	[12.337575]	[93]	[9.608511]	[93]	[55237690]	[55237690]
658_22852	chr10	71968667	71969067	+	1000	69.0	[7.287559, 13.200696]	[85, 92]	[7.4771633, 12.340323]	[85, 92]	[71968845, 71968852]	[71968845, 71968852]
658_22861	chr11	11843213	11843613	+	1000	69.0	[]	[]	[8.170471, 6.959216]	[77, 133]	[]	[11843375, 11843431]
658_2287	chr19	8355571	8355971	+	1000	275.0	[11.393932]	[90]	[12.655612]	[90]	[8355748]	[8355748]
658_22872	chr11	70203121	70203521	+	1000	69.0	[7.1781626]	[117]	[6.7809033]	[117]	[70203316]	[70203316]
658_22877	chr11	93537622	93538022	+	1000	69.0	[11.482367]	[117]	[9.653064]	[117]	[93537837]	[93537837]
658_22881	chr11	118003085	118003485	+	1000	69.0	[12.337575]	[163]	[9.608511]	[163]	[118003333]	[118003333]
658_22885	chr11	119334221	119334621	+	1000	69.0	[8.428265]	[117]	[10.182369]	[117]	[119334433]	[119334433]
658_22889	chr12	4388658	4389058	+	1000	69.0	[6.709936]	[163]	[7.4951105]	[163]	[4388892]	[4388892]
658_22893	chr12	24954204	24954604	+	1000	69.0	[7.0539017]	[109]	[8.595078]	[109]	[24954410]	[24954410]
658_229	chr1	31701040	31701440	+	1000	501.0	[11.482367]	[88]	[9.653064]	[88]	[31701226]	[31701226]
658_2290	chr19	54188226	54188626	+	1000	275.0	[10.535975]	[106]	[9.107981]	[106]	[54188424]	[54188424]
658_22900	chr12	50597461	50597861	+	1000	69.0	[8.164393, 8.706673]	[93, 126]	[10.9372835]	[126]	[50597652, 50597685]	[50597685]
658_22908	chr12	108099852	108100252	+	1000	69.0	[7.025225, 10.826309]	[90, 110]	[13.223235]	[110]	[108100033, 108100053]	[108100053]
658_2291	chr2	223725532	223725932	+	1000	275.0	[13.200696]	[105]	[12.340323]	[105]	[223725735]	[223725735]
658_22918	chr13	99063957	99064357	+	1000	69.0	[11.371393]	[98]	[14.169626]	[98]	[99064150]	[99064150]
658_2292	chr21	14630512	14630912	+	1000	275.0	[14.058652, 6.486848]	[91, 147]	[15.887955]	[91]	[14630701, 14630757]	[14630701]
658_22922	chr14	23095482	23095882	+	1000	69.0	[9.464114]	[195]	[8.90054]	[195]	[23095732]	[23095732]
658_22926	chr14	63864278	63864678	+	1000	69.0	[12.340323]	[122]	[13.200696]	[122]	[63864487]	[63864487]
658_22930	chr14	81221210	81221610	+	1000	69.0	[]	[]	[6.8048854]	[157]	[]	[81221449]
658_2294	chr4	83536018	83536418	+	1000	275.0	[12.340323]	[95]	[13.200696]	[95]	[83536207]	[83536207]
658_22947	chr16	11916503	11916903	+	1000	69.0	[13.200696]	[132]	[12.340323, 6.1378756]	[132, 151]	[11916720]	[11916720, 11916739]
658_2295	chr6	16345364	16345764	+	1000	275.0	[13.200696]	[105]	[12.340323]	[105]	[16345565]	[16345565]
658_22955	chr16	53224924	53225324	+	1000	69.0	[10.9372835]	[133]	[8.706673]	[133]	[53225147]	[53225147]
658_22962	chr16	71930145	71930545	+	1000	69.0	[15.887955]	[129]	[14.058652]	[129]	[71930362]	[71930362]
658_22964	chr16	81551462	81551862	+	1000	69.0	[6.876749]	[140]	[]	[]	[81551679]	[]
658_2297	chr7	95549712	95550112	+	1000	275.0	[9.653064]	[99]	[11.482367]	[99]	[95549897]	[95549897]
658_22970	chr17	7572397	7572797	+	1000	69.0	[7.4180017]	[152]	[]	[]	[7572578]	[]
658_22977	chr17	42459483	42459883	+	1000	69.0	[8.90054]	[126]	[9.464114]	[126]	[42459700]	[42459700]
658_2298	chr8	129692271	129692671	+	1000	275.0	[6.6347375]	[146]	[7.5703087]	[146]	[129692514]	[129692514]
658_2299	chrX	30215305	30215705	+	1000	275.0	[12.340323, 8.164393]	[105, 151]	[13.200696]	[105]	[30215504, 30215550]	[30215504]
658_22994	chr18	8998818	8999218	+	1000	69.0	[6.398835]	[146]	[]	[]	[8998981]	[]
658_22999	chr18	58268759	58269159	+	1000	69.0	[10.9372835]	[97]	[8.706673]	[97]	[58268956]	[58268956]
658_23	chr1	151311538	151311938	+	1000	648.0	[7.821013, 8.16159]	[116, 130]	[9.719484, 9.990892]	[116, 130]	[151311754, 151311768]	[151311754, 151311768]
658_230	chr4	81421459	81421859	+	1000	501.0	[14.169626]	[81]	[11.371393]	[81]	[81421636]	[81421636]
658_2301	chr11	2846087	2846487	+	1000	274.0	[11.393932]	[76]	[12.655612]	[76]	[2846262]	[2846262]
658_23024	chr19	46041145	46041545	+	1000	69.0	[8.860666]	[86]	[8.279789]	[86]	[46041326]	[46041326]
658_23049	chr2	120253628	120254028	+	1000	69.0	[14.169626]	[104]	[11.371393]	[104]	[120253822]	[120253822]
658_23064	chr20	23092400	23092800	+	978	69.0	[6.750475]	[132]	[6.820339]	[132]	[23092627]	[23092627]
658_23070	chr21	15731227	15731627	+	1000	69.0	[8.279789]	[110]	[8.860666]	[110]	[15731424]	[15731424]
658_23074	chr22	18958699	18959099	+	1000	69.0	[11.827421, 8.706673]	[70, 135]	[9.718622, 10.9372835]	[70, 135]	[18958868, 18958933]	[18958868, 18958933]
658_2308	chr3	4994957	4995357	+	1000	274.0	[10.826309]	[91]	[13.223235]	[91]	[4995148]	[4995148]
658_23080	chr22	26642825	26643225	+	1000	69.0	[8.16159]	[99]	[9.990892]	[99]	[26643020]	[26643020]
658_23085	chr22	39174751	39175151	+	1000	69.0	[10.535975]	[98]	[9.107981]	[98]	[39174942]	[39174942]
658_23090	chr22	45638983	45639383	+	1000	69.0	[9.107981]	[137]	[10.535975]	[137]	[45639212]	[45639212]
658_2310	chr3	194672259	194672659	+	1000	274.0	[7.025225]	[59]	[]	[]	[194672415]	[]
658_23101	chr3	48157471	48157871	+	1000	69.0	[12.132883]	[126]	[12.128834]	[126]	[48157683]	[48157683]
658_23107	chr3	141739103	141739503	+	1000	69.0	[11.393932]	[100]	[12.655612]	[100]	[141739296]	[141739296]
658_2312	chr5	96743354	96743754	+	1000	274.0	[11.393932]	[100]	[12.655612]	[100]	[96743553]	[96743553]
658_2313	chr7	137992220	137992620	+	1000	274.0	[8.706673]	[88]	[10.9372835]	[88]	[137992408]	[137992408]
658_23132	chr4	174461765	174462165	+	1000	69.0	[12.340323]	[111]	[13.200696]	[111]	[174461957]	[174461957]
658_23135	chr4	186820588	186820988	+	1000	69.0	[14.058652]	[138]	[15.887955]	[138]	[186820822]	[186820822]
658_23139	chr5	88924268	88924668	+	1000	69.0	[]	[]	[6.8048854]	[119]	[]	[88924464]
658_23141	chr5	96855496	96855896	+	1000	69.0	[11.393932]	[153]	[12.655612]	[153]	[96855727]	[96855727]
658_2316	chr10	11552122	11552522	+	1000	273.0	[9.107981, 12.340323]	[86, 99]	[10.535975, 13.200696]	[86, 99]	[11552306, 11552319]	[11552306, 11552319]
658_23174	chr6	47698226	47698626	+	1000	69.0	[11.482367]	[138]	[9.653064]	[138]	[47698456]	[47698456]
658_2318	chr11	69297389	69297789	+	1000	273.0	[10.826309, 9.990892]	[113, 138]	[13.223235, 8.16159]	[113, 138]	[69297600, 69297625]	[69297600, 69297625]
658_23188	chr7	39504925	39505325	+	1000	69.0	[8.883204]	[111]	[6.765775]	[111]	[39505119]	[39505119]
658_23204	chr7	108489089	108489489	+	1000	69.0	[]	[]	[7.3430686]	[77]	[]	[108489248]
658_23206	chr7	129865467	129865867	+	1000	69.0	[]	[]	[6.12527]	[160]	[]	[129865707]
658_23207	chr7	131689121	131689521	+	1000	69.0	[]	[]	[7.2844954]	[111]	[]	[131689330]
658_23213	chr8	1956769	1957169	+	1000	69.0	[12.655612]	[131]	[11.393932]	[131]	[1956976]	[1956976]
658_23215	chr8	23507314	23507714	+	1000	69.0	[7.7272944]	[106]	[7.723246]	[106]	[23507518]	[23507518]
658_23221	chr8	98944105	98944505	+	1000	69.0	[6.7076235]	[77]	[]	[]	[98944280]	[]
658_23225	chr8	141242492	141242892	+	1000	69.0	[6.9437904]	[125]	[9.105232]	[125]	[141242666]	[141242666]
658_23235	chr9	111959612	111960012	+	1000	69.0	[6.429603, 9.608511]	[76, 132]	[12.337575]	[132]	[111959776, 111959832]	[111959832]
658_23237	chr9	113427635	113428035	+	1000	69.0	[11.371393]	[113]	[14.169626]	[113]	[113427837]	[113427837]
658_23240	chr9	129860819	129861219	+	1000	69.0	[8.16159]	[90]	[9.990892]	[90]	[129861001]	[129861001]
658_23242	chr9	130847024	130847424	+	1000	69.0	[12.655612]	[126]	[11.393932]	[126]	[130847237]	[130847237]
658_2325	chr2	187547365	187547765	+	1000	273.0	[6.776855, 11.393932]	[106, 141]	[7.182211, 12.655612]	[106, 141]	[187547565, 187547600]	[187547565, 187547600]
658_23254	chrX	129996021	129996421	+	1000	69.0	[9.718622]	[101]	[11.827421]	[101]	[129996215]	[129996215]
658_2326	chr2	218731586	218731986	+	1000	273.0	[7.7272944, 11.371393]	[81, 113]	[7.723246, 14.169626]	[81, 113]	[218731765, 218731797]	[218731765, 218731797]
658_23265	chr1	12616094	12616494	+	1000	68.0	[9.107981]	[114]	[10.535975]	[114]	[12616308]	[12616308]
658_2328	chr3	25582165	25582565	+	1000	273.0	[11.482367]	[94]	[9.653064, 7.6028485]	[94, 130]	[25582351]	[25582351, 25582387]
658_2329	chr3	124620567	124620967	+	1000	273.0	[9.990892]	[146]	[8.16159]	[146]	[124620810]	[124620810]
658_233	chr1	26771715	26772115	+	1000	500.0	[15.887955]	[111]	[14.058652]	[111]	[26771923]	[26771923]
658_23301	chr1	117368725	117369125	+	1000	68.0	[9.107981]	[157]	[10.535975]	[157]	[117368963]	[117368963]
658_23302	chr1	143231910	143232310	+	1000	68.0	[7.9295206]	[102]	[10.037228]	[102]	[143232111]	[143232111]
658_23313	chr1	186188240	186188640	+	1000	68.0	[10.535975, 10.826309]	[80, 118]	[9.107981, 7.5176497, 13.223235]	[80, 107, 118]	[186188414, 186188452]	[186188414, 186188441, 186188452]
658_23325	chr1	231420922	231421322	+	1000	68.0	[]	[]	[8.480081]	[141]	[]	[231421147]
658_23326	chr1	234840863	234841263	+	1000	68.0	[13.223235]	[112]	[10.826309]	[112]	[234841055]	[234841055]
658_2333	chr8	123922107	123922507	+	1000	273.0	[8.706673]	[161]	[10.9372835]	[161]	[123922350]	[123922350]
658_23333	chr10	41848322	41848722	+	1000	68.0	[10.037228]	[89]	[7.9295206]	[89]	[41848508]	[41848508]
658_2334	chr9	126805709	126806109	+	1000	273.0	[14.169626]	[98]	[6.650379, 11.371393]	[84, 98]	[126805902]	[126805888, 126805902]
658_23341	chr10	74008355	74008755	+	1000	68.0	[10.826309]	[121]	[13.223235]	[121]	[74008552]	[74008552]
658_23348	chr10	100364752	100365152	+	1000	68.0	[12.337575]	[103]	[9.608511]	[103]	[100364941]	[100364941]
658_23349	chr10	101566369	101566769	+	1000	68.0	[6.7746572, 6.7746572]	[104, 137]	[]	[]	[101566567, 101566600]	[]
658_23352	chr10	113718947	113719347	+	1000	68.0	[]	[]	[8.620539]	[95]	[]	[113719138]
658_23353	chr10	124641355	124641755	+	1000	68.0	[8.335119]	[106]	[10.835192]	[106]	[124641550]	[124641550]
658_23355	chr11	3379067	3379467	+	1000	68.0	[]	[]	[7.4997025]	[184]	[]	[3379316]
658_23362	chr11	46537816	46538216	+	1000	68.0	[6.332342]	[153]	[]	[]	[46538043]	[]
658_23368	chr11	67374325	67374725	+	1000	68.0	[10.9372835]	[110]	[8.706673]	[110]	[67374521]	[67374521]
658_23371	chr11	73716104	73716504	+	1000	68.0	[]	[]	[6.959216]	[155]	[]	[73716351]
658_2340	chr3	32140922	32141322	+	1000	272.0	[12.128834]	[113]	[12.132883]	[113]	[32141127]	[32141127]
658_23409	chr15	41972563	41972963	+	1000	68.0	[6.8162904]	[81]	[6.7545238, 6.8048854]	[81, 96]	[41972741]	[41972741, 41972756]
658_2341	chr3	171960922	171961322	+	1000	272.0	[6.776855]	[67]	[7.182211]	[67]	[171961076]	[171961076]
658_23448	chr17	36463938	36464338	+	1000	68.0	[8.16159]	[116]	[9.990892]	[116]	[36464133]	[36464133]
658_23452	chr17	41496734	41497134	+	1000	68.0	[7.218002]	[152]	[]	[]	[41496954]	[]
658_23456	chr17	47257888	47258288	+	1000	68.0	[8.896491]	[97]	[9.468163]	[97]	[47258084]	[47258084]
658_23457	chr17	66330970	66331370	+	1000	68.0	[6.2084436]	[68]	[]	[]	[66331136]	[]
658_2349	chr2	47198929	47199329	+	1000	271.0	[14.169626]	[100]	[11.371393]	[100]	[47199127]	[47199127]
