#PeakID(python identify_motif.py ./ENCODE_processed_files/RREB1_idr.fa RREB1 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
874_12747	chr6	169724079	169724479	+	862	35.0	[2.9241664]	[171]	[]	[]	[169724281]	[]
874_12750	chr7	6221322	6221722	+	871	35.0	[2.890647]	[161]	[]	[]	[6221531]	[]
874_12754	chr7	43734816	43735216	+	897	35.0	[6.3407826]	[170]	[]	[]	[43735056]	[]
874_12760	chr7	74289411	74289811	+	914	35.0	[1.815446]	[169]	[]	[]	[74289651]	[]
874_12768	chr7	101911325	101911725	+	823	35.0	[]	[]	[3.8516605]	[133]	[]	[101911511]
874_12772	chr7	108235550	108235950	+	619	35.0	[1.9819869, 8.873257]	[234, 237]	[]	[]	[108235798, 108235801]	[]
874_12778	chr7	148966812	148967212	+	911	35.0	[]	[]	[1.9148817]	[114]	[]	[148967021]
874_12779	chr7	149495298	149495698	+	912	35.0	[]	[]	[1.7767869]	[152]	[]	[149495491]
874_12780	chr7	152402567	152402967	+	910	35.0	[3.6834283]	[93]	[]	[]	[152402728]	[]
874_12785	chr8	26448930	26449330	+	836	35.0	[]	[]	[3.010125]	[104]	[]	[26449108]
874_12802	chr9	111525150	111525550	+	966	35.0	[]	[]	[7.1692266, 4.0249863]	[151, 152]	[]	[111525328, 111525329]
874_12804	chr9	120881594	120881994	+	946	35.0	[]	[]	[6.225631]	[153]	[]	[120881761]
874_12809	chr9	128117618	128118018	+	885	35.0	[]	[]	[4.0856524]	[118]	[]	[128117828]
874_12810	chr9	129783703	129784103	+	762	35.0	[2.1010506]	[108]	[2.8090148]	[163]	[129783887]	[129783942]
874_12813	chr9	136191389	136191789	+	952	35.0	[6.113259]	[120]	[6.882891, 2.702865]	[191, 199]	[136191556]	[136191627, 136191635]
874_12815	chrUn_GL000220v1	141950	142350	+	728	35.0	[5.1634774, 9.56324, 9.257396, 5.806482, 3.461799]	[68, 69, 70, 71, 72]	[]	[]	[142115, 142116, 142117, 142118, 142119]	[]
874_12821	chr1	827236	827636	+	913	34.5	[]	[]	[2.8608758]	[126]	[]	[827446]
874_12831	chr1	12657202	12657602	+	933	34.5	[]	[]	[1.8128216]	[134]	[]	[12657434]
874_12840	chr1	27365228	27365628	+	858	34.5	[]	[]	[1.8445987]	[169]	[]	[27365415]
874_12841	chr1	31471440	31471840	+	910	34.5	[]	[]	[3.0409071, 6.510551]	[121, 125]	[]	[31471639, 31471643]
874_12857	chr1	119141030	119141430	+	903	34.5	[]	[]	[6.022732, 2.7746134]	[158, 159]	[]	[119141201, 119141202]
874_12858	chr1	120844090	120844490	+	909	34.5	[3.314961]	[96]	[]	[]	[120844275]	[]
874_12866	chr1	167821209	167821609	+	726	34.5	[]	[]	[11.18417]	[152]	[]	[167821403]
874_12876	chr1	206544852	206545252	+	923	34.5	[]	[]	[4.9482665, 5.3533297, 5.656222, 3.3591135, 10.289779, 10.017324, 2.535894, 5.131073]	[118, 121, 122, 123, 124, 127, 128, 130]	[]	[206545013, 206545016, 206545017, 206545018, 206545019, 206545022, 206545023, 206545025]
874_12883	chr1	224554797	224555197	+	906	34.5	[]	[]	[2.5359976, 3.5653245, 3.767643, 7.5477524, 8.082546, 3.6673846]	[217, 220, 222, 223, 224, 233]	[]	[224555025, 224555028, 224555030, 224555031, 224555032, 224555041]
874_1290	chr19	12789935	12790335	+	1000	65.0	[]	[]	[2.1343372, 3.314961]	[122, 129]	[]	[12790142, 12790149]
874_12902	chr10	61000911	61001311	+	810	34.5	[1.8256539]	[133]	[5.45365, 7.3422284, 7.3422284, 7.3422284, 2.624457, 9.146593, 11.606427, 5.032481]	[87, 89, 91, 93, 95, 97, 99, 101]	[61001124]	[61001078, 61001080, 61001082, 61001084, 61001086, 61001088, 61001090, 61001092]
874_12905	chr10	69507762	69508162	+	900	34.5	[]	[]	[13.204476, 7.6947036, 13.613006, 5.4375443]	[70, 71, 74, 75]	[]	[69507913, 69507914, 69507917, 69507918]
874_12908	chr10	77907837	77908237	+	840	34.5	[5.5818486]	[93]	[]	[]	[77908029]	[]
874_12909	chr10	79048745	79049145	+	872	34.5	[2.4744496]	[193]	[2.269531]	[100]	[79048991]	[79048898]
874_12910	chr10	79132585	79132985	+	876	34.5	[]	[]	[7.473052, 5.405149, 4.4360566]	[172, 173, 177]	[]	[79132762, 79132763, 79132767]
874_12916	chr11	288693	289093	+	920	34.5	[5.9234066, 3.7034705, 1.7312315]	[84, 86, 89]	[]	[]	[288874, 288876, 288879]	[]
874_12933	chr11	95789456	95789856	+	919	34.5	[8.993737]	[200]	[]	[]	[95789672]	[]
874_12945	chr12	50765227	50765627	+	891	34.5	[]	[]	[3.6649573]	[130]	[]	[50765401]
874_12948	chr12	53499094	53499494	+	823	34.5	[7.980913, 2.113539]	[117, 120]	[]	[]	[53499307, 53499310]	[]
874_12956	chr12	104957787	104958187	+	944	34.5	[4.558354, 4.6453238]	[145, 147]	[]	[]	[104958012, 104958014]	[]
874_12971	chr13	92296665	92297065	+	935	34.5	[]	[]	[9.737764]	[137]	[]	[92296822]
874_12973	chr13	92388430	92388830	+	923	34.5	[]	[]	[10.962541]	[164]	[]	[92388665]
874_12976	chr13	93245377	93245777	+	831	34.5	[]	[]	[4.4941816, 5.5087166]	[126, 132]	[]	[93245584, 93245590]
874_12982	chr13	108000569	108000969	+	904	34.5	[]	[]	[7.2729073]	[159]	[]	[108000778]
874_12983	chr13	110955052	110955452	+	907	34.5	[8.572989, 1.8305123, 5.0670977, 6.173925]	[133, 134, 138, 141]	[]	[]	[110955274, 110955275, 110955279, 110955282]	[]
874_12997	chr15	67068129	67068529	+	900	34.5	[]	[]	[6.5462646]	[172]	[]	[67068327]
874_13001	chr15	90201259	90201659	+	909	34.5	[7.1059365]	[113]	[]	[]	[90201440]	[]
874_13007	chr16	2136173	2136573	+	906	34.5	[1.8349117]	[125]	[]	[]	[2136392]	[]
874_13008	chr16	2513878	2514278	+	899	34.5	[11.724427]	[203]	[]	[]	[2514085]	[]
874_1301	chr22	22742325	22742725	+	1000	65.0	[1.7619972]	[155]	[]	[]	[22742510]	[]
874_13021	chr16	57675988	57676388	+	871	34.5	[1.7321134]	[87]	[]	[]	[57676166]	[]
874_13022	chr16	66880577	66880977	+	866	34.5	[]	[]	[2.1115198]	[151]	[]	[66880778]
874_13040	chr17	48892000	48892400	+	920	34.5	[3.6848445]	[112]	[]	[]	[48892159]	[]
874_13044	chr17	58337746	58338146	+	868	34.5	[]	[]	[7.691751, 3.7814214]	[126, 129]	[]	[58337897, 58337900]
874_13048	chr17	78342010	78342410	+	894	34.5	[]	[]	[2.2845972, 4.391496]	[113, 114]	[]	[78342218, 78342219]
874_1305	chr3	46488686	46489086	+	1000	65.0	[]	[]	[1.6793702]	[65]	[]	[46488847]
874_13050	chr18	3011625	3012025	+	875	34.5	[1.9954863]	[113]	[]	[]	[3011829]	[]
874_13053	chr19	1767234	1767634	+	928	34.5	[]	[]	[7.138445, 3.3466473, 10.445166, 2.9231553]	[135, 136, 188, 190]	[]	[1767418, 1767419, 1767471, 1767473]
874_13059	chr19	16628556	16628956	+	904	34.5	[]	[]	[4.741901, 1.9024156]	[95, 102]	[]	[16628733, 16628740]
874_13060	chr19	32669967	32670367	+	845	34.5	[9.10724]	[121]	[]	[]	[32670166]	[]
874_13066	chr19	41501451	41501851	+	895	34.5	[3.0287929]	[133]	[]	[]	[41501626]	[]
874_13071	chr19	46201473	46201873	+	544	34.5	[]	[]	[10.223283]	[140]	[]	[46201678]
874_13073	chr19	50123668	50124068	+	899	34.5	[3.2798235, 3.058522, 6.225631, 3.058522, 3.0384798, 2.466446]	[100, 104, 105, 108, 109, 113]	[]	[]	[50123861, 50123865, 50123866, 50123869, 50123870, 50123874]	[]
874_13075	chr19	50821055	50821455	+	682	34.5	[2.0384915]	[133]	[4.3052115, 5.4418926]	[202, 204]	[50821235]	[50821304, 50821306]
874_13079	chr2	9004035	9004435	+	889	34.5	[1.815446]	[145]	[]	[]	[9004193]	[]
874_13081	chr2	11863551	11863951	+	781	34.5	[]	[]	[1.9630817, 1.8790642]	[125, 127]	[]	[11863769, 11863771]
874_13087	chr2	70137554	70137954	+	819	34.5	[3.7895782]	[174]	[]	[]	[70137804]	[]
874_13091	chr2	96224930	96225330	+	906	34.5	[]	[]	[4.303318]	[71]	[]	[96225082]
874_13104	chr20	31663809	31664209	+	847	34.5	[4.273434, 3.5682766]	[186, 188]	[]	[]	[31664049, 31664051]	[]
874_13124	chr22	19147299	19147699	+	895	34.5	[2.8271415]	[116]	[]	[]	[19147477]	[]
874_13132	chr22	19563147	19563547	+	915	34.5	[]	[]	[6.225631, 4.4413095]	[182, 183]	[]	[19563363, 19563364]
874_13139	chr22	20181454	20181854	+	851	34.5	[2.1210928]	[109]	[]	[]	[20181633]	[]
874_13141	chr22	20288782	20289182	+	890	34.5	[]	[]	[2.3848555, 1.6567036]	[142, 144]	[]	[20289018, 20289020]
874_13143	chr22	20443527	20443927	+	782	34.5	[4.4413095, 6.225631, 3.058522, 3.0384798]	[146, 147, 150, 151]	[]	[]	[20443735, 20443736, 20443739, 20443740]	[]
874_13144	chr22	20490627	20491027	+	937	34.5	[6.6499453]	[104]	[]	[]	[20490829]	[]
874_13146	chr22	20724505	20724905	+	899	34.5	[4.303318]	[105]	[]	[]	[20724693]	[]
874_13149	chr22	20758857	20759257	+	892	34.5	[]	[]	[3.0384798, 3.058522, 6.225631, 3.058522]	[173, 174, 177, 178]	[]	[20759044, 20759045, 20759048, 20759049]
874_13153	chr22	20908799	20909199	+	805	34.5	[3.748332]	[147]	[]	[]	[20908975]	[]
874_13156	chr22	20988073	20988473	+	874	34.5	[]	[]	[5.3694353]	[64]	[]	[20988234]
874_13158	chr22	21106014	21106414	+	618	34.5	[]	[]	[5.3195953]	[136]	[]	[21106227]
874_13165	chr22	22175767	22176167	+	922	34.5	[]	[]	[4.155485, 5.414663]	[234, 238]	[]	[22176013, 22176017]
874_13168	chr22	22388931	22389331	+	871	34.5	[2.7746134, 4.7295384]	[56, 57]	[6.7525797]	[70]	[22389084, 22389085]	[22389098]
874_13169	chr22	22458338	22458738	+	815	34.5	[4.357198]	[119]	[]	[]	[22458526]	[]
874_13183	chr3	57959124	57959524	+	948	34.5	[12.114288, 1.9657061, 6.5348353, 10.171829]	[105, 120, 124, 127]	[7.714723]	[88]	[57959293, 57959308, 57959312, 57959315]	[57959276]
874_13185	chr3	156606003	156606403	+	914	34.5	[1.6255937, 5.435024]	[166, 170]	[]	[]	[156606183, 156606187]	[]
874_13189	chr3	193836602	193837002	+	902	34.5	[4.8647795]	[243]	[]	[]	[193836852]	[]
874_13231	chr6	6591236	6591636	+	901	34.5	[]	[]	[2.519318, 1.6583169, 2.693127]	[214, 216, 220]	[]	[6591457, 6591459, 6591463]
874_13232	chr6	6658819	6659219	+	889	34.5	[2.0668044, 3.3116007]	[60, 62]	[]	[]	[6658977, 6658979]	[]
874_13234	chr6	16263396	16263796	+	911	34.5	[]	[]	[12.011541, 2.4206731]	[93, 114]	[]	[16263561, 16263582]
874_13238	chr6	27777587	27777987	+	550	34.5	[7.0363846, 7.0363846, 7.0363846, 7.0363846, 4.9261765]	[197, 200, 203, 206, 209]	[]	[]	[27777806, 27777809, 27777812, 27777815, 27777818]	[]
874_13258	chr6	83430541	83430941	+	799	34.5	[1.8610015]	[149]	[]	[]	[83430724]	[]
874_13261	chr6	157813742	157814142	+	905	34.5	[]	[]	[2.568506, 3.1323185]	[106, 107]	[]	[157813934, 157813935]
874_13263	chr6	159804936	159805336	+	799	34.5	[]	[]	[3.0409071]	[96]	[]	[159805091]
874_13264	chr6	160520492	160520892	+	895	34.5	[2.0298786]	[129]	[]	[]	[160520649]	[]
874_13271	chr7	5526132	5526532	+	647	34.5	[3.4100416]	[191]	[]	[]	[5526334]	[]
874_13272	chr7	13849444	13849844	+	655	34.5	[3.1323185]	[125]	[]	[]	[13849661]	[]
874_13273	chr7	29794963	29795363	+	785	34.5	[2.7870793, 4.1180477, 1.9024156, 3.325827]	[166, 167, 168, 169]	[]	[]	[29795194, 29795195, 29795196, 29795197]	[]
874_13287	chr7	128789579	128789979	+	905	34.5	[]	[]	[3.7192457]	[144]	[]	[128789807]
874_13289	chr7	137935935	137936335	+	909	34.5	[7.680322, 2.8589828]	[143, 146]	[]	[]	[137936122, 137936125]	[]
874_1329	chr10	75209653	75210053	+	1000	64.5	[]	[]	[1.8410852]	[139]	[]	[75209823]
874_13304	chr8	26267342	26267742	+	779	34.5	[5.5929313]	[190]	[]	[]	[26267561]	[]
874_13305	chr8	37784383	37784783	+	600	34.5	[]	[]	[5.4139957]	[127]	[]	[37784603]
874_13309	chr8	42541731	42542131	+	934	34.5	[]	[]	[6.9865713]	[160]	[]	[42541975]
874_13314	chr8	95067597	95067997	+	932	34.5	[]	[]	[1.698379]	[135]	[]	[95067794]
874_13316	chr8	123630456	123630856	+	877	34.5	[5.0133433, 4.7295384]	[149, 150]	[]	[]	[123630652, 123630653]	[]
874_1332	chr15	90932283	90932683	+	1000	64.5	[]	[]	[11.100532, 4.663347]	[82, 85]	[]	[90932436, 90932439]
874_13330	chr9	120889751	120890151	+	884	34.5	[1.8761121, 4.8420653]	[174, 176]	[]	[]	[120889983, 120889985]	[]
874_13336	chr9	131224207	131224607	+	896	34.5	[3.0604153]	[157]	[]	[]	[131224441]	[]
874_1334	chr2	101038579	101038979	+	1000	64.5	[2.7352602, 6.0061755]	[153, 156]	[]	[]	[101038798, 101038801]	[]
874_13341	chrUn_KI270742v1	29263	29663	+	849	34.5	[1.6229693]	[157]	[]	[]	[29481]	[]
874_13344	chrX	24054518	24054918	+	910	34.5	[]	[]	[7.64282, 11.827952, 5.0641456, 4.6786103, 2.5684023]	[92, 93, 95, 96, 97]	[]	[24054692, 24054693, 24054695, 24054696, 24054697]
874_13351	chr1	14785131	14785531	+	872	34.0	[]	[]	[13.613006, 2.288842]	[186, 203]	[]	[14785351, 14785368]
874_13354	chr1	16951548	16951948	+	887	34.0	[5.974231]	[139]	[]	[]	[16951736]	[]
874_13360	chr1	31111112	31111512	+	688	34.0	[]	[]	[3.5145001]	[133]	[]	[31111307]
874_13362	chr1	31827144	31827544	+	795	34.0	[]	[]	[2.0273054]	[146]	[]	[31827302]
874_13363	chr1	32988936	32989336	+	692	34.0	[]	[]	[6.2159443]	[214]	[]	[32989165]
874_13364	chr1	36371939	36372339	+	900	34.0	[4.3177414, 8.348736, 3.8518577, 17.250881, 16.595516, 7.7638054, 3.8492332, 2.7545712, 4.421267, 6.8177075, 6.288922, 10.9923115]	[202, 204, 205, 207, 209, 211, 213, 214, 215, 217, 218, 220]	[]	[]	[36372148, 36372150, 36372151, 36372153, 36372155, 36372157, 36372159, 36372160, 36372161, 36372163, 36372164, 36372166]	[]
874_13372	chr1	117572496	117572896	+	693	34.0	[]	[]	[5.0676317, 7.2517505, 2.027254, 3.326605, 11.164704, 9.412783, 12.040366, 9.003672, 4.074068, 2.4813392]	[131, 133, 135, 136, 137, 138, 140, 142, 143, 145]	[]	[117572718, 117572720, 117572722, 117572723, 117572724, 117572725, 117572727, 117572729, 117572730, 117572732]
874_13383	chr1	161566042	161566442	+	845	34.0	[]	[]	[3.8511264]	[166]	[]	[161566249]
874_13385	chr1	173422475	173422875	+	833	34.0	[4.0194097]	[130]	[]	[]	[173422684]	[]
874_13386	chr1	178725849	178726249	+	677	34.0	[]	[]	[3.039491, 2.38748, 4.339677]	[99, 101, 106]	[]	[178726040, 178726042, 178726047]
874_13388	chr1	182838745	182839145	+	901	34.0	[7.6084185]	[172]	[]	[]	[182838964]	[]
874_13403	chr1	234782547	234782947	+	656	34.0	[]	[]	[6.107682, 4.906134, 7.3422284, 5.959441]	[181, 183, 190, 192]	[]	[234782756, 234782758, 234782765, 234782767]
874_13405	chr1	236686059	236686459	+	710	34.0	[]	[]	[2.1666484]	[125]	[]	[236686233]
874_13407	chr1	246569401	246569801	+	878	34.0	[]	[]	[11.234865, 9.6966915, 4.421267, 2.2477686, 4.0519176]	[73, 78, 82, 83, 87]	[]	[246569571, 246569576, 246569580, 246569581, 246569585]
874_13429	chr10	73809916	73810316	+	871	34.0	[2.7773414, 13.613888, 8.685362, 6.531475, 4.687457, 8.200495, 7.0838976, 5.2320204, 12.1985035, 2.406791]	[81, 85, 88, 89, 90, 91, 92, 93, 95, 96]	[]	[]	[73810083, 73810087, 73810090, 73810091, 73810092, 73810093, 73810094, 73810095, 73810097, 73810098]	[]
874_13440	chr11	14499532	14499932	+	723	34.0	[2.3364584]	[76]	[7.778896]	[134]	[14499696]	[14499754]
874_13475	chr12	56437688	56438088	+	871	34.0	[4.019513, 5.5701137, 1.7301782, 4.273434]	[141, 148, 190, 191]	[]	[]	[56437881, 56437888, 56437930, 56437931]	[]
874_13476	chr12	103840879	103841279	+	884	34.0	[3.6673846, 2.0482295]	[118, 125]	[]	[]	[103841073, 103841080]	[]
874_13479	chr12	120117287	120117687	+	826	34.0	[6.6043897]	[176]	[4.0000987]	[95]	[120117531]	[120117450]
874_13483	chr12	125065043	125065443	+	869	34.0	[4.539737, 2.5546238, 8.991206, 6.09218, 2.693127]	[106, 110, 114, 115, 116]	[]	[]	[125065242, 125065246, 125065250, 125065251, 125065252]	[]
874_13485	chr13	17861007	17861407	+	845	34.0	[]	[]	[1.815446]	[73]	[]	[17861160]
874_13492	chr13	80689517	80689917	+	869	34.0	[]	[]	[9.124658, 9.6966915, 3.0384798]	[140, 145, 150]	[]	[80689679, 80689684, 80689689]
874_13493	chr13	80802826	80803226	+	893	34.0	[7.3422284, 7.3422284, 7.3422284, 7.3422284, 7.3422284, 7.3422284, 7.3422284, 7.3422284, 7.3422284]	[143, 145, 147, 149, 151, 153, 155, 157, 159]	[]	[]	[80803021, 80803023, 80803025, 80803027, 80803029, 80803031, 80803033, 80803035, 80803037]	[]
874_13498	chr13	91540488	91540888	+	768	34.0	[]	[]	[1.6767458]	[183]	[]	[91540738]
874_13511	chr14	102316847	102317247	+	760	34.0	[]	[]	[1.8305123]	[88]	[]	[102317033]
874_13513	chr15	42581350	42581750	+	841	34.0	[]	[]	[4.5606613]	[99]	[]	[42581509]
874_13514	chr15	44712539	44712939	+	852	34.0	[]	[]	[6.144041, 6.315225]	[87, 88]	[]	[44712714, 44712715]
874_13521	chr15	72237377	72237777	+	721	34.0	[4.137513]	[180]	[]	[]	[72237575]	[]
874_1353	chr7	139340409	139340809	+	1000	64.5	[]	[]	[4.2879195, 6.891504]	[165, 166]	[]	[139340598, 139340599]
874_13554	chr17	27091049	27091449	+	734	34.0	[]	[]	[6.9846783, 9.194105, 8.200495, 2.311059, 2.1632264]	[142, 145, 146, 147, 149]	[]	[27091221, 27091224, 27091225, 27091226, 27091228]
874_13557	chr17	27759941	27760341	+	878	34.0	[10.815716]	[174]	[]	[]	[27760142]	[]
874_13568	chr17	48546828	48547228	+	831	34.0	[1.9121536]	[133]	[]	[]	[48547047]	[]
874_13573	chr17	74210440	74210840	+	826	34.0	[]	[]	[5.7915664]	[179]	[]	[74210656]
874_13574	chr17	75456663	75457063	+	736	34.0	[]	[]	[1.7125633]	[94]	[]	[75456842]
874_13580	chr17	81471823	81472223	+	648	34.0	[2.6593924]	[136]	[]	[]	[81472010]	[]
874_13581	chr17	82881850	82882250	+	611	34.0	[2.3565006]	[71]	[3.4212787]	[104]	[82882013]	[82882046]
874_13588	chr18	23528540	23528940	+	842	34.0	[3.3370643]	[163]	[]	[]	[23528784]	[]
874_13589	chr19	1542607	1543007	+	897	34.0	[10.393459]	[62]	[]	[]	[1542765]	[]
874_1359	chr9	131082200	131082600	+	1000	64.5	[6.1103067]	[155]	[]	[]	[131082364]	[]
874_13596	chr19	6733958	6734358	+	805	34.0	[3.9712095]	[135]	[]	[]	[6734144]	[]
874_13597	chr19	7904157	7904557	+	897	34.0	[6.498752]	[237]	[]	[]	[7904395]	[]
874_13598	chr19	8671015	8671415	+	886	34.0	[]	[]	[11.502798]	[69]	[]	[8671167]
874_13599	chr19	14419424	14419824	+	848	34.0	[]	[]	[5.858343]	[118]	[]	[14419586]
874_13611	chr19	48680969	48681369	+	839	34.0	[2.5516715]	[151]	[]	[]	[48681214]	[]
874_13617	chr2	10332524	10332924	+	805	34.0	[]	[]	[5.9225154, 3.5489657]	[141, 146]	[]	[10332708, 10332713]
874_1364	chr1	182259360	182259760	+	1000	64.0	[2.4048977]	[177]	[]	[]	[182259553]	[]
874_13647	chr21	5249957	5250357	+	558	34.0	[]	[]	[4.777359]	[158]	[]	[5250170]
874_13648	chr21	10425857	10426257	+	885	34.0	[]	[]	[6.308964]	[97]	[]	[10426054]
874_13652	chr21	35477109	35477509	+	878	34.0	[3.228802]	[139]	[]	[]	[35477335]	[]
874_13656	chr21	43859362	43859762	+	875	34.0	[]	[]	[3.2431219]	[179]	[]	[43859613]
874_13659	chr22	16794485	16794885	+	561	34.0	[2.723789]	[96]	[]	[]	[16794670]	[]
874_13681	chr22	20664560	20664960	+	836	34.0	[]	[]	[9.499067]	[120]	[]	[20664762]
874_13687	chr22	22123507	22123907	+	829	34.0	[2.435835]	[206]	[]	[]	[22123715]	[]
874_13688	chr22	22383916	22384316	+	899	34.0	[]	[]	[7.3025746]	[79]	[]	[22384072]
874_13695	chr3	12796341	12796741	+	885	34.0	[1.7646216]	[109]	[]	[]	[12796541]	[]
874_13700	chr3	49803239	49803639	+	749	34.0	[]	[]	[2.921542, 6.90397]	[188, 190]	[]	[49803457, 49803459]
874_13704	chr3	155335436	155335836	+	843	34.0	[5.347857, 2.269704, 10.373993, 3.8502443]	[130, 137, 138, 139]	[]	[]	[155335607, 155335614, 155335615, 155335616]	[]
874_13712	chr3	196978645	196979045	+	881	34.0	[]	[]	[2.2488835, 4.1575046]	[208, 209]	[]	[196978888, 196978889]
874_13714	chr4	5037581	5037981	+	882	34.0	[]	[]	[3.2632678]	[197]	[]	[5037830]
874_13715	chr4	13654429	13654829	+	877	34.0	[1.728607]	[185]	[]	[]	[13654656]	[]
874_13718	chr4	49322781	49323181	+	901	34.0	[3.9712095, 2.3550847]	[140, 184]	[]	[]	[49322979, 49323023]	[]
874_13719	chr4	78720092	78720492	+	844	34.0	[]	[]	[6.0133724, 5.7936363, 2.4407153]	[75, 78, 79]	[]	[78720250, 78720253, 78720254]
874_13723	chr4	118834945	118835345	+	903	34.0	[2.3540735, 3.0057566]	[105, 134]	[]	[]	[118835137, 118835166]	[]
874_13724	chr4	126955470	126955870	+	883	34.0	[]	[]	[1.9708328]	[117]	[]	[126955671]
874_13748	chr6	3718227	3718627	+	891	34.0	[8.676515, 6.51386]	[198, 199]	[]	[]	[3718472, 3718473]	[]
874_13754	chr6	20203523	20203923	+	785	34.0	[9.125669, 1.8410852]	[110, 118]	[]	[]	[20203719, 20203727]	[]
874_13757	chr6	27669722	27670122	+	854	34.0	[4.6521926]	[154]	[]	[]	[27669905]	[]
874_13759	chr6	30530338	30530738	+	849	34.0	[]	[]	[1.9639636, 3.058522, 10.507444]	[144, 145, 149]	[]	[30530495, 30530496, 30530500]
874_13765	chr6	34315837	34316237	+	891	34.0	[3.7133121]	[153]	[]	[]	[34316011]	[]
874_13778	chr6	104683006	104683406	+	703	34.0	[6.954898]	[158]	[]	[]	[104683239]	[]
874_13780	chr6	132813910	132814310	+	617	34.0	[8.685362, 3.7157817]	[89, 90]	[]	[]	[132814095, 132814096]	[]
874_1379	chr22	20523381	20523781	+	1000	64.0	[3.3591135, 10.06815, 8.685362, 8.65458, 6.164965, 1.6574349, 10.79557]	[164, 165, 166, 169, 170, 171, 173]	[]	[]	[20523573, 20523574, 20523575, 20523578, 20523579, 20523580, 20523582]	[]
874_13795	chr7	106524280	106524680	+	841	34.0	[4.778447, 3.5145001, 5.0029254, 6.2800746]	[134, 136, 138, 142]	[]	[]	[106524463, 106524465, 106524467, 106524471]	[]
874_13804	chr7	150997184	150997584	+	799	34.0	[6.9846783, 6.7361174, 11.673448, 5.0841875, 4.0856524]	[162, 165, 166, 168, 171]	[]	[]	[150997425, 150997428, 150997429, 150997431, 150997434]	[]
874_13807	chr8	1701268	1701668	+	895	34.0	[]	[]	[4.0532475]	[140]	[]	[1701474]
874_13818	chr8	103077306	103077706	+	676	34.0	[]	[]	[5.4360347, 2.7587245]	[112, 113]	[]	[103077468, 103077469]
874_13822	chr8	129679030	129679430	+	875	34.0	[]	[]	[3.6296518, 1.828597, 3.600785, 2.1950033, 7.3897414, 2.2169385, 14.423759]	[80, 162, 163, 166, 167, 170, 171]	[]	[129679186, 129679268, 129679269, 129679272, 129679273, 129679276, 129679277]
874_13826	chr9	5628992	5629392	+	869	34.0	[]	[]	[7.336976, 4.5914435, 4.205121]	[163, 166, 168]	[]	[5629224, 5629227, 5629229]
874_13837	chrUn_GL000224v1	23154	23554	+	902	34.0	[5.0841875, 4.9933014]	[114, 118]	[]	[]	[23305, 23309]	[]
874_13842	chr1	2189155	2189555	+	822	33.5	[2.466446, 4.576654]	[161, 166]	[]	[]	[2189337, 2189342]	[]
874_13856	chr1	23478879	23479279	+	555	33.5	[4.9491487]	[194]	[]	[]	[23479088]	[]
874_13858	chr1	25905705	25906105	+	843	33.5	[2.8589828, 9.939374]	[194, 198]	[]	[]	[25905921, 25905925]	[]
874_13863	chr1	29208823	29209223	+	845	33.5	[]	[]	[2.9762006]	[128]	[]	[29209033]
874_13868	chr1	40863469	40863869	+	849	33.5	[]	[]	[5.4893637, 1.6905243]	[65, 69]	[]	[40863628, 40863632]
874_13890	chr1	153727412	153727812	+	796	33.5	[1.9024156]	[139]	[]	[]	[153727641]	[]
874_13891	chr1	156740629	156741029	+	839	33.5	[2.7773926]	[230]	[]	[]	[156740875]	[]
874_13897	chr1	179229812	179230212	+	630	33.5	[9.73352, 3.3591135]	[102, 105]	[6.451301]	[79]	[179230007, 179230010]	[179229984]
874_13898	chr1	201015453	201015853	+	545	33.5	[]	[]	[2.8271415]	[162]	[]	[201015652]
874_13899	chr1	201480588	201480988	+	852	33.5	[]	[]	[2.2845972]	[117]	[]	[201480765]
874_13900	chr1	203076101	203076501	+	862	33.5	[1.9439214]	[147]	[]	[]	[203076264]	[]
874_13906	chr1	209576735	209577135	+	718	33.5	[1.709254]	[164]	[]	[]	[209576945]	[]
874_13907	chr1	209649429	209649829	+	858	33.5	[5.77501, 3.8007324]	[64, 74]	[]	[]	[209649589, 209649599]	[]
874_13910	chr1	212254805	212255205	+	568	33.5	[]	[]	[1.6449046, 7.260638]	[169, 171]	[]	[212255046, 212255048]
874_13911	chr1	221776570	221776970	+	847	33.5	[]	[]	[2.4249177, 6.382864]	[158, 210]	[]	[221776763, 221776815]
874_13913	chr1	225926963	225927363	+	596	33.5	[]	[]	[6.4670787, 1.7029904, 7.7235703, 5.9411416]	[109, 114, 119, 121]	[]	[225927136, 225927141, 225927146, 225927148]
874_13927	chr10	71313471	71313871	+	762	33.5	[]	[]	[4.864001]	[168]	[]	[71313671]
874_13928	chr10	72692788	72693188	+	748	33.5	[]	[]	[4.781296]	[92]	[]	[72692969]
874_13949	chr11	64449338	64449738	+	550	33.5	[4.9087586, 7.473052, 4.781296]	[226, 231, 233]	[]	[]	[64449574, 64449579, 64449581]	[]
874_1395	chr7	143380554	143380954	+	1000	64.0	[5.520301, 5.807415]	[151, 158]	[2.9762006, 8.791667]	[123, 127]	[143380765, 143380772]	[143380737, 143380741]
874_13955	chr11	76888871	76889271	+	813	33.5	[]	[]	[3.9230297]	[133]	[]	[76889034]
