#PeakID(python identify_motif.py ./ENCODE_processed_files/SRF_idr.fa SRF --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
49_17725	chr16	85047992	85048392	+	1000	56.0	[]	[]	[5.45693]	[122]	[]	[85048151]
49_17731	chr17	8338327	8338727	+	1000	56.0	[]	[]	[3.2211668]	[115]	[]	[8338530]
49_17742	chr17	56976979	56977379	+	1000	56.0	[12.576686]	[87]	[12.201596]	[87]	[56977158]	[56977158]
49_17748	chr17	78271683	78272083	+	665	56.0	[2.4901874]	[141]	[6.163332]	[141]	[78271903]	[78271903]
49_1775	chr20	30641549	30641949	+	1000	171.0	[7.3409534]	[91]	[7.5796227]	[91]	[30641730]	[30641730]
49_17761	chr18	50638798	50639198	+	940	56.0	[14.892951]	[109]	[17.54071]	[109]	[50639004]	[50639004]
49_1779	chr9	87425168	87425568	+	1000	171.0	[13.033171]	[101]	[9.68026]	[101]	[87425358]	[87425358]
49_178	chr2	96921982	96922382	+	1000	814.0	[13.47666]	[101]	[12.689945]	[101]	[96922182]	[96922182]
49_17807	chr19	51407795	51408195	+	1000	56.0	[2.8564546]	[118]	[2.9848778]	[118]	[51407963]	[51407963]
49_1781	chr1	151281170	151281570	+	1000	170.0	[8.293002]	[146]	[11.315852]	[146]	[151281391]	[151281391]
49_17813	chr2	23918794	23919194	+	1000	56.0	[8.419427]	[121]	[9.1245775]	[121]	[23919009]	[23919009]
49_17816	chr2	37897585	37897985	+	990	56.0	[17.54071]	[114]	[14.892951]	[114]	[37897782]	[37897782]
49_17825	chr2	72515606	72516006	+	1000	56.0	[13.588854]	[97]	[14.294004]	[97]	[72515801]	[72515801]
49_17831	chr2	169095635	169096035	+	1000	56.0	[3.8201132]	[147]	[5.492303, 6.301271]	[112, 147]	[169095880]	[169095845, 169095880]
49_17833	chr2	169670425	169670825	+	1000	56.0	[6.763919]	[154]	[7.9199734]	[154]	[169670646]	[169670646]
49_1784	chr12	65164740	65165140	+	1000	170.0	[9.68026]	[111]	[13.033171]	[111]	[65164947]	[65164947]
49_17849	chr2	235443782	235444182	+	1000	56.0	[13.47666]	[162]	[12.689945]	[162]	[235444013]	[235444013]
49_1785	chr18	9005397	9005797	+	1000	170.0	[11.680565]	[115]	[8.161051]	[115]	[9005597]	[9005597]
49_17858	chr20	53692779	53693179	+	1000	56.0	[7.407259]	[108]	[7.0321693]	[108]	[53692987]	[53692987]
49_1787	chr20	50059040	50059440	+	1000	170.0	[13.588854, 5.040453]	[99, 146]	[14.294004]	[99]	[50059239, 50059286]	[50059239]
49_17896	chr22	22980406	22980806	+	1000	56.0	[4.4246125]	[135]	[2.466425]	[135]	[22980630]	[22980630]
49_1790	chr6	140153697	140154097	+	1000	170.0	[4.888268]	[93]	[2.3769279]	[93]	[140153881]	[140153881]
49_17917	chr3	14273052	14273452	+	1000	56.0	[]	[]	[5.9909678]	[109]	[]	[14273259]
49_1792	chr8	97747664	97748064	+	1000	170.0	[13.588854]	[108]	[14.294004]	[108]	[97747861]	[97747861]
49_17932	chr3	139134926	139135326	+	772	56.0	[3.6277652]	[74]	[6.742007]	[74]	[139135084]	[139135084]
49_17938	chr3	196510829	196511229	+	1000	56.0	[7.408483]	[142]	[6.978445]	[142]	[196511057]	[196511057]
49_1794	chr9	125473451	125473851	+	1000	170.0	[10.9407625]	[120]	[8.668092]	[120]	[125473646]	[125473646]
49_17942	chr4	24811958	24812358	+	775	56.0	[17.54071]	[142]	[14.892951]	[142]	[24812180]	[24812180]
49_17944	chr4	74237566	74237966	+	1000	56.0	[3.6277652, 4.688775]	[98, 129]	[6.742007, 5.9977975]	[98, 129]	[74237741, 74237772]	[74237741, 74237772]
49_17946	chr4	80115421	80115821	+	1000	56.0	[5.128815]	[196]	[]	[]	[80115655]	[]
49_1796	chr1	44036570	44036970	+	1000	169.0	[12.51038, 5.0612855]	[97, 139]	[12.74905, 2.6168218]	[97, 139]	[44036766, 44036808]	[44036766, 44036808]
49_17966	chr5	112547947	112548347	+	1000	56.0	[8.668092]	[123]	[10.9407625]	[123]	[112548147]	[112548147]
49_17967	chr5	113474289	113474689	+	569	56.0	[6.119391]	[190]	[2.5564928]	[190]	[113474535]	[113474535]
49_1797	chr1	111345973	111346373	+	1000	169.0	[10.38541]	[116]	[12.32802]	[116]	[111346180]	[111346180]
49_17974	chr5	140244471	140244871	+	1000	56.0	[6.763919]	[90]	[7.9820075]	[90]	[140244626]	[140244626]
49_17999	chr6	27904263	27904663	+	1000	56.0	[14.892951]	[86]	[17.54071]	[86]	[27904445]	[27904445]
49_18015	chr6	105808718	105809118	+	992	56.0	[7.0321693]	[150]	[7.407259]	[150]	[105808943]	[105808943]
49_18017	chr6	111477495	111477895	+	1000	56.0	[11.228714]	[106]	[8.068016]	[106]	[111477695]	[111477695]
49_18021	chr6	135812023	135812423	+	1000	56.0	[14.294004]	[89]	[13.588854]	[89]	[135812209]	[135812209]
49_18031	chr6	163624938	163625338	+	1000	56.0	[12.201596]	[168]	[12.576686]	[168]	[163625162]	[163625162]
49_18034	chr7	2300939	2301339	+	1000	56.0	[5.9909678]	[168]	[2.684916]	[168]	[2301157]	[2301157]
49_18035	chr7	16422066	16422466	+	1000	56.0	[3.350037]	[120]	[7.3365355]	[120]	[16422285]	[16422285]
49_18044	chr7	65216362	65216762	+	1000	56.0	[18.801544]	[141]	[18.801544]	[141]	[65216581]	[65216581]
49_18047	chr7	77859011	77859411	+	1000	56.0	[13.033171]	[149]	[9.68026]	[149]	[77859237]	[77859237]
49_18049	chr7	90345577	90345977	+	1000	56.0	[5.9921923]	[119]	[2.59309]	[119]	[90345746]	[90345746]
49_1805	chr2	33212130	33212530	+	1000	169.0	[3.3062289]	[95]	[6.2082367]	[95]	[33212292]	[33212292]
49_18059	chr7	106796431	106796831	+	1000	56.0	[11.210488]	[112]	[9.196315, 4.7306733]	[112, 128]	[106796637]	[106796637, 106796653]
49_1806	chr2	219687313	219687713	+	1000	169.0	[12.689945]	[93]	[13.47666]	[93]	[219687496]	[219687496]
49_18066	chr7	107730443	107730843	+	1000	56.0	[18.801544]	[113]	[18.801544]	[113]	[107730642]	[107730642]
49_18067	chr7	111414883	111415283	+	1000	56.0	[7.0321693]	[122]	[7.407259]	[122]	[111415088]	[111415088]
49_18078	chr7	151523637	151524037	+	1000	56.0	[9.68026]	[100]	[13.033171]	[100]	[151523833]	[151523833]
49_18084	chr8	22442774	22443174	+	1000	56.0	[4.6205497]	[157]	[2.8091698]	[157]	[22443013]	[22443013]
49_18087	chr8	33123346	33123746	+	1000	56.0	[14.294004]	[93]	[13.588854]	[93]	[33123524]	[33123524]
49_18090	chr8	40388128	40388528	+	1000	56.0	[6.5935097]	[124]	[7.251801]	[124]	[40388343]	[40388343]
49_18094	chr8	91180287	91180687	+	1000	56.0	[8.668092]	[104]	[10.9407625]	[104]	[91180451]	[91180451]
49_18095	chr8	94857618	94858018	+	1000	56.0	[13.033171]	[122]	[9.68026]	[122]	[94857819]	[94857819]
49_18109	chr9	91954530	91954930	+	1000	56.0	[18.801544]	[99]	[18.801544]	[99]	[91954708]	[91954708]
49_1814	chr7	158809620	158810020	+	1000	169.0	[13.033171]	[107]	[9.68026]	[107]	[158809821]	[158809821]
49_18152	chr1	15948615	15949015	+	1000	55.0	[6.433223]	[98]	[3.4554012]	[98]	[15948797]	[15948797]
49_18163	chr1	31072397	31072797	+	1000	55.0	[]	[]	[5.492303]	[157]	[]	[31072617]
49_18172	chr1	51851766	51852166	+	1000	55.0	[6.305939, 8.668092]	[170, 189]	[6.1276107, 11.444276]	[170, 189]	[51851950, 51851969]	[51851950, 51851969]
49_18174	chr1	54463293	54463693	+	1000	55.0	[8.669316]	[95]	[11.352449]	[95]	[54463488]	[54463488]
49_18175	chr1	59506984	59507384	+	1000	55.0	[3.368263]	[137]	[6.2082367]	[137]	[59507199]	[59507199]
49_18179	chr1	89701752	89702152	+	893	55.0	[5.469696]	[87]	[6.716539]	[87]	[89701936]	[89701936]
49_18191	chr1	151164867	151165267	+	1000	55.0	[7.276857]	[147]	[7.4690695]	[147]	[151165086]	[151165086]
49_18197	chr1	157408130	157408530	+	1000	55.0	[]	[]	[5.264582]	[88]	[]	[157408297]
49_182	chr8	102391818	102392218	+	1000	809.0	[13.47666]	[102]	[12.689945]	[102]	[102392019]	[102392019]
49_18205	chr1	173433652	173434052	+	942	55.0	[3.5037353, 9.68026]	[93, 103]	[13.033171]	[103]	[173433826, 173433836]	[173433836]
49_18206	chr1	180522952	180523352	+	1000	55.0	[3.0281417, 13.632117]	[108, 139]	[13.632117]	[139]	[180523144, 180523175]	[180523175]
49_1821	chr10	72032733	72033133	+	1000	168.0	[13.47666]	[113]	[12.689945]	[113]	[72032945]	[72032945]
49_18213	chr1	203645978	203646378	+	1000	55.0	[9.1245775]	[131]	[8.419427]	[131]	[203646191]	[203646191]
49_18219	chr1	207781489	207781889	+	1000	55.0	[12.069644]	[188]	[12.941398]	[188]	[207781729]	[207781729]
49_1822	chr11	65711295	65711695	+	1000	168.0	[10.38541]	[82]	[12.32802]	[82]	[65711474]	[65711474]
49_18223	chr1	219967750	219968150	+	1000	55.0	[14.294004]	[121]	[13.588854]	[121]	[219967957]	[219967957]
49_1823	chr14	103427491	103427891	+	1000	168.0	[2.5564928]	[90]	[5.615878]	[90]	[103427673]	[103427673]
49_18231	chr1	246753860	246754260	+	1000	55.0	[7.4772544]	[94]	[8.969119]	[94]	[246754035]	[246754035]
49_18233	chr1	248731013	248731413	+	1000	55.0	[5.0922184]	[93]	[2.6082535]	[93]	[248731206]	[248731206]
49_1824	chr19	51394024	51394424	+	1000	168.0	[5.9909678]	[92]	[]	[]	[51394213]	[]
49_18248	chr10	69092970	69093370	+	1000	55.0	[2.9697142]	[139]	[3.7564287]	[139]	[69093204]	[69093204]
49_18254	chr10	79502394	79502794	+	603	55.0	[6.560788]	[192]	[6.286746]	[192]	[79502611]	[79502611]
49_18268	chr11	44067259	44067659	+	1000	55.0	[6.287725]	[126]	[5.84601]	[126]	[44067467]	[44067467]
49_18277	chr11	70110621	70111021	+	1000	55.0	[5.8567076]	[127]	[6.5254154]	[127]	[70110845]	[70110845]
49_18278	chr11	70335573	70335973	+	939	55.0	[2.6004224]	[133]	[]	[]	[70335798]	[]
49_1828	chr6	110509932	110510332	+	1000	168.0	[13.47666]	[129]	[12.689945]	[129]	[110510147]	[110510147]
49_18285	chr11	106086174	106086574	+	868	55.0	[7.5796227]	[117]	[7.3409534]	[117]	[106086372]	[106086372]
49_18289	chr12	7588759	7589159	+	1000	55.0	[2.6004224]	[117]	[]	[]	[7588972]	[]
49_1830	chr7	140675288	140675688	+	1000	168.0	[3.0288188]	[110]	[2.7901492]	[110]	[140675489]	[140675489]
49_18320	chr13	80669333	80669733	+	1000	55.0	[5.817649, 14.294004]	[65, 125]	[6.8812747, 13.588854]	[65, 125]	[80669489, 80669549]	[80669489, 80669549]
49_18328	chr13	107943244	107943644	+	1000	55.0	[5.3766613]	[76]	[6.264689]	[76]	[107943411]	[107943411]
49_18334	chr14	55086927	55087327	+	884	55.0	[9.68026]	[100]	[13.033171]	[100]	[55087125]	[55087125]
49_18338	chr14	78669518	78669918	+	1000	55.0	[12.689945]	[122]	[13.47666]	[122]	[78669724]	[78669724]
49_1834	chr12	112541955	112542355	+	1000	167.0	[13.47666]	[109]	[12.689945]	[109]	[112542163]	[112542163]
49_18340	chr14	90378910	90379310	+	967	55.0	[13.588854]	[96]	[14.294004]	[96]	[90379105]	[90379105]
49_18341	chr14	91207014	91207414	+	1000	55.0	[2.5716562]	[122]	[4.715904]	[122]	[91207225]	[91207225]
49_18342	chr14	92659904	92660304	+	1000	55.0	[13.033171]	[110]	[9.68026]	[110]	[92660087]	[92660087]
49_18347	chr15	41438286	41438686	+	975	55.0	[8.293002]	[143]	[11.315852]	[143]	[41438512]	[41438512]
49_18353	chr15	58241952	58242352	+	705	55.0	[9.081313]	[196]	[9.081313]	[196]	[58242195]	[58242195]
49_18357	chr15	65835586	65835986	+	1000	55.0	[3.368263]	[89]	[6.2082367]	[89]	[65835745]	[65835745]
49_18362	chr15	82805987	82806387	+	1000	55.0	[7.9637814]	[139]	[7.892218]	[139]	[82806190]	[82806190]
49_18364	chr15	89090726	89091126	+	1000	55.0	[5.455706]	[111]	[]	[]	[89090894]	[]
49_18365	chr15	89106649	89107049	+	715	55.0	[9.68026]	[95]	[13.033171]	[95]	[89106837]	[89106837]
49_18369	chr16	578992	579392	+	1000	55.0	[6.560788]	[152]	[6.286746]	[152]	[579177]	[579177]
49_18381	chr16	16187339	16187739	+	1000	55.0	[7.3639946]	[159]	[8.197569]	[159]	[16187569]	[16187569]
49_18385	chr16	29350003	29350403	+	1000	55.0	[2.7693167]	[112]	[]	[]	[29350201]	[]
49_184	chr1	11934369	11934769	+	1000	806.0	[9.1245775]	[112]	[8.419427]	[112]	[11934576]	[11934576]
49_1840	chr22	22533356	22533756	+	1000	167.0	[13.588854]	[84]	[14.294004]	[84]	[22533536]	[22533536]
49_18400	chr16	81723143	81723543	+	1000	55.0	[6.3310776]	[147]	[5.751751]	[147]	[81723364]	[81723364]
49_18415	chr17	27026925	27027325	+	1000	55.0	[3.4554012]	[103]	[6.433223]	[103]	[27027128]	[27027128]
49_18417	chr17	27964362	27964762	+	920	55.0	[13.033171]	[168]	[9.68026]	[168]	[27964596]	[27964596]
49_18418	chr17	28965593	28965993	+	1000	55.0	[2.7693167]	[121]	[]	[]	[28965765]	[]
49_18422	chr17	40013675	40014075	+	1000	55.0	[6.516847]	[149]	[6.353051]	[149]	[40013922]	[40013922]
49_18427	chr17	45073780	45074180	+	1000	55.0	[12.147872]	[153]	[12.57791]	[153]	[45073980]	[45073980]
49_18429	chr17	48578250	48578650	+	1000	55.0	[6.2588162]	[126]	[3.3744574]	[126]	[48578473]	[48578473]
49_1843	chr5	126747929	126748329	+	1000	167.0	[7.728707]	[116]	[7.562104]	[116]	[126748134]	[126748134]
49_18448	chr18	3703594	3703994	+	1000	55.0	[7.2818265]	[93]	[7.1079626]	[93]	[3703776]	[3703776]
49_1845	chr1	9077926	9078326	+	1000	166.0	[12.689945]	[102]	[13.47666]	[102]	[9078115]	[9078115]
49_1848	chr15	70097710	70098110	+	1000	166.0	[8.182405]	[104]	[8.263968]	[104]	[70097905]	[70097905]
49_18482	chr19	49335206	49335606	+	1000	55.0	[]	[]	[4.663282]	[57]	[]	[49335361]
49_1849	chr3	31077236	31077636	+	1000	166.0	[8.00284]	[103]	[7.536359]	[103]	[31077431]	[31077431]
49_18493	chr2	11863651	11864051	+	1000	55.0	[2.4444578]	[191]	[5.256014]	[191]	[11863889]	[11863889]
49_18500	chr2	30385318	30385718	+	1000	55.0	[6.5254154]	[128]	[6.3221188]	[128]	[30385535]	[30385535]
49_18502	chr2	32706831	32707231	+	1000	55.0	[7.0321693]	[89]	[7.407259]	[89]	[32707009]	[32707009]
49_18505	chr2	43725001	43725401	+	1000	55.0	[2.8091698]	[210]	[4.6205497]	[210]	[43725238]	[43725238]
49_1851	chr3	155863289	155863689	+	1000	166.0	[14.294004]	[104]	[13.588854]	[104]	[155863490]	[155863490]
49_18523	chr2	177245127	177245527	+	1000	55.0	[7.1730247]	[101]	[2.9483597]	[101]	[177245297]	[177245297]
49_18527	chr2	196046095	196046495	+	1000	55.0	[6.466311]	[86]	[6.822987]	[86]	[196046254]	[196046254]
49_18537	chr20	40582529	40582929	+	750	55.0	[7.2586308]	[117]	[8.597369]	[117]	[40582724]	[40582724]
49_18539	chr20	43579854	43580254	+	1000	55.0	[8.07037]	[104]	[6.9351807]	[104]	[43580053]	[43580053]
49_18542	chr20	50278973	50279373	+	837	55.0	[7.2530255]	[114]	[6.5016837]	[114]	[50279186]	[50279186]
49_18552	chr21	39208910	39209310	+	1000	55.0	[]	[]	[3.2211668]	[185]	[]	[39209160]
49_18558	chr22	19477240	19477640	+	1000	55.0	[4.1158285]	[95]	[]	[]	[19477433]	[]
49_18565	chr22	20775727	20776127	+	1000	55.0	[]	[]	[4.492142]	[163]	[]	[20775933]
49_18569	chr22	21582640	21583040	+	1000	55.0	[3.272484]	[131]	[]	[]	[21582824]	[]
49_18580	chr22	22542833	22543233	+	1000	55.0	[5.264582]	[148]	[]	[]	[22543072]	[]
49_1859	chr9	98410224	98410624	+	1000	166.0	[6.4650865]	[130]	[6.8767114]	[130]	[98410444]	[98410444]
49_18591	chr3	16178370	16178770	+	1000	55.0	[]	[]	[5.127591]	[147]	[]	[16178610]
49_18592	chr3	16309568	16309968	+	1000	55.0	[]	[]	[4.527515]	[145]	[]	[16309790]
49_18593	chr3	17850425	17850825	+	1000	55.0	[7.443856]	[141]	[7.408483]	[141]	[17850653]	[17850653]
49_1860	chr1	1422870	1423270	+	1000	165.0	[7.3802238]	[109]	[6.4650865]	[109]	[1423078]	[1423078]
49_18609	chr3	124831748	124832148	+	1000	55.0	[7.8204803]	[129]	[5.1727195]	[129]	[124831916]	[124831916]
49_1861	chr1	116418243	116418643	+	1000	165.0	[12.32802]	[102]	[10.38541]	[102]	[116418420]	[116418420]
49_18617	chr3	183068240	183068640	+	554	55.0	[13.47666]	[96]	[12.689945]	[96]	[183068436]	[183068436]
49_18619	chr3	187041736	187042136	+	1000	55.0	[3.5838242]	[106]	[6.8083124]	[106]	[187041911]	[187041911]
49_1864	chr12	32217367	32217767	+	1000	165.0	[7.9637814]	[98]	[7.892218]	[98]	[32217565]	[32217565]
49_18640	chr5	32287630	32288030	+	1000	55.0	[12.57791]	[161]	[12.147872]	[161]	[32287859]	[32287859]
49_18643	chr5	56535326	56535726	+	1000	55.0	[17.54071]	[101]	[14.892951]	[101]	[56535527]	[56535527]
49_1866	chr15	60021443	60021843	+	1000	165.0	[18.801544]	[103]	[18.801544]	[103]	[60021645]	[60021645]
49_18667	chr6	13662398	13662798	+	1000	55.0	[11.488216]	[126]	[8.601787]	[126]	[13662613]	[13662613]
49_1867	chr17	59440680	59441080	+	1000	165.0	[8.704689]	[103]	[11.317077]	[103]	[59440877]	[59440877]
49_18686	chr6	41591960	41592360	+	1000	55.0	[3.0803115]	[94]	[6.8083124]	[94]	[41592134]	[41592134]
49_18695	chr6	127428406	127428806	+	943	55.0	[9.68026]	[88]	[13.033171]	[88]	[127428591]	[127428591]
49_18696	chr6	133923991	133924391	+	1000	55.0	[]	[]	[2.4038222]	[189]	[]	[133924235]
49_187	chr2	9169296	9169696	+	1000	801.0	[12.689945]	[93]	[13.47666, 4.7306733]	[93, 109]	[9169487]	[9169487, 9169503]
49_18702	chr6	166351997	166352397	+	1000	55.0	[2.6689224]	[83]	[2.7985845]	[83]	[166352166]	[166352166]
49_18711	chr7	8389855	8390255	+	1000	55.0	[4.8345437]	[127]	[2.3781524]	[127]	[8390079]	[8390079]
49_18712	chr7	17176535	17176935	+	1000	55.0	[10.38541]	[101]	[12.32802]	[101]	[17176728]	[17176728]
49_18713	chr7	23072058	23072458	+	1000	55.0	[9.081313]	[135]	[9.081313]	[135]	[23072260]	[23072260]
49_18715	chr7	29794720	29795120	+	981	55.0	[12.689945]	[109]	[13.47666]	[109]	[29794919]	[29794919]
49_18717	chr7	66994654	66995054	+	1000	55.0	[7.3802238]	[176]	[6.4650865]	[176]	[66994879]	[66994879]
49_18721	chr7	88239317	88239717	+	1000	55.0	[13.588854]	[144]	[14.294004]	[144]	[88239544]	[88239544]
49_18728	chr7	101333853	101334253	+	1000	55.0	[8.068016]	[118]	[11.228714]	[118]	[101334064]	[101334064]
49_18734	chr7	107109906	107110306	+	1000	55.0	[]	[]	[4.5442357]	[197]	[]	[107110133]
49_18743	chr7	132115352	132115752	+	1000	55.0	[13.47666]	[99]	[12.689945]	[99]	[132115544]	[132115544]
49_18744	chr7	133139372	133139772	+	1000	55.0	[4.300635]	[73]	[]	[]	[133139539]	[]
49_18748	chr7	139183807	139184207	+	1000	55.0	[6.353051]	[88]	[6.0133343]	[88]	[139183970]	[139183970]
49_1875	chr7	106460655	106461055	+	1000	165.0	[12.689945]	[89]	[13.47666]	[89]	[106460844]	[106460844]
49_1876	chr8	117104693	117105093	+	1000	165.0	[12.689945]	[104]	[13.47666]	[104]	[117104895]	[117104895]
49_18776	chr9	96905215	96905615	+	978	55.0	[7.780024]	[82]	[6.3597226]	[82]	[96905395]	[96905395]
49_188	chr5	108531425	108531825	+	1000	799.0	[3.4554012, 5.022227]	[105, 121]	[6.433223, 2.972681]	[105, 121]	[108531622, 108531638]	[108531622, 108531638]
49_1880	chr14	64681733	64682133	+	1000	164.0	[17.54071]	[130]	[14.892951]	[130]	[64681949]	[64681949]
49_18801	chrX	105221368	105221768	+	1000	55.0	[9.68026]	[104]	[13.033171]	[104]	[105221571]	[105221571]
49_18809	chr1	3747153	3747553	+	1000	54.0	[6.4650865]	[138]	[7.3802238]	[138]	[3747307]	[3747307]
49_18813	chr1	15356159	15356559	+	740	54.0	[4.5958743]	[151]	[2.6168218]	[151]	[15356329]	[15356329]
49_18815	chr1	16017434	16017834	+	844	54.0	[5.8567076]	[159]	[6.5254154]	[159]	[16017635]	[16017635]
49_1882	chr16	4282369	4282769	+	1000	164.0	[14.294004]	[100]	[13.588854]	[100]	[4282569]	[4282569]
49_18820	chr1	24098510	24098910	+	1000	54.0	[14.892951]	[225]	[17.54071]	[225]	[24098752]	[24098752]
49_18826	chr1	27690185	27690585	+	798	54.0	[6.5935097]	[203]	[7.251801]	[203]	[27690422]	[27690422]
49_18848	chr1	100325376	100325776	+	1000	54.0	[9.081313]	[104]	[9.081313]	[104]	[100325541]	[100325541]
49_1885	chr18	9711573	9711973	+	1000	164.0	[13.632117]	[125]	[13.632117]	[125]	[9711793]	[9711793]
49_18854	chr1	114979292	114979692	+	932	54.0	[12.613283]	[100]	[12.57791, 4.729449]	[100, 129]	[114979475]	[114979475, 114979504]
49_18856	chr1	125183672	125184072	+	1000	54.0	[5.0922184]	[140]	[]	[]	[125183907]	[]
49_18859	chr1	150946781	150947181	+	1000	54.0	[14.294004]	[157]	[13.588854]	[157]	[150947003]	[150947003]
49_18868	chr1	168161399	168161799	+	1000	54.0	[2.900943]	[171]	[]	[]	[168161644]	[]
49_18886	chr1	222464795	222465195	+	1000	54.0	[4.4785886]	[58]	[3.3361688]	[58]	[222464946]	[222464946]
49_18890	chr1	241611066	241611466	+	1000	54.0	[]	[]	[4.527515]	[184]	[]	[241611304]
49_18893	chr10	1009201	1009601	+	850	54.0	[6.0133343]	[122]	[6.353051]	[122]	[1009397]	[1009397]
49_1890	chr3	4634893	4635293	+	1000	164.0	[3.6277652]	[91]	[6.742007]	[91]	[4635077]	[4635077]
49_18908	chr10	63744489	63744889	+	1000	54.0	[8.182405]	[99]	[8.263968]	[99]	[63744677]	[63744677]
49_1891	chr3	46111122	46111522	+	1000	164.0	[13.632117, 8.668092]	[84, 152]	[13.632117, 10.9407625]	[84, 152]	[46111296, 46111364]	[46111296, 46111364]
49_18916	chr10	78770247	78770647	+	1000	54.0	[13.033171]	[165]	[9.68026]	[165]	[78770473]	[78770473]
49_18917	chr10	86775069	86775469	+	1000	54.0	[6.1801577]	[91]	[7.0524144]	[91]	[86775234]	[86775234]
49_18928	chr11	11160186	11160586	+	1000	54.0	[17.54071]	[107]	[14.892951]	[107]	[11160391]	[11160391]
49_18941	chr11	61841683	61842083	+	1000	54.0	[5.655814]	[140]	[]	[]	[61841894]	[]
49_18942	chr11	62829549	62829949	+	1000	54.0	[6.433223]	[147]	[3.4554012]	[147]	[62829764]	[62829764]
49_18950	chr11	86166391	86166791	+	1000	54.0	[14.294004]	[116]	[13.588854]	[116]	[86166580]	[86166580]
49_18954	chr11	102343847	102344247	+	585	54.0	[12.32802]	[100]	[10.38541]	[100]	[102344043]	[102344043]
49_1897	chr9	36190500	36190900	+	1000	164.0	[5.9921923]	[147]	[2.59309]	[147]	[36190714]	[36190714]
49_18972	chr12	71594250	71594650	+	1000	54.0	[]	[]	[5.220641]	[102]	[]	[71594448]
49_18982	chr12	124259763	124260163	+	960	54.0	[2.3769279]	[153]	[4.888268]	[153]	[124259995]	[124259995]
49_18983	chr12	124861523	124861923	+	867	54.0	[4.7906027]	[170]	[2.4444578]	[170]	[124861736]	[124861736]
49_18984	chr12	128849783	128850183	+	847	54.0	[12.689945]	[92]	[13.47666]	[92]	[128849961]	[128849961]
49_18986	chr13	23375600	23376000	+	796	54.0	[7.7082863]	[138]	[3.5686607]	[138]	[23375820]	[23375820]
49_18988	chr13	95477172	95477572	+	775	54.0	[11.352449]	[159]	[8.669316]	[159]	[95477402]	[95477402]
49_18991	chr13	107892060	107892460	+	1000	54.0	[2.3725102, 5.835875]	[78, 115]	[5.7529755]	[115]	[107892237, 107892274]	[107892274]
49_18998	chr14	68977508	68977908	+	925	54.0	[7.3639946]	[128]	[7.694056]	[128]	[68977728]	[68977728]
49_19000	chr14	91341875	91342275	+	1000	54.0	[17.54071]	[143]	[14.892951]	[143]	[91342104]	[91342104]
49_19004	chr15	44726578	44726978	+	1000	54.0	[6.3896484]	[165]	[6.3896484]	[165]	[44726810]	[44726810]
49_19008	chr15	68984155	68984555	+	1000	54.0	[]	[]	[4.527515]	[58]	[]	[68984310]
49_19046	chr17	28377950	28378350	+	921	54.0	[14.294004]	[101]	[13.588854]	[101]	[28378150]	[28378150]
49_1905	chr18	55819403	55819803	+	1000	163.0	[17.54071]	[97]	[14.892951]	[97]	[55819597]	[55819597]
49_19081	chr19	5139062	5139462	+	558	54.0	[14.294004]	[100]	[13.588854]	[100]	[5139260]	[5139260]
49_19082	chr19	5874558	5874958	+	622	54.0	[13.632117]	[98]	[13.632117]	[98]	[5874749]	[5874749]
49_19091	chr19	14505430	14505830	+	1000	54.0	[6.809537]	[98]	[3.4919982]	[98]	[14505621]	[14505621]
49_19094	chr19	15516098	15516498	+	933	54.0	[9.68026]	[98]	[13.033171]	[98]	[15516284]	[15516284]
49_19098	chr19	35327634	35328034	+	1000	54.0	[6.5935097]	[132]	[7.251801]	[132]	[35327866]	[35327866]
49_19099	chr19	35358109	35358509	+	1000	54.0	[7.3409534]	[105]	[7.5796227]	[105]	[35358311]	[35358311]
49_191	chr15	28968516	28968916	+	1000	789.0	[9.68026]	[89]	[13.033171]	[89]	[28968705]	[28968705]
49_1911	chr2	42168447	42168847	+	1000	163.0	[18.801544]	[110]	[2.5381737, 18.801544]	[72, 110]	[42168654]	[42168616, 42168654]
49_19118	chr19	55702258	55702658	+	1000	54.0	[6.202655]	[196]	[5.880174]	[196]	[55702479]	[55702479]
49_19119	chr19	58489157	58489557	+	1000	54.0	[4.018273]	[83]	[]	[]	[58489327]	[]
49_19134	chr2	55047737	55048137	+	1000	54.0	[6.1801577]	[77]	[7.0524144]	[77]	[55047909]	[55047909]
49_19135	chr2	61288059	61288459	+	750	54.0	[8.669316]	[148]	[11.352449]	[148]	[61288284]	[61288284]
49_19140	chr2	73065800	73066200	+	847	54.0	[4.752501]	[100]	[2.4444578]	[100]	[73065996]	[73065996]
49_19147	chr2	102074284	102074684	+	1000	54.0	[8.601787]	[99]	[11.488216]	[99]	[102074470]	[102074470]
49_19151	chr2	134621893	134622293	+	924	54.0	[10.9407625]	[123]	[8.668092]	[123]	[134622102]	[134622102]
49_19162	chr2	223602181	223602581	+	1000	54.0	[2.921205]	[105]	[5.4839263]	[105]	[223602382]	[223602382]
49_19164	chr2	238421957	238422357	+	1000	54.0	[13.033171]	[98]	[9.68026]	[98]	[238422141]	[238422141]
