#PeakID(python identify_motif.py ./ENCODE_processed_files/BACH1_idr.fa BACH1 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
593_1	chr4	8303572	8303972	+	1000	782.0	[16.412586, 16.412586, 16.412586, 16.412586]	[64, 90, 116, 142]	[7.2059402, 7.2059402]	[62, 88]	[8303732, 8303758, 8303784, 8303810]	[8303730, 8303756]
593_233	chr6	17907655	17908055	+	1000	199.0	[16.412586]	[97]	[10.945392]	[95]	[17907845]	[17907843]
593_2332	chr13	99440208	99440608	+	1000	48.0	[16.412586]	[88]	[7.0733485]	[86]	[99440392]	[99440390]
593_2333	chr14	104677702	104678102	+	1000	48.0	[16.412586]	[124]	[]	[]	[104677918]	[]
593_2334	chr15	84548128	84548528	+	1000	48.0	[16.412586]	[90]	[7.2059402]	[88]	[84548317]	[84548315]
593_2336	chr17	28834334	28834734	+	1000	48.0	[16.412586]	[138]	[13.902448]	[136]	[28834536]	[28834534]
593_2337	chr17	32723557	32723957	+	1000	48.0	[8.438943]	[80]	[]	[]	[32723731]	[]
593_234	chr6	147479865	147480265	+	1000	199.0	[16.412586]	[114]	[7.0733485]	[112]	[147480078]	[147480076]
593_2340	chr17	76442995	76443395	+	1000	48.0	[9.5834875]	[74]	[13.902448]	[72]	[76443163]	[76443161]
593_2342	chr18	58054344	58054744	+	1000	48.0	[]	[]	[11.85311]	[104]	[]	[58054539]
593_2345	chr2	127407934	127408334	+	1000	48.0	[8.4563675, 16.412586, 6.132914]	[98, 110, 137]	[13.902448, 13.902448]	[96, 108]	[127408126, 127408138, 127408165]	[127408124, 127408136]
593_2348	chr21	29656671	29657071	+	1000	48.0	[9.042406]	[146]	[]	[]	[29656906]	[]
593_2349	chr21	39430449	39430849	+	1000	48.0	[9.72495]	[114]	[6.63555]	[151]	[39430647]	[39430684]
593_235	chr1	26237524	26237924	+	1000	198.0	[7.0733485]	[104]	[16.412586]	[102]	[26237722]	[26237720]
593_2350	chr22	17376954	17377354	+	1000	48.0	[12.32841]	[94]	[13.902448]	[92]	[17377143]	[17377141]
593_2351	chr22	22610363	22610763	+	1000	48.0	[10.030405]	[127]	[8.588959]	[125]	[22610566]	[22610564]
593_2352	chr3	5442546	5442946	+	1000	48.0	[]	[]	[11.13416]	[87]	[]	[5442713]
593_2353	chr3	12194225	12194625	+	1000	48.0	[16.412586]	[114]	[7.0733485]	[112]	[12194422]	[12194420]
593_2354	chr3	112894286	112894686	+	1000	48.0	[16.412586]	[89]	[]	[]	[112894459]	[]
593_2355	chr3	131453519	131453919	+	1000	48.0	[16.412586]	[120]	[10.945392]	[118]	[131453731]	[131453729]
593_2357	chr4	47565224	47565624	+	1000	48.0	[]	[]	[12.082088]	[105]	[]	[47565426]
593_236	chr2	46749005	46749405	+	1000	198.0	[16.412586]	[122]	[9.636316]	[120]	[46749212]	[46749210]
593_2362	chr6	37112106	37112506	+	1000	48.0	[7.8347774]	[127]	[7.5614, 11.977605]	[65, 89]	[37112330]	[37112268, 37112292]
593_2365	chr6	84791243	84791643	+	1000	48.0	[13.902448]	[112]	[13.45553]	[110]	[84791435]	[84791433]
593_2367	chr6	134017829	134018229	+	1000	48.0	[16.412586]	[131]	[10.162996]	[129]	[134018046]	[134018044]
593_2369	chr7	108084073	108084473	+	1000	48.0	[13.45553]	[108]	[7.0733485]	[106]	[108084279]	[108084277]
593_237	chr3	194552550	194552950	+	1000	198.0	[16.412586]	[103]	[7.2059402]	[101]	[194552744]	[194552742]
593_2371	chr8	33342586	33342986	+	1000	48.0	[16.412586]	[102]	[7.0733485]	[100]	[33342780]	[33342778]
593_2373	chr8	85565424	85565824	+	1000	48.0	[16.412586]	[132]	[7.2059402]	[130]	[85565647]	[85565645]
593_2374	chr8	107495810	107496210	+	1000	48.0	[11.977605]	[123]	[]	[]	[107496030]	[]
593_2375	chr9	36158027	36158427	+	1000	48.0	[6.6792603]	[116]	[16.412586]	[114]	[36158226]	[36158224]
593_2376	chr9	94985672	94986072	+	1000	48.0	[8.790712, 10.945392]	[70, 91]	[12.673135]	[89]	[94985838, 94985859]	[94985857]
593_2377	chr9	101462546	101462946	+	1000	48.0	[16.412586]	[77]	[9.818272]	[75]	[101462711]	[101462709]
593_238	chr7	38950323	38950723	+	1000	198.0	[7.2059402]	[110]	[16.412586]	[108]	[38950525]	[38950523]
593_2381	chrX	147850878	147851278	+	1000	48.0	[16.412586]	[113]	[7.0733485]	[111]	[147851079]	[147851077]
593_2386	chr1	51433967	51434367	+	1000	47.0	[11.977605]	[110]	[]	[]	[51434170]	[]
593_2389	chr1	224234015	224234415	+	1000	47.0	[13.902448]	[96]	[16.412586]	[94]	[224234211]	[224234209]
593_239	chr8	104665211	104665611	+	1000	198.0	[7.2059402]	[105]	[6.63555, 16.412586, 8.062279]	[61, 83, 103]	[104665410]	[104665366, 104665388, 104665408]
593_2395	chr10	103198639	103199039	+	1000	47.0	[16.412586]	[102]	[6.6792603]	[100]	[103198839]	[103198837]
593_2398	chr11	60127136	60127536	+	1000	47.0	[8.036991]	[165]	[11.296419]	[163]	[60127370]	[60127368]
593_2399	chr11	88357454	88357854	+	1000	47.0	[]	[]	[12.082088]	[136]	[]	[88357656]
593_240	chr1	77762003	77762403	+	1000	197.0	[7.0733485]	[136]	[16.412586, 16.412586]	[84, 134]	[77762238]	[77762186, 77762236]
593_2400	chr12	8829089	8829489	+	1000	47.0	[12.540544]	[173]	[13.902448]	[171]	[8829325]	[8829323]
593_2402	chr12	129696969	129697369	+	1000	47.0	[]	[]	[11.300851]	[103]	[]	[129697149]
593_2405	chr15	40075318	40075718	+	1000	47.0	[13.902448]	[133]	[9.189399]	[131]	[40075542]	[40075540]
593_2406	chr15	83538654	83539054	+	1000	47.0	[7.0733485]	[149]	[16.412586]	[147]	[83538882]	[83538880]
593_2407	chr15	90198097	90198497	+	1000	47.0	[13.902448, 7.934307]	[90, 108]	[9.716079]	[88]	[90198279, 90198297]	[90198277]
593_2409	chr17	7611581	7611981	+	1000	47.0	[8.177104, 7.2059402]	[115, 134]	[16.412586]	[132]	[7611782, 7611801]	[7611799]
593_2413	chr18	3037351	3037751	+	1000	47.0	[12.32841]	[109]	[10.162996]	[107]	[3037552]	[3037550]
593_2415	chr19	51395393	51395793	+	1000	47.0	[9.818272]	[117]	[16.412586]	[115]	[51395601]	[51395599]
593_2417	chr2	24482644	24483044	+	1000	47.0	[6.698378]	[171]	[8.150912]	[149]	[24482888]	[24482866]
593_2418	chr2	37215251	37215651	+	1000	47.0	[13.45553]	[121]	[13.902448, 8.11366]	[119, 129]	[37215463]	[37215461, 37215471]
593_2419	chr2	85867128	85867528	+	1000	47.0	[16.412586]	[103]	[13.902448]	[101]	[85867320]	[85867318]
593_242	chr19	29690914	29691314	+	1000	197.0	[10.945392]	[88]	[16.412586]	[86]	[29691102]	[29691100]
593_2422	chr20	4025635	4026035	+	1000	47.0	[]	[]	[11.296419]	[74]	[]	[4025803]
593_2424	chr20	35285687	35286087	+	1000	47.0	[16.412586]	[100]	[10.945392]	[98]	[35285884]	[35285882]
593_2426	chr21	5243627	5244027	+	1000	47.0	[]	[]	[16.412586]	[156]	[]	[5243876]
593_2435	chr22	43299732	43300132	+	1000	47.0	[16.412586]	[120]	[]	[]	[43299946]	[]
593_2436	chr3	33749464	33749864	+	1000	47.0	[16.412586]	[110]	[]	[]	[33749669]	[]
593_2437	chr3	72143315	72143715	+	1000	47.0	[12.540544, 16.412586]	[73, 112]	[13.902448, 13.902448]	[71, 110]	[72143485, 72143524]	[72143483, 72143522]
593_244	chr10	78256104	78256504	+	1000	195.0	[13.902448, 7.1189213]	[88, 127]	[9.5834875]	[86]	[78256292, 78256331]	[78256290]
593_2441	chr3	193942465	193942865	+	1000	47.0	[9.72495]	[91]	[8.438943, 6.5109935]	[72, 89]	[193942640]	[193942621, 193942638]
593_2443	chr4	159163511	159163911	+	1000	47.0	[16.412586]	[114]	[9.636316]	[112]	[159163713]	[159163711]
593_2448	chr6	7047921	7048321	+	1000	47.0	[7.238777]	[169]	[12.082088, 7.7333307]	[144, 167]	[7048144]	[7048119, 7048142]
593_2449	chr6	26571635	26572035	+	1000	47.0	[8.085031]	[87]	[]	[]	[26571789]	[]
593_245	chr4	128517690	128518090	+	1000	195.0	[13.902448, 13.902448]	[99, 147]	[8.062279, 13.45553]	[97, 145]	[128517875, 128517923]	[128517873, 128517921]
593_2452	chr6	28961006	28961406	+	1000	47.0	[16.412586]	[96]	[7.2059402]	[94]	[28961182]	[28961180]
593_2453	chr6	35248274	35248674	+	1000	47.0	[7.2059402]	[116]	[16.412586]	[114]	[35248487]	[35248485]
593_2454	chr6	78746482	78746882	+	1000	47.0	[16.412586]	[102]	[7.0733485]	[100]	[78746678]	[78746676]
593_2456	chr7	94055942	94056342	+	1000	47.0	[7.2059402]	[114]	[16.412586]	[112]	[94056144]	[94056142]
593_246	chr9	105503894	105504294	+	1000	195.0	[16.412586]	[101]	[7.0733485]	[99]	[105504091]	[105504089]
593_2461	chr9	19748910	19749310	+	1000	47.0	[11.999462]	[92]	[]	[]	[19749067]	[]
593_2466	chr9	137482201	137482601	+	1000	47.0	[16.412586]	[91]	[10.945392]	[89]	[137482388]	[137482386]
593_2467	chrX	66200240	66200640	+	1000	47.0	[16.412586]	[91]	[10.945392]	[89]	[66200422]	[66200420]
593_2468	chrX	123852536	123852936	+	1000	47.0	[16.412586]	[120]	[9.636316]	[118]	[123852746]	[123852744]
593_2469	chrX	125422955	125423355	+	1000	47.0	[16.412586]	[140]	[7.0733485]	[138]	[125423173]	[125423171]
593_247	chr20	10511540	10511940	+	1000	194.0	[9.818272, 12.32841]	[95, 113]	[16.412586, 13.902448]	[93, 111]	[10511734, 10511752]	[10511732, 10511750]
593_2472	chr1	21638567	21638967	+	1000	46.0	[16.412586]	[105]	[7.0733485]	[103]	[21638768]	[21638766]
593_2473	chr1	28501026	28501426	+	1000	46.0	[8.062279, 10.030405]	[74, 151]	[6.6792603, 9.716079]	[72, 149]	[28501185, 28501262]	[28501183, 28501260]
593_2474	chr1	110421239	110421639	+	1000	46.0	[9.716079, 16.412586, 12.235088]	[92, 99, 132]	[7.2059402]	[97]	[110421391, 110421398, 110421431]	[110421396]
593_2477	chr1	191702102	191702502	+	1000	46.0	[16.412586]	[138]	[7.0733485]	[136]	[191702320]	[191702318]
593_2478	chr1	218878356	218878756	+	1000	46.0	[16.412586]	[102]	[]	[]	[218878557]	[]
593_2479	chr1	235450884	235451284	+	1000	46.0	[13.902448]	[84]	[12.146455]	[82]	[235451065]	[235451063]
593_2480	chr10	2981108	2981508	+	1000	46.0	[7.904591, 16.412586]	[112, 147]	[7.1604733, 6.6792603]	[83, 145]	[2981299, 2981334]	[2981270, 2981332]
593_2481	chr10	21044333	21044733	+	1000	46.0	[]	[]	[11.999462]	[86]	[]	[21044518]
593_2482	chr10	25061698	25062098	+	1000	46.0	[10.030405]	[150]	[16.412586]	[148]	[25061943]	[25061941]
593_2484	chr10	43627905	43628305	+	1000	46.0	[6.6792603]	[125]	[13.45553]	[123]	[43628122]	[43628120]
593_2485	chr10	69315517	69315917	+	1000	46.0	[12.146455]	[145]	[7.2059402]	[143]	[69315760]	[69315758]
593_2486	chr10	99775860	99776260	+	1000	46.0	[7.8001075, 6.6792603]	[69, 102]	[8.238153, 13.45553]	[87, 100]	[99776022, 99776055]	[99776040, 99776053]
593_249	chr16	24838700	24839100	+	1000	193.0	[16.412586]	[115]	[]	[]	[24838912]	[]
593_2490	chr11	67528358	67528758	+	1000	46.0	[16.412586]	[113]	[7.2059402]	[111]	[67528568]	[67528566]
593_2493	chr12	104502661	104503061	+	1000	46.0	[13.902448]	[102]	[12.146455]	[100]	[104502848]	[104502846]
593_2495	chr14	50146096	50146496	+	1000	46.0	[16.412586]	[128]	[10.945392]	[126]	[50146297]	[50146295]
593_2497	chr15	34047420	34047820	+	1000	46.0	[16.412586]	[122]	[9.163619]	[120]	[34047631]	[34047629]
593_25	chr8	130503138	130503538	+	1000	552.0	[13.902448, 7.2059402, 8.2620945]	[76, 111, 129]	[16.412586, 16.412586]	[74, 109]	[130503310, 130503345, 130503363]	[130503308, 130503343]
593_2501	chr16	28609256	28609656	+	1000	46.0	[16.412586]	[109]	[10.945392]	[107]	[28609463]	[28609461]
593_2502	chr16	56812867	56813267	+	1000	46.0	[16.412586]	[113]	[7.2059402]	[111]	[56813071]	[56813069]
593_2507	chr1_KI270713v1_random	20915	21315	+	553	46.0	[6.767894]	[136]	[]	[]	[21114]	[]
593_2508	chr2	12442592	12442992	+	1000	46.0	[9.5834875]	[103]	[13.902448]	[101]	[12442773]	[12442771]
593_2509	chr2	39425049	39425449	+	1000	46.0	[13.902448]	[89]	[9.716079]	[87]	[39425212]	[39425210]
593_251	chr16	71492055	71492455	+	1000	192.0	[6.6792603]	[91]	[16.412586, 7.209631]	[89, 117]	[71492243]	[71492241, 71492269]
593_2510	chr2	71531663	71532063	+	1000	46.0	[16.412586]	[94]	[10.945392]	[92]	[71531840]	[71531838]
593_2511	chr2	127413832	127414232	+	1000	46.0	[16.412586]	[105]	[7.2059402]	[103]	[127414012]	[127414010]
593_2512	chr2	136005457	136005857	+	823	46.0	[16.412586]	[109]	[13.902448]	[107]	[136005660]	[136005658]
593_2514	chr2	177872300	177872700	+	797	46.0	[7.904591, 13.902448]	[80, 114]	[13.45553]	[112]	[177872466, 177872500]	[177872498]
593_2526	chr3	100602461	100602861	+	1000	46.0	[16.412586]	[102]	[10.945392]	[100]	[100602651]	[100602649]
593_2528	chr3	150140913	150141313	+	1000	46.0	[7.2059402]	[124]	[16.412586]	[122]	[150141124]	[150141122]
593_253	chr6	3473088	3473488	+	1000	192.0	[16.412586]	[109]	[7.2059402]	[107]	[3473296]	[3473294]
593_2530	chr3	172680642	172681042	+	1000	46.0	[8.342637]	[150]	[]	[]	[172680873]	[]
593_2531	chr3	197592789	197593189	+	1000	46.0	[12.235088]	[118]	[]	[]	[197592989]	[]
593_2532	chr4	23242960	23243360	+	1000	46.0	[6.6792603]	[103]	[16.412586]	[101]	[23243158]	[23243156]
593_2533	chr4	48173377	48173777	+	1000	46.0	[10.945392]	[81]	[16.412586]	[79]	[48173552]	[48173550]
593_2536	chr4	98872998	98873398	+	1000	46.0	[12.146455]	[142]	[10.030405]	[140]	[98873215]	[98873213]
593_2541	chr5	173691944	173692344	+	1000	46.0	[7.2059402]	[112]	[16.412586]	[110]	[173692138]	[173692136]
593_2542	chr6	14463946	14464346	+	1000	46.0	[13.45553]	[80]	[13.902448]	[78]	[14464122]	[14464120]
593_2544	chr6	27795759	27796159	+	1000	46.0	[]	[]	[12.673135]	[124]	[]	[27795979]
593_2547	chr6	116034320	116034720	+	1000	46.0	[13.902448]	[136]	[9.189399]	[134]	[116034532]	[116034530]
593_2548	chr6	141778974	141779374	+	1000	46.0	[7.2059402]	[98]	[13.45553]	[96]	[141779170]	[141779168]
593_2549	chr6	157240543	157240943	+	1000	46.0	[]	[]	[12.082088]	[122]	[]	[157240763]
593_2550	chr7	55912605	55913005	+	1000	46.0	[]	[]	[16.412586]	[105]	[]	[55912803]
593_2551	chr7	74993967	74994367	+	1000	46.0	[16.412586, 6.685174]	[89, 97]	[10.945392]	[87]	[74994148, 74994156]	[74994146]
593_2552	chr7	81264149	81264549	+	1000	46.0	[7.2059402, 11.111503]	[96, 119]	[16.412586, 8.790712]	[94, 117]	[81264344, 81264367]	[81264342, 81264365]
593_2553	chr7	99224379	99224779	+	1000	46.0	[6.7231274, 9.189399]	[85, 97]	[13.902448]	[95]	[99224564, 99224576]	[99224574]
593_2558	chr8	72110766	72111166	+	1000	46.0	[]	[]	[6.1916084]	[123]	[]	[72110961]
593_2559	chr8	86556778	86557178	+	1000	46.0	[7.0733485]	[149]	[16.412586]	[147]	[86557003]	[86557001]
593_2560	chr8	99727953	99728353	+	1000	46.0	[13.902448]	[106]	[9.716079]	[104]	[99728159]	[99728157]
593_2564	chr9	121320066	121320466	+	1000	46.0	[]	[]	[7.1189213]	[108]	[]	[121320262]
593_2568	chrX	129577882	129578282	+	1000	46.0	[]	[]	[12.235088]	[117]	[]	[129578074]
593_257	chr6	14734572	14734972	+	1000	189.0	[12.082088]	[79]	[]	[]	[14734741]	[]
593_2570	chr1	23732387	23732787	+	1000	45.0	[7.0733485]	[103]	[16.412586]	[101]	[23732573]	[23732571]
593_2571	chr1	47238156	47238556	+	1000	45.0	[11.85311]	[137]	[]	[]	[47238391]	[]
593_2572	chr1	173330341	173330741	+	1000	45.0	[6.6765213]	[162]	[12.082088]	[146]	[173330570]	[173330554]
593_2574	chr1	204417050	204417450	+	1000	45.0	[16.412586]	[81]	[]	[]	[204417223]	[]
593_2578	chr10	72320623	72321023	+	1000	45.0	[]	[]	[12.673135]	[112]	[]	[72320811]
593_258	chr11	100789490	100789890	+	1000	188.0	[7.2059402]	[96]	[16.412586]	[94]	[100789686]	[100789684]
593_2580	chr11	64659818	64660218	+	1000	45.0	[6.535958, 9.818272]	[71, 155]	[7.8970656, 12.235088, 9.716079]	[85, 108, 153]	[64659977, 64660061]	[64659991, 64660014, 64660059]
593_2581	chr11	86197526	86197926	+	1000	45.0	[16.412586]	[61]	[]	[]	[86197678]	[]
593_2582	chr12	49784791	49785191	+	1000	45.0	[16.412586]	[107]	[7.0733485]	[105]	[49784985]	[49784983]
593_2585	chr14_GL000225v1_random	33452	33852	+	1000	45.0	[]	[]	[7.564687]	[141]	[]	[33686]
593_2587	chr16	19926636	19927036	+	1000	45.0	[7.0733485]	[119]	[16.412586]	[117]	[19926852]	[19926850]
593_2588	chr16	50763203	50763603	+	1000	45.0	[7.0733485]	[108]	[16.412586]	[106]	[50763401]	[50763399]
593_2589	chr17	65064584	65064984	+	1000	45.0	[8.085031, 10.030405]	[66, 131]	[8.495638, 16.412586]	[64, 129]	[65064740, 65064805]	[65064738, 65064803]
593_259	chr19	29688269	29688669	+	1000	188.0	[7.2059402]	[95]	[16.412586]	[93]	[29688455]	[29688453]
593_2590	chr18	1036931	1037331	+	1000	45.0	[16.412586]	[111]	[10.162996]	[109]	[1037136]	[1037134]
593_2591	chr18	3604591	3604991	+	1000	45.0	[7.2059402]	[133]	[13.45553]	[131]	[3604794]	[3604792]
593_2592	chr18	8665545	8665945	+	1000	45.0	[12.32841, 16.412586]	[123, 135]	[7.0733485, 7.0733485]	[121, 133]	[8665759, 8665771]	[8665757, 8665769]
593_2595	chr19	13155150	13155550	+	1000	45.0	[6.8557186]	[196]	[]	[]	[13155370]	[]
593_2596	chr19	14795349	14795749	+	1000	45.0	[9.636316]	[110]	[16.412586, 7.564687, 6.2946467]	[108, 142, 170]	[14795539]	[14795537, 14795571, 14795599]
593_2597	chr19	45283584	45283984	+	1000	45.0	[10.945392]	[153]	[16.412586]	[151]	[45283808]	[45283806]
593_2598	chr19	51441049	51441449	+	1000	45.0	[12.673135]	[80]	[13.902448]	[78]	[51441203]	[51441201]
593_260	chr1	32725141	32725541	+	1000	187.0	[16.412586, 6.5109935]	[107, 145]	[6.7076573]	[101]	[32725342, 32725380]	[32725336]
593_2600	chr2	97678360	97678760	+	1000	45.0	[16.412586]	[129]	[]	[]	[97678569]	[]
593_2615	chr22	23240745	23241145	+	1000	45.0	[8.281695]	[155]	[7.0770397]	[153]	[23240988]	[23240986]
593_2617	chr22	36052580	36052980	+	1000	45.0	[]	[]	[16.412586]	[93]	[]	[36052770]
593_2619	chr3	49062026	49062426	+	1000	45.0	[11.300851]	[110]	[8.601364]	[108]	[49062235]	[49062233]
593_262	chr16	14527305	14527705	+	1000	187.0	[6.7819014, 6.6792603]	[103, 118]	[16.412586]	[116]	[14527501, 14527516]	[14527514]
593_2622	chr3	170144296	170144696	+	1000	45.0	[]	[]	[16.412586]	[117]	[]	[170144509]
593_2624	chr4	50555957	50556357	+	1000	45.0	[12.235088]	[87]	[]	[]	[50556144]	[]
593_2627	chr5	34849232	34849632	+	1000	45.0	[16.412586]	[142]	[7.6381135, 6.6792603]	[81, 140]	[34849464]	[34849403, 34849462]
593_2629	chr5	141641849	141642249	+	1000	45.0	[7.8159575]	[100]	[11.195025]	[109]	[141642040]	[141642049]
593_263	chr15	65795834	65796234	+	1000	186.0	[16.412586]	[107]	[6.9820795, 8.038696]	[53, 92]	[65796040]	[65795986, 65796025]
593_2631	chr6	15122124	15122524	+	1000	45.0	[]	[]	[16.412586]	[162]	[]	[15122364]
593_2632	chr6	17868984	17869384	+	1000	45.0	[]	[]	[11.999462]	[75]	[]	[17869146]
593_2638	chr7	131185421	131185821	+	1000	45.0	[]	[]	[16.412586]	[113]	[]	[131185632]
593_2639	chr7	140507932	140508332	+	1000	45.0	[8.78628]	[144]	[6.462954]	[142]	[140508153]	[140508151]
593_2641	chr8	9849667	9850067	+	1000	45.0	[16.412586]	[92]	[7.0733485]	[90]	[9849858]	[9849856]
593_2642	chr8	95090363	95090763	+	1000	45.0	[7.2059402]	[98]	[11.6737585]	[96]	[95090552]	[95090550]
593_2645	chr9	129910527	129910927	+	1000	45.0	[11.977605]	[138]	[]	[]	[129910751]	[]
593_2648	chr9	131138894	131139294	+	1000	45.0	[]	[]	[6.8076787]	[233]	[]	[131139145]
593_2651	chr1	28395286	28395686	+	1000	44.0	[]	[]	[11.999462]	[120]	[]	[28395475]
593_2653	chr1	52365152	52365552	+	1000	44.0	[]	[]	[16.412586]	[166]	[]	[52365398]
593_2654	chr1	85172635	85173035	+	1000	44.0	[12.673135]	[102]	[7.2059402]	[100]	[85172824]	[85172822]
593_2659	chr1	185862284	185862684	+	988	44.0	[12.673135, 12.235088]	[71, 129]	[6.6792603]	[69]	[185862443, 185862501]	[185862441]
593_2660	chr1	201955110	201955510	+	1000	44.0	[6.7296214]	[66]	[]	[]	[201955268]	[]
593_2661	chr1	220564230	220564630	+	1000	44.0	[13.902448]	[95]	[9.189399]	[93]	[220564415]	[220564413]
593_2664	chr10	43680013	43680413	+	1000	44.0	[16.412586, 9.818272]	[123, 137]	[10.945392, 9.189399]	[121, 135]	[43680224, 43680238]	[43680222, 43680236]
593_2667	chr10	116947103	116947503	+	1000	44.0	[9.818272, 7.0733485]	[110, 131]	[12.32841, 16.412586]	[108, 129]	[116947300, 116947321]	[116947298, 116947319]
593_2668	chr10	119658287	119658687	+	1000	44.0	[16.412586, 7.262118]	[104, 130]	[10.945392]	[102]	[119658465, 119658491]	[119658463]
593_267	chr14	23160821	23161221	+	1000	185.0	[16.412586, 6.6148934]	[91, 102]	[13.902448]	[89]	[23161009, 23161020]	[23161007]
593_2670	chr11	108019871	108020271	+	1000	44.0	[6.3953323]	[118]	[]	[]	[108020081]	[]
593_2671	chr11	118415688	118416088	+	1000	44.0	[]	[]	[16.412586]	[126]	[]	[118415912]
593_2675	chr12	100202023	100202423	+	1000	44.0	[6.6765213, 12.235088]	[55, 110]	[]	[]	[100202177, 100202232]	[]
593_2676	chr12	103975322	103975722	+	1000	44.0	[8.790712]	[123]	[11.300851]	[89]	[103975529]	[103975495]
593_268	chr6	79598015	79598415	+	1000	185.0	[16.412586]	[119]	[7.2059402]	[117]	[79598218]	[79598216]
593_2681	chr15	58203493	58203893	+	1000	44.0	[16.412586]	[90]	[]	[]	[58203676]	[]
593_2683	chr15	90922937	90923337	+	1000	44.0	[]	[]	[12.235088]	[92]	[]	[90923127]
593_2684	chr16	27969522	27969922	+	1000	44.0	[7.0733485]	[119]	[16.412586]	[117]	[27969737]	[27969735]
593_2685	chr16	30187220	30187620	+	1000	44.0	[8.438943]	[164]	[]	[]	[30187470]	[]
593_2689	chr17	74876142	74876542	+	1000	44.0	[]	[]	[6.8680296]	[128]	[]	[74876359]
593_269	chr1	42823112	42823512	+	1000	184.0	[]	[]	[16.412586]	[99]	[]	[42823309]
593_2691	chr2	48120792	48121192	+	1000	44.0	[9.716079]	[109]	[7.0523825, 13.902448]	[84, 107]	[48121001]	[48120976, 48120999]
593_2692	chr2	171535973	171536373	+	1000	44.0	[]	[]	[12.235088]	[118]	[]	[171536166]
593_2694	chr2	204353237	204353637	+	1000	44.0	[]	[]	[7.017528]	[117]	[]	[204353441]
593_2697	chr20	23013471	23013871	+	1000	44.0	[10.945392]	[92]	[16.412586]	[90]	[23013659]	[23013657]
593_27	chr6	87723254	87723654	+	1000	534.0	[6.934005, 13.902448]	[81, 137]	[9.716079]	[135]	[87723425, 87723481]	[87723479]
593_270	chr11	78424287	78424687	+	1000	184.0	[7.0733485]	[102]	[16.412586]	[100]	[78424486]	[78424484]
593_2706	chr22	22342705	22343105	+	1000	44.0	[]	[]	[6.8557186]	[160]	[]	[22342905]
593_271	chr2	101199336	101199736	+	1000	184.0	[7.0733485]	[116]	[16.412586]	[114]	[101199535]	[101199533]
593_2711	chr3	43686853	43687253	+	1000	44.0	[11.13416]	[113]	[6.3787093]	[87]	[43687060]	[43687034]
593_2713	chr3	45667976	45668376	+	1000	44.0	[16.412586, 9.278032]	[83, 136]	[7.0733485]	[81]	[45668135, 45668188]	[45668133]
593_2714	chr3	141441344	141441744	+	1000	44.0	[9.818272]	[82]	[13.45553]	[80]	[141441523]	[141441521]
593_2719	chr5	64625702	64626102	+	1000	44.0	[16.412586]	[85]	[7.0733485]	[83]	[64625885]	[64625883]
593_272	chr20	50166057	50166457	+	1000	184.0	[9.818272]	[146]	[10.59517, 16.412586]	[78, 144]	[50166302]	[50166234, 50166300]
593_2721	chr5	146357121	146357521	+	1000	44.0	[7.2059402]	[113]	[16.412586]	[111]	[146357327]	[146357325]
593_2722	chr5	154977411	154977811	+	1000	44.0	[11.85311, 7.2059402]	[115, 135]	[7.801716, 16.412586]	[83, 133]	[154977617, 154977637]	[154977585, 154977635]
593_273	chr3	47479271	47479671	+	1000	184.0	[13.902448, 8.2620945]	[105, 122]	[16.412586, 6.256924]	[103, 120]	[47479466, 47479483]	[47479464, 47479481]
593_2734	chr7	64559198	64559598	+	1000	44.0	[16.412586]	[124]	[]	[]	[64559412]	[]
593_2735	chr7	105473145	105473545	+	1000	44.0	[13.902448]	[182]	[16.412586]	[180]	[105473395]	[105473393]
593_2739	chr8	23834017	23834417	+	1000	44.0	[16.412586]	[92]	[]	[]	[23834196]	[]
593_274	chr1	31170793	31171193	+	1000	183.0	[7.209631]	[82]	[8.281695, 16.412586]	[80, 97]	[31170974]	[31170972, 31170989]
593_2740	chr8	24682755	24683155	+	1000	44.0	[7.0733485]	[106]	[16.412586]	[104]	[24682956]	[24682954]
593_2747	chr9	131194286	131194686	+	1000	44.0	[11.111503]	[110]	[]	[]	[131194484]	[]
593_2748	chrX	68550216	68550616	+	1000	44.0	[7.2059402]	[118]	[16.412586]	[116]	[68550424]	[68550422]
593_2749	chr1	93033023	93033423	+	1000	43.0	[16.412586]	[96]	[6.6792603]	[94]	[93033197]	[93033195]
593_2751	chr1	171769188	171769588	+	1000	43.0	[13.902448]	[72]	[6.1601887, 16.412586]	[58, 70]	[171769354]	[171769340, 171769352]
593_2752	chr1	173649198	173649598	+	1000	43.0	[7.2059402]	[119]	[13.45553]	[117]	[173649407]	[173649405]
593_2753	chr1	175154850	175155250	+	1000	43.0	[8.588959]	[90]	[9.163619]	[88]	[175155022]	[175155020]
593_2754	chr1	184290111	184290511	+	1000	43.0	[16.412586]	[138]	[7.2059402]	[136]	[184290314]	[184290312]
593_2755	chr1	227043713	227044113	+	1000	43.0	[7.0733485, 6.5575905]	[125, 145]	[16.412586]	[123]	[227043897, 227043917]	[227043895]
593_2757	chr10	3668186	3668586	+	1000	43.0	[12.082088]	[107]	[]	[]	[3668388]	[]
