#PeakID(python identify_motif.py ./ENCODE_processed_files/CEBPG_idr.fa CEBPG --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
582_1	chrM	12078	12478	+	1000	1345.0	[5.465889, 6.002267]	[92, 147]	[]	[]	[12259, 12314]	[]
582_12993	chr18	40208643	40209043	+	722	44.0	[5.9388933]	[253]	[8.710281]	[252]	[40208884]	[40208883]
582_12995	chr18	59900735	59901135	+	855	44.0	[]	[]	[5.5146813]	[101]	[]	[59900931]
582_130	chr6	20572917	20573317	+	1000	294.0	[15.210169, 5.094671]	[106, 121]	[5.674388, 15.210169]	[75, 105]	[20573120, 20573135]	[20573089, 20573119]
582_1300	chr22	20606307	20606707	+	1000	130.0	[7.229295]	[94]	[14.722584]	[93]	[20606499]	[20606498]
582_13003	chr2	30428251	30428651	+	911	44.0	[6.095848]	[114]	[]	[]	[30428454]	[]
582_13006	chr2	38174545	38174945	+	654	44.0	[]	[]	[9.1358795]	[139]	[]	[38174765]
582_13034	chr21	14690897	14691297	+	850	44.0	[10.481071]	[107]	[5.198277]	[106]	[14691089]	[14691088]
582_1305	chr6	150256447	150256847	+	1000	130.0	[5.5822563]	[132]	[8.728543]	[164]	[150256654]	[150256686]
582_13058	chr3	14253196	14253596	+	816	44.0	[11.910557]	[87]	[10.229654]	[86]	[14253373]	[14253372]
582_1307	chr1	6958432	6958832	+	1000	129.5	[10.902532]	[94]	[5.2940693]	[77]	[6958625]	[6958608]
582_13079	chr4	146675149	146675549	+	828	44.0	[11.910557]	[144]	[7.6831694, 10.636991]	[83, 143]	[146675367]	[146675306, 146675366]
582_13081	chr4	188887903	188888303	+	918	44.0	[10.636991]	[112]	[11.910557]	[111]	[188888112]	[188888111]
582_13088	chr5	88924217	88924617	+	837	44.0	[9.8982935]	[150]	[9.289205]	[149]	[88924451]	[88924450]
582_1309	chr14	73785802	73786202	+	1000	129.5	[11.910557]	[101]	[6.2118034, 5.4490643]	[100, 145]	[73785986]	[73785985, 73786030]
582_13101	chr6	161198781	161199181	+	880	44.0	[5.9220176]	[115]	[5.4476857]	[139]	[161198984]	[161199008]
582_13107	chr7	72675698	72676098	+	887	44.0	[7.4599485]	[87]	[6.186383, 5.3427215]	[86, 96]	[72675881]	[72675880, 72675890]
582_1311	chr5	82641304	82641704	+	1000	129.5	[11.910557]	[120]	[10.636991]	[119]	[82641500]	[82641499]
582_13112	chr7	109679241	109679641	+	905	44.0	[5.9220176]	[129]	[]	[]	[109679456]	[]
582_13113	chr7	113027751	113028151	+	911	44.0	[]	[]	[5.9220176]	[125]	[]	[113027966]
582_13119	chr7	135169346	135169746	+	908	44.0	[7.3027105]	[91]	[5.830307]	[90]	[135169508]	[135169507]
582_1312	chr6	73585492	73585892	+	1000	129.5	[]	[]	[9.494579]	[90]	[]	[73585649]
582_1313	chr7	106775377	106775777	+	1000	129.5	[5.7242174]	[155]	[7.947534]	[154]	[106775602]	[106775601]
582_13130	chr8	76597085	76597485	+	762	44.0	[5.9220176]	[116]	[]	[]	[76597286]	[]
582_13135	chr8	94960733	94961133	+	670	44.0	[]	[]	[5.234844]	[163]	[]	[94960957]
582_13138	chr8	119919817	119920217	+	897	44.0	[5.9220176]	[83]	[]	[]	[119919990]	[]
582_1314	chr7	137992592	137992992	+	1000	129.5	[5.095232]	[137]	[]	[]	[137992806]	[]
582_13141	chr9	88652240	88652640	+	913	44.0	[7.485369]	[87]	[10.229654]	[86]	[88652421]	[88652420]
582_13158	chr1	103192839	103193239	+	618	43.5	[11.422971]	[79]	[6.6739683, 5.2940693]	[78, 89]	[103193004]	[103193003, 103193014]
582_13161	chr1	116754589	116754989	+	894	43.5	[11.910557]	[85]	[10.636991]	[84]	[116754772]	[116754771]
582_13163	chr1	118688873	118689273	+	899	43.5	[5.9220176]	[102]	[]	[]	[118689053]	[]
582_1317	chr1	211606794	211607194	+	1000	129.0	[8.870763]	[147]	[8.728543, 5.3594403]	[110, 146]	[211607041]	[211607004, 211607040]
582_13172	chr1	184725785	184726185	+	685	43.5	[5.172857]	[146]	[10.3232355]	[103]	[184725987]	[184725944]
582_13173	chr1	189046086	189046486	+	568	43.5	[11.910557]	[126]	[10.636991]	[125]	[189046265]	[189046264]
582_13176	chr1	203322466	203322866	+	870	43.5	[9.494579]	[113]	[8.79053]	[112]	[203322656]	[203322655]
582_13179	chr1	220881276	220881676	+	893	43.5	[6.7822714]	[104]	[]	[]	[220881461]	[]
582_13183	chr1	229555309	229555709	+	877	43.5	[5.9220176]	[158]	[]	[]	[229555540]	[]
582_13193	chr10	61655278	61655678	+	849	43.5	[]	[]	[5.5146813]	[111]	[]	[61655466]
582_13194	chr10	67261383	67261783	+	793	43.5	[11.247147]	[108]	[15.12992]	[107]	[67261590]	[67261589]
582_132	chr10	70405515	70405915	+	1000	292.5	[11.910557]	[99]	[10.229654]	[98]	[70405712]	[70405711]
582_13203	chr11	59171533	59171933	+	901	43.5	[5.5779977]	[168]	[]	[]	[59171764]	[]
582_13210	chr12	31248809	31249209	+	678	43.5	[11.422971, 11.422971, 11.422971, 11.422971]	[90, 107, 119, 143]	[6.6739683, 6.6739683, 6.6739683, 6.6739683]	[89, 106, 118, 142]	[31248983, 31249000, 31249012, 31249036]	[31248982, 31248999, 31249011, 31249035]
582_13212	chr12	68447483	68447883	+	900	43.5	[11.910557, 6.9977837]	[112, 138]	[6.2118034, 6.266632, 5.5822563]	[111, 137, 159]	[68447669, 68447695]	[68447668, 68447694, 68447716]
582_13216	chr12	121167245	121167645	+	882	43.5	[9.1358795, 11.247147]	[109, 146]	[14.722584]	[145]	[121167398, 121167435]	[121167434]
582_1322	chr2	100571758	100572158	+	1000	129.0	[11.654483]	[96]	[14.722584]	[95]	[100571953]	[100571952]
582_13220	chr13	91019449	91019849	+	903	43.5	[]	[]	[5.1364346]	[169]	[]	[91019680]
582_13222	chr13	91543752	91544152	+	697	43.5	[]	[]	[5.5822563]	[100]	[]	[91543905]
582_13224	chr13	92340897	92341297	+	901	43.5	[9.1358795]	[105]	[]	[]	[92341051]	[]
582_13226	chr13	92665857	92666257	+	857	43.5	[]	[]	[5.7790465]	[195]	[]	[92666088]
582_13240	chr15	57171462	57171862	+	868	43.5	[5.674388]	[119]	[]	[]	[57171650]	[]
582_13241	chr15	61712071	61712471	+	889	43.5	[]	[]	[5.9220176]	[113]	[]	[61712273]
582_13242	chr15	70486672	70487072	+	886	43.5	[5.9220176]	[170]	[]	[]	[70486905]	[]
582_13247	chr15	89893141	89893541	+	565	43.5	[11.166897]	[205]	[6.1539264]	[204]	[89893301]	[89893300]
582_1325	chr6	132780953	132781353	+	1000	129.0	[11.910557]	[111]	[7.3027105, 10.636991]	[61, 110]	[132781160]	[132781110, 132781159]
582_13260	chr17	41383690	41384090	+	893	43.5	[7.540198, 9.901916]	[98, 123]	[5.7242174, 9.197866]	[97, 122]	[41383884, 41383909]	[41383883, 41383908]
582_13281	chr2	12507354	12507754	+	896	43.5	[11.009659]	[119]	[10.403485]	[118]	[12507562]	[12507561]
582_13284	chr2	24467468	24467868	+	543	43.5	[10.636991]	[103]	[11.910557, 5.830307]	[102, 126]	[24467657]	[24467656, 24467680]
582_13289	chr2	40384733	40385133	+	811	43.5	[7.947534]	[139]	[5.830307, 10.1494055]	[127, 138]	[40384928]	[40384916, 40384927]
582_13291	chr2	61497686	61498086	+	685	43.5	[7.947534, 7.4599485, 9.1358795]	[96, 156, 164]	[10.1494055, 6.5180492]	[95, 163]	[61497839, 61497899, 61497907]	[61497838, 61497906]
582_13293	chr2	72780424	72780824	+	890	43.5	[8.302944]	[123]	[5.9388933]	[122]	[72780621]	[72780620]
582_13295	chr2	79827869	79828269	+	811	43.5	[10.810822]	[106]	[11.009659]	[105]	[79828066]	[79828065]
582_13296	chr2	101790415	101790815	+	900	43.5	[]	[]	[6.095848]	[118]	[]	[101790585]
582_1330	chrX	1481730	1482130	+	1000	129.0	[]	[]	[5.9220176]	[103]	[]	[1481928]
582_1332	chr10	99372600	99373000	+	1000	128.5	[15.617505]	[107]	[11.192318]	[106]	[99372796]	[99372795]
582_13336	chr3	154975975	154976375	+	829	43.5	[5.4289308]	[142]	[]	[]	[154976142]	[]
582_13337	chr3	156323474	156323874	+	910	43.5	[10.636991]	[95]	[11.910557]	[94]	[156323667]	[156323666]
582_13346	chr4	134700243	134700643	+	807	43.5	[11.503221]	[123]	[10.636991]	[122]	[134700449]	[134700448]
582_13349	chr5	23428698	23429098	+	823	43.5	[10.636991]	[99]	[11.910557]	[98]	[23428893]	[23428892]
582_13350	chr5	40796381	40796781	+	868	43.5	[9.4143305]	[115]	[5.234844]	[114]	[40796591]	[40796590]
582_13353	chr5	45187382	45187782	+	887	43.5	[]	[]	[5.9220176]	[85]	[]	[45187563]
582_13357	chr5	77087179	77087579	+	814	43.5	[10.902532]	[96]	[]	[]	[77087372]	[]
582_13363	chr5	136516593	136516993	+	894	43.5	[10.481071]	[102]	[9.216128]	[101]	[136516788]	[136516787]
582_13373	chr6	33620644	33621044	+	726	43.5	[]	[]	[5.465889]	[129]	[]	[33620798]
582_13381	chr7	15419023	15419423	+	676	43.5	[11.166897]	[230]	[11.166897]	[229]	[15419247]	[15419246]
582_13386	chr7	28986781	28987181	+	883	43.5	[10.636991]	[109]	[11.503221]	[108]	[28986984]	[28986983]
582_134	chr21	34908322	34908722	+	1000	289.0	[10.481071]	[66]	[9.216128, 5.9220176]	[65, 125]	[34908476]	[34908475, 34908535]
582_13402	chr8	40172860	40173260	+	882	43.5	[5.830307]	[121]	[7.3027105]	[120]	[40173063]	[40173062]
582_13403	chr8	54100848	54101248	+	876	43.5	[11.015635]	[120]	[6.6739683]	[119]	[54101048]	[54101047]
582_13407	chr8	111967257	111967657	+	768	43.5	[5.2964234]	[104]	[5.9220176]	[96]	[111967452]	[111967444]
582_1341	chr5	109496112	109496512	+	1000	128.5	[11.247147]	[101]	[15.12992]	[100]	[109496307]	[109496306]
582_13412	chr9	4700892	4701292	+	714	43.5	[14.722584]	[134]	[11.247147]	[133]	[4701103]	[4701102]
582_13415	chr9	98886684	98887084	+	558	43.5	[5.5822563]	[230]	[]	[]	[98886907]	[]
582_13428	chr1	19505169	19505569	+	832	43.0	[7.103873]	[168]	[6.0291443]	[167]	[19505344]	[19505343]
582_13434	chr1	86993969	86994369	+	843	43.0	[5.674388]	[128]	[]	[]	[86994173]	[]
582_13436	chr1	97919565	97919965	+	881	43.0	[10.481071]	[91]	[]	[]	[97919716]	[]
582_1344	chr1	61058473	61058873	+	1000	128.0	[7.947534]	[105]	[10.1494055]	[104]	[61058674]	[61058673]
582_13440	chr1	118960545	118960945	+	874	43.0	[5.7660985]	[136]	[]	[]	[118960771]	[]
582_13443	chr1	154660196	154660596	+	885	43.0	[6.186383]	[107]	[7.4599485]	[106]	[154660396]	[154660395]
582_13447	chr1	171313970	171314370	+	867	43.0	[11.015635]	[113]	[]	[]	[171314181]	[]
582_13463	chr10	8593048	8593448	+	880	43.0	[5.9220176]	[102]	[]	[]	[8593248]	[]
582_13465	chr10	14040300	14040700	+	881	43.0	[5.9220176]	[111]	[]	[]	[14040507]	[]
582_13472	chr11	16407254	16407654	+	795	43.0	[]	[]	[5.9220176]	[126]	[]	[16407470]
582_13489	chr13	27251112	27251512	+	867	43.0	[5.8895617]	[81]	[8.521676]	[92]	[27251279]	[27251290]
582_13493	chr13	80721519	80721919	+	791	43.0	[10.1494055]	[86]	[7.540198]	[85]	[80721690]	[80721689]
582_135	chr21	34939700	34940100	+	1000	289.0	[15.210169]	[106]	[15.617505]	[105]	[34939903]	[34939902]
582_13500	chr13	92604389	92604789	+	891	43.0	[]	[]	[9.068516]	[157]	[]	[92604567]
582_13504	chr14	49894567	49894967	+	832	43.0	[6.5180492]	[97]	[9.1358795]	[96]	[49894760]	[49894759]
582_13505	chr14	71361367	71361767	+	883	43.0	[6.741709]	[112]	[11.166897]	[111]	[71361564]	[71361563]
582_13507	chr14	76227420	76227820	+	870	43.0	[11.247147]	[98]	[15.12992]	[97]	[76227591]	[76227590]
582_13527	chr18	5440285	5440685	+	584	43.0	[15.12992]	[166]	[7.229295]	[165]	[5440479]	[5440478]
582_13532	chr18	42113890	42114290	+	881	43.0	[]	[]	[5.9220176]	[90]	[]	[42114080]
582_13534	chr19	1415529	1415929	+	882	43.0	[5.32064]	[127]	[8.230433]	[126]	[1415755]	[1415754]
582_13543	chr2	8313475	8313875	+	865	43.0	[10.481071]	[112]	[9.623465]	[111]	[8313680]	[8313679]
582_13553	chr2	135551364	135551764	+	789	43.0	[10.3232355]	[100]	[7.046636]	[99]	[135551556]	[135551555]
582_13556	chr2	167964618	167965018	+	861	43.0	[5.9220176]	[98]	[]	[]	[167964815]	[]
582_13569	chr21	9005726	9006126	+	883	43.0	[]	[]	[5.5682983]	[118]	[]	[9005934]
582_13575	chr22	16623514	16623914	+	811	43.0	[]	[]	[5.2964234]	[183]	[]	[16623698]
582_13581	chr22	22834174	22834574	+	761	43.0	[]	[]	[11.422971]	[179]	[]	[22834419]
582_13591	chr3	43692064	43692464	+	880	43.0	[5.830307]	[156]	[7.3027105]	[155]	[43692231]	[43692230]
582_13594	chr3	112561886	112562286	+	885	43.0	[9.556101, 5.2940693]	[82, 108]	[5.163814]	[138]	[112562056, 112562082]	[112562112]
582_13596	chr3	114336857	114337257	+	648	43.0	[5.9220176]	[107]	[]	[]	[114337057]	[]
582_136	chr5	44808690	44809090	+	1000	288.0	[]	[]	[9.1358795]	[136]	[]	[44808922]
582_13600	chr3	160400418	160400818	+	805	43.0	[10.481071]	[92]	[9.216128]	[91]	[160400574]	[160400573]
582_13613	chr5	26386535	26386935	+	878	43.0	[7.540198, 11.910557]	[101, 113]	[5.1364346, 10.636991]	[100, 112]	[26386717, 26386729]	[26386716, 26386728]
582_13626	chr5	164543286	164543686	+	799	43.0	[5.9220176]	[91]	[]	[]	[164543474]	[]
582_1363	chr10	67803665	67804065	+	1000	127.5	[5.9220176]	[103]	[]	[]	[67803861]	[]
582_13632	chr6	28988494	28988894	+	873	43.0	[6.4773445]	[114]	[]	[]	[28988706]	[]
582_13650	chr7	105090867	105091267	+	620	43.0	[7.947534]	[148]	[10.1494055]	[147]	[105091038]	[105091037]
582_1367	chr16	66880234	66880634	+	1000	127.5	[9.197866]	[117]	[9.901916, 6.253684]	[116, 156]	[66880442]	[66880441, 66880481]
582_13675	chr8	66132774	66133174	+	868	43.0	[10.902532]	[100]	[]	[]	[66132968]	[]
582_13677	chr8	78720283	78720683	+	865	43.0	[9.993486]	[75]	[5.253106, 5.3427215]	[74, 163]	[78720441]	[78720440, 78720529]
582_13681	chr8	95692996	95693396	+	842	43.0	[7.229295]	[155]	[15.12992]	[154]	[95693236]	[95693235]
582_13684	chr8	112112080	112112480	+	853	43.0	[11.166897, 8.790513]	[141, 166]	[11.166897]	[140]	[112112297, 112112322]	[112112296]
582_13685	chr8	115673248	115673648	+	674	43.0	[15.12992]	[83]	[7.229295]	[82]	[115673421]	[115673420]
582_13686	chr8	132738382	132738782	+	774	43.0	[]	[]	[5.9220176]	[91]	[]	[132738571]
582_13687	chr9	37465261	37465661	+	845	43.0	[6.9395094]	[103]	[]	[]	[37465447]	[]
582_13689	chr9	71442962	71443362	+	849	43.0	[10.902532]	[106]	[]	[]	[71443128]	[]
582_1369	chr5	138575548	138575948	+	1000	127.5	[10.982781, 5.5779977]	[138, 176]	[5.395339, 6.4773445]	[84, 106]	[138575758, 138575796]	[138575704, 138575726]
582_13697	chrX	31591365	31591765	+	745	43.0	[5.9220176]	[101]	[]	[]	[31591564]	[]
582_137	chr3	4981826	4982226	+	1000	287.0	[11.910557]	[95]	[10.636991]	[94]	[4982009]	[4982008]
582_1370	chr5	170296026	170296426	+	1000	127.5	[5.198277, 15.210169]	[60, 98]	[5.468101, 15.210169]	[59, 97]	[170296184, 170296222]	[170296183, 170296221]
582_1371	chr6	43570996	43571396	+	1000	127.5	[]	[]	[5.5146813]	[105]	[]	[43571194]
582_13713	chr1	51394058	51394458	+	604	42.5	[10.1494055]	[137]	[7.947534]	[136]	[51394266]	[51394265]
582_13730	chr1	174166795	174167195	+	786	42.5	[]	[]	[7.195584, 7.0526123]	[103, 132]	[]	[174166989, 174167018]
582_13734	chr1	196980894	196981294	+	718	42.5	[10.229654]	[99]	[5.422971, 11.910557]	[60, 98]	[196981084]	[196981045, 196981083]
582_13736	chr1	205775670	205776070	+	808	42.5	[5.830307, 9.901916]	[92, 123]	[]	[]	[205775860, 205775891]	[]
582_13739	chr1	234965102	234965502	+	878	42.5	[10.073735]	[115]	[9.623465]	[114]	[234965281]	[234965280]
582_13745	chr10	56119373	56119773	+	868	42.5	[5.9220176]	[114]	[]	[]	[56119584]	[]
582_1376	chr18	34461272	34461672	+	1000	127.0	[15.210169]	[95]	[15.617505]	[94]	[34461467]	[34461466]
582_13761	chr11	72975753	72976153	+	728	42.5	[7.485369]	[183]	[5.830307, 10.636991]	[148, 182]	[72975994]	[72975959, 72975993]
582_13763	chr11	95413730	95414130	+	675	42.5	[15.12992]	[114]	[11.654483]	[113]	[95413940]	[95413939]
582_13764	chr12	11650549	11650949	+	797	42.5	[11.910557]	[93]	[10.636991]	[92]	[11650740]	[11650739]
582_13766	chr12	48557826	48558226	+	815	42.5	[5.5146813]	[157]	[]	[]	[48558049]	[]
582_13768	chr12	67918402	67918802	+	834	42.5	[9.742069]	[188]	[]	[]	[67918636]	[]
582_13776	chr13	36341598	36341998	+	868	42.5	[9.742069]	[142]	[7.947534]	[141]	[36341754]	[36341753]
582_13794	chr15	26758102	26758502	+	735	42.5	[7.947534]	[86]	[10.1494055, 5.476728]	[85, 105]	[26758261]	[26758260, 26758280]
582_13795	chr15	36498426	36498826	+	736	42.5	[6.6393]	[101]	[10.3232355, 6.186383]	[100, 110]	[36498612]	[36498611, 36498621]
582_1380	chr5	137751767	137752167	+	1000	127.0	[5.9220176]	[129]	[5.5711503]	[92]	[137751988]	[137751951]
582_13801	chr15	77255363	77255763	+	776	42.5	[5.9220176]	[112]	[]	[]	[77255568]	[]
582_13805	chr16	19179916	19180316	+	825	42.5	[5.7242174]	[143]	[7.947534]	[142]	[19180147]	[19180146]
582_13806	chr16	19525245	19525645	+	612	42.5	[6.5180492]	[251]	[]	[]	[19525493]	[]
582_13808	chr16	57735218	57735618	+	701	42.5	[6.055884]	[122]	[9.216128]	[121]	[57735414]	[57735413]
582_1381	chr6	34792712	34793112	+	1000	127.0	[]	[]	[5.5146813]	[105]	[]	[34792904]
582_13814	chr16	84284240	84284640	+	704	42.5	[10.636991]	[135]	[11.910557]	[134]	[84284455]	[84284454]
582_13815	chr16	84994707	84995107	+	843	42.5	[5.6604424]	[146]	[5.5682983]	[145]	[84994936]	[84994935]
582_13819	chr17	65963163	65963563	+	816	42.5	[5.9220176]	[98]	[5.476728]	[116]	[65963356]	[65963374]
582_1382	chr7	99953579	99953979	+	1000	127.0	[7.947534]	[130]	[5.1364346]	[129]	[99953796]	[99953795]
582_13827	chr18	28744438	28744838	+	542	42.5	[10.1494055]	[108]	[7.947534]	[107]	[28744641]	[28744640]
582_1384	chr1	46077616	46078016	+	1000	126.5	[15.12992]	[101]	[11.247147]	[100]	[46077811]	[46077810]
582_13841	chr2	30472309	30472709	+	870	42.5	[]	[]	[5.5146813]	[134]	[]	[30472504]
582_13842	chr2	33433238	33433638	+	667	42.5	[5.5146813]	[147]	[]	[]	[33433451]	[]
582_13854	chr2	170084888	170085288	+	861	42.5	[5.5146813]	[157]	[]	[]	[170085129]	[]
582_13858	chr2	181812422	181812822	+	834	42.5	[6.6739683]	[190]	[11.015635]	[189]	[181812607]	[181812606]
582_13862	chr2	215238496	215238896	+	852	42.5	[9.1358795]	[98]	[6.5180492]	[97]	[215238693]	[215238692]
582_13863	chr2	215681037	215681437	+	866	42.5	[5.830307]	[108]	[7.3027105]	[107]	[215681240]	[215681239]
582_13866	chr20	11320037	11320437	+	829	42.5	[]	[]	[5.3427215, 5.9220176]	[69, 99]	[]	[11320202, 11320232]
582_1387	chr13	80528744	80529144	+	1000	126.5	[]	[]	[5.9220176]	[104]	[]	[80528947]
582_13872	chr21	26007766	26008166	+	598	42.5	[]	[]	[5.9388933]	[138]	[]	[26007935]
582_13886	chr22	40826238	40826638	+	833	42.5	[]	[]	[6.7822714]	[160]	[]	[40826470]
582_13891	chr3	71052247	71052647	+	884	42.5	[10.636991]	[96]	[11.503221]	[95]	[71052442]	[71052441]
582_13893	chr3	108223978	108224378	+	868	42.5	[10.759561]	[108]	[10.759561]	[107]	[108224185]	[108224184]
582_13899	chr3	197136738	197137138	+	864	42.5	[5.9966884, 10.810822]	[90, 123]	[5.7978506, 11.009659]	[89, 122]	[197136913, 197136946]	[197136912, 197136945]
582_13903	chr4	121758912	121759312	+	866	42.5	[7.485369]	[57]	[10.636991]	[56]	[121759064]	[121759063]
582_13911	chr4	189802768	189803168	+	803	42.5	[6.4773445]	[122]	[]	[]	[189802970]	[]
582_13912	chr5	5665920	5666320	+	772	42.5	[9.4143305]	[89]	[5.234844]	[88]	[5666108]	[5666107]
582_13913	chr5	12637501	12637901	+	683	42.5	[5.9220176]	[104]	[]	[]	[12637699]	[]
582_13914	chr5	19042096	19042496	+	777	42.5	[11.503221]	[112]	[10.636991]	[111]	[19042301]	[19042300]
582_13919	chr5	52783543	52783943	+	867	42.5	[11.166897]	[171]	[11.166897]	[170]	[52783777]	[52783776]
582_1392	chr4	187617089	187617489	+	1000	126.5	[5.9220176]	[127]	[]	[]	[187617295]	[]
582_13921	chr5	64811210	64811610	+	856	42.5	[10.636991]	[108]	[11.910557]	[107]	[64811417]	[64811416]
582_13922	chr5	72630714	72631114	+	849	42.5	[10.636991, 6.616287]	[118, 149]	[11.910557]	[117]	[72630911, 72630942]	[72630910]
582_13926	chr5	131379192	131379592	+	757	42.5	[5.3023133]	[82]	[]	[]	[131379350]	[]
582_13930	chr5	154214415	154214815	+	640	42.5	[11.503221]	[97]	[10.636991]	[96]	[154214612]	[154214611]
582_13934	chr6	15755627	15756027	+	875	42.5	[6.0291443]	[212]	[6.6965365]	[211]	[15755866]	[15755865]
582_13938	chr6	77677988	77678388	+	851	42.5	[11.654483]	[140]	[15.12992]	[139]	[77678205]	[77678204]
582_13942	chr6	137873328	137873728	+	814	42.5	[10.481071]	[145]	[9.216128]	[144]	[137873527]	[137873526]
582_13944	chr6	155682939	155683339	+	749	42.5	[10.229654]	[233]	[11.503221]	[232]	[155683186]	[155683185]
582_13946	chr6	167842868	167843268	+	868	42.5	[]	[]	[5.396077]	[167]	[]	[167843118]
582_13953	chr7	75617660	75618060	+	840	42.5	[]	[]	[9.494579]	[148]	[]	[75617889]
582_13954	chr7	92729135	92729535	+	648	42.5	[5.9220176]	[141]	[]	[]	[92729308]	[]
582_13961	chr7	132972853	132973253	+	870	42.5	[5.253106, 5.830307]	[111, 146]	[9.58615]	[110]	[132973007, 132973042]	[132973006]
582_13965	chr7	140454035	140454435	+	843	42.5	[10.495195]	[115]	[]	[]	[140454241]	[]
582_13966	chr7	142805679	142806079	+	792	42.5	[6.6739683]	[104]	[11.015635]	[103]	[142805880]	[142805879]
582_13969	chr7	151745093	151745493	+	849	42.5	[7.103873]	[148]	[5.621808]	[147]	[151745321]	[151745320]
582_13976	chr8	97263536	97263936	+	708	42.5	[10.810822]	[171]	[11.009659]	[170]	[97263766]	[97263765]
582_13978	chr8	107414859	107415259	+	866	42.5	[]	[]	[5.5146813]	[134]	[]	[107415091]
582_1398	chr1	83839602	83840002	+	1000	126.0	[]	[]	[5.9220176]	[121]	[]	[83839808]
582_13982	chr8	140790627	140791027	+	842	42.5	[8.705572]	[152]	[9.289205]	[151]	[140790807]	[140790806]
582_14022	chr1	182340484	182340884	+	817	42.0	[11.422971]	[94]	[6.6739683]	[93]	[182340676]	[182340675]
582_14026	chr1	221097668	221098068	+	751	42.0	[11.503221, 10.229654]	[102, 112]	[10.229654, 11.910557]	[101, 111]	[221097861, 221097871]	[221097860, 221097870]
582_14028	chr1	233904030	233904430	+	737	42.0	[7.046636]	[122]	[10.3232355, 5.9220176]	[121, 129]	[233904229]	[233904228, 233904236]
582_1403	chr12	56010186	56010586	+	1000	126.0	[5.9220176]	[103]	[]	[]	[56010383]	[]
582_14043	chr10	109743514	109743914	+	762	42.0	[7.947534]	[104]	[10.1494055, 9.901916]	[103, 120]	[109743706]	[109743705, 109743722]
582_14047	chr11	17164912	17165312	+	790	42.0	[11.009659]	[75]	[10.403485]	[74]	[17165087]	[17165086]
582_1405	chr17	44123798	44124198	+	1000	126.0	[6.409603]	[100]	[5.3023133]	[99]	[44123991]	[44123990]
582_14051	chr11	63681768	63682168	+	770	42.0	[]	[]	[5.4418163]	[93]	[]	[63681950]
582_14056	chr12	1660272	1660672	+	859	42.0	[5.253106]	[95]	[9.993486]	[94]	[1660465]	[1660464]
582_1406	chr19	16446908	16447308	+	1000	126.0	[11.503221]	[85]	[6.2118034]	[84]	[16447075]	[16447074]
582_14062	chr12	75722606	75723006	+	845	42.0	[]	[]	[5.775798]	[180]	[]	[75722810]
582_14064	chr12	92108603	92109003	+	846	42.0	[6.8975863]	[96]	[10.636991]	[95]	[92108795]	[92108794]
582_14069	chr13	80766470	80766870	+	834	42.0	[]	[]	[5.451308]	[104]	[]	[80766653]
582_1407	chr2	69829466	69829866	+	1000	126.0	[6.3856335]	[101]	[10.602323]	[100]	[69829666]	[69829665]
582_1408	chr2	105797218	105797618	+	1000	126.0	[10.636991]	[89]	[11.910557]	[88]	[105797400]	[105797399]
582_14084	chr14	55470002	55470402	+	863	42.0	[9.623465]	[129]	[10.073735]	[128]	[55470222]	[55470221]
582_14087	chr15	63915509	63915909	+	600	42.0	[5.9220176]	[105]	[]	[]	[63915697]	[]
582_14094	chr16	65959980	65960380	+	853	42.0	[]	[]	[5.5146813]	[99]	[]	[65960176]
582_141	chr9	130732732	130733132	+	1000	283.5	[10.810822]	[103]	[11.009659]	[102]	[130732933]	[130732932]
582_14105	chr17	74463496	74463896	+	638	42.0	[5.3023133]	[146]	[5.5822563]	[102]	[74463739]	[74463695]
582_14108	chr18	12625297	12625697	+	775	42.0	[5.9220176]	[104]	[]	[]	[12625463]	[]
582_14112	chr18	78319880	78320280	+	814	42.0	[5.688512]	[93]	[]	[]	[78320071]	[]
582_14128	chr2	11465305	11465705	+	820	42.0	[9.623465]	[126]	[10.073735]	[125]	[11465525]	[11465524]
582_1413	chr5	43772685	43773085	+	1000	126.0	[]	[]	[5.093221]	[128]	[]	[43772902]
582_14136	chr2	85324994	85325394	+	869	42.0	[6.5180492]	[121]	[9.1358795]	[120]	[85325196]	[85325195]
582_14139	chr2	105437687	105438087	+	550	42.0	[]	[]	[9.742069]	[128]	[]	[105437882]
582_1414	chr5	52074324	52074724	+	1000	126.0	[15.617505]	[103]	[15.617505]	[102]	[52074524]	[52074523]
582_1415	chr5	96124635	96125035	+	1000	126.0	[11.910557]	[129]	[10.636991]	[128]	[96124844]	[96124843]
582_14156	chr21	33965667	33966067	+	765	42.0	[5.632827, 5.632827, 5.632827, 5.632827]	[140, 172, 204, 234]	[]	[]	[33965819, 33965851, 33965883, 33965913]	[]
582_1417	chr7	106813737	106814137	+	1000	126.0	[]	[]	[5.5146813]	[96]	[]	[106813932]
582_14192	chr4	154719178	154719578	+	799	42.0	[5.9220176]	[111]	[]	[]	[154719384]	[]
582_14196	chr5	24623353	24623753	+	808	42.0	[5.9220176]	[98]	[]	[]	[24623550]	[]
582_1420	chr1	172902221	172902621	+	1000	125.5	[]	[]	[5.9220176]	[87]	[]	[172902390]
