#PeakID(python scan_motif.py ./ENCODE_processed_files/TAL1_idr.fa TAL1 --motif_path ./motifs/ --distance 50  --cutoff --size 400)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
345_18178	chr20	34855033	34855433	+	1000	59.0	[4.611834, 4.611834, 5.088419, 9.465482]	[81, 91, 100, 108]	[4.611834, 4.611834, 4.611834, 4.611834]	[81, 91, 100, 108]	[34855214, 34855224, 34855233, 34855241]	[34855214, 34855224, 34855233, 34855241]
345_18179	chr20	35121129	35121529	+	1000	59.0	[4.611834]	[83]	[4.611834]	[83]	[35121299]	[35121299]
345_18181	chr20	49671424	49671824	+	1000	59.0	[4.611834]	[102]	[9.465482]	[102]	[49671616]	[49671616]
345_18183	chr20	50911610	50912010	+	1000	59.0	[4.611834]	[100]	[4.611834]	[100]	[50911810]	[50911810]
345_18184	chr20	58373972	58374372	+	1000	59.0	[9.465482, 4.611834, 11.270045]	[91, 143, 161]	[4.611834, 4.611834, 11.270045]	[91, 143, 161]	[58374153, 58374205, 58374223]	[58374153, 58374205, 58374223]
345_18185	chr20	59308801	59309201	+	1000	59.0	[4.611834]	[105]	[4.611834]	[105]	[59308998]	[59308998]
345_18186	chr21	38121117	38121517	+	1000	59.0	[4.611834, 4.611834]	[106, 152]	[4.611834, 4.611834]	[106, 152]	[38121319, 38121365]	[38121319, 38121365]
345_18187	chr21	42698699	42699099	+	1000	59.0	[4.611834, 4.611834]	[85, 157]	[4.611834, 4.611834]	[85, 157]	[42698870, 42698942]	[42698870, 42698942]
345_18190	chr22	22681442	22681842	+	1000	59.0	[4.611834]	[60]	[9.465482]	[60]	[22681597]	[22681597]
345_18191	chr22	22959207	22959607	+	1000	59.0	[5.088419]	[114]	[4.611834]	[114]	[22959403]	[22959403]
345_18194	chr3	41024434	41024834	+	1000	59.0	[4.611834, 4.611834]	[121, 164]	[4.611834, 4.611834]	[121, 164]	[41024642, 41024685]	[41024642, 41024685]
345_18195	chr3	58520424	58520824	+	1000	59.0	[8.356634]	[138]	[4.611834]	[138]	[58520655]	[58520655]
345_1820	chr9	128446383	128446783	+	1000	444.0	[11.270045]	[95]	[11.270045]	[95]	[128446570]	[128446570]
345_18200	chr3	136752158	136752558	+	1000	59.0	[4.611834, 4.611834, 4.611834]	[76, 96, 128]	[4.611834, 9.465482, 4.611834]	[76, 96, 128]	[136752331, 136752351, 136752383]	[136752331, 136752351, 136752383]
345_18201	chr3	141657486	141657886	+	1000	59.0	[4.611834, 4.611834, 11.270045]	[125, 149, 156]	[5.088419, 4.611834, 11.270045]	[125, 149, 156]	[141657691, 141657715, 141657722]	[141657691, 141657715, 141657722]
345_18202	chr3	146507268	146507668	+	1000	59.0	[4.611834, 9.465482]	[79, 85]	[4.611834, 4.611834]	[79, 85]	[146507439, 146507445]	[146507439, 146507445]
345_18203	chr3	167978078	167978478	+	1000	59.0	[4.611834]	[74]	[4.611834]	[74]	[167978248]	[167978248]
345_18204	chr3	177034812	177035212	+	1000	59.0	[4.611834]	[144]	[4.611834]	[144]	[177035049]	[177035049]
345_18205	chr3	194083572	194083972	+	1000	59.0	[4.611834]	[72]	[9.465482]	[72]	[194083744]	[194083744]
345_18206	chr4	188094	188494	+	598	59.0	[11.270045]	[117]	[11.270045]	[117]	[188294]	[188294]
345_18208	chr4	27515162	27515562	+	1000	59.0	[5.088419]	[119]	[4.611834]	[119]	[27515376]	[27515376]
345_18209	chr4	79764100	79764500	+	1000	59.0	[4.611834, 11.270045]	[107, 157]	[4.611834, 11.270045]	[107, 157]	[79764299, 79764349]	[79764299, 79764349]
345_1821	chrX	103124252	103124652	+	1000	444.0	[9.465482]	[80]	[4.611834]	[80]	[103124426]	[103124426]
345_18210	chr4	89835993	89836393	+	1000	59.0	[4.611834, 4.611834]	[67, 119]	[4.611834, 4.611834]	[67, 119]	[89836154, 89836206]	[89836154, 89836206]
345_18211	chr4	123593635	123594035	+	1000	59.0	[4.611834]	[117]	[4.611834]	[117]	[123593846]	[123593846]
345_18216	chr5	32598239	32598639	+	1000	59.0	[4.611834]	[77]	[4.611834]	[77]	[32598413]	[32598413]
345_18220	chr5	57893310	57893710	+	1000	59.0	[4.611834, 11.270045]	[92, 95]	[4.611834, 11.270045]	[92, 95]	[57893497, 57893500]	[57893497, 57893500]
345_18221	chr5	61100478	61100878	+	1000	59.0	[4.611834]	[97]	[8.356634]	[97]	[61100675]	[61100675]
345_18222	chr5	76566053	76566453	+	1000	59.0	[4.611834]	[87]	[4.611834]	[87]	[76566225]	[76566225]
345_18226	chr5	112586713	112587113	+	1000	59.0	[4.611834, 4.611834, 4.611834]	[88, 120, 135]	[4.611834, 4.611834, 4.611834]	[88, 120, 135]	[112586879, 112586911, 112586926]	[112586879, 112586911, 112586926]
345_18228	chr5	133247867	133248267	+	1000	59.0	[4.611834]	[73]	[4.611834]	[73]	[133248029]	[133248029]
345_18229	chr5	139503101	139503501	+	1000	59.0	[4.611834, 4.611834]	[141, 176]	[4.611834, 4.611834]	[141, 176]	[139503310, 139503345]	[139503310, 139503345]
345_1823	chr11	6563260	6563660	+	1000	443.0	[11.270045, 5.088419]	[54, 60]	[11.270045, 4.611834]	[54, 60]	[6563412, 6563418]	[6563412, 6563418]
345_18231	chr5	149751878	149752278	+	1000	59.0	[11.270045, 4.611834]	[99, 102]	[11.270045, 4.611834]	[99, 102]	[149752069, 149752072]	[149752069, 149752072]
345_18232	chr5	150286786	150287186	+	1000	59.0	[5.088419]	[102]	[4.611834]	[102]	[150286977]	[150286977]
345_18235	chr6	11818116	11818516	+	1000	59.0	[4.611834]	[97]	[5.088419]	[97]	[11818300]	[11818300]
345_18236	chr6	15090059	15090459	+	1000	59.0	[4.611834]	[118]	[4.611834]	[118]	[15090275]	[15090275]
345_18237	chr6	16266586	16266986	+	1000	59.0	[4.611834]	[157]	[4.611834]	[157]	[16266811]	[16266811]
345_18238	chr6	27143937	27144337	+	1000	59.0	[4.611834, 4.611834]	[152, 174]	[4.611834, 4.611834]	[152, 174]	[27144157, 27144179]	[27144157, 27144179]
345_18239	chr6	28487313	28487713	+	1000	59.0	[5.088419]	[158]	[4.611834]	[158]	[28487545]	[28487545]
345_1824	chr12	71270050	71270450	+	1000	443.0	[4.611834, 4.611834]	[122, 125]	[4.611834, 4.611834]	[122, 125]	[71270268, 71270271]	[71270268, 71270271]
345_18240	chr6	31703072	31703472	+	1000	59.0	[4.611834, 4.611834, 4.611834, 4.611834, 4.611834, 4.611834]	[99, 104, 107, 133, 145, 148]	[4.611834, 4.611834, 4.611834, 4.611834, 4.611834, 4.611834]	[99, 104, 107, 133, 145, 148]	[31703262, 31703267, 31703270, 31703296, 31703308, 31703311]	[31703262, 31703267, 31703270, 31703296, 31703308, 31703311]
345_18241	chr6	34246556	34246956	+	1000	59.0	[4.611834, 5.088419, 4.611834, 9.465482]	[105, 118, 125, 137]	[4.611834, 4.611834, 4.611834, 4.611834]	[105, 118, 125, 137]	[34246707, 34246720, 34246727, 34246739]	[34246707, 34246720, 34246727, 34246739]
345_18243	chr6	40912335	40912735	+	1000	59.0	[4.611834, 11.270045]	[59, 72]	[9.465482, 11.270045]	[59, 72]	[40912493, 40912506]	[40912493, 40912506]
345_18244	chr6	44249049	44249449	+	1000	59.0	[4.611834, 4.611834, 4.611834]	[156, 168, 217]	[4.611834, 4.611834, 4.611834]	[156, 168, 217]	[44249222, 44249234, 44249283]	[44249222, 44249234, 44249283]
345_18245	chr6	70164598	70164998	+	1000	59.0	[8.356634, 4.611834]	[89, 96]	[4.611834, 4.611834]	[89, 96]	[70164777, 70164784]	[70164777, 70164784]
345_18246	chr6	87320647	87321047	+	1000	59.0	[4.611834]	[111]	[4.611834]	[111]	[87320855]	[87320855]
345_18247	chr6	97214644	97215044	+	1000	59.0	[11.270045]	[72]	[11.270045]	[72]	[97214816]	[97214816]
345_18250	chr6	156423904	156424304	+	1000	59.0	[9.465482]	[136]	[4.611834]	[136]	[156424134]	[156424134]
345_18251	chr7	1810276	1810676	+	1000	59.0	[4.611834, 9.465482]	[124, 133]	[4.611834, 4.611834]	[124, 133]	[1810489, 1810498]	[1810489, 1810498]
345_18252	chr7	24821311	24821711	+	1000	59.0	[11.270045, 11.270045, 4.611834, 4.611834]	[115, 141, 187, 203]	[11.270045, 11.270045, 4.611834, 4.611834]	[115, 141, 187, 203]	[24821465, 24821491, 24821537, 24821553]	[24821465, 24821491, 24821537, 24821553]
345_18253	chr7	37928825	37929225	+	1000	59.0	[4.611834]	[132]	[4.611834]	[132]	[37929038]	[37929038]
345_18254	chr7	50338613	50339013	+	1000	59.0	[4.611834]	[120]	[4.611834]	[120]	[50338823]	[50338823]
345_18255	chr7	70838448	70838848	+	1000	59.0	[4.611834]	[115]	[4.611834]	[115]	[70838662]	[70838662]
345_18256	chr7	70891674	70892074	+	1000	59.0	[5.088419, 4.611834, 4.611834]	[60, 88, 100]	[4.611834, 4.611834, 4.611834]	[60, 88, 100]	[70891832, 70891860, 70891872]	[70891832, 70891860, 70891872]
345_18257	chr7	74165130	74165530	+	1000	59.0	[4.611834]	[73]	[4.611834]	[73]	[74165303]	[74165303]
345_18259	chr7	99831640	99832040	+	1000	59.0	[8.356634]	[86]	[4.611834]	[86]	[99831816]	[99831816]
345_1826	chr16	85047219	85047619	+	1000	443.0	[4.611834]	[120]	[4.611834]	[120]	[85047436]	[85047436]
345_18260	chr7	100479174	100479574	+	1000	59.0	[11.270045, 4.611834, 4.611834, 4.611834, 8.356634, 4.611834]	[66, 92, 95, 98, 107, 131]	[11.270045, 4.611834, 4.611834, 4.611834, 4.611834, 4.611834]	[66, 92, 95, 98, 107, 131]	[100479332, 100479358, 100479361, 100479364, 100479373, 100479397]	[100479332, 100479358, 100479361, 100479364, 100479373, 100479397]
345_18261	chr7	100874661	100875061	+	1000	59.0	[4.611834]	[134]	[9.465482]	[134]	[100874871]	[100874871]
345_18262	chr7	120985135	120985535	+	1000	59.0	[11.270045]	[143]	[11.270045]	[143]	[120985374]	[120985374]
345_18263	chr7	123728287	123728687	+	1000	59.0	[4.611834]	[111]	[8.356634]	[111]	[123728459]	[123728459]
345_18265	chr7	133003314	133003714	+	1000	59.0	[4.611834]	[113]	[4.611834]	[113]	[133003525]	[133003525]
345_18266	chr7	134114780	134115180	+	1000	59.0	[5.088419]	[98]	[4.611834]	[98]	[134114977]	[134114977]
345_18268	chr7	144830000	144830400	+	1000	59.0	[4.611834]	[130]	[9.465482]	[130]	[144830227]	[144830227]
345_18269	chr7	149065826	149066226	+	1000	59.0	[4.611834]	[138]	[4.611834]	[138]	[149066041]	[149066041]
345_1827	chr3	6540970	6541370	+	1000	443.0	[4.611834]	[95]	[4.611834]	[95]	[6541157]	[6541157]
345_18270	chr7	150931425	150931825	+	1000	59.0	[9.465482, 4.611834, 4.611834, 5.088419, 4.611834]	[103, 111, 114, 123, 131]	[4.611834, 4.611834, 4.611834, 4.611834, 4.611834]	[103, 111, 114, 123, 131]	[150931615, 150931623, 150931626, 150931635, 150931643]	[150931615, 150931623, 150931626, 150931635, 150931643]
345_18272	chr7	158818299	158818699	+	1000	59.0	[4.611834, 4.611834]	[106, 120]	[9.465482, 4.611834]	[106, 120]	[158818505, 158818519]	[158818505, 158818519]
345_18273	chr8	11820246	11820646	+	1000	59.0	[4.611834, 4.611834]	[75, 142]	[4.611834, 4.611834]	[75, 142]	[11820419, 11820486]	[11820419, 11820486]
345_18274	chr8	11942182	11942582	+	1000	59.0	[4.611834, 4.611834]	[74, 109]	[4.611834, 4.611834]	[74, 109]	[11942354, 11942389]	[11942354, 11942389]
345_18277	chr8	66925258	66925658	+	1000	59.0	[4.611834]	[105]	[4.611834]	[105]	[66925448]	[66925448]
345_18279	chr8	95223517	95223917	+	1000	59.0	[4.611834]	[74]	[4.611834]	[74]	[95223687]	[95223687]
345_1828	chr3	149085724	149086124	+	1000	443.0	[4.611834]	[125]	[4.611834]	[125]	[149085946]	[149085946]
345_18280	chr8	123171752	123172152	+	1000	59.0	[5.088419]	[90]	[4.611834]	[90]	[123171932]	[123171932]
345_18281	chr8	143231228	143231628	+	1000	59.0	[4.611834, 4.611834]	[71, 87]	[4.611834, 4.611834]	[71, 87]	[143231398, 143231414]	[143231398, 143231414]
345_18283	chr9	38038806	38039206	+	1000	59.0	[4.611834]	[98]	[4.611834]	[98]	[38038987]	[38038987]
345_18284	chr9	38107993	38108393	+	1000	59.0	[11.270045]	[94]	[11.270045]	[94]	[38108180]	[38108180]
345_18286	chr9	72863714	72864114	+	1000	59.0	[4.611834, 4.611834]	[122, 153]	[5.088419, 4.611834]	[122, 153]	[72863929, 72863960]	[72863929, 72863960]
345_18287	chr9	93171297	93171697	+	1000	59.0	[4.611834]	[115]	[8.356634]	[115]	[93171507]	[93171507]
345_18288	chr9	101925579	101925979	+	1000	59.0	[11.270045]	[65]	[11.270045]	[65]	[101925740]	[101925740]
345_18291	chr9	131235356	131235756	+	1000	59.0	[11.270045, 4.611834]	[95, 136]	[11.270045, 4.611834]	[95, 136]	[131235549, 131235590]	[131235549, 131235590]
345_18292	chr9	136787690	136788090	+	1000	59.0	[4.611834]	[67]	[4.611834]	[67]	[136787844]	[136787844]
345_18293	chrUn_KI270742v1	35181	35581	+	1000	59.0	[4.611834]	[98]	[4.611834]	[98]	[35378]	[35378]
345_18296	chrX	39206735	39207135	+	1000	59.0	[8.356634, 4.611834, 4.611834, 11.270045]	[90, 100, 148, 151]	[4.611834, 4.611834, 4.611834, 11.270045]	[90, 100, 148, 151]	[39206923, 39206933, 39206981, 39206984]	[39206923, 39206933, 39206981, 39206984]
345_18297	chrX	63474932	63475332	+	1000	59.0	[4.611834]	[108]	[4.611834]	[108]	[63475140]	[63475140]
345_18299	chrX	75210610	75211010	+	1000	59.0	[4.611834]	[96]	[4.611834]	[96]	[75210803]	[75210803]
345_1830	chr6	30767522	30767922	+	1000	443.0	[11.270045, 4.611834]	[96, 112]	[11.270045, 4.611834]	[96, 112]	[30767717, 30767733]	[30767717, 30767733]
345_18300	chrX	107205304	107205704	+	1000	59.0	[9.465482]	[117]	[4.611834]	[117]	[107205507]	[107205507]
345_18301	chrX	110410577	110410977	+	1000	59.0	[4.611834, 4.611834, 4.611834]	[86, 129, 153]	[5.088419, 4.611834, 4.611834]	[86, 129, 153]	[110410749, 110410792, 110410816]	[110410749, 110410792, 110410816]
345_18303	chr1	3653233	3653633	+	1000	58.0	[4.611834]	[104]	[4.611834]	[104]	[3653420]	[3653420]
345_18306	chr1	12266112	12266512	+	1000	58.0	[4.611834, 8.356634]	[112, 149]	[5.088419, 4.611834]	[112, 149]	[12266314, 12266351]	[12266314, 12266351]
345_18308	chr1	23977806	23978206	+	1000	58.0	[9.465482]	[125]	[4.611834]	[125]	[23978019]	[23978019]
345_18309	chr1	29208481	29208881	+	1000	58.0	[4.611834]	[133]	[4.611834]	[133]	[29208684]	[29208684]
345_1831	chr7	129750069	129750469	+	1000	443.0	[9.465482]	[108]	[4.611834]	[108]	[129750274]	[129750274]
345_18312	chr1	35788198	35788598	+	1000	58.0	[8.356634]	[76]	[4.611834]	[76]	[35788364]	[35788364]
345_18313	chr1	39318119	39318519	+	1000	58.0	[11.270045]	[144]	[11.270045]	[144]	[39318359]	[39318359]
345_18314	chr1	51622429	51622829	+	1000	58.0	[4.611834]	[78]	[4.611834]	[78]	[51622589]	[51622589]
345_18315	chr1	51732690	51733090	+	1000	58.0	[4.611834, 5.088419]	[101, 107]	[4.611834, 4.611834]	[101, 107]	[51732887, 51732893]	[51732887, 51732893]
345_18316	chr1	54163583	54163983	+	1000	58.0	[4.611834]	[61]	[4.611834]	[61]	[54163742]	[54163742]
345_1832	chr8	6428654	6429054	+	1000	443.0	[4.611834, 4.611834]	[105, 140]	[4.611834, 4.611834]	[105, 140]	[6428856, 6428891]	[6428856, 6428891]
345_18320	chr1	67694853	67695253	+	1000	58.0	[8.356634, 4.611834]	[113, 149]	[4.611834, 4.611834]	[113, 149]	[67695007, 67695043]	[67695007, 67695043]
345_18321	chr1	70961388	70961788	+	1000	58.0	[9.465482]	[54]	[4.611834]	[54]	[70961542]	[70961542]
345_18324	chr1	100785727	100786127	+	1000	58.0	[8.356634]	[139]	[4.611834]	[139]	[100785935]	[100785935]
345_18325	chr1	110916821	110917221	+	1000	58.0	[4.611834]	[165]	[4.611834]	[165]	[110917071]	[110917071]
345_18326	chr1	154178015	154178415	+	1000	58.0	[4.611834, 8.356634, 4.611834]	[64, 125, 141]	[4.611834, 4.611834, 4.611834]	[64, 125, 141]	[154178175, 154178236, 154178252]	[154178175, 154178236, 154178252]
345_18328	chr1	157371706	157372106	+	1000	58.0	[4.611834, 4.611834]	[117, 124]	[4.611834, 4.611834]	[117, 124]	[157371899, 157371906]	[157371899, 157371906]
345_18329	chr1	159307630	159308030	+	1000	58.0	[4.611834, 4.611834]	[109, 112]	[4.611834, 4.611834]	[109, 112]	[159307837, 159307840]	[159307837, 159307840]
345_18330	chr1	165207622	165208022	+	1000	58.0	[4.611834, 4.611834]	[140, 157]	[4.611834, 4.611834]	[140, 157]	[165207851, 165207868]	[165207851, 165207868]
345_18331	chr1	167426727	167427127	+	1000	58.0	[11.270045]	[135]	[11.270045]	[135]	[167426957]	[167426957]
345_18332	chr1	171485149	171485549	+	1000	58.0	[4.611834]	[182]	[4.611834]	[182]	[171485383]	[171485383]
345_18336	chr1	183505562	183505962	+	1000	58.0	[11.270045]	[107]	[11.270045]	[107]	[183505755]	[183505755]
345_18338	chr1	207620236	207620636	+	1000	58.0	[4.611834, 11.270045]	[80, 131]	[4.611834, 11.270045]	[80, 131]	[207620396, 207620447]	[207620396, 207620447]
345_1834	chr1	111660665	111661065	+	1000	442.0	[9.465482]	[124]	[4.611834]	[124]	[111660888]	[111660888]
345_18340	chr1	212587619	212588019	+	1000	58.0	[4.611834]	[129]	[4.611834]	[129]	[212587842]	[212587842]
345_18342	chr1	227754963	227755363	+	1000	58.0	[8.356634]	[135]	[4.611834]	[135]	[227755188]	[227755188]
345_18347	chr10	17049260	17049660	+	1000	58.0	[5.088419]	[123]	[4.611834]	[123]	[17049473]	[17049473]
345_18348	chr10	28793424	28793824	+	1000	58.0	[11.270045]	[101]	[11.270045]	[101]	[28793612]	[28793612]
345_18349	chr10	32380131	32380531	+	1000	58.0	[11.270045]	[90]	[11.270045]	[90]	[32380314]	[32380314]
345_1835	chr1	247855205	247855605	+	1000	442.0	[4.611834, 4.611834, 4.611834, 4.611834]	[61, 92, 114, 145]	[9.465482, 4.611834, 4.611834, 9.465482]	[61, 92, 114, 145]	[247855364, 247855395, 247855417, 247855448]	[247855364, 247855395, 247855417, 247855448]
345_18351	chr10	73517384	73517784	+	1000	58.0	[4.611834, 9.465482]	[110, 126]	[4.611834, 4.611834]	[110, 126]	[73517586, 73517602]	[73517586, 73517602]
345_18352	chr10	74439295	74439695	+	1000	58.0	[4.611834, 4.611834]	[82, 111]	[9.465482, 4.611834]	[82, 111]	[74439469, 74439498]	[74439469, 74439498]
345_18354	chr10	103772905	103773305	+	1000	58.0	[4.611834, 4.611834, 5.088419]	[74, 106, 127]	[4.611834, 4.611834, 4.611834]	[74, 106, 127]	[103773076, 103773108, 103773129]	[103773076, 103773108, 103773129]
345_18355	chr10	110067947	110068347	+	1000	58.0	[4.611834]	[135]	[9.465482]	[135]	[110068180]	[110068180]
345_18357	chr11	12826445	12826845	+	1000	58.0	[4.611834]	[121]	[9.465482]	[121]	[12826661]	[12826661]
345_18359	chr11	34105221	34105621	+	1000	58.0	[4.611834, 4.611834]	[139, 183]	[4.611834, 4.611834]	[139, 183]	[34105420, 34105464]	[34105420, 34105464]
345_1836	chr12	71236349	71236749	+	1000	442.0	[4.611834, 9.465482, 4.611834]	[104, 113, 155]	[4.611834, 4.611834, 4.611834]	[104, 113, 155]	[71236543, 71236552, 71236594]	[71236543, 71236552, 71236594]
345_18360	chr11	38324436	38324836	+	1000	58.0	[4.611834, 4.611834, 4.611834]	[75, 106, 121]	[5.088419, 4.611834, 5.088419]	[75, 106, 121]	[38324604, 38324635, 38324650]	[38324604, 38324635, 38324650]
345_18361	chr11	43309260	43309660	+	1000	58.0	[4.611834]	[142]	[5.088419]	[142]	[43309492]	[43309492]
345_18362	chr11	46445532	46445932	+	1000	58.0	[4.611834]	[176]	[4.611834]	[176]	[46445774]	[46445774]
345_18364	chr11	47943999	47944399	+	1000	58.0	[8.356634, 4.611834]	[103, 109]	[4.611834, 4.611834]	[103, 109]	[47944201, 47944207]	[47944201, 47944207]
345_18366	chr11	58770775	58771175	+	1000	58.0	[9.465482]	[142]	[4.611834]	[142]	[58770989]	[58770989]
345_18367	chr11	65455115	65455515	+	1000	58.0	[4.611834]	[79]	[4.611834]	[79]	[65455281]	[65455281]
345_18368	chr11	65900167	65900567	+	1000	58.0	[4.611834, 4.611834]	[115, 118]	[4.611834, 4.611834]	[115, 118]	[65900369, 65900372]	[65900369, 65900372]
345_18372	chr12	5244404	5244804	+	1000	58.0	[4.611834]	[139]	[4.611834]	[139]	[5244642]	[5244642]
345_18373	chr12	6869397	6869797	+	1000	58.0	[4.611834]	[91]	[5.088419]	[91]	[6869565]	[6869565]
345_18374	chr12	7935934	7936334	+	624	58.0	[4.611834, 4.611834]	[73, 112]	[4.611834, 4.611834]	[73, 112]	[7936087, 7936126]	[7936087, 7936126]
345_18375	chr12	13028817	13029217	+	1000	58.0	[4.611834, 4.611834, 8.356634]	[110, 125, 158]	[4.611834, 4.611834, 4.611834]	[110, 125, 158]	[13029014, 13029029, 13029062]	[13029014, 13029029, 13029062]
345_18378	chr12	31325900	31326300	+	1000	58.0	[4.611834]	[140]	[8.356634]	[140]	[31326113]	[31326113]
345_1838	chr14	60989616	60990016	+	1000	442.0	[4.611834]	[150]	[4.611834]	[150]	[60989853]	[60989853]
345_18380	chr12	55899027	55899427	+	1000	58.0	[11.270045, 4.611834]	[123, 158]	[11.270045, 4.611834]	[123, 158]	[55899242, 55899277]	[55899242, 55899277]
345_18381	chr12	68686475	68686875	+	1000	58.0	[4.611834]	[112]	[9.465482]	[112]	[68686657]	[68686657]
345_18383	chr12	92363838	92364238	+	1000	58.0	[4.611834]	[174]	[4.611834]	[174]	[92364072]	[92364072]
345_18384	chr12	101653037	101653437	+	1000	58.0	[4.611834]	[80]	[4.611834]	[80]	[101653203]	[101653203]
345_18386	chr12	123372411	123372811	+	1000	58.0	[9.465482]	[109]	[4.611834]	[109]	[123372616]	[123372616]
345_18388	chr13	18869363	18869763	+	1000	58.0	[4.611834]	[102]	[4.611834]	[102]	[18869559]	[18869559]
345_18389	chr13	27300249	27300649	+	1000	58.0	[4.611834]	[116]	[4.611834]	[116]	[27300462]	[27300462]
345_18390	chr13	96984263	96984663	+	1000	58.0	[4.611834, 11.270045]	[85, 102]	[9.465482, 11.270045]	[85, 102]	[96984440, 96984457]	[96984440, 96984457]
345_18392	chr14	25046273	25046673	+	1000	58.0	[11.270045]	[143]	[11.270045]	[143]	[25046503]	[25046503]
345_18394	chr14	33483088	33483488	+	1000	58.0	[4.611834]	[68]	[4.611834]	[68]	[33483245]	[33483245]
345_18395	chr14	54354218	54354618	+	1000	58.0	[4.611834, 11.270045, 4.611834]	[93, 125, 151]	[4.611834, 11.270045, 4.611834]	[93, 125, 151]	[54354391, 54354423, 54354449]	[54354391, 54354423, 54354449]
345_18397	chr14	67391271	67391671	+	1000	58.0	[4.611834, 4.611834, 9.465482]	[91, 121, 150]	[4.611834, 4.611834, 4.611834]	[91, 121, 150]	[67391458, 67391488, 67391517]	[67391458, 67391488, 67391517]
345_18398	chr14	90383680	90384080	+	1000	58.0	[4.611834, 11.270045]	[136, 154]	[4.611834, 11.270045]	[136, 154]	[90383903, 90383921]	[90383903, 90383921]
345_18399	chr15	37122789	37123189	+	1000	58.0	[4.611834, 9.465482, 4.611834, 4.611834]	[97, 121, 131, 134]	[4.611834, 4.611834, 4.611834, 4.611834]	[97, 121, 131, 134]	[37122970, 37122994, 37123004, 37123007]	[37122970, 37122994, 37123004, 37123007]
345_184	chr9	98225127	98225527	+	1000	709.0	[4.611834]	[60]	[9.465482]	[60]	[98225286]	[98225286]
345_1840	chr15	90540796	90541196	+	1000	442.0	[5.088419]	[99]	[4.611834]	[99]	[90540993]	[90540993]
345_18400	chr15	52005764	52006164	+	1000	58.0	[9.465482, 4.611834]	[127, 161]	[4.611834, 4.611834]	[127, 161]	[52005974, 52006008]	[52005974, 52006008]
345_18401	chr15	65757286	65757686	+	1000	58.0	[4.611834]	[130]	[4.611834]	[130]	[65757471]	[65757471]
345_18403	chr15	70433139	70433539	+	1000	58.0	[4.611834, 4.611834, 4.611834]	[81, 122, 129]	[4.611834, 4.611834, 4.611834]	[81, 122, 129]	[70433312, 70433353, 70433360]	[70433312, 70433353, 70433360]
345_18404	chr15	73190257	73190657	+	1000	58.0	[4.611834, 4.611834]	[72, 87]	[4.611834, 4.611834]	[72, 87]	[73190420, 73190435]	[73190420, 73190435]
345_18405	chr15	92904037	92904437	+	1000	58.0	[4.611834]	[204]	[4.611834]	[204]	[92904260]	[92904260]
345_18406	chr15	95574036	95574436	+	1000	58.0	[4.611834]	[115]	[4.611834]	[115]	[95574238]	[95574238]
345_18409	chr16	14480978	14481378	+	1000	58.0	[4.611834]	[111]	[4.611834]	[111]	[14481189]	[14481189]
345_18412	chr16	56621114	56621514	+	1000	58.0	[9.465482]	[89]	[4.611834]	[89]	[56621300]	[56621300]
345_18413	chr16	57354816	57355216	+	1000	58.0	[4.611834]	[100]	[9.465482]	[100]	[57355010]	[57355010]
345_18414	chr16	66930298	66930698	+	1000	58.0	[11.270045, 4.611834]	[108, 117]	[11.270045, 4.611834]	[108, 117]	[66930503, 66930512]	[66930503, 66930512]
345_18415	chr16	74992048	74992448	+	1000	58.0	[4.611834]	[94]	[4.611834]	[94]	[74992215]	[74992215]
345_18416	chr17	736239	736639	+	1000	58.0	[4.611834]	[86]	[9.465482]	[86]	[736422]	[736422]
345_18417	chr17	28735270	28735670	+	1000	58.0	[4.611834, 4.611834]	[75, 113]	[4.611834, 4.611834]	[75, 113]	[28735422, 28735460]	[28735422, 28735460]
345_18418	chr17	38676953	38677353	+	1000	58.0	[11.270045, 4.611834]	[154, 157]	[11.270045, 4.611834]	[154, 157]	[38677199, 38677202]	[38677199, 38677202]
345_18419	chr17	45161320	45161720	+	1000	58.0	[4.611834, 4.611834]	[106, 191]	[4.611834, 4.611834]	[106, 191]	[45161477, 45161562]	[45161477, 45161562]
345_18421	chr17	59683306	59683706	+	1000	58.0	[4.611834]	[92]	[8.356634]	[92]	[59683490]	[59683490]
345_18423	chr17	83053681	83054081	+	1000	58.0	[4.611834, 9.465482]	[78, 143]	[4.611834, 4.611834]	[78, 143]	[83053842, 83053907]	[83053842, 83053907]
345_18426	chr18	10230123	10230523	+	1000	58.0	[4.611834, 11.270045, 4.611834]	[56, 97, 123]	[4.611834, 11.270045, 4.611834]	[56, 97, 123]	[10230276, 10230317, 10230343]	[10230276, 10230317, 10230343]
345_18427	chr18	45723532	45723932	+	1000	58.0	[4.611834]	[143]	[9.465482]	[143]	[45723760]	[45723760]
345_18428	chr18	45998170	45998570	+	1000	58.0	[4.611834, 4.611834]	[102, 118]	[4.611834, 4.611834]	[102, 118]	[45998365, 45998381]	[45998365, 45998381]
345_1843	chr5	151100152	151100552	+	1000	442.0	[4.611834, 8.356634]	[62, 90]	[4.611834, 4.611834]	[62, 90]	[151100306, 151100334]	[151100306, 151100334]
345_18431	chr18	62555151	62555551	+	1000	58.0	[4.611834]	[68]	[4.611834]	[68]	[62555317]	[62555317]
345_18432	chr18	63192899	63193299	+	1000	58.0	[4.611834]	[66]	[4.611834]	[66]	[63193055]	[63193055]
