#PeakID(python scan_motif.py ./ENCODE_processed_files/NR2F6_idr.fa NR2F6 --motif_path ./motifs/ --distance 50  --cutoff --size 400)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
681_16206	chr5	154421878	154422278	+	861	30.0	[]	[]	[6.7671185]	[109]	[]	[154422081]
681_16208	chr5	163462435	163462835	+	826	30.0	[]	[]	[6.8738375, 10.016101]	[105, 115]	[]	[163462599, 163462609]
681_16209	chr5	173911639	173912039	+	861	30.0	[]	[]	[10.016101, 10.314935]	[121, 128]	[]	[173911840, 173911847]
681_1621	chr7	10940459	10940859	+	1000	74.0	[]	[]	[11.816733]	[111]	[]	[10940635]
681_16212	chr5	181173535	181173935	+	798	30.0	[]	[]	[8.151893]	[132]	[]	[181173690]
681_16215	chr6	3026773	3027173	+	611	30.0	[]	[]	[7.702022]	[172]	[]	[3026963]
681_16217	chr6	4371337	4371737	+	751	30.0	[]	[]	[12.716828]	[84]	[]	[4371520]
681_16218	chr6	4803447	4803847	+	834	30.0	[9.965039, 9.064944, 7.3877554]	[72, 102, 155]	[]	[]	[4803605, 4803635, 4803688]	[]
681_16219	chr6	10954574	10954974	+	619	30.0	[]	[]	[7.375241]	[153]	[]	[10954749]
681_1622	chr7	134593943	134594343	+	1000	74.0	[7.37782, 9.6081915]	[60, 70]	[8.268917]	[138]	[134594096, 134594106]	[134594174]
681_16221	chr6	13811813	13812213	+	684	30.0	[6.9182286]	[138]	[11.8274975]	[157]	[13812003]	[13812022]
681_16223	chr6	13863523	13863923	+	576	30.0	[]	[]	[6.9793944, 9.367325]	[138, 158]	[]	[13863750, 13863770]
681_16224	chr6	13909083	13909483	+	835	30.0	[]	[]	[8.288293, 9.075708]	[190, 203]	[]	[13909290, 13909303]
681_16225	chr6	14477516	14477916	+	844	30.0	[8.780026]	[101]	[]	[]	[14477668]	[]
681_16227	chr6	15730321	15730721	+	816	30.0	[]	[]	[6.7890983]	[127]	[]	[15730490]
681_16228	chr6	15895299	15895699	+	778	30.0	[]	[]	[8.683034]	[203]	[]	[15895549]
681_16230	chr6	17907713	17908113	+	635	30.0	[]	[]	[6.9376044]	[169]	[]	[17907946]
681_16233	chr6	26551895	26552295	+	851	30.0	[9.500589, 6.7890983]	[81, 111]	[]	[]	[26552057, 26552087]	[]
681_16234	chr6	26593591	26593991	+	824	30.0	[]	[]	[6.907464, 6.907464]	[122, 143]	[]	[26593794, 26593815]
681_16237	chr6	27668433	27668833	+	750	30.0	[]	[]	[7.8065863]	[100]	[]	[27668624]
681_1624	chr7	159012994	159013394	+	1000	74.0	[]	[]	[7.807559, 7.051181]	[116, 140]	[]	[159013209, 159013233]
681_16240	chr6	30690673	30691073	+	766	30.0	[]	[]	[11.846873]	[183]	[]	[30690917]
681_16241	chr6	30781606	30782006	+	855	30.0	[]	[]	[15.375314]	[72]	[]	[30781757]
681_16243	chr6	31805353	31805753	+	768	30.0	[7.807559]	[208]	[]	[]	[31805592]	[]
681_1625	chr8	20203686	20204086	+	1000	74.0	[9.095084]	[94]	[]	[]	[20203868]	[]
681_16251	chr6	41723587	41723987	+	872	30.0	[10.016101]	[138]	[]	[]	[41723822]	[]
681_16256	chr6	43660102	43660502	+	829	30.0	[7.699957]	[67]	[]	[]	[43660268]	[]
681_16257	chr6	43702655	43703055	+	715	30.0	[]	[]	[7.5666924]	[193]	[]	[43702904]
681_1626	chr9	37904158	37904558	+	1000	74.0	[6.9654317]	[86]	[]	[]	[37904343]	[]
681_16260	chr6	73109811	73110211	+	597	30.0	[]	[]	[9.025375]	[131]	[]	[73109976]
681_16262	chr6	79233638	79234038	+	564	30.0	[12.716828]	[162]	[]	[]	[79233843]	[]
681_16263	chr6	79525595	79525995	+	836	30.0	[7.238494, 9.965039]	[77, 97]	[]	[]	[79525759, 79525779]	[]
681_16267	chr6	107115632	107116032	+	823	30.0	[7.8524485]	[141]	[]	[]	[107115829]	[]
681_16269	chr6	111646641	111647041	+	823	30.0	[]	[]	[9.274022, 13.574681]	[104, 111]	[]	[111646840, 111646847]
681_1627	chr1	23367963	23368363	+	1000	73.0	[8.182312]	[161]	[]	[]	[23368191]	[]
681_16270	chr6	111829530	111829930	+	888	30.0	[]	[]	[15.375314]	[143]	[]	[111829743]
681_16273	chr6	126054252	126054652	+	815	30.0	[7.051181]	[106]	[]	[]	[126054447]	[]
681_16275	chr6	137846523	137846923	+	878	30.0	[10.400684]	[179]	[]	[]	[137846732]	[]
681_16277	chr6	139497295	139497695	+	659	30.0	[8.028181]	[95]	[]	[]	[139497473]	[]
681_1628	chr1	109818564	109818964	+	1000	73.0	[8.176768, 13.574681]	[121, 128]	[]	[]	[109818755, 109818762]	[]
681_16280	chr6	157487423	157487823	+	836	30.0	[7.2247434]	[123]	[8.288293, 9.066098]	[65, 107]	[157487637]	[157487579, 157487621]
681_16281	chr6	157754926	157755326	+	699	30.0	[]	[]	[13.574681]	[101]	[]	[157755080]
681_16284	chr6	158815378	158815778	+	798	30.0	[7.8676777, 7.415039]	[73, 95]	[]	[]	[158815538, 158815560]	[]
681_16289	chr6	161407605	161408005	+	637	30.0	[9.6081915]	[128]	[]	[]	[161407818]	[]
681_1629	chr1	118185424	118185824	+	1000	73.0	[11.258537]	[190]	[]	[]	[118185656]	[]
681_16290	chr7	602703	603103	+	837	30.0	[]	[]	[15.375314]	[125]	[]	[602873]
681_16291	chr7	1554766	1555166	+	815	30.0	[8.710301]	[163]	[]	[]	[1554941]	[]
681_16296	chr7	18177359	18177759	+	633	30.0	[6.9824934, 9.274022]	[98, 109]	[]	[]	[18177530, 18177541]	[]
681_163	chr22	46762666	46763066	+	1000	193.0	[]	[]	[10.225179, 13.574681]	[119, 126]	[]	[46762880, 46762887]
681_16302	chr7	73855413	73855813	+	865	30.0	[]	[]	[8.176768]	[91]	[]	[73855581]
681_16303	chr7	74288982	74289382	+	799	30.0	[]	[]	[10.07563]	[222]	[]	[74289205]
681_16304	chr7	74401311	74401711	+	833	30.0	[]	[]	[9.502654]	[219]	[]	[74401549]
681_16305	chr7	75642738	75643138	+	829	30.0	[7.897818]	[141]	[]	[]	[75642901]	[]
681_16306	chr7	75963606	75964006	+	818	30.0	[]	[]	[11.724585, 13.574681]	[113, 149]	[]	[75963777, 75963813]
681_16308	chr7	84881366	84881766	+	828	30.0	[]	[]	[8.710301]	[134]	[]	[84881539]
681_16309	chr7	94300944	94301344	+	702	30.0	[11.136818]	[132]	[]	[]	[94301161]	[]
681_1631	chr10	46023150	46023550	+	1000	73.0	[]	[]	[8.196144]	[159]	[]	[46023332]
681_16312	chr7	99126956	99127356	+	697	30.0	[]	[]	[9.965039]	[123]	[]	[99127157]
681_16314	chr7	101200895	101201295	+	822	30.0	[11.426259]	[80]	[]	[]	[101201073]	[]
681_16319	chr7	105678815	105679215	+	905	30.0	[7.881086]	[78]	[]	[]	[105678992]	[]
681_1632	chr11	46392525	46392925	+	1000	73.0	[8.245195]	[83]	[]	[]	[46392700]	[]
681_16333	chr7	127995124	127995524	+	585	30.0	[10.225179]	[158]	[]	[]	[127995341]	[]
681_16336	chr7	130063024	130063424	+	652	30.0	[8.028181]	[137]	[]	[]	[130063233]	[]
681_1634	chr11	117224636	117225036	+	1000	73.0	[11.8274975]	[103]	[]	[]	[117224837]	[]
681_16342	chr7	139106333	139106733	+	811	30.0	[6.929461]	[101]	[]	[]	[139106532]	[]
681_16343	chr7	139541552	139541952	+	837	30.0	[]	[]	[7.264312]	[218]	[]	[139541800]
681_16344	chr7	140390841	140391241	+	892	30.0	[]	[]	[11.8274975]	[134]	[]	[140391038]
681_16345	chr7	143305508	143305908	+	820	30.0	[11.426259]	[192]	[]	[]	[143305737]	[]
681_1635	chr11	126328948	126329348	+	1000	73.0	[13.574681, 13.574681, 11.2237425]	[113, 120, 134]	[]	[]	[126329152, 126329159, 126329173]	[]
681_16352	chr7	151037030	151037430	+	794	30.0	[6.966994]	[98]	[]	[]	[151037196]	[]
681_16355	chr7	156002453	156002853	+	749	30.0	[9.188388]	[169]	[]	[]	[156002677]	[]
681_1636	chr12	14385165	14385565	+	1000	73.0	[]	[]	[7.8757257]	[307]	[]	[14385396]
681_16360	chr7	157342371	157342771	+	878	30.0	[10.016101]	[83]	[8.166003]	[87]	[157342549]	[157342553]
681_16361	chr7	157363613	157364013	+	833	30.0	[]	[]	[7.473389, 13.574681]	[136, 143]	[]	[157363834, 157363841]
681_16363	chr7	158864012	158864412	+	757	30.0	[7.900682]	[70]	[]	[]	[158864171]	[]
681_16365	chr8	2733770	2734170	+	854	30.0	[]	[]	[6.726127]	[139]	[]	[2734002]
681_16368	chr8	11798951	11799351	+	796	30.0	[]	[]	[8.9075985, 7.4022975]	[119, 127]	[]	[11799150, 11799158]
681_16369	chr8	20086741	20087141	+	747	30.0	[]	[]	[15.375314, 10.225179]	[98, 167]	[]	[20086918, 20086987]
681_16373	chr8	27333214	27333614	+	766	30.0	[]	[]	[8.182312]	[80]	[]	[27333386]
681_16374	chr8	29340183	29340583	+	641	30.0	[]	[]	[8.274998]	[175]	[]	[29340423]
681_1638	chr12	56010139	56010539	+	1000	73.0	[]	[]	[8.903656]	[58]	[]	[56010293]
681_16382	chr8	85651133	85651533	+	655	30.0	[6.9631176]	[71]	[]	[]	[85651302]	[]
681_16383	chr8	90224333	90224733	+	819	30.0	[]	[]	[9.500589, 10.400684]	[158, 164]	[]	[90224560, 90224566]
681_16385	chr8	93435226	93435626	+	759	30.0	[6.8722434]	[132]	[]	[]	[93435456]	[]
681_16389	chr8	102729026	102729426	+	838	30.0	[]	[]	[10.225179]	[113]	[]	[102729197]
681_1639	chr14	75176472	75176872	+	1000	73.0	[8.514302, 8.423179]	[101, 108]	[]	[]	[75176645, 75176652]	[]
681_16390	chr8	109334228	109334628	+	883	30.0	[]	[]	[12.02581]	[129]	[]	[109334423]
681_16397	chr8	143544352	143544752	+	804	30.0	[11.2237425]	[149]	[]	[]	[143544510]	[]
681_16399	chr8	144147960	144148360	+	885	30.0	[]	[]	[12.716828]	[217]	[]	[144148205]
681_164	chr7	129785029	129785429	+	1000	193.0	[]	[]	[15.375314]	[98]	[]	[129785227]
681_1640	chr16	2536369	2536769	+	1000	73.0	[12.02581, 12.02581, 8.49737]	[113, 120, 127]	[]	[]	[2536573, 2536580, 2536587]	[]
681_16400	chr8	144429127	144429527	+	765	30.0	[]	[]	[6.9182286]	[150]	[]	[144429348]
681_16401	chr8	144513250	144513650	+	853	30.0	[10.465072]	[142]	[]	[]	[144513477]	[]
681_16403	chr9	35882223	35882623	+	654	30.0	[15.375314]	[139]	[]	[]	[35882454]	[]
681_16404	chr9	37486498	37486898	+	633	30.0	[]	[]	[7.608377]	[198]	[]	[37486726]
681_16407	chr9	98534082	98534482	+	797	30.0	[]	[]	[12.623525]	[89]	[]	[98534269]
681_16408	chr9	98983829	98984229	+	576	30.0	[10.046241, 11.846873, 10.026865]	[142, 149, 192]	[]	[]	[98984027, 98984034, 98984077]	[]
681_16409	chr9	100620572	100620972	+	823	30.0	[15.375314, 10.016101]	[196, 203]	[6.966994]	[132]	[100620795, 100620802]	[100620731]
681_1641	chr16	89926301	89926701	+	1000	73.0	[]	[]	[8.164407, 7.417145]	[98, 110]	[]	[89926499, 89926511]
681_16410	chr9	101840614	101841014	+	755	30.0	[]	[]	[9.367325]	[128]	[]	[101840832]
681_16411	chr9	112380084	112380484	+	872	30.0	[7.702022]	[140]	[6.9793944]	[109]	[112380310]	[112380279]
681_16413	chr9	114581558	114581958	+	798	30.0	[12.623525]	[165]	[6.7563543, 6.7259293]	[159, 222]	[114581741]	[114581735, 114581798]
681_16415	chr9	122684848	122685248	+	859	30.0	[]	[]	[8.9075985]	[123]	[]	[122685064]
681_16417	chr9	125235203	125235603	+	873	30.0	[9.6081915]	[213]	[]	[]	[125235429]	[]
681_16420	chr9	127921530	127921930	+	822	30.0	[10.026865]	[108]	[]	[]	[127921734]	[]
681_16421	chr9	128163107	128163507	+	683	30.0	[6.9631176]	[145]	[]	[]	[128163345]	[]
681_16424	chr9	128224043	128224443	+	836	30.0	[8.196144, 11.846873]	[108, 173]	[]	[]	[128224209, 128224274]	[]
681_16429	chr9	129029258	129029658	+	812	30.0	[12.716828]	[69]	[]	[]	[129029420]	[]
681_1643	chr19	10811723	10812123	+	1000	73.0	[]	[]	[7.893332]	[145]	[]	[10811931]
681_16431	chr9	129838619	129839019	+	829	30.0	[9.066098]	[117]	[]	[]	[129838808]	[]
681_16432	chr9	129887386	129887786	+	827	30.0	[10.510934]	[162]	[6.7065535]	[150]	[129887580]	[129887568]
681_16435	chr9	136546185	136546585	+	657	30.0	[7.2561]	[116]	[]	[]	[136546360]	[]
681_16439	chrUn_GL000219v1	40141	40541	+	885	30.0	[9.28672]	[137]	[]	[]	[40368]	[]
681_1644	chr19	14574273	14574673	+	1000	73.0	[]	[]	[13.574681, 7.702022]	[133, 140]	[]	[14574496, 14574503]
681_16441	chrX	3814898	3815298	+	736	30.0	[7.1165414]	[66]	[]	[]	[3815057]	[]
681_16447	chrX	155270972	155271372	+	833	30.0	[7.415039]	[85]	[]	[]	[155271149]	[]
681_16449	chr1	2053478	2053878	+	645	29.0	[7.730097]	[144]	[10.466044, 10.314935]	[214, 221]	[2053635]	[2053705, 2053712]
681_1645	chr19	17097566	17097966	+	1000	73.0	[]	[]	[13.574681]	[128]	[]	[17097790]
681_16453	chr1	7616317	7616717	+	751	29.0	[]	[]	[8.003375]	[92]	[]	[7616494]
681_16455	chr1	8563909	8564309	+	754	29.0	[6.7563543, 7.8524485]	[93, 105]	[]	[]	[8564092, 8564104]	[]
681_16458	chr1	8988008	8988408	+	744	29.0	[]	[]	[7.473389]	[73]	[]	[8988179]
681_16459	chr1	9110726	9111126	+	740	29.0	[7.2062984]	[116]	[7.417145]	[191]	[9110883]	[9110958]
681_1646	chr19	39254419	39254819	+	1000	73.0	[]	[]	[7.713283, 7.897818]	[106, 136]	[]	[39254582, 39254612]
681_16461	chr1	11690284	11690684	+	779	29.0	[]	[]	[8.176768, 13.574681, 8.600052]	[78, 133, 152]	[]	[11690437, 11690492, 11690511]
681_16462	chr1	11787365	11787765	+	796	29.0	[6.9495254]	[238]	[]	[]	[11787606]	[]
681_16463	chr1	11807107	11807507	+	823	29.0	[7.8784423, 8.423179]	[87, 94]	[]	[]	[11807277, 11807284]	[]
681_16469	chr1	12510507	12510907	+	796	29.0	[6.7259293]	[150]	[]	[]	[12510698]	[]
681_1647	chr19	44913920	44914320	+	1000	73.0	[10.225179]	[95]	[]	[]	[44914110]	[]
681_16472	chr1	15501385	15501785	+	560	29.0	[8.151893]	[69]	[]	[]	[15501552]	[]
681_16476	chr1	16366280	16366680	+	768	29.0	[10.016101]	[190]	[]	[]	[16366522]	[]
681_16479	chr1	17452631	17453031	+	600	29.0	[]	[]	[7.874239]	[127]	[]	[17452851]
681_1648	chr19	51904778	51905178	+	1000	73.0	[7.695302]	[103]	[]	[]	[51904981]	[]
681_16484	chr1	21903933	21904333	+	832	29.0	[]	[]	[8.196144]	[83]	[]	[21904113]
681_16488	chr1	26114210	26114610	+	556	29.0	[8.710301]	[139]	[]	[]	[26114394]	[]
681_16489	chr1	26431255	26431655	+	760	29.0	[8.767773]	[98]	[]	[]	[26431444]	[]
681_1649	chr2	20593472	20593872	+	1000	73.0	[9.274022]	[110]	[]	[]	[20593671]	[]
681_16490	chr1	26747118	26747518	+	700	29.0	[12.623525]	[162]	[]	[]	[26747341]	[]
681_16491	chr1	27514102	27514502	+	833	29.0	[]	[]	[9.103049]	[110]	[]	[27514261]
681_16492	chr1	28248845	28249245	+	559	29.0	[]	[]	[10.07563]	[131]	[]	[28249059]
681_16495	chr1	28885605	28886005	+	648	29.0	[]	[]	[6.9631176]	[124]	[]	[28885804]
681_16496	chr1	28915308	28915708	+	752	29.0	[]	[]	[8.615948]	[102]	[]	[28915500]
681_16497	chr1	29379488	29379888	+	629	29.0	[]	[]	[8.151893]	[169]	[]	[29379738]
681_16498	chr1	30184498	30184898	+	658	29.0	[9.709666]	[138]	[]	[]	[30184723]	[]
681_16499	chr1	30765983	30766383	+	817	29.0	[]	[]	[8.182312]	[216]	[]	[30766218]
681_165	chr17	81101629	81102029	+	1000	192.0	[10.225179]	[98]	[]	[]	[81101800]	[]
681_16500	chr1	30776533	30776933	+	796	29.0	[9.075708]	[123]	[]	[]	[30776747]	[]
681_1651	chr2	191867074	191867474	+	1000	73.0	[13.05917]	[70]	[8.718861]	[136]	[191867237]	[191867303]
681_16511	chr1	39818203	39818603	+	781	29.0	[]	[]	[6.749954]	[146]	[]	[39818446]
681_16515	chr1	43073098	43073498	+	777	29.0	[10.016101]	[202]	[]	[]	[43073344]	[]
681_16518	chr1	45536863	45537263	+	732	29.0	[7.1165414]	[186]	[7.96282]	[137]	[45537080]	[45537031]
681_1652	chr20	35954545	35954945	+	1000	73.0	[15.375314, 7.051181]	[117, 147]	[]	[]	[35954755, 35954785]	[]
681_16520	chr1	46437725	46438125	+	716	29.0	[6.7671185, 8.767773, 6.7890983]	[55, 77, 96]	[]	[]	[46437877, 46437899, 46437918]	[]
681_16534	chr1	112698406	112698806	+	763	29.0	[]	[]	[12.716828]	[145]	[]	[112698604]
681_16537	chr1	116501038	116501438	+	786	29.0	[7.264312]	[101]	[]	[]	[116501231]	[]
681_16540	chr1	145982260	145982660	+	845	29.0	[10.466044, 12.623525]	[141, 156]	[]	[]	[145982478, 145982493]	[]
681_16541	chr1	150293550	150293950	+	795	29.0	[]	[]	[10.046241]	[136]	[]	[150293758]
681_16544	chr1	153649088	153649488	+	546	29.0	[7.1165414]	[110]	[]	[]	[153649277]	[]
681_16547	chr1	155938055	155938455	+	724	29.0	[6.7890983]	[128]	[]	[]	[155938242]	[]
681_16551	chr1	156608149	156608549	+	817	29.0	[8.477994]	[146]	[]	[]	[156608315]	[]
681_16554	chr1	161166951	161167351	+	798	29.0	[6.8441687]	[177]	[]	[]	[161167174]	[]
681_16555	chr1	162417670	162418070	+	744	29.0	[15.375314]	[122]	[]	[]	[162417875]	[]
681_16559	chr1	169106195	169106595	+	834	29.0	[]	[]	[13.574681]	[154]	[]	[169106417]
681_16561	chr1	173825837	173826237	+	781	29.0	[]	[]	[7.807559]	[152]	[]	[173826003]
681_16562	chr1	174140362	174140762	+	649	29.0	[]	[]	[10.046241]	[127]	[]	[174140588]
681_16563	chr1	180609529	180609929	+	722	29.0	[12.93745]	[105]	[8.028181]	[83]	[180609719]	[180609697]
681_16564	chr1	184975128	184975528	+	563	29.0	[]	[]	[7.473389, 10.400684]	[139, 207]	[]	[184975286, 184975354]
681_16565	chr1	198598805	198599205	+	627	29.0	[]	[]	[12.93745]	[182]	[]	[198599025]
681_16568	chr1	202203298	202203698	+	716	29.0	[8.477994]	[105]	[]	[]	[202203478]	[]
681_16570	chr1	205066457	205066857	+	707	29.0	[]	[]	[8.917174]	[162]	[]	[205066659]
681_16577	chr1	222589724	222590124	+	745	29.0	[8.453737]	[134]	[]	[]	[222589933]	[]
681_16578	chr1	228099635	228100035	+	664	29.0	[]	[]	[13.574681]	[139]	[]	[228099846]
681_1658	chr4	32002029	32002429	+	1000	73.0	[]	[]	[15.375314]	[120]	[]	[32002239]
681_16580	chr1	228340482	228340882	+	725	29.0	[11.531816]	[162]	[]	[]	[228340703]	[]
681_16583	chr1	231323189	231323589	+	581	29.0	[]	[]	[7.730097]	[125]	[]	[231323384]
681_16587	chr1	244304220	244304620	+	625	29.0	[6.726127, 7.415039]	[164, 208]	[]	[]	[244304412, 244304456]	[]
681_1659	chr5	94095100	94095500	+	1000	73.0	[]	[]	[11.846873]	[133]	[]	[94095307]
681_16591	chr10	3551786	3552186	+	795	29.0	[]	[]	[9.6081915]	[89]	[]	[3551962]
681_16596	chr10	22718636	22719036	+	721	29.0	[8.589731, 11.816733]	[62, 131]	[]	[]	[22718791, 22718860]	[]
681_16599	chr10	32893355	32893755	+	732	29.0	[13.574681]	[115]	[]	[]	[32893570]	[]
681_166	chr11	66438649	66439049	+	1000	190.0	[]	[]	[13.574681, 7.554178]	[83, 90]	[]	[66438829, 66438836]
681_16600	chr10	40945994	40946394	+	771	29.0	[6.836158]	[117]	[]	[]	[40946211]	[]
681_16608	chr10	46551726	46552126	+	806	29.0	[8.196144]	[117]	[]	[]	[46551915]	[]
681_16609	chr10	48655664	48656064	+	696	29.0	[]	[]	[7.7873144]	[209]	[]	[48655882]
681_1661	chr6	43631054	43631454	+	1000	73.0	[7.5025806]	[77]	[8.589731, 11.258537]	[106, 120]	[43631215]	[43631244, 43631258]
681_16610	chr10	50364292	50364692	+	774	29.0	[8.780026]	[108]	[]	[]	[50364497]	[]
681_16613	chr10	69213675	69214075	+	755	29.0	[9.215672]	[124]	[]	[]	[69213892]	[]
681_16615	chr10	70665758	70666158	+	814	29.0	[8.67447]	[158]	[7.8676777, 9.965039]	[102, 178]	[70665968]	[70665912, 70665988]
681_16616	chr10	70685502	70685902	+	757	29.0	[]	[]	[9.095084]	[189]	[]	[70685698]
681_16618	chr10	70852074	70852474	+	675	29.0	[11.341519]	[103]	[]	[]	[70852253]	[]
681_1662	chr6	167840161	167840561	+	1000	73.0	[11.846873, 8.718861]	[100, 107]	[]	[]	[167840354, 167840361]	[]
681_16620	chr10	71270269	71270669	+	762	29.0	[]	[]	[9.367325, 7.710721]	[87, 125]	[]	[71270449, 71270487]
681_16623	chr10	72941032	72941432	+	794	29.0	[]	[]	[9.500589]	[107]	[]	[72941201]
681_16624	chr10	73644106	73644506	+	701	29.0	[6.731148, 10.026865]	[116, 163]	[]	[]	[73644286, 73644333]	[]
681_16629	chr10	79443781	79444181	+	666	29.0	[9.188388]	[147]	[]	[]	[79443937]	[]
681_16630	chr10	80144031	80144431	+	694	29.0	[]	[]	[8.514302]	[161]	[]	[80144254]
681_16633	chr10	97807794	97808194	+	632	29.0	[8.49737]	[146]	[13.574681]	[130]	[97808037]	[97808021]
681_16635	chr10	107025714	107026114	+	603	29.0	[]	[]	[8.423179]	[121]	[]	[107025931]
681_16636	chr10	113410908	113411308	+	800	29.0	[]	[]	[11.258537, 10.225179]	[87, 135]	[]	[113411073, 113411121]
681_16637	chr10	119185457	119185857	+	698	29.0	[15.375314]	[142]	[]	[]	[119185662]	[]
681_16639	chr11	820265	820665	+	763	29.0	[7.2750764, 8.176768]	[106, 126]	[]	[]	[820431, 820451]	[]
681_1664	chr7	141014742	141015142	+	1000	73.0	[8.780026]	[111]	[]	[]	[141014918]	[]
681_16644	chr11	3870923	3871323	+	802	29.0	[6.907464]	[82]	[]	[]	[3871096]	[]
681_16645	chr11	9003397	9003797	+	717	29.0	[]	[]	[9.169012]	[160]	[]	[9003647]
681_16647	chr11	12366220	12366620	+	784	29.0	[]	[]	[6.9376044]	[155]	[]	[12366431]
681_16648	chr11	13698410	13698810	+	799	29.0	[]	[]	[6.9793944, 6.907464]	[103, 125]	[]	[13698589, 13698611]
681_1665	chr8	124636593	124636993	+	1000	73.0	[6.8528676, 15.375314]	[73, 141]	[]	[]	[124636759, 124636827]	[]
681_16650	chr11	27412140	27412540	+	672	29.0	[]	[]	[15.375314]	[96]	[]	[27412315]
681_16659	chr11	59201359	59201759	+	588	29.0	[12.623525]	[101]	[7.7937036]	[137]	[59201557]	[59201593]
681_16665	chr11	64353679	64354079	+	723	29.0	[9.540887, 10.046241, 11.846873]	[102, 120, 171]	[9.215672]	[159]	[64353854, 64353872, 64353923]	[64353911]
681_1667	chr9	122099248	122099648	+	1000	73.0	[]	[]	[8.66444]	[112]	[]	[122099453]
681_16670	chr11	70312852	70313252	+	789	29.0	[]	[]	[13.574681]	[157]	[]	[70313029]
681_16671	chr11	72223552	72223952	+	780	29.0	[]	[]	[10.916196]	[103]	[]	[72223754]
681_16673	chr11	73981915	73982315	+	763	29.0	[]	[]	[10.822892]	[120]	[]	[73982118]
681_16675	chr11	75313897	75314297	+	725	29.0	[12.716828]	[111]	[]	[]	[75314081]	[]
681_16676	chr11	75723142	75723542	+	741	29.0	[7.355865]	[79]	[]	[]	[75723303]	[]
681_16681	chr11	118004919	118005319	+	786	29.0	[12.02581]	[133]	[]	[]	[118005090]	[]
681_16683	chr11	129895708	129896108	+	813	29.0	[9.445466]	[81]	[]	[]	[129895864]	[]
681_16688	chr12	47943909	47944309	+	804	29.0	[]	[]	[10.046241, 13.574681, 12.02581]	[128, 191, 198]	[]	[47944061, 47944124, 47944131]
681_16689	chr12	48890664	48891064	+	760	29.0	[]	[]	[10.016101]	[151]	[]	[48890915]
681_16691	chr12	50070558	50070958	+	819	29.0	[10.026865]	[190]	[]	[]	[50070795]	[]
681_16693	chr12	51894737	51895137	+	786	29.0	[8.903656]	[173]	[]	[]	[51894951]	[]
681_16694	chr12	51912271	51912671	+	806	29.0	[12.716828, 9.188388]	[137, 179]	[]	[]	[51912476, 51912518]	[]
681_16697	chr12	52903804	52904204	+	767	29.0	[]	[]	[6.9824934]	[155]	[]	[52904042]
681_16699	chr12	56145527	56145927	+	772	29.0	[]	[]	[7.807559]	[114]	[]	[56145738]
681_167	chr18	37270040	37270440	+	1000	190.0	[8.9727955]	[101]	[]	[]	[37270239]	[]
681_16700	chr12	57263776	57264176	+	546	29.0	[]	[]	[6.9182286, 6.907464]	[78, 164]	[]	[57263939, 57264025]
681_16701	chr12	57905311	57905711	+	605	29.0	[]	[]	[8.196144]	[157]	[]	[57905510]
681_16705	chr12	76158634	76159034	+	803	29.0	[]	[]	[7.6564493]	[161]	[]	[76158810]
681_1671	chrX	129954797	129955197	+	1000	73.0	[10.225179]	[84]	[11.846873]	[106]	[129954979]	[129955001]
681_16710	chr12	111409452	111409852	+	748	29.0	[]	[]	[7.5666924]	[100]	[]	[111409614]
681_16713	chr12	112373616	112374016	+	787	29.0	[]	[]	[13.574681]	[116]	[]	[112373787]
681_16718	chr12	122081981	122082381	+	805	29.0	[7.595884]	[123]	[]	[]	[122082134]	[]
681_1672	chr1	51954884	51955284	+	1000	72.0	[13.05917]	[153]	[11.846873]	[136]	[51955095]	[51955078]
681_16720	chr12	123582332	123582732	+	640	29.0	[7.699957]	[61]	[]	[]	[123582487]	[]
681_16721	chr12	123928921	123929321	+	778	29.0	[12.02581, 7.051181]	[129, 136]	[]	[]	[123929075, 123929082]	[]
681_16723	chr12	131896142	131896542	+	674	29.0	[10.916196]	[87]	[]	[]	[131896325]	[]
681_1673	chr1	111025113	111025513	+	1000	72.0	[]	[]	[7.881086]	[94]	[]	[111025288]
681_16730	chr13	80649936	80650336	+	632	29.0	[7.816506]	[70]	[]	[]	[80650105]	[]
681_16731	chr13	80657994	80658394	+	815	29.0	[]	[]	[6.9705763]	[173]	[]	[80658178]
681_16732	chr13	80664328	80664728	+	803	29.0	[]	[]	[7.807559]	[111]	[]	[80664495]
681_16738	chr13	90147799	90148199	+	776	29.0	[]	[]	[6.9793944]	[140]	[]	[90147953]
681_1674	chr1	224160310	224160710	+	1000	72.0	[9.064944, 6.731148]	[124, 168]	[]	[]	[224160499, 224160543]	[]
681_16742	chr13	90545132	90545532	+	732	29.0	[]	[]	[10.314935]	[165]	[]	[90545358]
681_16748	chr13	90675762	90676162	+	782	29.0	[]	[]	[7.527175]	[170]	[]	[90675943]
681_1675	chr1	231022509	231022909	+	1000	72.0	[]	[]	[13.574681]	[79]	[]	[231022681]
681_16751	chr13	90874173	90874573	+	663	29.0	[]	[]	[6.966994]	[161]	[]	[90874405]
681_16752	chr13	90900292	90900692	+	589	29.0	[7.730097]	[159]	[]	[]	[90900534]	[]
681_1676	chr1	245042641	245043041	+	1000	72.0	[11.816733]	[63]	[]	[]	[245042793]	[]
681_16760	chr13	91271858	91272258	+	800	29.0	[]	[]	[9.408441]	[202]	[]	[91272069]
