#PeakID(python identify_motif.py ./ENCODE_processed_files/ZEB2_idr.fa ZEB2 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
466_14461	chr7	98400881	98401281	+	1000	46.5	[11.465191]	[139]	[]	[]	[98401115]	[]
466_14466	chr7	105876136	105876536	+	1000	46.5	[]	[]	[6.53501]	[99]	[]	[105876320]
466_14468	chr7	127392305	127392705	+	1000	46.5	[11.465191]	[94]	[]	[]	[127392486]	[]
466_1447	chr1	47181239	47181639	+	1000	121.0	[]	[]	[11.465191]	[154]	[]	[47181445]
466_14500	chr1	7827196	7827596	+	1000	46.0	[6.672127]	[135]	[]	[]	[7827379]	[]
466_14506	chr1	20661166	20661566	+	910	46.0	[6.9489045]	[206]	[6.9489045]	[206]	[20661377]	[20661377]
466_14514	chr1	47192887	47193287	+	1000	46.0	[]	[]	[11.465191]	[90]	[]	[47193071]
466_14521	chr1	109546273	109546673	+	1000	46.0	[]	[]	[11.465191]	[109]	[]	[109546444]
466_1453	chr17	47265958	47266358	+	1000	121.0	[]	[]	[11.465191]	[62]	[]	[47266112]
466_14530	chr1	171781311	171781711	+	1000	46.0	[]	[]	[6.53501]	[212]	[]	[171781531]
466_14537	chr1	204725988	204726388	+	1000	46.0	[]	[]	[6.975399, 11.465191]	[144, 179]	[]	[204726185, 204726220]
466_14542	chr1	227318807	227319207	+	1000	46.0	[6.975399]	[147]	[]	[]	[227319015]	[]
466_14545	chr1	234553439	234553839	+	1000	46.0	[]	[]	[6.672127]	[79]	[]	[234553590]
466_14546	chr10	5681872	5682272	+	1000	46.0	[11.465191]	[122]	[]	[]	[5682083]	[]
466_14556	chr10	95560559	95560959	+	1000	46.0	[11.465191]	[201]	[]	[]	[95560796]	[]
466_1456	chr5	149466397	149466797	+	1000	121.0	[]	[]	[6.672127]	[110]	[]	[149466596]
466_14561	chr11	20363867	20364267	+	1000	46.0	[6.9489045]	[187]	[11.465191, 6.9489045]	[153, 187]	[20364091]	[20364057, 20364091]
466_14566	chr11	118565834	118566234	+	1000	46.0	[6.672127]	[70]	[]	[]	[118565992]	[]
466_14576	chr12	56985694	56986094	+	891	46.0	[11.465191]	[109]	[11.465191]	[97]	[56985892]	[56985880]
466_14583	chr12	109093330	109093730	+	1000	46.0	[11.465191]	[147]	[]	[]	[109093567]	[]
466_14595	chr13	113624595	113624995	+	1000	46.0	[6.9489045]	[220]	[11.465191, 11.465191, 11.465191, 6.9489045, 11.465191, 11.465191]	[165, 198, 209, 220, 230, 241]	[113624824]	[113624769, 113624802, 113624813, 113624824, 113624834, 113624845]
466_14597	chr14	100662757	100663157	+	1000	46.0	[]	[]	[6.975399]	[126]	[]	[100662974]
466_1460	chr12	113231569	113231969	+	1000	120.5	[]	[]	[6.975399]	[148]	[]	[113231799]
466_1461	chr16	81077140	81077540	+	1000	120.5	[6.672127]	[149]	[]	[]	[81077386]	[]
466_14612	chr16	68756112	68756512	+	1000	46.0	[11.465191]	[166]	[]	[]	[68756350]	[]
466_14619	chr17	8631190	8631590	+	1000	46.0	[11.465191]	[170]	[]	[]	[8631425]	[]
466_14621	chr17	27957068	27957468	+	1000	46.0	[]	[]	[11.465191]	[80]	[]	[27957226]
466_14625	chr17	40345572	40345972	+	1000	46.0	[11.465191]	[136]	[]	[]	[40345780]	[]
466_14626	chr17	41689174	41689574	+	1000	46.0	[6.672127, 6.672127]	[76, 120]	[]	[]	[41689339, 41689383]	[]
466_14638	chr19	7551212	7551612	+	1000	46.0	[6.53501]	[82]	[11.465191]	[137]	[7551380]	[7551435]
466_14658	chr2	8803929	8804329	+	1000	46.0	[]	[]	[11.465191]	[104]	[]	[8804097]
466_14659	chr2	10283413	10283813	+	1000	46.0	[11.465191]	[151]	[]	[]	[10283597]	[]
466_14668	chr2	112646797	112647197	+	1000	46.0	[]	[]	[11.465191]	[122]	[]	[112646989]
466_1467	chr1	17675680	17676080	+	1000	120.0	[]	[]	[11.465191, 11.465191, 11.465191, 11.465191, 6.53501]	[112, 124, 136, 148, 154]	[]	[17675839, 17675851, 17675863, 17675875, 17675881]
466_14673	chr2	197515658	197516058	+	1000	46.0	[6.672127]	[127]	[]	[]	[197515882]	[]
466_14675	chr2	230010423	230010823	+	1000	46.0	[]	[]	[6.975399]	[95]	[]	[230010599]
466_1468	chr1	26336514	26336914	+	1000	120.0	[11.465191]	[146]	[]	[]	[26336730]	[]
466_14686	chr22	17785209	17785609	+	1000	46.0	[6.53501]	[81]	[]	[]	[17785376]	[]
466_147	chr9	130941023	130941423	+	1000	281.0	[6.53501]	[136]	[11.465191]	[121]	[130941257]	[130941242]
466_1471	chr10	27504024	27504424	+	1000	120.0	[6.672127]	[125]	[]	[]	[27504248]	[]
466_14710	chr3	67030832	67031232	+	1000	46.0	[6.53501]	[100]	[]	[]	[67031002]	[]
466_14713	chr3	129893722	129894122	+	1000	46.0	[]	[]	[6.975399, 6.975399]	[108, 128]	[]	[129893905, 129893925]
466_14723	chr3	197959820	197960220	+	1000	46.0	[6.9489045]	[118]	[6.9489045]	[118]	[197960019]	[197960019]
466_14730	chr4	70704267	70704667	+	1000	46.0	[11.465191]	[150]	[6.975399]	[109]	[70704514]	[70704473]
466_14733	chr4	112523764	112524164	+	1000	46.0	[11.465191]	[140]	[]	[]	[112523965]	[]
466_14736	chr4	169079971	169080371	+	1000	46.0	[]	[]	[11.465191]	[111]	[]	[169080171]
466_14747	chr5	164487861	164488261	+	1000	46.0	[]	[]	[6.53501]	[93]	[]	[164488042]
466_14753	chr6	7137507	7137907	+	1000	46.0	[6.9489045]	[136]	[6.9489045]	[136]	[7137703]	[7137703]
466_14772	chr6	136644124	136644524	+	1000	46.0	[6.53501, 6.975399]	[85, 89]	[6.975399]	[137]	[136644308, 136644312]	[136644360]
466_14797	chr7	131326796	131327196	+	1000	46.0	[]	[]	[6.975399]	[89]	[]	[131326972]
466_14816	chr8	127993122	127993522	+	1000	46.0	[11.465191]	[159]	[]	[]	[127993343]	[]
466_14828	chrX	48794358	48794758	+	1000	46.0	[]	[]	[6.672127, 11.465191]	[123, 162]	[]	[48794570, 48794609]
466_14856	chr1	161200369	161200769	+	1000	45.5	[6.975399]	[129]	[]	[]	[161200590]	[]
466_1486	chr4	54542453	54542853	+	1000	119.5	[]	[]	[11.465191]	[109]	[]	[54542639]
466_14873	chr1	230977797	230978197	+	1000	45.5	[11.465191]	[61]	[]	[]	[230977951]	[]
466_14890	chr10	97407389	97407789	+	1000	45.5	[11.465191]	[88]	[]	[]	[97407570]	[]
466_14899	chr11	18589095	18589495	+	1000	45.5	[]	[]	[11.465191]	[145]	[]	[18589296]
466_149	chr1	163321633	163322033	+	1000	277.5	[11.465191]	[167]	[]	[]	[163321875]	[]
466_14902	chr11	34830016	34830416	+	1000	45.5	[11.465191]	[96]	[]	[]	[34830202]	[]
466_1491	chr6	159726793	159727193	+	1000	119.5	[]	[]	[11.465191]	[147]	[]	[159727028]
466_1493	chr9	111630973	111631373	+	1000	119.5	[]	[]	[11.465191]	[81]	[]	[111631152]
466_14945	chr15	82646975	82647375	+	1000	45.5	[6.975399]	[155]	[]	[]	[82647206]	[]
466_14952	chr16	21188211	21188611	+	1000	45.5	[11.465191, 6.9489045]	[101, 168]	[6.9489045]	[168]	[21188390, 21188457]	[21188457]
466_14964	chr17	19508352	19508752	+	1000	45.5	[11.465191, 11.465191]	[104, 116]	[]	[]	[19508539, 19508551]	[]
466_14979	chr17	75267566	75267966	+	1000	45.5	[]	[]	[6.975399]	[97]	[]	[75267749]
466_14981	chr17	77318675	77319075	+	1000	45.5	[11.465191]	[83]	[6.975399]	[74]	[77318839]	[77318830]
466_14986	chr18	59918318	59918718	+	1000	45.5	[]	[]	[6.53501]	[176]	[]	[59918562]
466_14988	chr19	2151622	2152022	+	1000	45.5	[]	[]	[11.465191]	[218]	[]	[2151857]
466_15024	chr2	74482981	74483381	+	1000	45.5	[11.465191]	[129]	[6.53501]	[66]	[74483196]	[74483133]
466_15026	chr2	88600111	88600511	+	1000	45.5	[6.672127]	[138]	[6.975399]	[73]	[88600340]	[88600275]
466_15028	chr2	96874234	96874634	+	1000	45.5	[]	[]	[6.975399]	[163]	[]	[96874468]
466_1503	chr16	69404492	69404892	+	1000	119.0	[11.465191]	[155]	[]	[]	[69404739]	[]
466_15030	chr2	111168518	111168918	+	1000	45.5	[]	[]	[11.465191]	[192]	[]	[111168756]
466_15038	chr2	208985667	208986067	+	984	45.5	[]	[]	[6.975399]	[140]	[]	[208985905]
466_15041	chr2	241227980	241228380	+	1000	45.5	[6.975399]	[121]	[]	[]	[241228194]	[]
466_15042	chr2	242088635	242089035	+	1000	45.5	[]	[]	[11.465191, 6.53501, 11.465191]	[122, 151, 180]	[]	[242088828, 242088857, 242088886]
466_15052	chr20	62382738	62383138	+	1000	45.5	[6.53501]	[63]	[6.975399]	[110]	[62382898]	[62382945]
466_15057	chr22	22102950	22103350	+	1000	45.5	[]	[]	[6.672127]	[74]	[]	[22103116]
466_15059	chr22	31749892	31750292	+	1000	45.5	[6.975399]	[81]	[]	[]	[31750069]	[]
466_15061	chr22	41523605	41524005	+	1000	45.5	[]	[]	[11.465191]	[86]	[]	[41523781]
466_15065	chr3	13890498	13890898	+	1000	45.5	[]	[]	[6.672127]	[61]	[]	[13890651]
466_15074	chr3	152204979	152205379	+	1000	45.5	[6.975399]	[148]	[]	[]	[152205197]	[]
466_15081	chr4	6732573	6732973	+	1000	45.5	[]	[]	[11.465191]	[60]	[]	[6732726]
466_151	chr19	11209880	11210280	+	1000	277.0	[11.465191, 11.465191, 11.465191, 11.465191, 11.465191, 6.975399]	[60, 76, 108, 124, 139, 155]	[]	[]	[11210033, 11210049, 11210081, 11210097, 11210112, 11210128]	[]
466_15108	chr6	15440000	15440400	+	991	45.5	[]	[]	[11.465191]	[164]	[]	[15440249]
466_15118	chr6	34740402	34740802	+	1000	45.5	[11.465191]	[80]	[]	[]	[34740564]	[]
466_15119	chr6	36660867	36661267	+	1000	45.5	[6.9489045]	[110]	[6.9489045]	[110]	[36661031]	[36661031]
466_1512	chr6	26216931	26217331	+	1000	119.0	[6.975399]	[148]	[]	[]	[26217125]	[]
466_15130	chr6	147194830	147195230	+	1000	45.5	[]	[]	[6.672127]	[122]	[]	[147194991]
466_15133	chr6	159042553	159042953	+	1000	45.5	[]	[]	[11.465191]	[157]	[]	[159042795]
466_15137	chr7	604412	604812	+	1000	45.5	[6.9489045]	[105]	[6.9489045]	[105]	[604569]	[604569]
466_1515	chr8	123182418	123182818	+	1000	119.0	[]	[]	[11.465191]	[146]	[]	[123182623]
466_15159	chr7	157318388	157318788	+	1000	45.5	[11.465191]	[138]	[]	[]	[157318603]	[]
466_15173	chr8	73878612	73879012	+	1000	45.5	[11.465191]	[101]	[]	[]	[73878805]	[]
466_15177	chr8	144448335	144448735	+	1000	45.5	[6.672127]	[73]	[]	[]	[144448490]	[]
466_15195	chrX	48897817	48898217	+	1000	45.5	[6.975399]	[178]	[6.975399]	[126]	[48898064]	[48898012]
466_15203	chr1	6475453	6475853	+	1000	45.0	[]	[]	[11.465191, 6.975399]	[87, 94]	[]	[6475621, 6475628]
466_1521	chr21	43921990	43922390	+	1000	118.5	[6.672127, 6.9489045]	[67, 123]	[6.9489045]	[123]	[43922141, 43922197]	[43922197]
466_15210	chr1	23371064	23371464	+	1000	45.0	[11.465191]	[75]	[]	[]	[23371230]	[]
466_15212	chr1	25246133	25246533	+	1000	45.0	[]	[]	[6.975399]	[115]	[]	[25246297]
466_15214	chr1	26914127	26914527	+	1000	45.0	[]	[]	[11.465191, 11.465191]	[113, 128]	[]	[26914286, 26914301]
466_15230	chr1	95072774	95073174	+	1000	45.0	[]	[]	[6.672127]	[102]	[]	[95072960]
466_15234	chr1	113874518	113874918	+	1000	45.0	[11.465191]	[112]	[]	[]	[113874708]	[]
466_15236	chr1	116485208	116485608	+	1000	45.0	[11.465191]	[136]	[]	[]	[116485431]	[]
466_15241	chr1	155977330	155977730	+	1000	45.0	[]	[]	[11.465191]	[156]	[]	[155977555]
466_15242	chr1	156282870	156283270	+	1000	45.0	[]	[]	[11.465191]	[124]	[]	[156283063]
466_15249	chr1	168082129	168082529	+	1000	45.0	[]	[]	[11.465191]	[138]	[]	[168082304]
466_15258	chr1	228290506	228290906	+	720	45.0	[11.465191]	[152]	[]	[]	[228290717]	[]
466_15270	chr10	73816977	73817377	+	1000	45.0	[6.975399]	[172]	[]	[]	[73817211]	[]
466_15281	chr11	65558449	65558849	+	1000	45.0	[11.465191]	[56]	[]	[]	[65558601]	[]
466_15289	chr11	96338968	96339368	+	1000	45.0	[11.465191]	[115]	[]	[]	[96339156]	[]
466_15294	chr12	28190475	28190875	+	1000	45.0	[]	[]	[6.975399]	[130]	[]	[28190639]
466_15295	chr12	45215738	45216138	+	1000	45.0	[6.9489045]	[170]	[6.9489045]	[170]	[45215937]	[45215937]
466_15299	chr12	54216021	54216421	+	1000	45.0	[11.465191]	[124]	[11.465191]	[101]	[54216205]	[54216182]
466_15302	chr12	122527119	122527519	+	1000	45.0	[]	[]	[11.465191]	[187]	[]	[122527349]
466_15311	chr14	22598778	22599178	+	1000	45.0	[11.465191]	[125]	[6.53501]	[131]	[22598985]	[22598991]
466_15313	chr14	58244973	58245373	+	1000	45.0	[]	[]	[11.465191]	[105]	[]	[58245154]
466_15325	chr16	28491922	28492322	+	1000	45.0	[6.672127, 6.9489045]	[72, 91]	[6.9489045]	[91]	[28492080, 28492099]	[28492099]
466_1534	chr19	17606138	17606538	+	1000	118.0	[11.465191, 6.53501]	[85, 165]	[]	[]	[17606309, 17606389]	[]
466_15342	chr17	28189679	28190079	+	1000	45.0	[6.672127]	[132]	[]	[]	[28189895]	[]
466_15350	chr17	63405780	63406180	+	1000	45.0	[]	[]	[6.975399]	[179]	[]	[63406012]
466_15353	chr17	67717573	67717973	+	1000	45.0	[11.465191]	[186]	[]	[]	[67717776]	[]
466_15372	chr19	39402360	39402760	+	1000	45.0	[6.672127]	[100]	[]	[]	[39402511]	[]
466_15392	chr2	74120196	74120596	+	1000	45.0	[6.53501]	[173]	[]	[]	[74120440]	[]
466_15412	chr20	47317184	47317584	+	1000	45.0	[]	[]	[6.975399]	[111]	[]	[47317384]
466_15414	chr20	63949137	63949537	+	1000	45.0	[]	[]	[11.465191]	[107]	[]	[63949333]
466_15427	chr22	23156275	23156675	+	1000	45.0	[]	[]	[11.465191, 11.465191]	[92, 145]	[]	[23156448, 23156501]
466_15428	chr22	49528656	49529056	+	1000	45.0	[6.975399, 11.465191]	[89, 134]	[11.465191, 11.465191]	[97, 142]	[49528838, 49528883]	[49528846, 49528891]
466_15445	chr3	156555144	156555544	+	1000	45.0	[6.9489045, 11.465191]	[96, 109]	[6.9489045]	[96]	[156555325, 156555338]	[156555325]
466_15447	chr3	177195071	177195471	+	1000	45.0	[]	[]	[6.975399]	[180]	[]	[177195311]
466_15454	chr4	47463426	47463826	+	1000	45.0	[11.465191]	[60]	[]	[]	[47463583]	[]
466_15458	chr4	109125002	109125402	+	1000	45.0	[]	[]	[6.975399]	[133]	[]	[109125204]
466_15478	chr5	181184113	181184513	+	1000	45.0	[6.9489045]	[74]	[6.9489045]	[74]	[181184277]	[181184277]
466_15481	chr6	6858559	6858959	+	1000	45.0	[6.9489045]	[150]	[6.9489045]	[150]	[6858797]	[6858797]
466_15533	chr7	139230848	139231248	+	1000	45.0	[]	[]	[6.672127]	[117]	[]	[139231018]
466_15538	chr7	155644889	155645289	+	1000	45.0	[6.975399]	[158]	[]	[]	[155645128]	[]
466_15541	chr8	41792141	41792541	+	1000	45.0	[6.53501]	[144]	[]	[]	[41792349]	[]
466_15547	chr8	100847326	100847726	+	1000	45.0	[6.9489045]	[142]	[6.9489045]	[142]	[100847555]	[100847555]
466_15550	chr8	123616668	123617068	+	1000	45.0	[11.465191]	[90]	[]	[]	[123616824]	[]
466_15606	chr1	151056497	151056897	+	1000	44.5	[6.975399]	[62]	[]	[]	[151056648]	[]
466_15612	chr1	180156646	180157046	+	1000	44.5	[6.53501]	[111]	[]	[]	[180156808]	[]
466_15626	chr1	243267943	243268343	+	1000	44.5	[6.975399]	[138]	[]	[]	[243268171]	[]
466_15627	chr1	246168972	246169372	+	1000	44.5	[6.53501]	[120]	[]	[]	[246169131]	[]
466_15634	chr10	47326847	47327247	+	711	44.5	[6.9489045]	[141]	[6.9489045]	[141]	[47327064]	[47327064]
466_15641	chr10	102854133	102854533	+	1000	44.5	[11.465191]	[140]	[]	[]	[102854364]	[]
466_15649	chr11	47215123	47215523	+	1000	44.5	[]	[]	[6.672127]	[244]	[]	[47215371]
466_15653	chr11	62600576	62600976	+	1000	44.5	[]	[]	[6.975399]	[152]	[]	[62600801]
466_1567	chr14	100871535	100871935	+	1000	117.0	[11.465191]	[121]	[]	[]	[100871748]	[]
466_15672	chr11	118917779	118918179	+	945	44.5	[11.465191, 11.465191]	[105, 119]	[]	[]	[118917973, 118917987]	[]
466_1568	chr17	58417445	58417845	+	1000	117.0	[6.975399]	[68]	[]	[]	[58417610]	[]
466_15696	chr12	133080809	133081209	+	1000	44.5	[11.465191]	[190]	[]	[]	[133081023]	[]
466_15698	chr13	27177923	27178323	+	1000	44.5	[6.9489045, 11.465191]	[95, 112]	[6.9489045]	[95]	[27178087, 27178104]	[27178087]
466_15707	chr14	77043963	77044363	+	1000	44.5	[]	[]	[11.465191]	[158]	[]	[77044161]
466_15711	chr15	63896100	63896500	+	1000	44.5	[]	[]	[11.465191]	[146]	[]	[63896335]
466_15742	chr17	45197772	45198172	+	1000	44.5	[11.465191]	[108]	[]	[]	[45197971]	[]
466_15786	chr19	49878004	49878404	+	1000	44.5	[6.975399]	[109]	[]	[]	[49878167]	[]
466_15793	chr2	38875762	38876162	+	1000	44.5	[11.465191]	[168]	[6.672127]	[130]	[38876009]	[38875971]
466_15802	chr2	127415802	127416202	+	1000	44.5	[6.9489045, 11.465191]	[95, 111]	[6.672127, 6.9489045, 6.672127]	[89, 95, 127]	[127415960, 127415976]	[127415954, 127415960, 127415992]
466_15808	chr2	201780665	201781065	+	1000	44.5	[11.465191]	[136]	[]	[]	[201780874]	[]
466_15824	chr21	37514238	37514638	+	1000	44.5	[6.975399]	[67]	[]	[]	[37514393]	[]
466_15827	chr21	45235511	45235911	+	737	44.5	[11.465191]	[117]	[]	[]	[45235713]	[]
466_1583	chr3	46987519	46987919	+	1000	116.5	[11.465191]	[116]	[]	[]	[46987718]	[]
466_15851	chr3	42539860	42540260	+	1000	44.5	[6.975399]	[93]	[6.975399]	[89]	[42540039]	[42540035]
466_15853	chr3	45084837	45085237	+	1000	44.5	[11.465191]	[118]	[]	[]	[45085047]	[]
466_15858	chr3	113747449	113747849	+	1000	44.5	[6.975399, 6.9489045]	[118, 146]	[6.9489045]	[146]	[113747655, 113747683]	[113747683]
466_1586	chr6	27374994	27375394	+	1000	116.5	[6.975399]	[102]	[]	[]	[27375191]	[]
466_15861	chr3	151875717	151876117	+	1000	44.5	[11.465191]	[72]	[]	[]	[151875889]	[]
466_15866	chr3	171829940	171830340	+	1000	44.5	[11.465191]	[119]	[]	[]	[171830118]	[]
466_15870	chr3	195822218	195822618	+	1000	44.5	[]	[]	[6.975399]	[155]	[]	[195822448]
466_15875	chr4	38466328	38466728	+	608	44.5	[11.465191]	[146]	[]	[]	[38466570]	[]
466_15892	chr5	108747664	108748064	+	716	44.5	[6.53501]	[139]	[]	[]	[108747868]	[]
466_15899	chr5	142325873	142326273	+	1000	44.5	[]	[]	[11.465191]	[134]	[]	[142326083]
466_15900	chr5	149549720	149550120	+	1000	44.5	[]	[]	[6.975399]	[156]	[]	[149549963]
466_15913	chr6	30690620	30691020	+	1000	44.5	[6.672127]	[174]	[]	[]	[30690839]	[]
466_1592	chr1	45012718	45013118	+	1000	116.0	[6.53501, 11.465191]	[91, 107]	[]	[]	[45012877, 45012893]	[]
466_15926	chr6	63573467	63573867	+	1000	44.5	[11.465191]	[106]	[]	[]	[63573655]	[]
466_15930	chr6	104956874	104957274	+	1000	44.5	[6.9489045]	[119]	[6.9489045]	[119]	[104957060]	[104957060]
466_1594	chr11	34600218	34600618	+	1000	116.0	[]	[]	[6.53501]	[140]	[]	[34600453]
466_15976	chr8	127733859	127734259	+	1000	44.5	[11.465191]	[154]	[]	[]	[127734061]	[]
466_15981	chr9	128191003	128191403	+	1000	44.5	[]	[]	[6.672127]	[144]	[]	[128191241]
466_15991	chr9	137067842	137068242	+	1000	44.5	[11.465191]	[137]	[11.465191]	[56]	[137068078]	[137067997]
466_15993	chrX	49002142	49002542	+	1000	44.5	[]	[]	[11.465191]	[229]	[]	[49002393]
466_16000	chr1	6426346	6426746	+	1000	44.0	[11.465191]	[148]	[]	[]	[6426582]	[]
466_16003	chr1	10210094	10210494	+	1000	44.0	[6.672127]	[97]	[]	[]	[10210280]	[]
466_16009	chr1	18875167	18875567	+	1000	44.0	[6.672127]	[81]	[]	[]	[18875341]	[]
466_16016	chr1	27349257	27349657	+	1000	44.0	[]	[]	[6.975399]	[145]	[]	[27349496]
466_1602	chr1	161153987	161154387	+	1000	115.5	[]	[]	[11.465191]	[99]	[]	[161154171]
466_1604	chr12	51070027	51070427	+	1000	115.5	[11.465191]	[153]	[]	[]	[51070274]	[]
466_16043	chr1	156503315	156503715	+	1000	44.0	[11.465191]	[133]	[]	[]	[156503541]	[]
466_16045	chr1	159929285	159929685	+	1000	44.0	[11.465191]	[229]	[]	[]	[159929535]	[]
466_1605	chr4	6917614	6918014	+	1000	115.5	[]	[]	[6.53501]	[130]	[]	[6917842]
466_16053	chr1	202143185	202143585	+	1000	44.0	[]	[]	[6.975399]	[97]	[]	[202143353]
466_16055	chr1	207749201	207749601	+	1000	44.0	[11.465191]	[161]	[]	[]	[207749413]	[]
466_16057	chr1	212606674	212607074	+	1000	44.0	[6.975399]	[90]	[]	[]	[212606850]	[]
466_16058	chr1	223698188	223698588	+	1000	44.0	[6.9489045, 11.465191]	[90, 149]	[6.9489045]	[90]	[223698372, 223698431]	[223698372]
466_16059	chr1	226875883	226876283	+	1000	44.0	[11.465191]	[177]	[]	[]	[226876099]	[]
466_16068	chr1	247210517	247210917	+	1000	44.0	[6.975399]	[181]	[6.672127]	[146]	[247210741]	[247210706]
466_16087	chr11	22829432	22829832	+	1000	44.0	[]	[]	[6.975399, 11.465191]	[102, 139]	[]	[22829609, 22829646]
466_16089	chr11	46352193	46352593	+	1000	44.0	[6.975399]	[171]	[]	[]	[46352402]	[]
466_16096	chr11	74948760	74949160	+	1000	44.0	[11.465191]	[95]	[]	[]	[74948925]	[]
466_161	chr9	133417882	133418282	+	1000	273.0	[6.672127]	[136]	[]	[]	[133418109]	[]
466_16103	chr12	4272398	4272798	+	1000	44.0	[6.9489045]	[136]	[6.9489045]	[136]	[4272609]	[4272609]
466_16104	chr12	7016921	7017321	+	1000	44.0	[11.465191]	[112]	[]	[]	[7017106]	[]
466_1611	chr9	19161680	19162080	+	1000	115.5	[]	[]	[11.465191]	[157]	[]	[19161926]
466_16120	chr14	70416741	70417141	+	1000	44.0	[6.975399]	[65]	[]	[]	[70416897]	[]
466_16125	chr15	34209451	34209851	+	1000	44.0	[6.672127]	[118]	[11.465191]	[99]	[34209657]	[34209638]
466_16128	chr15	59543794	59544194	+	1000	44.0	[6.53501]	[98]	[]	[]	[59543988]	[]
466_16131	chr15	63544576	63544976	+	1000	44.0	[]	[]	[6.975399]	[111]	[]	[63544779]
466_16134	chr15	66293120	66293520	+	1000	44.0	[11.465191]	[103]	[6.975399]	[114]	[66293323]	[66293334]
466_16139	chr15	80173283	80173683	+	1000	44.0	[11.465191]	[148]	[6.975399, 11.465191]	[86, 111]	[80173507]	[80173445, 80173470]
466_16141	chr16	3408542	3408942	+	1000	44.0	[6.9489045, 6.9489045]	[82, 139]	[6.9489045, 6.9489045]	[82, 139]	[3408700, 3408757]	[3408700, 3408757]
466_16154	chr17	17435177	17435577	+	1000	44.0	[11.465191]	[128]	[]	[]	[17435401]	[]
466_16161	chr17	44779280	44779680	+	1000	44.0	[]	[]	[11.465191]	[123]	[]	[44779500]
466_16171	chr17	78250896	78251296	+	1000	44.0	[6.9489045]	[136]	[11.465191, 6.9489045]	[87, 136]	[78251122]	[78251073, 78251122]
466_16178	chr19	1526078	1526478	+	668	44.0	[11.465191]	[148]	[11.465191]	[83]	[1526323]	[1526258]
466_16185	chr19	13906013	13906413	+	1000	44.0	[6.975399]	[155]	[]	[]	[13906186]	[]
466_16193	chr19	38975359	38975759	+	1000	44.0	[6.975399, 11.465191]	[130, 146]	[]	[]	[38975567, 38975583]	[]
466_16195	chr19	40577050	40577450	+	1000	44.0	[11.465191]	[129]	[11.465191]	[156]	[40577255]	[40577282]
466_16196	chr19	43619050	43619450	+	1000	44.0	[]	[]	[11.465191]	[190]	[]	[43619263]
466_162	chr5	140710865	140711265	+	1000	272.5	[11.465191]	[97]	[11.465191]	[59]	[140711061]	[140711023]
466_16212	chr2	65130776	65131176	+	1000	44.0	[11.465191]	[127]	[]	[]	[65131002]	[]
466_16214	chr2	70087024	70087424	+	1000	44.0	[6.672127]	[188]	[]	[]	[70087218]	[]
466_16249	chr3	9726968	9727368	+	1000	44.0	[]	[]	[6.975399]	[125]	[]	[9727184]
466_16251	chr3	17740602	17741002	+	1000	44.0	[6.53501]	[226]	[]	[]	[17740851]	[]
466_16258	chr3	47568867	47569267	+	1000	44.0	[6.975399]	[125]	[]	[]	[47569068]	[]
466_16269	chr3	183252736	183253136	+	1000	44.0	[6.975399]	[123]	[]	[]	[183252954]	[]
466_1633	chr19	48965375	48965775	+	1000	114.5	[6.975399, 6.53501]	[162, 179]	[]	[]	[48965577, 48965594]	[]
466_16332	chr6	159761939	159762339	+	984	44.0	[]	[]	[6.53501]	[130]	[]	[159762140]
466_16335	chr6	163956595	163956995	+	1000	44.0	[11.465191]	[145]	[]	[]	[163956835]	[]
466_1634	chr19	50358771	50359171	+	1000	114.5	[6.53501, 6.975399]	[140, 144]	[]	[]	[50359004, 50359008]	[]
466_1635	chr3	15858856	15859256	+	1000	114.5	[11.465191, 11.465191]	[97, 117]	[]	[]	[15859044, 15859064]	[]
466_16366	chr8	22314151	22314551	+	1000	44.0	[6.9489045]	[126]	[6.9489045]	[126]	[22314365]	[22314365]
466_16368	chr8	28203191	28203591	+	1000	44.0	[6.975399]	[106]	[]	[]	[28203350]	[]
466_16369	chr8	37899123	37899523	+	1000	44.0	[11.465191]	[117]	[]	[]	[37899301]	[]
466_16372	chr8	60281051	60281451	+	939	44.0	[]	[]	[6.672127]	[144]	[]	[60281285]
466_16379	chr8	140511908	140512308	+	974	44.0	[11.465191]	[72]	[]	[]	[140512065]	[]
466_16382	chr9	5839260	5839660	+	1000	44.0	[]	[]	[11.465191]	[101]	[]	[5839451]
466_16389	chr9	105695223	105695623	+	1000	44.0	[6.975399]	[139]	[]	[]	[105695439]	[]
466_1639	chr7	106659774	106660174	+	1000	114.5	[11.465191]	[120]	[]	[]	[106659989]	[]
466_16396	chr9	127825244	127825644	+	1000	44.0	[6.975399]	[105]	[6.672127, 11.465191]	[82, 113]	[127825448]	[127825425, 127825456]
466_16427	chr1	32014548	32014948	+	1000	43.5	[]	[]	[6.672127]	[128]	[]	[32014753]
466_1645	chr14	101710081	101710481	+	1000	114.0	[11.465191]	[138]	[]	[]	[101710307]	[]
466_16453	chr1	219927981	219928381	+	1000	43.5	[]	[]	[6.53501]	[237]	[]	[219928226]
466_16496	chr11	66311906	66312306	+	1000	43.5	[]	[]	[6.53501]	[81]	[]	[66312063]
