#PeakID(python scan_motif.py ./ENCODE_processed_files/RUNX1_idr.fa RUNX1 --motif_path ./motifs/ --distance 50  --cutoff --size 400)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
39_14245	chr4	68864393	68864793	+	1000	35.0	[]	[]	[7.151105]	[61]	[]	[68864544]
39_14246	chr4	72569771	72570171	+	1000	35.0	[8.892592]	[104]	[]	[]	[72569964]	[]
39_14247	chr4	76179851	76180251	+	1000	35.0	[]	[]	[8.892592]	[62]	[]	[76180005]
39_14248	chr4	77240430	77240830	+	1000	35.0	[9.738007]	[98]	[]	[]	[77240596]	[]
39_14251	chr4	106316055	106316455	+	1000	35.0	[8.329008]	[138]	[]	[]	[106316284]	[]
39_14252	chr4	108114429	108114829	+	1000	35.0	[8.329008]	[107]	[]	[]	[108114604]	[]
39_14265	chr4	158902600	158903000	+	1000	35.0	[]	[]	[8.044104]	[156]	[]	[158902841]
39_14266	chr4	169625898	169626298	+	1000	35.0	[7.151105]	[105]	[]	[]	[169626079]	[]
39_14269	chr4	186845223	186845623	+	1000	35.0	[7.2151175]	[121]	[]	[]	[186845413]	[]
39_14272	chr5	14676265	14676665	+	1000	35.0	[]	[]	[10.586677]	[161]	[]	[14676435]
39_14273	chr5	21485526	21485926	+	1000	35.0	[10.370103]	[77]	[]	[]	[21485699]	[]
39_14280	chr5	54326630	54327030	+	1000	35.0	[]	[]	[8.502309]	[128]	[]	[54326833]
39_14281	chr5	81194995	81195395	+	1000	35.0	[8.260495]	[164]	[]	[]	[81195234]	[]
39_14282	chr5	83077125	83077525	+	1000	35.0	[]	[]	[10.370103]	[148]	[]	[83077344]
39_14284	chr5	95723568	95723968	+	1000	35.0	[]	[]	[8.909202]	[106]	[]	[95723746]
39_14289	chr5	115262713	115263113	+	1000	35.0	[]	[]	[12.064187]	[137]	[]	[115262923]
39_14290	chr5	116085146	116085546	+	1000	35.0	[10.586677]	[104]	[]	[]	[116085346]	[]
39_14291	chr5	124655910	124656310	+	1000	35.0	[]	[]	[8.017088]	[99]	[]	[124656089]
39_14294	chr5	134923712	134924112	+	1000	35.0	[8.329008]	[97]	[]	[]	[134923909]	[]
39_14298	chr5	139654153	139654553	+	839	35.0	[]	[]	[8.044104]	[219]	[]	[139654387]
39_143	chr12	117042265	117042665	+	1000	156.0	[]	[]	[8.017088]	[142]	[]	[117042501]
39_14301	chr5	148639107	148639507	+	1000	35.0	[]	[]	[7.748347]	[122]	[]	[148639303]
39_14306	chr5	160262210	160262610	+	1000	35.0	[]	[]	[8.892592]	[139]	[]	[160262427]
39_14309	chr5	172881875	172882275	+	1000	35.0	[10.586677]	[137]	[]	[]	[172882085]	[]
39_14311	chr5	177086888	177087288	+	1000	35.0	[8.260495]	[115]	[]	[]	[177087093]	[]
39_14314	chr5	178113325	178113725	+	1000	35.0	[8.260495]	[74]	[]	[]	[178113498]	[]
39_14317	chr5	180860766	180861166	+	1000	35.0	[8.892592]	[164]	[8.260495]	[168]	[180860978]	[180860982]
39_14318	chr5	181163644	181164044	+	912	35.0	[]	[]	[8.329008]	[146]	[]	[181163827]
39_14322	chr6	2971558	2971958	+	1000	35.0	[]	[]	[10.586677]	[102]	[]	[2971743]
39_14327	chr6	6906056	6906456	+	1000	35.0	[12.064187]	[90]	[]	[]	[6906236]	[]
39_14328	chr6	7173838	7174238	+	1000	35.0	[]	[]	[7.748347]	[160]	[]	[7174084]
39_14331	chr6	11778600	11779000	+	1000	35.0	[9.738007]	[145]	[]	[]	[11778814]	[]
39_14334	chr6	14110145	14110545	+	1000	35.0	[7.748347]	[143]	[]	[]	[14110361]	[]
39_14336	chr6	15491286	15491686	+	1000	35.0	[7.748347]	[215]	[]	[]	[15491522]	[]
39_14338	chr6	16168866	16169266	+	1000	35.0	[7.151105]	[186]	[]	[]	[16169086]	[]
39_14340	chr6	18264575	18264975	+	1000	35.0	[10.586677]	[154]	[]	[]	[18264735]	[]
39_14341	chr6	20444691	20445091	+	918	35.0	[8.909202]	[95]	[]	[]	[20444857]	[]
39_14348	chr6	27672700	27673100	+	1000	35.0	[]	[]	[10.370103]	[146]	[]	[27672919]
39_14352	chr6	28353887	28354287	+	1000	35.0	[10.370103]	[80]	[]	[]	[28354065]	[]
39_14354	chr6	30482035	30482435	+	1000	35.0	[]	[]	[8.892592]	[109]	[]	[30482239]
39_14356	chr6	30723479	30723879	+	1000	35.0	[]	[]	[10.586677]	[212]	[]	[30723713]
39_14363	chr6	35720200	35720600	+	1000	35.0	[]	[]	[8.260495]	[113]	[]	[35720356]
39_14365	chr6	37496723	37497123	+	1000	35.0	[7.151105]	[123]	[]	[]	[37496918]	[]
39_14367	chr6	41200636	41201036	+	1000	35.0	[]	[]	[9.738007]	[117]	[]	[41200841]
39_14368	chr6	42726556	42726956	+	1000	35.0	[8.044104]	[59]	[]	[]	[42726715]	[]
39_1437	chr6	170089549	170089949	+	1000	68.0	[10.586677]	[114]	[]	[]	[170089763]	[]
39_14370	chr6	43129757	43130157	+	1000	35.0	[]	[]	[8.329008]	[179]	[]	[43129944]
39_14372	chr6	43785439	43785839	+	739	35.0	[7.397283]	[169]	[7.397283]	[124]	[43785670]	[43785625]
39_14374	chr6	43799743	43800143	+	1000	35.0	[]	[]	[7.7944894]	[184]	[]	[43799929]
39_14375	chr6	43977406	43977806	+	1000	35.0	[]	[]	[10.586677]	[137]	[]	[43977583]
39_14376	chr6	44096673	44097073	+	1000	35.0	[9.738007]	[155]	[]	[]	[44096918]	[]
39_14378	chr6	53312374	53312774	+	1000	35.0	[12.064187]	[68]	[8.892592]	[80]	[53312540]	[53312552]
39_1438	chr7	66639735	66640135	+	1000	68.0	[]	[]	[12.064187]	[62]	[]	[66639890]
39_14382	chr6	89297937	89298337	+	1000	35.0	[8.502309]	[120]	[]	[]	[89298149]	[]
39_14386	chr6	113920895	113921295	+	1000	35.0	[8.892592]	[123]	[8.892592]	[126]	[113921080]	[113921083]
39_1439	chr7	87140294	87140694	+	1000	68.0	[]	[]	[8.329008]	[128]	[]	[87140520]
39_14396	chr6	157867199	157867599	+	1000	35.0	[]	[]	[10.370103]	[171]	[]	[157867429]
39_14399	chr6	161169251	161169651	+	1000	35.0	[]	[]	[8.044104]	[151]	[]	[161169427]
39_1440	chr7	99693467	99693867	+	1000	68.0	[7.2151175]	[165]	[]	[]	[99693699]	[]
39_14401	chr6	163180942	163181342	+	1000	35.0	[]	[]	[7.2151175]	[121]	[]	[163181141]
39_14405	chr7	5494613	5495013	+	1000	35.0	[10.586677, 7.7944894]	[73, 132]	[]	[]	[5494783, 5494842]	[]
39_14406	chr7	5553313	5553713	+	855	35.0	[]	[]	[7.2151175]	[178]	[]	[5553541]
39_14407	chr7	5561982	5562382	+	1000	35.0	[8.892592]	[193]	[]	[]	[5562226]	[]
39_14408	chr7	13981086	13981486	+	1000	35.0	[]	[]	[8.017088]	[140]	[]	[13981324]
39_14412	chr7	29793550	29793950	+	782	35.0	[7.7944894]	[210]	[]	[]	[29793796]	[]
39_14414	chr7	39589620	39590020	+	1000	35.0	[10.586677]	[153]	[]	[]	[39589843]	[]
39_14417	chr7	44955004	44955404	+	1000	35.0	[10.586677, 8.329008]	[61, 116]	[]	[]	[44955161, 44955216]	[]
39_14419	chr7	50360571	50360971	+	1000	35.0	[7.2151175, 10.370103]	[179, 209]	[]	[]	[50360788, 50360818]	[]
39_14421	chr7	65558570	65558970	+	1000	35.0	[]	[]	[7.7944894]	[83]	[]	[65558749]
39_14431	chr7	75623882	75624282	+	1000	35.0	[]	[]	[8.017088, 7.151105, 7.3683157]	[184, 203, 232]	[]	[75624083, 75624102, 75624131]
39_14432	chr7	75734616	75735016	+	1000	35.0	[7.151105]	[160]	[]	[]	[75734858]	[]
39_14434	chr7	76549179	76549579	+	934	35.0	[7.748347]	[120]	[]	[]	[76549373]	[]
39_14435	chr7	91527507	91527907	+	1000	35.0	[]	[]	[12.064187]	[55]	[]	[91527660]
39_14436	chr7	95511856	95512256	+	1000	35.0	[]	[]	[7.151105]	[140]	[]	[95512078]
39_14438	chr7	100124771	100125171	+	1000	35.0	[8.017088]	[142]	[]	[]	[100124974]	[]
39_14441	chr7	100434032	100434432	+	1000	35.0	[7.397283]	[168]	[]	[]	[100434216]	[]
39_14445	chr7	102390723	102391123	+	1000	35.0	[8.260495]	[155]	[]	[]	[102390958]	[]
39_14446	chr7	104982382	104982782	+	955	35.0	[12.064187]	[110]	[]	[]	[104982577]	[]
39_14447	chr7	105487811	105488211	+	1000	35.0	[7.151105]	[175]	[]	[]	[105488057]	[]
39_1445	chr7	128783210	128783610	+	1000	68.0	[10.370103, 7.2151175]	[90, 105]	[]	[]	[128783394, 128783409]	[]
39_14451	chr7	111525110	111525510	+	1000	35.0	[]	[]	[7.151105]	[151]	[]	[111525313]
39_14456	chr7	128743422	128743822	+	1000	35.0	[8.329008]	[86]	[8.329008]	[184]	[128743574]	[128743672]
39_14457	chr7	129635526	129635926	+	1000	35.0	[7.397283]	[126]	[]	[]	[129635736]	[]
39_14459	chr7	130206103	130206503	+	1000	35.0	[]	[]	[8.260495]	[89]	[]	[130206260]
39_14460	chr7	130381638	130382038	+	1000	35.0	[]	[]	[8.909202]	[183]	[]	[130381846]
39_14464	chr7	139777927	139778327	+	1000	35.0	[]	[]	[10.370103]	[57]	[]	[139778080]
39_14465	chr7	142412548	142412948	+	1000	35.0	[10.370103]	[129]	[8.892592]	[113]	[142412771]	[142412755]
39_14467	chr7	143230584	143230984	+	1000	35.0	[]	[]	[8.329008]	[97]	[]	[143230767]
39_14471	chr7	150305261	150305661	+	1000	35.0	[]	[]	[8.017088]	[75]	[]	[150305425]
39_14472	chr7	150448659	150449059	+	1000	35.0	[]	[]	[10.370103, 7.748347]	[102, 157]	[]	[150448852, 150448907]
39_14474	chr7	151007180	151007580	+	1000	35.0	[7.3683157]	[128]	[]	[]	[151007353]	[]
39_14478	chr7	157140106	157140506	+	1000	35.0	[8.017088, 8.044104]	[148, 164]	[]	[]	[157140335, 157140351]	[]
39_14483	chr7	158864799	158865199	+	1000	35.0	[7.2151175]	[138]	[]	[]	[158865000]	[]
39_14484	chr7	158904530	158904930	+	1000	35.0	[10.586677]	[97]	[]	[]	[158904684]	[]
39_14485	chr8	10928390	10928790	+	1000	35.0	[]	[]	[8.892592]	[124]	[]	[10928602]
39_14486	chr8	11762322	11762722	+	1000	35.0	[10.370103]	[100]	[8.017088]	[157]	[11762488]	[11762545]
39_14488	chr8	27310302	27310702	+	1000	35.0	[]	[]	[9.738007, 8.892592]	[143, 173]	[]	[27310459, 27310489]
39_1449	chr9	131095661	131096061	+	1000	68.0	[]	[]	[8.892592]	[172]	[]	[131095860]
39_14491	chr8	41542627	41543027	+	1000	35.0	[9.738007]	[77]	[]	[]	[41542784]	[]
39_14493	chr8	60950929	60951329	+	1000	35.0	[8.892592, 10.586677]	[116, 147]	[10.370103]	[102]	[60951145, 60951176]	[60951131]
39_14496	chr8	81685979	81686379	+	1000	35.0	[]	[]	[9.738007]	[139]	[]	[81686198]
39_14499	chr8	96210023	96210423	+	1000	35.0	[]	[]	[8.909202]	[111]	[]	[96210231]
39_14500	chr8	96235183	96235583	+	1000	35.0	[]	[]	[7.151105]	[132]	[]	[96235361]
39_14501	chr8	97776382	97776782	+	1000	35.0	[12.064187]	[85]	[]	[]	[97776550]	[]
39_14502	chr8	98761904	98762304	+	1000	35.0	[]	[]	[9.738007, 8.909202]	[142, 180]	[]	[98762116, 98762154]
39_14515	chr8	144473432	144473832	+	1000	35.0	[]	[]	[8.892592]	[104]	[]	[144473605]
39_14521	chr9	38047704	38048104	+	1000	35.0	[8.892592]	[120]	[]	[]	[38047870]	[]
39_14524	chr9	87714753	87715153	+	1000	35.0	[]	[]	[10.370103]	[91]	[]	[87714935]
39_14530	chr9	98375354	98375754	+	1000	35.0	[]	[]	[8.329008]	[161]	[]	[98375566]
39_14532	chr9	100352841	100353241	+	1000	35.0	[]	[]	[8.260495]	[169]	[]	[100353029]
39_14536	chr9	120809180	120809580	+	1000	35.0	[7.3683157]	[168]	[]	[]	[120809399]	[]
39_14538	chr9	122912843	122913243	+	1000	35.0	[]	[]	[8.260495]	[129]	[]	[122913022]
39_14539	chr9	123354033	123354433	+	1000	35.0	[]	[]	[8.892592]	[101]	[]	[123354231]
39_14544	chr9	127869852	127870252	+	1000	35.0	[]	[]	[8.892592]	[94]	[]	[127870030]
39_14546	chr9	128099454	128099854	+	1000	35.0	[]	[]	[8.044104]	[79]	[]	[128099621]
39_14547	chr9	128277494	128277894	+	1000	35.0	[]	[]	[10.370103]	[87]	[]	[128277656]
39_14550	chr9	129570650	129571050	+	1000	35.0	[8.044104]	[172]	[7.7944894, 7.3683157]	[108, 165]	[129570872]	[129570808, 129570865]
39_14551	chr9	129625989	129626389	+	1000	35.0	[8.502309]	[151]	[]	[]	[129626208]	[]
39_14556	chr9	131172389	131172789	+	1000	35.0	[10.370103]	[125]	[10.370103]	[118]	[131172613]	[131172606]
39_14559	chr9	133121882	133122282	+	1000	35.0	[10.370103]	[143]	[]	[]	[133122121]	[]
39_14572	chrX	38634698	38635098	+	1000	35.0	[]	[]	[7.151105]	[174]	[]	[38634945]
39_14576	chrX	48696222	48696622	+	1000	35.0	[7.7944894]	[87]	[7.397283]	[150]	[48696393]	[48696456]
39_14578	chrX	48801191	48801591	+	1000	35.0	[]	[]	[10.370103]	[80]	[]	[48801367]
39_1458	chr1	201578335	201578735	+	1000	67.0	[]	[]	[8.909202]	[67]	[]	[201578489]
39_14582	chrX	129982438	129982838	+	1000	35.0	[10.370103]	[146]	[]	[]	[129982666]	[]
39_14585	chr1	1079432	1079832	+	1000	34.0	[10.586677]	[187]	[]	[]	[1079647]	[]
39_14588	chr1	1290126	1290526	+	1000	34.0	[10.370103]	[108]	[]	[]	[1290319]	[]
39_14590	chr1	1358597	1358997	+	1000	34.0	[8.329008]	[219]	[]	[]	[1358846]	[]
39_14594	chr1	2544468	2544868	+	1000	34.0	[8.260495]	[136]	[]	[]	[2544681]	[]
39_14595	chr1	2548884	2549284	+	1000	34.0	[7.7944894]	[108]	[]	[]	[2549078]	[]
39_14596	chr1	3746460	3746860	+	1000	34.0	[]	[]	[8.329008]	[80]	[]	[3746638]
39_146	chr6	135323155	135323555	+	1000	155.0	[]	[]	[8.329008, 8.909202]	[94, 116]	[]	[135323343, 135323365]
39_1460	chr1	204630405	204630805	+	1000	67.0	[]	[]	[8.502309]	[136]	[]	[204630638]
39_14600	chr1	7586200	7586600	+	1000	34.0	[]	[]	[10.370103]	[153]	[]	[7586450]
39_14603	chr1	9410737	9411137	+	1000	34.0	[8.017088, 8.329008]	[165, 179]	[12.064187]	[156]	[9410938, 9410952]	[9410929]
39_14608	chr1	12085610	12086010	+	772	34.0	[12.064187]	[117]	[]	[]	[12085816]	[]
39_14609	chr1	12513389	12513789	+	1000	34.0	[12.064187]	[161]	[7.3683157, 7.151105]	[103, 108]	[12513604]	[12513546, 12513551]
39_14613	chr1	16641444	16641844	+	1000	34.0	[]	[]	[8.909202]	[87]	[]	[16641626]
39_14616	chr1	19468226	19468626	+	1000	34.0	[8.260495]	[104]	[]	[]	[19468422]	[]
39_14618	chr1	21488648	21489048	+	941	34.0	[9.738007]	[162]	[]	[]	[21488882]	[]
39_14624	chr1	26853072	26853472	+	1000	34.0	[9.738007]	[136]	[]	[]	[26853308]	[]
39_14625	chr1	27145339	27145739	+	1000	34.0	[8.260495, 8.892592]	[193, 236]	[]	[]	[27145536, 27145579]	[]
39_1463	chr1	225777456	225777856	+	1000	67.0	[8.502309, 7.2151175]	[56, 116]	[]	[]	[225777607, 225777667]	[]
39_14630	chr1	30764771	30765171	+	1000	34.0	[7.151105, 8.892592]	[64, 113]	[]	[]	[30764929, 30764978]	[]
39_14631	chr1	30908966	30909366	+	1000	34.0	[10.370103]	[155]	[]	[]	[30909141]	[]
39_14633	chr1	32760137	32760537	+	1000	34.0	[8.260495]	[98]	[]	[]	[32760289]	[]
39_14635	chr1	35930158	35930558	+	1000	34.0	[]	[]	[7.3683157]	[96]	[]	[35930350]
39_14639	chr1	39104575	39104975	+	1000	34.0	[8.260495]	[183]	[]	[]	[39104789]	[]
39_14640	chr1	39385537	39385937	+	1000	34.0	[]	[]	[7.748347]	[106]	[]	[39385729]
39_14641	chr1	39398645	39399045	+	983	34.0	[]	[]	[7.2151175]	[72]	[]	[39398805]
39_14642	chr1	39410873	39411273	+	934	34.0	[]	[]	[8.892592]	[80]	[]	[39411048]
39_14649	chr1	44030974	44031374	+	1000	34.0	[]	[]	[9.738007, 9.738007]	[82, 94]	[]	[44031126, 44031138]
39_1465	chr10	11710703	11711103	+	1000	67.0	[]	[]	[12.064187]	[154]	[]	[11710936]
39_14652	chr1	45512594	45512994	+	1000	34.0	[]	[]	[8.044104, 8.260495]	[68, 140]	[]	[45512756, 45512828]
39_14654	chr1	46406219	46406619	+	1000	34.0	[8.260495]	[171]	[]	[]	[46406430]	[]
39_14655	chr1	46413650	46414050	+	1000	34.0	[12.064187, 7.7944894]	[112, 139]	[]	[]	[46413858, 46413885]	[]
39_14656	chr1	47437579	47437979	+	1000	34.0	[]	[]	[7.397283]	[200]	[]	[47437802]
39_14657	chr1	51752552	51752952	+	1000	34.0	[7.3683157]	[125]	[]	[]	[51752775]	[]
39_14658	chr1	52330032	52330432	+	818	34.0	[]	[]	[7.7944894]	[152]	[]	[52330201]
39_14660	chr1	54120085	54120485	+	1000	34.0	[]	[]	[8.329008, 8.329008, 8.329008, 8.329008]	[96, 127, 146, 175]	[]	[54120254, 54120285, 54120304, 54120333]
39_14661	chr1	54231011	54231411	+	1000	34.0	[12.064187]	[153]	[]	[]	[54231259]	[]
39_14666	chr1	65554685	65555085	+	1000	34.0	[9.738007]	[95]	[]	[]	[65554868]	[]
39_14667	chr1	77729260	77729660	+	1000	34.0	[]	[]	[8.017088]	[179]	[]	[77729511]
39_14669	chr1	92804793	92805193	+	1000	34.0	[]	[]	[8.044104]	[147]	[]	[92805022]
39_1467	chr11	45826499	45826899	+	1000	67.0	[8.044104]	[142]	[9.738007]	[84]	[45826728]	[45826670]
39_14672	chr1	109249158	109249558	+	1000	34.0	[10.370103]	[93]	[]	[]	[109249330]	[]
39_14673	chr1	109389420	109389820	+	1000	34.0	[]	[]	[7.151105]	[143]	[]	[109389580]
39_14679	chr1	116810395	116810795	+	1000	34.0	[12.064187]	[95]	[]	[]	[116810587]	[]
39_14683	chr1	117659815	117660215	+	1000	34.0	[7.748347]	[134]	[]	[]	[117660040]	[]
39_14684	chr1	117674438	117674838	+	1000	34.0	[7.151105]	[198]	[8.502309]	[166]	[117674648]	[117674616]
39_14686	chr1	119968005	119968405	+	1000	34.0	[7.2151175]	[111]	[]	[]	[119968185]	[]
39_14688	chr1	146039239	146039639	+	1000	34.0	[8.017088]	[157]	[]	[]	[146039475]	[]
39_14697	chr1	155194219	155194619	+	1000	34.0	[]	[]	[7.151105]	[111]	[]	[155194424]
39_14705	chr1	167267799	167268199	+	1000	34.0	[8.909202, 8.017088, 8.329008]	[87, 105, 137]	[]	[]	[167267981, 167267999, 167268031]	[]
39_14715	chr1	197778346	197778746	+	1000	34.0	[8.329008]	[97]	[]	[]	[197778533]	[]
39_14724	chr1	205141608	205142008	+	1000	34.0	[]	[]	[8.044104, 7.3683157]	[82, 156]	[]	[205141772, 205141846]
39_14726	chr1	206479483	206479883	+	1000	34.0	[10.370103]	[141]	[]	[]	[206479714]	[]
39_14727	chr1	206500976	206501376	+	1000	34.0	[10.370103]	[186]	[]	[]	[206501217]	[]
39_14728	chr1	206925364	206925764	+	1000	34.0	[10.586677]	[89]	[]	[]	[206925525]	[]
39_14734	chr1	212485833	212486233	+	1000	34.0	[]	[]	[10.586677]	[192]	[]	[212486064]
39_14735	chr1	212609596	212609996	+	1000	34.0	[10.586677]	[146]	[]	[]	[212609787]	[]
39_14739	chr1	223771036	223771436	+	1000	34.0	[]	[]	[8.329008, 8.017088]	[115, 121]	[]	[223771215, 223771221]
39_14740	chr1	227762382	227762782	+	1000	34.0	[8.892592]	[125]	[8.892592]	[128]	[227762592]	[227762595]
39_14742	chr1	228454179	228454579	+	1000	34.0	[8.892592]	[138]	[]	[]	[228454386]	[]
39_14746	chr1	230160979	230161379	+	1000	34.0	[10.586677]	[106]	[]	[]	[230161185]	[]
39_14747	chr1	230167217	230167617	+	1000	34.0	[7.397283]	[154]	[]	[]	[230167465]	[]
39_1475	chr16	88799912	88800312	+	1000	67.0	[12.064187]	[144]	[]	[]	[88800142]	[]
39_14751	chr1	234839579	234839979	+	1000	34.0	[]	[]	[10.586677]	[119]	[]	[234839768]
39_14758	chr1	248890728	248891128	+	1000	34.0	[]	[]	[8.329008, 8.329008, 10.370103, 8.329008]	[166, 173, 198, 215]	[]	[248890914, 248890921, 248890946, 248890963]
39_14759	chr1	248925186	248925586	+	836	34.0	[]	[]	[9.738007, 10.370103, 12.064187]	[102, 144, 151]	[]	[248925383, 248925425, 248925432]
39_14767	chr10	11881390	11881790	+	1000	34.0	[8.892592]	[191]	[8.892592]	[178]	[11881582]	[11881569]
39_14774	chr10	30494133	30494533	+	1000	34.0	[]	[]	[7.748347]	[148]	[]	[30494353]
39_1478	chr19	2974421	2974821	+	1000	67.0	[]	[]	[12.064187]	[141]	[]	[2974661]
39_14781	chr10	48463604	48464004	+	1000	34.0	[]	[]	[10.370103]	[131]	[]	[48463793]
39_14782	chr10	48505385	48505785	+	1000	34.0	[12.064187]	[131]	[]	[]	[48505607]	[]
39_14783	chr10	49281367	49281767	+	1000	34.0	[]	[]	[10.370103]	[149]	[]	[49281538]
39_14784	chr10	49538345	49538745	+	1000	34.0	[]	[]	[8.260495]	[129]	[]	[49538558]
39_14787	chr10	50592786	50593186	+	1000	34.0	[]	[]	[7.397283]	[167]	[]	[50592997]
39_14788	chr10	60943560	60943960	+	1000	34.0	[7.151105]	[138]	[]	[]	[60943754]	[]
39_14789	chr10	62805124	62805524	+	1000	34.0	[]	[]	[8.892592]	[146]	[]	[62805275]
39_148	chr1	162372716	162373116	+	1000	153.0	[8.044104]	[114]	[10.586677, 10.370103]	[105, 156]	[162372916]	[162372907, 162372958]
39_14803	chr10	79086946	79087346	+	1000	34.0	[8.909202]	[135]	[]	[]	[79087159]	[]
39_14804	chr10	101575869	101576269	+	1000	34.0	[]	[]	[8.329008]	[159]	[]	[101576064]
39_14806	chr10	124530102	124530502	+	1000	34.0	[]	[]	[8.892592]	[114]	[]	[124530299]
39_14807	chr11	208317	208717	+	1000	34.0	[7.2151175]	[187]	[]	[]	[208526]	[]
39_14814	chr11	10366624	10367024	+	1000	34.0	[]	[]	[10.370103]	[131]	[]	[10366843]
39_14818	chr11	16779383	16779783	+	1000	34.0	[8.892592]	[128]	[10.370103]	[113]	[16779563]	[16779548]
39_14821	chr11	33857831	33858231	+	1000	34.0	[]	[]	[8.017088]	[151]	[]	[33858082]
39_14831	chr11	47153076	47153476	+	1000	34.0	[8.892592]	[118]	[]	[]	[47153280]	[]
39_14833	chr11	60056314	60056714	+	1000	34.0	[]	[]	[8.017088]	[114]	[]	[60056504]
39_14834	chr11	61638385	61638785	+	1000	34.0	[]	[]	[8.892592]	[128]	[]	[61638606]
39_14839	chr11	65419891	65420291	+	1000	34.0	[]	[]	[9.738007]	[96]	[]	[65420070]
39_1484	chr19	58584381	58584781	+	1000	67.0	[]	[]	[10.586677]	[116]	[]	[58584578]
39_14840	chr11	66068206	66068606	+	1000	34.0	[7.151105]	[159]	[]	[]	[66068448]	[]
39_14841	chr11	66727303	66727703	+	1000	34.0	[7.2151175]	[157]	[]	[]	[66727471]	[]
39_14842	chr11	69643300	69643700	+	1000	34.0	[8.892592]	[96]	[]	[]	[69643481]	[]
39_14843	chr11	70397549	70397949	+	1000	34.0	[]	[]	[8.329008]	[154]	[]	[70397765]
39_14845	chr11	72793673	72794073	+	1000	34.0	[7.397283, 8.892592, 7.3683157]	[119, 125, 172]	[]	[]	[72793832, 72793838, 72793885]	[]
39_14846	chr11	73289342	73289742	+	1000	34.0	[8.260495]	[228]	[]	[]	[73289577]	[]
39_14847	chr11	74459472	74459872	+	1000	34.0	[]	[]	[10.370103]	[104]	[]	[74459672]
39_14848	chr11	75103725	75104125	+	1000	34.0	[]	[]	[9.738007]	[184]	[]	[75103973]
39_1485	chr2	15730478	15730878	+	1000	67.0	[8.502309]	[117]	[10.370103]	[150]	[15730695]	[15730728]
39_14858	chr11	117173013	117173413	+	1000	34.0	[]	[]	[7.748347]	[95]	[]	[117173196]
39_14860	chr11	118007560	118007960	+	1000	34.0	[7.397283]	[77]	[8.502309]	[101]	[118007733]	[118007757]
39_1487	chr2	46316500	46316900	+	1000	67.0	[7.2151175]	[128]	[]	[]	[46316726]	[]
39_14873	chr12	47773598	47773998	+	1000	34.0	[]	[]	[8.017088]	[179]	[]	[47773808]
39_14875	chr12	47837575	47837975	+	1000	34.0	[7.3683157]	[83]	[]	[]	[47837753]	[]
39_14878	chr12	50084892	50085292	+	1000	34.0	[10.586677]	[74]	[]	[]	[50085066]	[]
39_14881	chr12	55729552	55729952	+	1000	34.0	[7.151105]	[123]	[]	[]	[55729773]	[]
39_14883	chr12	56206445	56206845	+	1000	34.0	[8.892592]	[148]	[]	[]	[56206618]	[]
39_14885	chr12	57087742	57088142	+	1000	34.0	[]	[]	[7.748347, 7.3683157]	[141, 161]	[]	[57087948, 57087968]
39_14889	chr12	62248852	62249252	+	1000	34.0	[12.064187]	[233]	[]	[]	[62249087]	[]
39_14891	chr12	69290935	69291335	+	1000	34.0	[]	[]	[8.909202]	[154]	[]	[69291169]
39_14892	chr12	83173197	83173597	+	1000	34.0	[8.017088]	[106]	[]	[]	[83173395]	[]
39_14893	chr12	93377715	93378115	+	1000	34.0	[8.260495]	[82]	[]	[]	[93377886]	[]
39_14894	chr12	96489281	96489681	+	1000	34.0	[8.017088]	[165]	[]	[]	[96489512]	[]
39_14895	chr12	104485555	104485955	+	1000	34.0	[]	[]	[12.064187]	[102]	[]	[104485739]
39_14903	chr12	117025460	117025860	+	637	34.0	[10.370103]	[159]	[]	[]	[117025658]	[]
39_14905	chr12	120470048	120470448	+	1000	34.0	[7.151105]	[213]	[]	[]	[120470266]	[]
39_14907	chr12	122094154	122094554	+	1000	34.0	[8.329008, 8.329008, 8.329008, 8.329008]	[76, 95, 150, 163]	[]	[]	[122094311, 122094330, 122094385, 122094398]	[]
39_14908	chr12	122894563	122894963	+	1000	34.0	[]	[]	[12.064187, 7.748347]	[132, 160]	[]	[122894769, 122894797]
39_1491	chr22	19175716	19176116	+	1000	67.0	[]	[]	[8.017088, 10.586677]	[115, 200]	[]	[19175876, 19175961]
39_14910	chr12	124605842	124606242	+	1000	34.0	[]	[]	[8.502309]	[150]	[]	[124606069]
39_14911	chr12	132593976	132594376	+	1000	34.0	[]	[]	[10.370103, 10.370103]	[155, 161]	[]	[132594220, 132594226]
39_14917	chr13	93340437	93340837	+	1000	34.0	[]	[]	[7.151105]	[99]	[]	[93340608]
39_1492	chr22	20027189	20027589	+	1000	67.0	[]	[]	[10.370103]	[107]	[]	[20027393]
39_14927	chr14	57009492	57009892	+	1000	34.0	[]	[]	[7.748347]	[112]	[]	[57009690]
39_1493	chr22	21912259	21912659	+	1000	67.0	[10.370103]	[154]	[]	[]	[21912509]	[]
39_14931	chr14_GL000194v1_random	114789	115189	+	1000	34.0	[]	[]	[8.260495, 9.738007]	[72, 102]	[]	[114954, 114984]
39_14932	chr14_GL000225v1_random	34470	34870	+	885	34.0	[8.260495]	[122]	[]	[]	[34690]	[]
39_14939	chr15	43105872	43106272	+	1000	34.0	[8.892592]	[111]	[]	[]	[43106080]	[]
