#PeakID(python scan_motif.py ./ENCODE_processed_files/MYC_idr.fa MYC --motif_path ./motifs/ --distance 50  --cutoff --size 400)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
640_16482	chr1	42963019	42963419	+	1000	57.0	[8.334265]	[144]	[]	[]	[42963252]	[]
640_16486	chr1	85201886	85202286	+	1000	57.0	[]	[]	[7.981569]	[164]	[]	[85202106]
640_16487	chr1	91713227	91713627	+	1000	57.0	[9.859796]	[118]	[12.820818]	[119]	[91713424]	[91713425]
640_1649	chr22	19144668	19145068	+	1000	213.0	[]	[]	[7.981569]	[97]	[]	[19144863]
640_16495	chr1	154386576	154386976	+	1000	57.0	[]	[]	[8.415787]	[114]	[]	[154386790]
640_16499	chr1	167066633	167067033	+	1000	57.0	[8.344066]	[178]	[]	[]	[167066878]	[]
640_165	chr22	21754459	21754859	+	1000	435.0	[]	[]	[9.081068]	[81]	[]	[21754636]
640_16501	chr1	173355123	173355523	+	1000	57.0	[]	[]	[8.415787]	[129]	[]	[173355343]
640_16502	chr1	174160169	174160569	+	1000	57.0	[]	[]	[8.415787]	[135]	[]	[174160390]
640_16503	chr1	182262430	182262830	+	1000	57.0	[9.081068]	[64]	[8.415787]	[65]	[182262589]	[182262590]
640_16504	chr1	183996434	183996834	+	1000	57.0	[7.981569]	[78]	[]	[]	[183996599]	[]
640_16507	chr1	204691426	204691826	+	1000	57.0	[9.859796]	[94]	[9.859796]	[95]	[204691614]	[204691615]
640_16508	chr1	211556314	211556714	+	1000	57.0	[]	[]	[9.081068]	[142]	[]	[211556527]
640_16510	chr1	234528036	234528436	+	1000	57.0	[9.3206]	[149]	[9.3206]	[150]	[234528255]	[234528256]
640_16511	chr1	234716313	234716713	+	1000	57.0	[9.081068]	[118]	[]	[]	[234716529]	[]
640_16512	chr1	247936878	247937278	+	1000	57.0	[7.5613456]	[87]	[8.334265]	[88]	[247937035]	[247937036]
640_16515	chr10	68826984	68827384	+	1000	57.0	[7.981569]	[68]	[7.3805842]	[69]	[68827139]	[68827140]
640_16516	chr10	70649517	70649917	+	1000	57.0	[]	[]	[8.334265]	[152]	[]	[70649765]
640_16517	chr10	71024456	71024856	+	1000	57.0	[8.415787]	[156]	[9.081068]	[157]	[71024687]	[71024688]
640_16518	chr10	71868227	71868627	+	1000	57.0	[9.081068]	[124]	[]	[]	[71868424]	[]
640_1652	chr6	27019984	27020384	+	1000	213.0	[]	[]	[7.4328523]	[108]	[]	[27020176]
640_16523	chr10	77587034	77587434	+	1000	57.0	[12.820818]	[80]	[9.3206]	[81]	[77587209]	[77587210]
640_16524	chr10	79083231	79083631	+	1000	57.0	[7.5613456]	[159]	[]	[]	[79083459]	[]
640_16528	chr10	104347309	104347709	+	1000	57.0	[9.859796]	[104]	[12.820818]	[105]	[104347502]	[104347503]
640_16529	chr10	124530137	124530537	+	1000	57.0	[8.334265]	[56]	[]	[]	[124530288]	[]
640_1653	chr6	151452033	151452433	+	1000	213.0	[12.820818, 12.820818]	[77, 93]	[9.3206, 9.3206]	[78, 94]	[151452204, 151452220]	[151452205, 151452221]
640_16530	chr10	130136190	130136590	+	706	57.0	[7.3984704]	[71]	[7.4328523]	[72]	[130136359]	[130136360]
640_16531	chr10	133261690	133262090	+	1000	57.0	[]	[]	[8.344066]	[60]	[]	[133261848]
640_16533	chr11	5258490	5258890	+	1000	57.0	[9.3206]	[153]	[9.3206]	[154]	[5258739]	[5258740]
640_1654	chr7	44606854	44607254	+	1000	213.0	[9.3206]	[84]	[12.820818]	[85]	[44607037]	[44607038]
640_16540	chr11	57643851	57644251	+	1000	57.0	[9.081068]	[118]	[]	[]	[57644068]	[]
640_16545	chr11	62502291	62502691	+	1000	57.0	[12.820818, 9.081068]	[135, 142]	[9.957076]	[136]	[62502522, 62502529]	[62502523]
640_1655	chr7	150400386	150400786	+	1000	213.0	[]	[]	[9.081068]	[106]	[]	[150400591]
640_16550	chr11	78325099	78325499	+	1000	57.0	[9.081068]	[109]	[]	[]	[78325305]	[]
640_16558	chr12	7109088	7109488	+	1000	57.0	[8.334265]	[140]	[]	[]	[7109321]	[]
640_16559	chr12	8227502	8227902	+	1000	57.0	[12.820818]	[83]	[12.820818]	[84]	[8227680]	[8227681]
640_1656	chr9	124771451	124771851	+	1000	213.0	[9.957076]	[103]	[9.957076]	[104]	[124771644]	[124771645]
640_16563	chr12	48119089	48119489	+	1000	57.0	[8.334265]	[137]	[7.5613456]	[138]	[48119310]	[48119311]
640_16566	chr12	51951444	51951844	+	1000	57.0	[9.957076]	[73]	[9.957076]	[74]	[51951612]	[51951613]
640_16567	chr12	52952138	52952538	+	1000	57.0	[9.859796]	[127]	[9.957076]	[128]	[52952364]	[52952365]
640_1657	chr1	32650766	32651166	+	1000	212.0	[9.3206]	[126]	[9.3206]	[127]	[32650970]	[32650971]
640_16570	chr12	64759251	64759651	+	1000	57.0	[9.3206, 9.3206]	[83, 123]	[9.3206, 9.3206]	[84, 124]	[64759426, 64759466]	[64759427, 64759467]
640_16578	chr12	121649868	121650268	+	1000	57.0	[7.5613456]	[169]	[8.334265]	[170]	[121650092]	[121650093]
640_16580	chr12	124169617	124170017	+	1000	57.0	[12.820818]	[125]	[9.957076]	[126]	[124169835]	[124169836]
640_16582	chr12	127280653	127281053	+	1000	57.0	[7.3805842]	[135]	[7.981569]	[136]	[127280887]	[127280888]
640_16584	chr13	49585337	49585737	+	1000	57.0	[9.3206]	[174]	[12.820818]	[175]	[49585582]	[49585583]
640_16585	chr13	50125514	50125914	+	1000	57.0	[9.3206]	[208]	[]	[]	[50125765]	[]
640_1659	chr1	155970472	155970872	+	1000	212.0	[7.3805842]	[94]	[7.981569]	[95]	[155970659]	[155970660]
640_16590	chr14	58199672	58200072	+	1000	57.0	[]	[]	[8.344066]	[98]	[]	[58199868]
640_16592	chr14	64220463	64220863	+	1000	57.0	[12.820818]	[143]	[12.820818]	[144]	[64220682]	[64220683]
640_16595	chr14	93184687	93185087	+	1000	57.0	[8.334265]	[159]	[]	[]	[93184864]	[]
640_16596	chr14	99971061	99971461	+	1000	57.0	[12.820818]	[160]	[9.957076]	[161]	[99971311]	[99971312]
640_16597	chr14	103718644	103719044	+	1000	57.0	[9.957076]	[127]	[9.957076]	[128]	[103718864]	[103718865]
640_166	chr6	30557130	30557530	+	1000	434.0	[8.415534]	[62]	[]	[]	[30557287]	[]
640_1660	chr11	46237601	46238001	+	1000	212.0	[8.415534]	[134]	[8.415534, 8.344066]	[102, 135]	[46237810]	[46237778, 46237811]
640_16600	chr15	42920643	42921043	+	1000	57.0	[8.334265]	[131]	[]	[]	[42920838]	[]
640_16601	chr15	45403231	45403631	+	1000	57.0	[7.5613456]	[91]	[]	[]	[45403398]	[]
640_16604	chr15	66903626	66904026	+	1000	57.0	[8.334265]	[144]	[7.5613456]	[145]	[66903869]	[66903870]
640_16605	chr15	68820272	68820672	+	1000	57.0	[]	[]	[8.415534]	[91]	[]	[68820460]
640_16608	chr15	78740374	78740774	+	1000	57.0	[]	[]	[7.981569]	[88]	[]	[78740557]
640_16610	chr15	80059627	80060027	+	1000	57.0	[7.5613456]	[168]	[]	[]	[80059806]	[]
640_16611	chr16	456812	457212	+	1000	57.0	[9.081068]	[73]	[]	[]	[456983]	[]
640_16612	chr16	1943347	1943747	+	1000	57.0	[7.5613456]	[118]	[9.081068, 8.334265]	[104, 119]	[1943548]	[1943534, 1943549]
640_16613	chr16	3637469	3637869	+	1000	57.0	[8.415787]	[130]	[9.081068]	[131]	[3637686]	[3637687]
640_16615	chr16	19167564	19167964	+	1000	57.0	[]	[]	[7.4328523, 7.981569]	[100, 118]	[]	[19167756, 19167774]
640_16619	chr16	23950956	23951356	+	1000	57.0	[9.957076]	[108]	[12.820818]	[109]	[23951148]	[23951149]
640_1662	chr11	125569171	125569571	+	1000	212.0	[7.981569]	[140]	[7.3805842]	[141]	[125569407]	[125569408]
640_16620	chr16	24844475	24844875	+	1000	57.0	[7.5613456]	[100]	[8.334265]	[101]	[24844662]	[24844663]
640_16622	chr16	28110418	28110818	+	1000	57.0	[9.859796]	[125]	[9.3206]	[126]	[28110627]	[28110628]
640_1663	chr12	120242267	120242667	+	1000	212.0	[8.415787]	[87]	[]	[]	[120242453]	[]
640_16631	chr16	87464648	87465048	+	1000	57.0	[12.820818]	[83]	[9.3206]	[84]	[87464827]	[87464828]
640_16632	chr17	4903569	4903969	+	1000	57.0	[9.859796]	[134]	[9.957076]	[135]	[4903798]	[4903799]
640_16633	chr17	7560994	7561394	+	1000	57.0	[7.5613456]	[152]	[]	[]	[7561242]	[]
640_16634	chr17	7841477	7841877	+	1000	57.0	[]	[]	[8.415534]	[80]	[]	[7841643]
640_1664	chr12	131710603	131711003	+	1000	212.0	[7.3805842]	[97]	[7.981569]	[98]	[131710775]	[131710776]
640_16640	chr17	43994872	43995272	+	1000	57.0	[]	[]	[8.344066]	[107]	[]	[43995056]
640_16642	chr17	44907254	44907654	+	1000	57.0	[7.3805842]	[104]	[7.981569]	[105]	[44907454]	[44907455]
640_16646	chr17	50681279	50681679	+	1000	57.0	[8.415787]	[141]	[]	[]	[50681502]	[]
640_16647	chr17	56833074	56833474	+	1000	57.0	[8.415534]	[99]	[8.344066]	[100]	[56833266]	[56833267]
640_16648	chr17	58325846	58326246	+	1000	57.0	[9.957076]	[97]	[12.820818]	[98]	[58326030]	[58326031]
640_16652	chr17	74715041	74715441	+	1000	57.0	[9.081068]	[62]	[]	[]	[74715196]	[]
640_16654	chr17	75754460	75754860	+	1000	57.0	[8.334265, 9.859796, 8.415534]	[117, 129, 141]	[9.957076]	[130]	[75754670, 75754682, 75754694]	[75754683]
640_16655	chr17	82104019	82104419	+	1000	57.0	[9.081068]	[156]	[8.415787]	[157]	[82104257]	[82104258]
640_16658	chr18	959875	960275	+	1000	57.0	[12.820818]	[84]	[9.957076]	[85]	[960057]	[960058]
640_16662	chr18	11995398	11995798	+	1000	57.0	[7.3538165]	[100]	[]	[]	[11995594]	[]
640_16663	chr18	47930121	47930521	+	1000	57.0	[9.081068]	[94]	[]	[]	[47930278]	[]
640_16664	chr19	550068	550468	+	1000	57.0	[8.415534]	[152]	[8.344066]	[153]	[550294]	[550295]
640_1667	chr17	76246376	76246776	+	1000	212.0	[9.859796]	[84]	[9.859796]	[85]	[76246559]	[76246560]
640_16673	chr19	40417055	40417455	+	1000	57.0	[7.4328523]	[101]	[]	[]	[40417242]	[]
640_16678	chr19	47729894	47730294	+	1000	57.0	[]	[]	[7.5613456]	[106]	[]	[47730089]
640_1668	chr18	36129715	36130115	+	1000	212.0	[9.3206]	[181]	[9.859796]	[182]	[36129960]	[36129961]
640_16681	chr2	10659926	10660326	+	1000	57.0	[8.415787]	[96]	[]	[]	[10660095]	[]
640_16682	chr2	12493137	12493537	+	1000	57.0	[7.5613456]	[107]	[8.334265]	[108]	[12493329]	[12493330]
640_16683	chr2	19989503	19989903	+	1000	57.0	[9.3206, 9.957076]	[104, 145]	[12.820818, 12.820818]	[105, 146]	[19989677, 19989718]	[19989678, 19989719]
640_16684	chr2	20561829	20562229	+	1000	57.0	[12.820818]	[127]	[12.820818]	[128]	[20562054]	[20562055]
640_16686	chr2	24973845	24974245	+	1000	57.0	[8.415787]	[155]	[]	[]	[24974075]	[]
640_16688	chr2	26767263	26767663	+	1000	57.0	[9.957076]	[100]	[9.957076]	[101]	[26767458]	[26767459]
640_1669	chr3	58161769	58162169	+	1000	212.0	[9.081068]	[114]	[]	[]	[58161980]	[]
640_16694	chr2	70089559	70089959	+	1000	57.0	[9.957076, 7.3538165]	[100, 158]	[9.859796]	[101]	[70089752, 70089810]	[70089753]
640_16695	chr2	86000335	86000735	+	1000	57.0	[9.957076]	[111]	[9.957076]	[112]	[86000535]	[86000536]
640_16699	chr2	118847674	118848074	+	1000	57.0	[9.957076, 9.957076]	[83, 100]	[9.3206, 9.859796]	[84, 101]	[118847845, 118847862]	[118847846, 118847863]
640_16701	chr2	120552887	120553287	+	1000	57.0	[]	[]	[7.981569]	[121]	[]	[120553094]
640_16706	chr2	241844079	241844479	+	1000	57.0	[]	[]	[8.344066]	[107]	[]	[241844261]
640_16707	chr2	242075144	242075544	+	1000	57.0	[9.3206]	[112]	[12.820818]	[113]	[242075331]	[242075332]
640_16708	chr2	242088454	242088854	+	1000	57.0	[8.344066]	[55]	[]	[]	[242088608]	[]
640_1671	chr7	101100246	101100646	+	1000	212.0	[9.081068]	[139]	[8.415787]	[140]	[101100479]	[101100480]
640_16711	chr20	35823142	35823542	+	1000	57.0	[]	[]	[7.1483927]	[150]	[]	[35823367]
640_16712	chr20	37276581	37276981	+	1000	57.0	[9.957076]	[113]	[12.820818]	[114]	[37276786]	[37276787]
640_16714	chr20	49448858	49449258	+	1000	57.0	[12.820818]	[107]	[12.820818]	[108]	[49449065]	[49449066]
640_16715	chr20	50003129	50003529	+	1000	57.0	[]	[]	[7.981569]	[80]	[]	[50003298]
640_16717	chr20	63894708	63895108	+	1000	57.0	[8.334265, 8.334265]	[128, 138]	[9.081068]	[105]	[63894890, 63894900]	[63894867]
640_1672	chr8	47960721	47961121	+	1000	212.0	[7.5613456]	[145]	[8.334265]	[146]	[47960962]	[47960963]
640_16720	chr22	20022706	20023106	+	1000	57.0	[]	[]	[9.081068]	[150]	[]	[20022923]
640_16723	chr22	21055693	21056093	+	1000	57.0	[9.859796]	[101]	[12.820818]	[102]	[21055876]	[21055877]
640_16726	chr22	22975150	22975550	+	1000	57.0	[12.820818]	[81]	[9.3206]	[82]	[22975316]	[22975317]
640_16727	chr22	26484304	26484704	+	1000	57.0	[9.859796]	[149]	[7.981569, 9.3206]	[130, 150]	[26484522]	[26484503, 26484523]
640_16728	chr3	4904781	4905181	+	1000	57.0	[8.415787]	[108]	[]	[]	[4904975]	[]
640_1673	chr9	121320074	121320474	+	1000	212.0	[7.981569, 7.981569]	[69, 144]	[7.3538165, 7.3805842]	[78, 145]	[121320241, 121320316]	[121320250, 121320317]
640_16737	chr3	72143271	72143671	+	1000	57.0	[9.081068]	[97]	[]	[]	[72143464]	[]
640_1674	chrX	130594391	130594791	+	1000	212.0	[8.415787, 12.820818]	[115, 142]	[9.957076]	[143]	[130594601, 130594628]	[130594629]
640_16740	chr3	130111162	130111562	+	1000	57.0	[8.334265]	[200]	[]	[]	[130111373]	[]
640_16746	chr4	1746197	1746597	+	1000	57.0	[7.5613456]	[164]	[8.334265]	[165]	[1746442]	[1746443]
640_16747	chr4	48126658	48127058	+	1000	57.0	[]	[]	[9.081068]	[178]	[]	[48126900]
640_16752	chr4	138259774	138260174	+	1000	57.0	[12.820818]	[122]	[12.820818]	[123]	[138259974]	[138259975]
640_16753	chr4	154552076	154552476	+	1000	57.0	[]	[]	[9.081068]	[78]	[]	[154552249]
640_16755	chr4	159349306	159349706	+	1000	57.0	[9.957076]	[86]	[12.820818]	[87]	[159349485]	[159349486]
640_16756	chr5	14901667	14902067	+	1000	57.0	[9.957076]	[96]	[12.820818]	[97]	[14901855]	[14901856]
640_16758	chr5	54517467	54517867	+	1000	57.0	[]	[]	[7.2921777]	[134]	[]	[54517699]
640_16759	chr5	55308414	55308814	+	1000	57.0	[9.859796]	[141]	[9.859796]	[142]	[55308651]	[55308652]
640_1676	chr1	234373306	234373706	+	1000	211.0	[8.415534]	[104]	[]	[]	[234373505]	[]
640_16762	chr5	77077517	77077917	+	1000	57.0	[7.5613456]	[106]	[8.334265, 8.334265]	[63, 107]	[77077716]	[77077673, 77077717]
640_16764	chr5	122774886	122775286	+	1000	57.0	[9.3206]	[81]	[9.3206]	[82]	[122775051]	[122775052]
640_16767	chr5	132419664	132420064	+	1000	57.0	[]	[]	[8.334265]	[75]	[]	[132419820]
640_16772	chr6	5303238	5303638	+	1000	57.0	[9.957076]	[70]	[12.820818]	[71]	[5303405]	[5303406]
640_16773	chr6	13251278	13251678	+	1000	57.0	[9.081068]	[94]	[]	[]	[13251467]	[]
640_16775	chr6	15327207	15327607	+	1000	57.0	[7.3805842]	[151]	[7.981569]	[152]	[15327439]	[15327440]
640_16776	chr6	15735711	15736111	+	1000	57.0	[7.1483927]	[125]	[]	[]	[15735935]	[]
640_16777	chr6	26570826	26571226	+	1000	57.0	[7.981569]	[81]	[]	[]	[26570998]	[]
640_16780	chr6	34888974	34889374	+	1000	57.0	[8.334265]	[125]	[]	[]	[34889164]	[]
640_16784	chr6	43477376	43477776	+	1000	57.0	[7.3538165]	[74]	[]	[]	[43477538]	[]
640_16785	chr6	43856152	43856552	+	1000	57.0	[]	[]	[8.334265]	[113]	[]	[43856355]
640_16787	chr6	84074927	84075327	+	1000	57.0	[8.344066]	[114]	[8.415534, 7.3538165]	[115, 153]	[84075119]	[84075120, 84075158]
640_16789	chr6	108592636	108593036	+	1000	57.0	[9.957076]	[122]	[12.820818]	[123]	[108592852]	[108592853]
640_1679	chr2	28392603	28393003	+	1000	211.0	[7.981569, 8.415787]	[52, 103]	[9.081068]	[104]	[28392755, 28392806]	[28392807]
640_16791	chr6	110537198	110537598	+	1000	57.0	[12.820818]	[103]	[9.957076]	[104]	[110537396]	[110537397]
640_16792	chr6	118650864	118651264	+	1000	57.0	[]	[]	[8.415534]	[118]	[]	[118651067]
640_16793	chr6	135148840	135149240	+	1000	57.0	[9.859796]	[121]	[9.957076]	[122]	[135149059]	[135149060]
640_16795	chr6	150165812	150166212	+	1000	57.0	[12.820818, 9.081068]	[128, 142]	[9.957076]	[129]	[150166029, 150166043]	[150166030]
640_16796	chr6	157459278	157459678	+	1000	57.0	[9.859796]	[182]	[9.859796]	[183]	[157459512]	[157459513]
640_16798	chr6	160160388	160160788	+	1000	57.0	[9.957076]	[149]	[9.859796]	[150]	[160160624]	[160160625]
640_16799	chr6	161533283	161533683	+	1000	57.0	[12.820818]	[174]	[9.859796]	[175]	[161533503]	[161533504]
640_168	chr6	44247294	44247694	+	1000	433.0	[9.957076]	[82]	[12.820818]	[83]	[44247469]	[44247470]
640_1680	chr3	123066715	123067115	+	1000	211.0	[12.820818]	[93]	[12.820818]	[94]	[123066904]	[123066905]
640_16800	chr6	163731118	163731518	+	1000	57.0	[9.957076]	[113]	[9.859796]	[114]	[163731305]	[163731306]
640_16802	chr7	43869261	43869661	+	1000	57.0	[]	[]	[7.4328523]	[110]	[]	[43869456]
640_16806	chr7	91554808	91555208	+	1000	57.0	[]	[]	[8.334265]	[123]	[]	[91555022]
640_16807	chr7	98458067	98458467	+	1000	57.0	[9.3206]	[163]	[12.820818]	[164]	[98458316]	[98458317]
640_16809	chr7	100692526	100692926	+	1000	57.0	[12.820818]	[101]	[9.081068, 12.820818]	[78, 102]	[100692719]	[100692696, 100692720]
640_1681	chr3	129448342	129448742	+	1000	211.0	[9.859796]	[121]	[12.820818]	[122]	[129448560]	[129448561]
640_16812	chr7	107032020	107032420	+	1000	57.0	[9.081068]	[131]	[]	[]	[107032246]	[]
640_16814	chr7	148262660	148263060	+	1000	57.0	[8.334265]	[164]	[9.081068, 7.5613456]	[93, 165]	[148262910]	[148262839, 148262911]
640_16815	chr7	152341370	152341770	+	1000	57.0	[]	[]	[9.081068]	[85]	[]	[152341547]
640_16816	chr7	157124614	157125014	+	1000	57.0	[7.981569, 12.820818]	[118, 136]	[7.3805842, 12.820818]	[119, 137]	[157124798, 157124816]	[157124799, 157124817]
640_16817	chr8	19940214	19940614	+	1000	57.0	[9.957076, 8.415534]	[101, 121]	[12.820818, 8.344066]	[102, 122]	[19940401, 19940421]	[19940402, 19940422]
640_16818	chr8	22216497	22216897	+	1000	57.0	[12.820818]	[109]	[12.820818]	[110]	[22216706]	[22216707]
640_16821	chr8	38936637	38937037	+	1000	57.0	[7.5613456]	[117]	[8.334265]	[118]	[38936844]	[38936845]
640_16823	chr8	58318278	58318678	+	1000	57.0	[12.820818]	[107]	[12.820818]	[108]	[58318470]	[58318471]
640_16828	chr8	94949298	94949698	+	1000	57.0	[9.957076]	[110]	[9.3206]	[111]	[94949502]	[94949503]
640_16832	chr8	143741562	143741962	+	1000	57.0	[]	[]	[7.5613456, 9.081068]	[115, 129]	[]	[143741755, 143741769]
640_16837	chr9	124595706	124596106	+	1000	57.0	[]	[]	[7.3538165]	[72]	[]	[124595858]
640_16839	chr9	129886814	129887214	+	1000	57.0	[7.2921777]	[115]	[]	[]	[129887003]	[]
640_16840	chr9	130138136	130138536	+	1000	57.0	[7.981569]	[108]	[]	[]	[130138335]	[]
640_16842	chr9	132977679	132978079	+	1000	57.0	[]	[]	[7.5613456]	[104]	[]	[132977853]
640_16844	chr9	134459208	134459608	+	1000	57.0	[]	[]	[8.415787]	[127]	[]	[134459409]
640_16846	chr9	136769905	136770305	+	1000	57.0	[8.415534]	[114]	[]	[]	[136770107]	[]
640_16849	chrX	48795219	48795619	+	1000	57.0	[9.081068]	[124]	[]	[]	[48795434]	[]
640_1685	chr1	9539260	9539660	+	1000	210.0	[12.820818]	[81]	[9.3206]	[82]	[9539438]	[9539439]
640_16851	chr1	1079679	1080079	+	1000	56.0	[9.859796]	[105]	[9.957076]	[106]	[1079856]	[1079857]
640_1686	chr1	30778263	30778663	+	1000	210.0	[7.3538165]	[142]	[9.081068]	[94]	[30778492]	[30778444]
640_16863	chr1	36273071	36273471	+	1000	56.0	[]	[]	[9.081068]	[141]	[]	[36273297]
640_16864	chr1	36299851	36300251	+	1000	56.0	[]	[]	[9.081068]	[150]	[]	[36300085]
640_16869	chr1	113217924	113218324	+	1000	56.0	[]	[]	[9.081068]	[113]	[]	[113218120]
640_1687	chr1	89524151	89524551	+	1000	210.0	[9.859796]	[96]	[9.3206, 8.415534]	[97, 122]	[89524338]	[89524339, 89524364]
640_16874	chr1	150235252	150235652	+	1000	56.0	[7.3805842]	[119]	[7.981569]	[120]	[150235460]	[150235461]
640_16875	chr1	150559919	150560319	+	1000	56.0	[8.334265]	[120]	[]	[]	[150560138]	[]
640_16876	chr1	156706599	156706999	+	1000	56.0	[9.957076]	[176]	[12.820818]	[177]	[156706847]	[156706848]
640_16879	chr1	180252596	180252996	+	1000	56.0	[]	[]	[8.415787]	[98]	[]	[180252787]
640_1688	chr1	163321650	163322050	+	1000	210.0	[8.334265]	[148]	[]	[]	[163321874]	[]
640_16880	chr1	180609727	180610127	+	1000	56.0	[]	[]	[9.081068, 7.3984704]	[83, 103]	[]	[180609899, 180609919]
640_16883	chr1	225931285	225931685	+	1000	56.0	[9.081068]	[162]	[8.415787]	[163]	[225931534]	[225931535]
640_16886	chr1	228378418	228378818	+	1000	56.0	[12.820818]	[77]	[9.957076, 7.4328523]	[78, 138]	[228378590]	[228378591, 228378651]
640_1689	chr1	168225541	168225941	+	1000	210.0	[9.957076]	[103]	[12.820818]	[104]	[168225731]	[168225732]
640_16890	chr10	7252056	7252456	+	1000	56.0	[7.3984704]	[66]	[]	[]	[7252211]	[]
640_16895	chr10	30384761	30385161	+	1000	56.0	[8.415787, 9.081068]	[115, 127]	[8.415787]	[128]	[30384970, 30384982]	[30384983]
640_16896	chr10	32109537	32109937	+	1000	56.0	[12.820818]	[133]	[9.957076]	[134]	[32109745]	[32109746]
640_16897	chr10	35306744	35307144	+	1000	56.0	[9.957076]	[108]	[9.859796]	[109]	[35306926]	[35306927]
640_16898	chr10	49298924	49299324	+	1000	56.0	[8.344066]	[162]	[7.3805842, 8.415534]	[95, 163]	[49299150]	[49299083, 49299151]
640_16899	chr10	49299482	49299882	+	1000	56.0	[8.415787]	[165]	[9.081068]	[166]	[49299722]	[49299723]
640_1690	chr10	119597130	119597530	+	1000	210.0	[8.415534]	[106]	[8.344066]	[107]	[119597323]	[119597324]
640_16909	chr10	96375232	96375632	+	1000	56.0	[12.820818]	[58]	[9.3206]	[59]	[96375383]	[96375384]
640_1691	chr14	63641480	63641880	+	1000	210.0	[9.859796]	[71]	[9.957076]	[72]	[63641648]	[63641649]
640_16911	chr11	316126	316526	+	1000	56.0	[9.859796]	[145]	[9.957076]	[146]	[316336]	[316337]
640_16914	chr11	12047370	12047770	+	1000	56.0	[7.981569]	[149]	[7.3805842]	[150]	[12047606]	[12047607]
640_1692	chr15	81265830	81266230	+	1000	210.0	[12.820818]	[113]	[9.859796, 8.415534]	[114, 154]	[81266035]	[81266036, 81266076]
640_16922	chr11	61392425	61392825	+	1000	56.0	[7.4328523]	[116]	[7.3984704]	[117]	[61392638]	[61392639]
640_16929	chr11	67805676	67806076	+	1000	56.0	[9.957076]	[90]	[12.820818]	[91]	[67805860]	[67805861]
640_1693	chr17	28725793	28726193	+	1000	210.0	[7.5613456, 9.957076]	[89, 112]	[9.957076]	[113]	[28725969, 28725992]	[28725993]
640_16930	chr11	71786819	71787219	+	1000	56.0	[12.820818]	[85]	[9.957076]	[86]	[71786995]	[71786996]
640_16931	chr11	75022887	75023287	+	1000	56.0	[7.5613456]	[91]	[8.334265]	[92]	[75023072]	[75023073]
640_16933	chr11	76799196	76799596	+	1000	56.0	[7.981569]	[129]	[]	[]	[76799419]	[]
640_16934	chr11	107840725	107841125	+	1000	56.0	[]	[]	[7.3805842]	[77]	[]	[107840898]
640_16936	chr11	116860280	116860680	+	1000	56.0	[12.820818]	[131]	[9.859796]	[132]	[116860510]	[116860511]
640_16938	chr12	9283832	9284232	+	1000	56.0	[8.415534]	[132]	[]	[]	[9284054]	[]
640_1694	chr17	38674937	38675337	+	1000	210.0	[9.859796, 9.957076]	[71, 158]	[12.820818, 12.820818]	[72, 159]	[38675092, 38675179]	[38675093, 38675180]
640_16949	chr12	57846530	57846930	+	1000	56.0	[]	[]	[7.3984704]	[134]	[]	[57846742]
640_1695	chr19	42244647	42245047	+	1000	210.0	[8.344066]	[121]	[8.334265]	[109]	[42244866]	[42244854]
640_16950	chr12	68610472	68610872	+	1000	56.0	[]	[]	[7.4328523]	[151]	[]	[68610704]
640_16954	chr12	109460983	109461383	+	1000	56.0	[]	[]	[7.5613456]	[132]	[]	[109461136]
640_16955	chr12	110698246	110698646	+	1000	56.0	[8.334265]	[85]	[]	[]	[110698428]	[]
640_16956	chr12	113900080	113900480	+	1000	56.0	[12.820818]	[70]	[12.820818]	[71]	[113900249]	[113900250]
640_16957	chr12	121132583	121132983	+	1000	56.0	[8.415787]	[106]	[8.415787]	[109]	[121132787]	[121132790]
640_1696	chr2	241701324	241701724	+	1000	210.0	[8.344066]	[109]	[8.415534]	[110]	[241701521]	[241701522]
640_16960	chr13	20189146	20189546	+	1000	56.0	[]	[]	[9.957076]	[61]	[]	[20189297]
640_16961	chr13	20801693	20802093	+	1000	56.0	[9.859796]	[68]	[9.859796]	[69]	[20801858]	[20801859]
640_16964	chr13	52012023	52012423	+	1000	56.0	[7.4328523]	[89]	[7.3984704]	[90]	[52012209]	[52012210]
640_1697	chr3	177197836	177198236	+	1000	210.0	[8.415534]	[72]	[8.415534, 8.415787]	[117, 128]	[177197990]	[177198035, 177198046]
640_16970	chr14	76257876	76258276	+	1000	56.0	[7.4328523]	[121]	[7.3984704]	[122]	[76258095]	[76258096]
640_16972	chr14	103314543	103314943	+	1000	56.0	[7.4328523]	[205]	[]	[]	[103314791]	[]
640_16973	chr15	29815375	29815775	+	1000	56.0	[9.957076]	[91]	[9.3206]	[92]	[29815553]	[29815554]
640_16976	chr15	40469105	40469505	+	1000	56.0	[]	[]	[8.415787]	[143]	[]	[40469348]
640_16978	chr15	56038040	56038440	+	1000	56.0	[12.820818]	[116]	[12.820818]	[117]	[56038249]	[56038250]
640_1698	chr4	102345357	102345757	+	1000	210.0	[9.957076]	[95]	[12.820818]	[96]	[102345544]	[102345545]
640_16985	chr15	80242126	80242526	+	1000	56.0	[]	[]	[7.1483927]	[147]	[]	[80242362]
640_16986	chr15	88639333	88639733	+	1000	56.0	[]	[]	[9.081068]	[153]	[]	[88639553]
