#PeakID(python scan_motif.py ./ENCODE_processed_files/IKZF1_idr.fa IKZF1 --motif_path ./motifs/ --distance 50  --cutoff --size 400)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
758_19144	chr10	79155216	79155616	+	1000	69.5	[]	[]	[9.411099]	[121]	[]	[79155425]
758_19145	chr10	97718073	97718473	+	1000	69.5	[]	[]	[11.575829, 7.6377397]	[90, 97]	[]	[97718262, 97718269]
758_19146	chr10	112383268	112383668	+	1000	69.5	[]	[]	[7.6377397]	[101]	[]	[112383443]
758_19147	chr11	2799994	2800394	+	1000	69.5	[]	[]	[11.127567]	[135]	[]	[2800226]
758_19148	chr11	9535128	9535528	+	1000	69.5	[]	[]	[7.6377397]	[115]	[]	[9535331]
758_19150	chr11	61963321	61963721	+	1000	69.5	[]	[]	[6.780856]	[123]	[]	[61963518]
758_19152	chr11	75143132	75143532	+	1000	69.5	[8.87635]	[111]	[8.245038]	[73]	[75143334]	[75143296]
758_19153	chr11	76445557	76445957	+	1000	69.5	[]	[]	[6.660896]	[130]	[]	[76445768]
758_19154	chr11	86161272	86161672	+	1000	69.5	[11.127567]	[135]	[]	[]	[86161497]	[]
758_19155	chr11	116894994	116895394	+	1000	69.5	[]	[]	[7.250373, 9.411099]	[73, 118]	[]	[116895151, 116895196]
758_19156	chr12	7959728	7960128	+	1000	69.5	[]	[]	[7.87297]	[145]	[]	[7959969]
758_19157	chr12	8829558	8829958	+	1000	69.5	[]	[]	[9.373037, 7.87297, 6.743228, 6.743228]	[74, 80, 85, 127]	[]	[8829710, 8829716, 8829721, 8829763]
758_19159	chr12	47271802	47272202	+	1000	69.5	[6.773207]	[123]	[]	[]	[47272000]	[]
758_19162	chr12	111597108	111597508	+	1000	69.5	[]	[]	[6.873926]	[177]	[]	[111597335]
758_19165	chr12	133181267	133181667	+	1000	69.5	[]	[]	[11.54585]	[118]	[]	[133181483]
758_19166	chr13	49935676	49936076	+	1000	69.5	[]	[]	[11.54585]	[116]	[]	[49935878]
758_19168	chr14	31894398	31894798	+	1000	69.5	[]	[]	[8.87635, 6.7035384]	[59, 100]	[]	[31894549, 31894590]
758_19169	chr14	65243866	65244266	+	1000	69.5	[6.863072, 6.738754, 6.6800203]	[75, 95, 132]	[]	[]	[65244018, 65244038, 65244075]	[]
758_19170	chr15	27565598	27565998	+	1000	69.5	[6.8930507, 11.362798]	[112, 126]	[8.87635]	[77]	[27565796, 27565810]	[27565761]
758_19171	chr15	28321332	28321732	+	1000	69.5	[9.957938]	[126]	[]	[]	[28321555]	[]
758_19174	chr15	84716512	84716912	+	1000	69.5	[]	[]	[7.0754085, 7.2884393, 7.2884393, 7.87297]	[160, 178, 190, 205]	[]	[84716694, 84716712, 84716724, 84716739]
758_19175	chr15	85010255	85010655	+	1000	69.5	[]	[]	[9.56255]	[143]	[]	[85010488]
758_19176	chr15	89057528	89057928	+	1000	69.5	[7.6377397]	[135]	[]	[]	[89057762]	[]
758_19179	chr15	90991765	90992165	+	1000	69.5	[]	[]	[11.362798]	[135]	[]	[90991992]
758_1918	chr19	15828711	15829111	+	1000	257.5	[]	[]	[8.245038]	[128]	[]	[15828913]
758_19181	chr16	19486463	19486863	+	1000	69.5	[]	[]	[7.3734775]	[129]	[]	[19486669]
758_19183	chr16	57735187	57735587	+	931	69.5	[]	[]	[7.87297]	[147]	[]	[57735342]
758_19185	chr16	75053845	75054245	+	1000	69.5	[]	[]	[6.7416005, 6.7661796]	[71, 118]	[]	[75054005, 75054052]
758_19186	chr16	75593999	75594399	+	1000	69.5	[6.780856]	[151]	[]	[]	[75594245]	[]
758_19188	chr17	4987283	4987683	+	1000	69.5	[6.8930507]	[133]	[]	[]	[4987489]	[]
758_1919	chr20	373425	373825	+	1000	257.5	[]	[]	[7.250373]	[97]	[]	[373608]
758_19190	chr17	31340165	31340565	+	1000	69.5	[7.2884393]	[143]	[]	[]	[31340388]	[]
758_19191	chr17	39335857	39336257	+	1000	69.5	[6.873926]	[83]	[]	[]	[39336024]	[]
758_19192	chr17	42024640	42025040	+	1000	69.5	[]	[]	[11.575829, 11.127567]	[85, 91]	[]	[42024818, 42024824]
758_19193	chr17	50205390	50205790	+	1000	69.5	[6.7661796, 7.3734775]	[118, 160]	[]	[]	[50205583, 50205625]	[]
758_192	chr1_KI270713v1_random	21567	21967	+	1000	569.0	[]	[]	[9.802997]	[75]	[]	[21742]
758_1920	chr3	143001188	143001588	+	1000	257.5	[7.5565295]	[185]	[]	[]	[143001427]	[]
758_19200	chr19	2950854	2951254	+	1000	69.5	[]	[]	[7.5865083]	[84]	[]	[2951033]
758_19201	chr19	3371804	3372204	+	1000	69.5	[]	[]	[7.6377397, 7.6377397]	[61, 69]	[]	[3371957, 3371965]
758_19203	chr19	13839999	13840399	+	1000	69.5	[]	[]	[8.690641]	[126]	[]	[13840217]
758_19206	chr19	42228670	42229070	+	1000	69.5	[]	[]	[9.919872]	[91]	[]	[42228849]
758_19207	chr19	44587484	44587884	+	1000	69.5	[7.2884393, 11.575829, 7.87297]	[115, 128, 156]	[]	[]	[44587635, 44587648, 44587676]	[]
758_19208	chr19	46697654	46698054	+	1000	69.5	[11.575829]	[117]	[]	[]	[46697860]	[]
758_19209	chr19	51342609	51343009	+	1000	69.5	[]	[]	[6.6800203]	[111]	[]	[51342819]
758_1921	chr4	8479066	8479466	+	1000	257.5	[]	[]	[6.8401775, 6.7661796]	[76, 90]	[]	[8479227, 8479241]
758_19211	chr2	26185675	26186075	+	1000	69.5	[]	[]	[8.056022]	[143]	[]	[26185844]
758_19213	chr2	39515225	39515625	+	1000	69.5	[]	[]	[7.25846]	[158]	[]	[39515444]
758_19214	chr2	43190665	43191065	+	1000	69.5	[]	[]	[6.7687325]	[194]	[]	[43190915]
758_19215	chr2	46202340	46202740	+	1000	69.5	[]	[]	[6.780856]	[104]	[]	[46202508]
758_19217	chr2	100892166	100892566	+	1000	69.5	[10.7555, 8.458068, 9.373037]	[105, 120, 138]	[]	[]	[100892364, 100892379, 100892397]	[]
758_19218	chr2	208172125	208172525	+	1000	69.5	[]	[]	[10.770176, 8.458068]	[54, 131]	[]	[208172277, 208172354]
758_1922	chr7	150313349	150313749	+	1000	257.5	[]	[]	[9.241764]	[114]	[]	[150313554]
758_19221	chr20	323747	324147	+	1000	69.5	[7.220394]	[136]	[]	[]	[323976]	[]
758_19222	chr20	31441858	31442258	+	1000	69.5	[7.5565295]	[78]	[]	[]	[31442023]	[]
758_19223	chr20	45358315	45358715	+	1000	69.5	[7.87297]	[86]	[]	[]	[45358488]	[]
758_19225	chr21	35868523	35868923	+	1000	69.5	[11.575829, 8.87635]	[120, 151]	[]	[]	[35868729, 35868760]	[]
758_19226	chr22	12554842	12555242	+	1000	69.5	[7.6377397]	[110]	[8.458068]	[94]	[12555049]	[12555033]
758_19227	chr22	21013516	21013916	+	1000	69.5	[9.241764]	[123]	[]	[]	[21013735]	[]
758_19228	chr22	21730470	21730870	+	1000	69.5	[8.458068]	[119]	[]	[]	[21730679]	[]
758_1923	chr1	23718462	23718862	+	1000	257.0	[11.127567, 9.081597]	[81, 87]	[]	[]	[23718642, 23718648]	[]
758_19230	chr22	31774945	31775345	+	1000	69.5	[]	[]	[7.3734775, 10.7555]	[119, 148]	[]	[31775152, 31775181]
758_19231	chr22	39920149	39920549	+	1000	69.5	[]	[]	[9.411099]	[95]	[]	[39920333]
758_19232	chr22	42615235	42615635	+	1000	69.5	[]	[]	[8.734424]	[179]	[]	[42615447]
758_19233	chr22	47678122	47678522	+	1000	69.5	[9.411099]	[105]	[7.037342, 7.25846, 9.957938]	[70, 120, 156]	[47678310]	[47678275, 47678325, 47678361]
758_19234	chr3	13421003	13421403	+	1000	69.5	[7.037342, 7.652416]	[122, 169]	[]	[]	[13421199, 13421246]	[]
758_19236	chr3	33798826	33799226	+	1000	69.5	[]	[]	[6.7687325]	[81]	[]	[33798989]
758_19238	chr3	45578142	45578542	+	1000	69.5	[]	[]	[10.770176]	[116]	[]	[45578339]
758_19239	chr3	47188977	47189377	+	1000	69.5	[]	[]	[8.245038]	[91]	[]	[47189157]
758_19240	chr3	172160144	172160544	+	1000	69.5	[]	[]	[6.7035384, 7.250373]	[124, 186]	[]	[172160318, 172160380]
758_19241	chr3	179259720	179260120	+	1000	69.5	[10.256007]	[93]	[]	[]	[179259883]	[]
758_19242	chr3	183765374	183765774	+	1000	69.5	[7.5565295]	[92]	[10.256007]	[153]	[183765557]	[183765618]
758_19243	chr3	193852081	193852481	+	1000	69.5	[7.25846]	[140]	[]	[]	[193852263]	[]
758_19245	chr3	196684796	196685196	+	1000	69.5	[7.87297]	[141]	[]	[]	[196685011]	[]
758_19246	chr4	3079316	3079716	+	1000	69.5	[]	[]	[14.245327]	[121]	[]	[3079522]
758_19249	chr4	122749819	122750219	+	1000	69.5	[7.87297]	[163]	[]	[]	[122750063]	[]
758_19250	chr4	122922733	122923133	+	1000	69.5	[]	[]	[6.780856]	[82]	[]	[122922914]
758_19252	chr5	10505551	10505951	+	1000	69.5	[11.575829]	[160]	[7.652416]	[119]	[10505754]	[10505713]
758_19254	chr5	65693093	65693493	+	1000	69.5	[8.693299, 7.6377397, 6.7687325]	[107, 171, 190]	[]	[]	[65693244, 65693308, 65693327]	[]
758_19255	chr5	76945168	76945568	+	1000	69.5	[11.575829]	[166]	[]	[]	[76945399]	[]
758_19256	chr5	78510408	78510808	+	1000	69.5	[]	[]	[7.037342]	[63]	[]	[78510568]
758_19257	chr5	95686647	95687047	+	1000	69.5	[6.863072]	[100]	[]	[]	[95686842]	[]
758_1926	chr17	41500084	41500484	+	1000	257.0	[11.575829, 11.127567]	[71, 139]	[]	[]	[41500244, 41500312]	[]
758_19260	chr5	170331095	170331495	+	1000	69.5	[]	[]	[7.3734775]	[101]	[]	[170331296]
758_19261	chr6	3067155	3067555	+	1000	69.5	[]	[]	[6.7661796]	[129]	[]	[3067373]
758_19264	chr6	15017077	15017477	+	1000	69.5	[8.693299]	[56]	[7.87297, 6.7661796, 7.250373, 7.87297]	[102, 107, 114, 128]	[15017231]	[15017277, 15017282, 15017289, 15017303]
758_19268	chr6	37171840	37172240	+	1000	69.5	[7.037342]	[99]	[]	[]	[37172016]	[]
758_19269	chr6	52576087	52576487	+	1000	69.5	[7.1035194, 6.773207]	[181, 187]	[]	[]	[52576323, 52576329]	[]
758_1927	chr2	171687265	171687665	+	1000	257.0	[]	[]	[6.7661796, 7.3734775]	[95, 163]	[]	[171687444, 171687512]
758_19270	chr6	109690937	109691337	+	1000	69.5	[]	[]	[8.693299]	[217]	[]	[109691166]
758_19273	chr6	151324293	151324693	+	1000	69.5	[]	[]	[9.438231]	[102]	[]	[151324488]
758_19274	chr7	5598200	5598600	+	1000	69.5	[7.5565295]	[88]	[]	[]	[5598352]	[]
758_19276	chr7	18177377	18177777	+	1000	69.5	[]	[]	[8.708212, 7.5565295]	[116, 170]	[]	[18177565, 18177619]
758_19277	chr7	20835125	20835525	+	1000	69.5	[7.5565295, 6.7687325]	[102, 108]	[]	[]	[20835312, 20835318]	[]
758_19278	chr7	26688962	26689362	+	1000	69.5	[6.685237]	[78]	[7.87297]	[60]	[26689133]	[26689115]
758_19279	chr7	36315569	36315969	+	1000	69.5	[]	[]	[11.127567, 11.127567]	[98, 108]	[]	[36315764, 36315774]
758_1928	chr22	23086812	23087212	+	1000	257.0	[8.458068]	[135]	[7.250373]	[121]	[23087042]	[23087028]
758_19282	chr7	105439616	105440016	+	1000	69.5	[]	[]	[11.575829]	[77]	[]	[105439786]
758_19284	chr7	118183613	118184013	+	1000	69.5	[]	[]	[8.245038, 7.2884393]	[83, 112]	[]	[118183790, 118183819]
758_19285	chr7	127673873	127674273	+	1000	69.5	[]	[]	[6.6800203, 6.6800203, 11.362798, 8.245038, 8.693299, 8.245038, 8.245038]	[79, 87, 101, 109, 117, 129, 149]	[]	[127674049, 127674057, 127674071, 127674079, 127674087, 127674099, 127674119]
758_19286	chr7	128407830	128408230	+	1000	69.5	[]	[]	[9.919872]	[126]	[]	[128408054]
758_19289	chr8	30912723	30913123	+	1000	69.5	[7.220394]	[147]	[]	[]	[30912964]	[]
758_1929	chr3	149151686	149152086	+	1000	257.0	[9.442706]	[72]	[]	[]	[149151850]	[]
758_19291	chr8	102730763	102731163	+	1000	69.5	[]	[]	[7.25846]	[130]	[]	[102730951]
758_19292	chr8	116762322	116762722	+	1000	69.5	[6.685237]	[101]	[7.280349]	[157]	[116762488]	[116762544]
758_19293	chr8	127759552	127759952	+	1000	69.5	[]	[]	[7.2884393, 11.127567, 6.7035384]	[108, 114, 138]	[]	[127759738, 127759744, 127759768]
758_193	chr6	13354356	13354756	+	1000	569.0	[11.575829]	[161]	[8.458068]	[91]	[13354597]	[13354527]
758_1930	chr8	10716161	10716561	+	1000	257.0	[8.245038, 8.245038]	[86, 145]	[]	[]	[10716329, 10716388]	[]
758_19301	chr9	123689762	123690162	+	1000	69.5	[]	[]	[6.743228]	[68]	[]	[123689926]
758_19304	chr9	131025074	131025474	+	1000	69.5	[6.7687325, 8.458068]	[141, 144]	[7.2884393, 9.373037]	[101, 118]	[131025292, 131025295]	[131025252, 131025269]
758_19305	chrX	2317656	2318056	+	1000	69.5	[11.575829]	[60]	[]	[]	[2317807]	[]
758_19306	chrX	2387611	2388011	+	1000	69.5	[8.87635]	[99]	[]	[]	[2387779]	[]
758_19307	chrX	38870783	38871183	+	1000	69.5	[7.652416]	[152]	[]	[]	[38871019]	[]
758_19313	chr1	15856857	15857257	+	1000	69.0	[6.660896]	[139]	[10.770176]	[115]	[15857083]	[15857059]
758_19314	chr1	24502358	24502758	+	1000	69.0	[11.127567]	[108]	[7.1035194]	[71]	[24502565]	[24502528]
758_19316	chr1	27097279	27097679	+	1000	69.0	[]	[]	[6.873926, 6.780856]	[90, 172]	[]	[27097438, 27097520]
758_19317	chr1	28288528	28288928	+	1000	69.0	[6.863072]	[66]	[]	[]	[28288684]	[]
758_19318	chr1	28668144	28668544	+	1000	69.0	[9.373037]	[108]	[]	[]	[28668295]	[]
758_19320	chr1	64965417	64965817	+	1000	69.0	[]	[]	[6.743228]	[125]	[]	[64965634]
758_19321	chr1	93566160	93566560	+	1000	69.0	[]	[]	[11.575829]	[86]	[]	[93566342]
758_19322	chr1	108913027	108913427	+	1000	69.0	[]	[]	[9.438231]	[66]	[]	[108913182]
758_19323	chr1	111594315	111594715	+	1000	69.0	[6.7416005, 6.7416005, 7.6377397, 7.6377397]	[127, 133, 146, 165]	[]	[]	[111594513, 111594519, 111594532, 111594551]	[]
758_19325	chr1	151992334	151992734	+	1000	69.0	[]	[]	[11.575829]	[118]	[]	[151992523]
758_19327	chr1	174230400	174230800	+	1000	69.0	[]	[]	[6.7661796]	[121]	[]	[174230598]
758_19328	chr1	181033871	181034271	+	1000	69.0	[]	[]	[14.245327, 6.7116218]	[74, 118]	[]	[181034026, 181034070]
758_1933	chr18	2854156	2854556	+	1000	256.5	[7.3734775]	[93]	[]	[]	[2854342]	[]
758_19332	chr1	212721583	212721983	+	1000	69.0	[7.25846, 8.859356, 6.780856]	[90, 97, 112]	[]	[]	[212721755, 212721762, 212721777]	[]
758_19333	chr1	229280276	229280676	+	1000	69.0	[]	[]	[6.7661796, 7.6377397, 9.442706]	[99, 115, 141]	[]	[229280455, 229280471, 229280497]
758_19336	chr1	248925602	248926002	+	1000	69.0	[11.575829]	[62]	[]	[]	[248925757]	[]
758_19337	chr10	15325557	15325957	+	1000	69.0	[10.256007]	[165]	[]	[]	[15325773]	[]
758_19339	chr10	28806365	28806765	+	1000	69.0	[14.245327]	[136]	[]	[]	[28806583]	[]
758_19340	chr10	28857897	28858297	+	721	69.0	[]	[]	[8.458068, 6.7416005]	[126, 168]	[]	[28858086, 28858128]
758_19341	chr10	30070121	30070521	+	1000	69.0	[]	[]	[7.87297]	[75]	[]	[30070294]
758_19342	chr10	46070530	46070930	+	1000	69.0	[8.693299]	[156]	[]	[]	[46070768]	[]
758_19345	chr11	833805	834205	+	1000	69.0	[]	[]	[6.7035384]	[82]	[]	[833974]
758_19346	chr11	2777341	2777741	+	1000	69.0	[6.6800203]	[99]	[]	[]	[2777529]	[]
758_19347	chr11	11798880	11799280	+	1000	69.0	[7.25846]	[168]	[]	[]	[11799103]	[]
758_19348	chr11	34405188	34405588	+	1000	69.0	[]	[]	[10.7555, 9.802997]	[96, 143]	[]	[34405366, 34405413]
758_19349	chr11	34864378	34864778	+	1000	69.0	[]	[]	[11.575829, 8.056022, 11.575829]	[99, 114, 126]	[]	[34864570, 34864585, 34864597]
758_19350	chr11	45805256	45805656	+	1000	69.0	[]	[]	[8.693299, 9.56255]	[120, 151]	[]	[45805452, 45805483]
758_19351	chr11	47509622	47510022	+	1000	69.0	[7.037342]	[96]	[]	[]	[47509814]	[]
758_19352	chr11	64205538	64205938	+	1000	69.0	[]	[]	[11.127567]	[150]	[]	[64205752]
758_19355	chr12	6722876	6723276	+	1000	69.0	[]	[]	[7.220394]	[115]	[]	[6723062]
758_19356	chr12	14558314	14558714	+	748	69.0	[7.250373, 14.245327]	[141, 181]	[]	[]	[14558524, 14558564]	[]
758_19357	chr12	47776678	47777078	+	1000	69.0	[8.87635]	[112]	[]	[]	[47776873]	[]
758_19358	chr12	49056750	49057150	+	1000	69.0	[11.54585]	[107]	[10.7555]	[121]	[49056925]	[49056939]
758_19359	chr12	50112449	50112849	+	1000	69.0	[]	[]	[6.780856]	[143]	[]	[50112681]
758_1936	chr19	55151998	55152398	+	1000	256.5	[]	[]	[11.362798, 7.0754085, 11.362798, 11.362798, 11.362798, 7.652416]	[58, 78, 99, 119, 139, 150]	[]	[55152150, 55152170, 55152191, 55152211, 55152231, 55152242]
758_19363	chr12	108119287	108119687	+	1000	69.0	[]	[]	[14.245327]	[65]	[]	[108119447]
758_19364	chr12	116121262	116121662	+	1000	69.0	[6.7416005]	[146]	[]	[]	[116121506]	[]
758_19365	chr12	120118328	120118728	+	1000	69.0	[7.6377397]	[146]	[]	[]	[120118567]	[]
758_19366	chr12	121806468	121806868	+	1000	69.0	[6.8930507]	[113]	[]	[]	[121806676]	[]
758_19367	chr13	107869931	107870331	+	1000	69.0	[6.8930507, 6.9204674, 6.8401775]	[116, 133, 159]	[]	[]	[107870134, 107870151, 107870177]	[]
758_19368	chr14	21476409	21476809	+	1000	69.0	[7.2884393]	[100]	[]	[]	[21476604]	[]
758_19369	chr14	23300638	23301038	+	1000	69.0	[7.3734775]	[73]	[7.5565295]	[141]	[23300794]	[23300862]
758_1937	chr3	13404591	13404991	+	1000	256.5	[]	[]	[9.957938]	[151]	[]	[13404839]
758_19370	chr14	76546788	76547188	+	1000	69.0	[6.863072]	[91]	[]	[]	[76546976]	[]
758_19374	chr15	63420316	63420716	+	1000	69.0	[6.7661796]	[68]	[]	[]	[63420470]	[]
758_19375	chr15	64527514	64527914	+	1000	69.0	[]	[]	[7.87297]	[74]	[]	[64527667]
758_19376	chr15	66356296	66356696	+	1000	69.0	[]	[]	[8.428089]	[149]	[]	[66356515]
758_19377	chr15	69059098	69059498	+	1000	69.0	[7.5565295]	[112]	[]	[]	[69059300]	[]
758_19379	chr15	95170694	95171094	+	1000	69.0	[]	[]	[6.673559]	[144]	[]	[95170922]
758_1938	chr3	171192286	171192686	+	1000	256.5	[8.458068]	[119]	[6.743228]	[64]	[171192499]	[171192444]
758_19381	chr16	20910823	20911223	+	1000	69.0	[10.256007]	[175]	[]	[]	[20911014]	[]
758_19386	chr16	57268784	57269184	+	1000	69.0	[6.738754]	[182]	[]	[]	[57269032]	[]
758_19388	chr17	4941207	4941607	+	1000	69.0	[9.919872]	[128]	[]	[]	[4941435]	[]
758_19389	chr17	17971207	17971607	+	1000	69.0	[]	[]	[7.5565295]	[110]	[]	[17971414]
758_1939	chr6	40997486	40997886	+	1000	256.5	[8.458068]	[127]	[6.7035384]	[154]	[40997710]	[40997737]
758_19391	chr17	62234020	62234420	+	1000	69.0	[7.2884393]	[122]	[]	[]	[62234228]	[]
758_19393	chr17	76266381	76266781	+	1000	69.0	[7.3734775]	[120]	[]	[]	[76266595]	[]
758_19395	chr17	82349386	82349786	+	1000	69.0	[]	[]	[7.220394, 7.037342]	[148, 167]	[]	[82349612, 82349631]
758_19399	chr19	953514	953914	+	1000	69.0	[7.6377397]	[128]	[]	[]	[953727]	[]
758_194	chr1	154354575	154354975	+	1000	568.5	[]	[]	[6.780856, 9.442706]	[125, 137]	[]	[154354787, 154354799]
758_19400	chr19	1546040	1546440	+	1000	69.0	[8.245038]	[80]	[]	[]	[1546197]	[]
758_19402	chr19	3605721	3606121	+	1000	69.0	[6.673559, 7.0754085]	[197, 222]	[]	[]	[3605932, 3605957]	[]
758_19403	chr19	3968529	3968929	+	1000	69.0	[7.5865083]	[84]	[]	[]	[3968708]	[]
758_19407	chr19	19053828	19054228	+	1000	69.0	[]	[]	[10.256007, 6.743228]	[104, 149]	[]	[19054020, 19054065]
758_19412	chr19	55189428	55189828	+	1000	69.0	[]	[]	[11.575829]	[124]	[]	[55189641]
758_19414	chr2	19786442	19786842	+	1000	69.0	[]	[]	[11.575829]	[153]	[]	[19786643]
758_19419	chr2	177212068	177212468	+	1000	69.0	[14.245327]	[180]	[]	[]	[177212274]	[]
758_1942	chr9	123002769	123003169	+	1000	256.5	[11.127567]	[77]	[]	[]	[123002939]	[]
758_19420	chr2	219125244	219125644	+	1000	69.0	[]	[]	[6.7687325]	[154]	[]	[219125490]
758_19424	chr20	31059285	31059685	+	1000	69.0	[7.87297]	[66]	[]	[]	[31059451]	[]
758_19427	chr20	34874053	34874453	+	1000	69.0	[6.9204674]	[136]	[]	[]	[34874277]	[]
758_19428	chr20	36865013	36865413	+	1000	69.0	[]	[]	[6.7416005, 7.87297, 10.7555, 8.458068, 6.7687325, 8.458068]	[86, 92, 119, 125, 128, 146]	[]	[36865179, 36865185, 36865212, 36865218, 36865221, 36865239]
758_19431	chr20	49541861	49542261	+	1000	69.0	[9.957938]	[118]	[]	[]	[49542076]	[]
758_19433	chr20	62487498	62487898	+	1000	69.0	[]	[]	[8.056022]	[96]	[]	[62487682]
758_19434	chr21	44845757	44846157	+	1000	69.0	[7.3734775]	[137]	[6.863072]	[129]	[44845973]	[44845965]
758_19435	chr21	45292490	45292890	+	1000	69.0	[]	[]	[7.5565295]	[73]	[]	[45292659]
758_19439	chr22	30422898	30423298	+	1000	69.0	[6.863072]	[137]	[7.5565295]	[74]	[30423134]	[30423071]
758_1944	chr1	112707305	112707705	+	1000	256.0	[]	[]	[6.738754]	[71]	[]	[112707476]
758_19440	chr22	31970475	31970875	+	1000	69.0	[8.458068, 6.7687325]	[99, 138]	[]	[]	[31970670, 31970709]	[]
758_19441	chr22	39396354	39396754	+	1000	69.0	[]	[]	[11.362798]	[112]	[]	[39396557]
758_19444	chr3	15768969	15769369	+	1000	69.0	[7.25846]	[96]	[]	[]	[15769146]	[]
758_19449	chr3	101181754	101182154	+	1000	69.0	[6.738754, 6.7416005]	[85, 163]	[7.220394]	[97]	[101181926, 101182004]	[101181938]
758_19450	chr3	136840320	136840720	+	1000	69.0	[]	[]	[8.458068, 6.7687325, 8.693299, 7.6377397]	[75, 81, 104, 136]	[]	[136840486, 136840492, 136840515, 136840547]
758_19451	chr3	141458847	141459247	+	1000	69.0	[]	[]	[7.0754085, 6.673559]	[125, 165]	[]	[141459050, 141459090]
758_19454	chr3	177284467	177284867	+	1000	69.0	[6.780856]	[82]	[9.438231, 8.87635]	[90, 122]	[177284649]	[177284657, 177284689]
758_19456	chr4	1573245	1573645	+	1000	69.0	[]	[]	[10.256007, 6.7687325]	[68, 92]	[]	[1573400, 1573424]
758_19457	chr4	73258771	73259171	+	1000	69.0	[9.56255, 6.7416005]	[55, 135]	[]	[]	[73258924, 73259004]	[]
758_1946	chr1	154559197	154559597	+	1000	256.0	[7.250373]	[140]	[9.373037, 9.802997]	[89, 98]	[154559432]	[154559381, 154559390]
758_19461	chr4	109135008	109135408	+	1000	69.0	[6.685237]	[157]	[]	[]	[109135251]	[]
758_19462	chr4	173334416	173334816	+	1000	69.0	[8.693299]	[138]	[]	[]	[173334615]	[]
758_19463	chr5	39055005	39055405	+	1000	69.0	[]	[]	[6.6800203]	[133]	[]	[39055217]
758_19465	chr5	75706841	75707241	+	1000	69.0	[6.6800203]	[139]	[]	[]	[75707030]	[]
758_19467	chr5	138353227	138353627	+	1000	69.0	[]	[]	[10.7555]	[81]	[]	[138353407]
758_19471	chr6	29705623	29706023	+	1000	69.0	[]	[]	[14.245327]	[75]	[]	[29705796]
758_19472	chr6	41318684	41319084	+	1000	69.0	[11.362798]	[122]	[]	[]	[41318890]	[]
758_19474	chr6	117553211	117553611	+	1000	69.0	[]	[]	[6.7416005, 7.280349, 7.87297]	[99, 132, 148]	[]	[117553408, 117553441, 117553457]
758_19476	chr6	146898845	146899245	+	1000	69.0	[7.220394]	[83]	[]	[]	[146899026]	[]
758_1948	chr14	52547482	52547882	+	1000	256.0	[14.245327]	[93]	[8.693299]	[81]	[52547663]	[52547651]
758_19480	chr7	99330385	99330785	+	1000	69.0	[]	[]	[7.280349]	[142]	[]	[99330619]
758_19483	chr7	121070585	121070985	+	1000	69.0	[]	[]	[7.87297]	[93]	[]	[121070776]
758_19484	chr7	131586248	131586648	+	1000	69.0	[11.362798]	[150]	[]	[]	[131586494]	[]
758_19485	chr8	104990122	104990522	+	1000	69.0	[]	[]	[7.6377397]	[140]	[]	[104990347]
758_19486	chr8	127854487	127854887	+	1000	69.0	[10.770176]	[70]	[]	[]	[127854656]	[]
758_19487	chr9	27059916	27060316	+	1000	69.0	[11.54585]	[146]	[]	[]	[27060148]	[]
758_19489	chr9	113548207	113548607	+	1000	69.0	[]	[]	[7.3734775]	[107]	[]	[113548408]
758_19495	chr9	131097277	131097677	+	1000	69.0	[]	[]	[6.7687325]	[152]	[]	[131097498]
758_19499	chrX	16639894	16640294	+	1000	69.0	[]	[]	[11.127567]	[227]	[]	[16640130]
758_195	chr2	159135327	159135727	+	1000	567.5	[9.438231]	[150]	[]	[]	[159135571]	[]
758_1950	chr7	106072148	106072548	+	1000	256.0	[]	[]	[8.458068]	[94]	[]	[106072340]
758_19500	chrX	40644795	40645195	+	1000	69.0	[6.8401775, 9.081597]	[64, 135]	[]	[]	[40644952, 40645023]	[]
758_19501	chrX	48777041	48777441	+	1000	69.0	[]	[]	[7.220394]	[117]	[]	[48777247]
758_19502	chrX	119757877	119758277	+	1000	69.0	[6.8930507]	[136]	[]	[]	[119758108]	[]
758_19503	chr1	2204234	2204634	+	1000	68.5	[10.256007]	[137]	[7.87297]	[91]	[2204466]	[2204420]
758_19506	chr1	15222489	15222889	+	1000	68.5	[8.458068, 6.7416005, 7.6377397, 7.87297]	[72, 94, 115, 120]	[]	[]	[15222656, 15222678, 15222699, 15222704]	[]
758_19507	chr1	20522302	20522702	+	1000	68.5	[]	[]	[8.428089]	[83]	[]	[20522459]
758_19509	chr1	28247908	28248308	+	1000	68.5	[6.660896]	[127]	[]	[]	[28248123]	[]
758_1951	chr8	11762320	11762720	+	1000	256.0	[7.25846]	[126]	[]	[]	[11762540]	[]
758_19511	chr1	40887679	40888079	+	1000	68.5	[]	[]	[9.442706, 6.6800203]	[81, 114]	[]	[40887855, 40887888]
758_19512	chr1	43373003	43373403	+	1000	68.5	[]	[]	[7.037342]	[87]	[]	[43373181]
758_19513	chr1	52843980	52844380	+	1000	68.5	[7.6377397]	[194]	[]	[]	[52844223]	[]
758_19517	chr1	92924578	92924978	+	1000	68.5	[]	[]	[9.081597, 6.743228]	[197, 217]	[]	[92924801, 92924821]
