#PeakID(python identify_motif.py ./ENCODE_processed_files/SPI1_idr.fa SPI1 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
685_12017	chr1	28126706	28127106	+	660	59.0	[7.137104]	[133]	[11.538822]	[99]	[28126938]	[28126904]
685_12022	chr1	60961168	60961568	+	1000	59.0	[6.9758544, 16.22155]	[77, 92]	[]	[]	[60961340, 60961355]	[]
685_12024	chr1	70041787	70042187	+	1000	59.0	[]	[]	[10.970205]	[91]	[]	[70041968]
685_12026	chr1	109198068	109198468	+	1000	59.0	[]	[]	[6.629767, 5.7293916]	[185, 190]	[]	[109198309, 109198314]
685_12028	chr1	116494052	116494452	+	1000	59.0	[6.395516, 16.822435]	[73, 79]	[]	[]	[116494209, 116494215]	[]
685_12029	chr1	119565141	119565541	+	1000	59.0	[]	[]	[12.113983, 7.8867083, 7.9674554, 6.3147326]	[101, 109, 127, 134]	[]	[119565337, 119565345, 119565363, 119565370]
685_12030	chr1	120342628	120343028	+	1000	59.0	[]	[]	[13.92105, 5.785794, 6.604657]	[77, 103, 110]	[]	[120342801, 120342827, 120342834]
685_12034	chr1	183554563	183554963	+	1000	59.0	[]	[]	[16.171165]	[118]	[]	[183554771]
685_12037	chr1	212286290	212286690	+	1000	59.0	[]	[]	[5.6436305, 5.8947935]	[130, 221]	[]	[212286448, 212286539]
685_12040	chr1	229893749	229894149	+	1000	59.0	[]	[]	[12.036125]	[103]	[]	[229893950]
685_12041	chr1	230128558	230128958	+	1000	59.0	[]	[]	[6.8852844, 11.238911]	[94, 109]	[]	[230128746, 230128761]
685_12048	chr10	50326710	50327110	+	1000	59.0	[7.549574]	[84]	[]	[]	[50326890]	[]
685_12050	chr10	70578361	70578761	+	1000	59.0	[7.659243]	[120]	[]	[]	[70578570]	[]
685_12053	chr10	104255603	104256003	+	1000	59.0	[7.7042885]	[100]	[]	[]	[104255800]	[]
685_12055	chr10	128516199	128516599	+	1000	59.0	[]	[]	[16.558989]	[104]	[]	[128516398]
685_12056	chr11	3193915	3194315	+	1000	59.0	[6.0065746, 14.849025]	[80, 83]	[]	[]	[3194082, 3194085]	[]
685_12058	chr11	62591401	62591801	+	1000	59.0	[13.189266]	[86]	[]	[]	[62591584]	[]
685_12059	chr11	64954566	64954966	+	1000	59.0	[]	[]	[13.269779, 9.454756]	[116, 134]	[]	[64954774, 64954792]
685_12060	chr11	72343082	72343482	+	1000	59.0	[]	[]	[8.13651]	[162]	[]	[72343313]
685_12065	chr11	95147440	95147840	+	1000	59.0	[8.025741]	[122]	[7.2090893]	[146]	[95147657]	[95147681]
685_12069	chr12	21437444	21437844	+	1000	59.0	[9.43234]	[115]	[8.465739]	[139]	[21437633]	[21437657]
685_12070	chr12	27975092	27975492	+	1000	59.0	[]	[]	[9.803803, 9.577981, 7.2827163]	[83, 101, 109]	[]	[27975268, 27975286, 27975294]
685_12080	chr15	34337757	34338157	+	1000	59.0	[]	[]	[5.8524327, 5.9485536, 7.488675]	[69, 74, 89]	[]	[34337918, 34337923, 34337938]
685_12081	chr15	40763404	40763804	+	1000	59.0	[11.853279]	[99]	[]	[]	[40763597]	[]
685_12082	chr15	67065153	67065553	+	1000	59.0	[]	[]	[9.521467]	[97]	[]	[67065340]
685_12088	chr16	31117467	31117867	+	1000	59.0	[]	[]	[12.397899]	[104]	[]	[31117665]
685_1209	chr4	105061331	105061731	+	1000	222.0	[]	[]	[12.435392]	[102]	[]	[105061532]
685_12091	chr16	85328165	85328565	+	1000	59.0	[]	[]	[5.8264236, 6.369427]	[77, 89]	[]	[85328341, 85328353]
685_12097	chr17	30380643	30381043	+	1000	59.0	[6.6102138]	[59]	[15.358653, 6.89501]	[106, 129]	[30380799]	[30380846, 30380869]
685_121	chr6	44264204	44264604	+	1000	446.0	[9.465671, 13.834437]	[68, 120]	[18.203526]	[100]	[44264372, 44264424]	[44264404]
685_12100	chr17	48472846	48473246	+	1000	59.0	[15.162296]	[128]	[]	[]	[48473057]	[]
685_12104	chr17	81683130	81683530	+	1000	59.0	[15.193479]	[110]	[]	[]	[81683332]	[]
685_12107	chr18	35431046	35431446	+	1000	59.0	[]	[]	[8.168325]	[101]	[]	[35431242]
685_1211	chr7	36390690	36391090	+	1000	222.0	[]	[]	[14.958855]	[100]	[]	[36390890]
685_12110	chr19	7926380	7926780	+	1000	59.0	[]	[]	[10.991494]	[160]	[]	[7926610]
685_12111	chr19	9362802	9363202	+	1000	59.0	[13.031528]	[92]	[]	[]	[9362994]	[]
685_12116	chr19	46786635	46787035	+	1000	59.0	[7.0915704, 7.268647, 11.693159]	[68, 71, 122]	[]	[]	[46786787, 46786790, 46786841]	[]
685_12117	chr19	50025822	50026222	+	1000	59.0	[9.049544]	[99]	[]	[]	[50026020]	[]
685_12120	chr19	52725549	52725949	+	1000	59.0	[]	[]	[6.9611926]	[113]	[]	[52725753]
685_12122	chr2	11743988	11744388	+	1000	59.0	[]	[]	[8.086186, 6.0221047]	[63, 112]	[]	[11744145, 11744194]
685_12130	chr2	48265116	48265516	+	1000	59.0	[6.193949, 7.222944, 6.9257584]	[83, 106, 139]	[]	[]	[48265291, 48265314, 48265347]	[]
685_12131	chr2	55616686	55617086	+	1000	59.0	[6.0044684, 5.9720507, 6.609189]	[129, 132, 143]	[7.0007815, 11.693953]	[88, 91]	[55616896, 55616899, 55616910]	[55616855, 55616858]
685_12132	chr2	61764240	61764640	+	1000	59.0	[11.413363]	[108]	[]	[]	[61764439]	[]
685_12133	chr2	64852786	64853186	+	1000	59.0	[5.838714, 10.989565, 5.7077255, 12.414815]	[60, 71, 77, 83]	[8.717065]	[100]	[64852944, 64852955, 64852961, 64852967]	[64852984]
685_12134	chr2	69997257	69997657	+	1000	59.0	[]	[]	[6.0534277, 10.201963, 5.7709336, 8.015232]	[72, 77, 154, 158]	[]	[69997421, 69997426, 69997503, 69997507]
685_12135	chr2	71068382	71068782	+	1000	59.0	[8.341024]	[104]	[]	[]	[71068586]	[]
685_12137	chr2	113050721	113051121	+	1000	59.0	[5.786473, 18.402313]	[84, 92]	[]	[]	[113050905, 113050913]	[]
685_1214	chr9	90801573	90801973	+	1000	222.0	[11.856607, 6.2113724, 13.078213]	[72, 104, 122]	[]	[]	[90801734, 90801766, 90801784]	[]
685_12142	chr2	202238396	202238796	+	1000	59.0	[8.499344, 6.8491006]	[122, 139]	[8.768802, 15.10106]	[81, 102]	[202238610, 202238627]	[202238569, 202238590]
685_12143	chr2	204541714	204542114	+	1000	59.0	[8.872959]	[130]	[18.060225]	[96]	[204541940]	[204541906]
685_12145	chr2	231666605	231667005	+	1000	59.0	[14.28278, 7.514984]	[103, 160]	[8.748143]	[116]	[231666798, 231666855]	[231666811]
685_12146	chr20	5608560	5608960	+	1000	59.0	[]	[]	[8.131293]	[128]	[]	[5608767]
685_12159	chr22	39388637	39389037	+	1000	59.0	[]	[]	[11.449809]	[105]	[]	[39388842]
685_12162	chr3	9793376	9793776	+	1000	59.0	[]	[]	[5.9675364, 11.627465]	[63, 101]	[]	[9793527, 9793565]
685_12167	chr3	17771142	17771542	+	1000	59.0	[16.773355]	[108]	[]	[]	[17771342]	[]
685_12170	chr3	42051356	42051756	+	1000	59.0	[]	[]	[12.435392]	[100]	[]	[42051553]
685_12172	chr3	45084760	45085160	+	1000	59.0	[9.84752]	[98]	[]	[]	[45084954]	[]
685_12173	chr3	47377177	47377577	+	1000	59.0	[]	[]	[13.869977, 16.633953]	[126, 138]	[]	[47377389, 47377401]
685_12176	chr3	108131750	108132150	+	1000	59.0	[]	[]	[6.9550757, 12.057468, 6.4553003, 13.807694]	[59, 99, 107, 118]	[]	[108131904, 108131944, 108131952, 108131963]
685_12178	chr3	193593009	193593409	+	1000	59.0	[7.975521]	[66]	[]	[]	[193593160]	[]
685_12180	chr3	195954344	195954744	+	1000	59.0	[]	[]	[10.260902]	[101]	[]	[195954545]
685_12183	chr4	6916549	6916949	+	1000	59.0	[]	[]	[10.390982, 7.459298, 8.057057]	[93, 114, 122]	[]	[6916742, 6916763, 6916771]
685_12185	chr4	48796527	48796927	+	1000	59.0	[15.761773, 6.972842]	[83, 135]	[7.616124]	[54]	[48796707, 48796759]	[48796678]
685_12187	chr4	70930537	70930937	+	1000	59.0	[16.332783]	[95]	[]	[]	[70930732]	[]
685_12190	chr4	81606759	81607159	+	1000	59.0	[]	[]	[10.96052]	[144]	[]	[81606978]
685_12191	chr4	147617176	147617576	+	1000	59.0	[9.116645]	[108]	[]	[]	[147617372]	[]
685_12200	chr5	76662071	76662471	+	1000	59.0	[]	[]	[7.14588, 15.358653, 6.730135, 8.835919]	[97, 107, 146, 154]	[]	[76662257, 76662267, 76662306, 76662314]
685_12203	chr5	150357470	150357870	+	1000	59.0	[5.8210535, 6.2895093, 6.573207]	[83, 89, 122]	[]	[]	[150357640, 150357646, 150357679]	[]
685_12214	chr6	43172443	43172843	+	1000	59.0	[12.653823]	[102]	[]	[]	[43172630]	[]
685_12217	chr6	125314138	125314538	+	1000	59.0	[]	[]	[11.145531]	[143]	[]	[125314359]
685_12218	chr6	139368029	139368429	+	1000	59.0	[6.2955647, 9.586815]	[128, 132]	[6.3752975]	[92]	[139368255, 139368259]	[139368219]
685_12227	chr7	44220859	44221259	+	1000	59.0	[]	[]	[11.44761]	[117]	[]	[44221067]
685_12232	chr7	141533238	141533638	+	1000	59.0	[8.108967]	[100]	[]	[]	[141533433]	[]
685_12233	chr8	13150404	13150804	+	1000	59.0	[]	[]	[7.3157377, 12.708427]	[64, 101]	[]	[13150566, 13150603]
685_12235	chr8	30600695	30601095	+	1000	59.0	[]	[]	[10.428512]	[100]	[]	[30600893]
685_12236	chr8	56074287	56074687	+	1000	59.0	[8.088156]	[117]	[6.3564296]	[107]	[56074501]	[56074491]
685_12239	chr8	96491373	96491773	+	1000	59.0	[]	[]	[15.325211]	[106]	[]	[96491575]
685_1224	chr5	36690378	36690778	+	1000	221.0	[]	[]	[16.256191]	[102]	[]	[36690579]
685_1225	chr7	32490226	32490626	+	1000	221.0	[]	[]	[9.351481]	[99]	[]	[32490419]
685_12251	chr9	130825190	130825590	+	1000	59.0	[8.992588, 9.794919]	[187, 195]	[]	[]	[130825380, 130825388]	[]
685_12258	chrX	153971911	153972311	+	1000	59.0	[]	[]	[11.853279]	[100]	[]	[153972110]
685_12259	chr1	6580311	6580711	+	1000	58.0	[]	[]	[9.239871, 5.7752304]	[101, 107]	[]	[6580511, 6580517]
685_12266	chr1	32201418	32201818	+	1000	58.0	[]	[]	[10.95045]	[75]	[]	[32201591]
685_12268	chr1	36304490	36304890	+	1000	58.0	[]	[]	[9.1546335, 7.44141, 5.666066]	[69, 142, 150]	[]	[36304651, 36304724, 36304732]
685_1227	chrX	111511505	111511905	+	1000	221.0	[15.87502]	[92]	[9.798725]	[54]	[111511697]	[111511659]
685_12270	chr1	47403307	47403707	+	1000	58.0	[18.203526, 7.599202, 6.362608]	[105, 120, 126]	[]	[]	[47403505, 47403520, 47403526]	[]
685_12272	chr1	54355933	54356333	+	1000	58.0	[]	[]	[6.916281]	[114]	[]	[54356145]
685_12274	chr1	149848365	149848765	+	1000	58.0	[]	[]	[11.11699]	[143]	[]	[149848589]
685_12277	chr1	171753675	171754075	+	1000	58.0	[]	[]	[9.889606]	[101]	[]	[171753870]
685_12279	chr1	185559895	185560295	+	1000	58.0	[11.982559]	[140]	[]	[]	[185560115]	[]
685_12281	chr1	232706243	232706643	+	1000	58.0	[12.132177]	[101]	[]	[]	[232706438]	[]
685_12284	chr1	234957454	234957854	+	1000	58.0	[]	[]	[6.5433054]	[88]	[]	[234957642]
685_12286	chr10	5564536	5564936	+	856	58.0	[]	[]	[12.388213]	[137]	[]	[5564753]
685_12287	chr10	11891482	11891882	+	1000	58.0	[]	[]	[6.796727, 14.900891]	[63, 103]	[]	[11891642, 11891682]
685_12292	chr10	71746428	71746828	+	1000	58.0	[8.745406, 10.302136]	[82, 102]	[]	[]	[71746606, 71746626]	[]
685_12293	chr10	72625288	72625688	+	1000	58.0	[6.4986596]	[91]	[]	[]	[72625479]	[]
685_12294	chr10	78938055	78938455	+	949	58.0	[]	[]	[11.646491]	[102]	[]	[78938252]
685_12297	chr10	133278486	133278886	+	1000	58.0	[11.966193]	[109]	[]	[]	[133278685]	[]
685_123	chrX	152136321	152136721	+	1000	442.0	[21.247185]	[105]	[9.484022, 7.722248]	[65, 135]	[152136519]	[152136479, 152136549]
685_12300	chr11	6612028	6612428	+	1000	58.0	[]	[]	[8.590693, 5.8679824]	[95, 101]	[]	[6612219, 6612225]
685_12302	chr11	59856779	59857179	+	1000	58.0	[10.176248]	[69]	[11.903626, 6.9735374]	[128, 136]	[59856948]	[59857007, 59857015]
685_12306	chr11	86931945	86932345	+	1000	58.0	[9.598595]	[121]	[]	[]	[86932160]	[]
685_12308	chr11	117910015	117910415	+	1000	58.0	[]	[]	[7.5952907, 6.4415903, 5.7760334]	[106, 116, 127]	[]	[117910220, 117910230, 117910241]
685_12309	chr11	118342507	118342907	+	1000	58.0	[6.8333154]	[110]	[]	[]	[118342715]	[]
685_12311	chr12	4604612	4605012	+	1000	58.0	[]	[]	[11.1601095]	[99]	[]	[4604797]
685_12316	chr12	28882531	28882931	+	1000	58.0	[]	[]	[12.947034]	[107]	[]	[28882731]
685_12317	chr12	53072642	53073042	+	1000	58.0	[6.7234764]	[78]	[11.186522]	[96]	[53072815]	[53072833]
685_1232	chr1	205121816	205122216	+	1000	220.0	[]	[]	[7.2473106]	[99]	[]	[205122015]
685_12325	chr12	108699965	108700365	+	1000	58.0	[]	[]	[9.191873]	[98]	[]	[108700160]
685_12328	chr13	107853261	107853661	+	1000	58.0	[7.1285753]	[92]	[5.8916507, 6.9422927]	[64, 70]	[107853450]	[107853422, 107853428]
685_12329	chr14	20333086	20333486	+	1000	58.0	[6.5014696, 5.8534646, 8.579915, 11.592083]	[89, 91, 95, 110]	[]	[]	[20333268, 20333270, 20333274, 20333289]	[]
685_12333	chr14	102503726	102504126	+	1000	58.0	[10.631953, 13.744136, 7.5355687]	[105, 121, 157]	[]	[]	[102503903, 102503919, 102503955]	[]
685_12338	chr15	67938063	67938463	+	1000	58.0	[7.5388494]	[141]	[8.03586, 10.333547]	[62, 96]	[67938304]	[67938225, 67938259]
685_12339	chr15	72168323	72168723	+	1000	58.0	[]	[]	[11.789416]	[88]	[]	[72168500]
685_12341	chr15	79923735	79924135	+	1000	58.0	[6.5536566]	[88]	[]	[]	[79923919]	[]
685_12343	chr15	85579031	85579431	+	1000	58.0	[13.289122]	[99]	[]	[]	[85579203]	[]
685_12344	chr15	95922414	95922814	+	1000	58.0	[]	[]	[11.504813]	[96]	[]	[95922610]
685_12346	chr16	1343108	1343508	+	1000	58.0	[6.5353255, 9.693944]	[100, 106]	[]	[]	[1343304, 1343310]	[]
685_12348	chr16	50267623	50268023	+	1000	58.0	[14.6272335, 7.409464]	[99, 124]	[]	[]	[50267819, 50267844]	[]
685_1235	chr12	118016473	118016873	+	1000	220.0	[11.876685]	[97]	[]	[]	[118016668]	[]
685_12353	chr17	27413812	27414212	+	818	58.0	[6.195114]	[130]	[15.727134, 16.386547, 7.324191]	[93, 105, 122]	[27414036]	[27413999, 27414011, 27414028]
685_12355	chr17	37247817	37248217	+	1000	58.0	[]	[]	[19.177654]	[107]	[]	[37248015]
685_12356	chr17	43861140	43861540	+	1000	58.0	[14.560041, 6.472549]	[92, 98]	[6.5643897, 6.1590247]	[112, 160]	[43861321, 43861327]	[43861341, 43861389]
685_12357	chr17	45784953	45785353	+	1000	58.0	[]	[]	[10.464574]	[102]	[]	[45785146]
685_12358	chr17	48855076	48855476	+	1000	58.0	[14.172218]	[89]	[]	[]	[48855263]	[]
685_12362	chr17	64442502	64442902	+	1000	58.0	[11.089156, 7.324934]	[96, 129]	[]	[]	[64442679, 64442712]	[]
685_12364	chr17_GL000205v2_random	169337	169737	+	1000	58.0	[]	[]	[9.978039]	[94]	[]	[169530]
685_12372	chr19	35003275	35003675	+	1000	58.0	[]	[]	[15.29632]	[120]	[]	[35003483]
685_1238	chr19	55385717	55386117	+	1000	220.0	[11.549859, 9.09477, 5.6910133]	[66, 72, 149]	[12.5975485]	[117]	[55385874, 55385880, 55385957]	[55385925]
685_12380	chr2	69741511	69741911	+	1000	58.0	[11.475438]	[127]	[]	[]	[69741733]	[]
685_12381	chr2	85446358	85446758	+	1000	58.0	[]	[]	[17.61965]	[102]	[]	[85446557]
685_12387	chr2	166369305	166369705	+	1000	58.0	[]	[]	[13.515328]	[108]	[]	[166369506]
685_12388	chr2	170339802	170340202	+	1000	58.0	[]	[]	[6.49704]	[109]	[]	[170340006]
685_1239	chr2	130355659	130356059	+	1000	220.0	[10.895944]	[94]	[]	[]	[130355851]	[]
685_12390	chr2	175181578	175181978	+	1000	58.0	[5.695658]	[111]	[]	[]	[175181782]	[]
685_12396	chr20	23655767	23656167	+	1000	58.0	[7.4902043]	[129]	[17.160873, 7.863985, 6.686519, 6.051395, 8.854582, 12.781141]	[80, 140, 145, 149, 150, 162]	[23655977]	[23655928, 23655988, 23655993, 23655997, 23655998, 23656010]
685_12397	chr20	31950068	31950468	+	1000	58.0	[5.823361, 6.3339853]	[105, 153]	[]	[]	[31950265, 31950313]	[]
685_1240	chr2	171211148	171211548	+	1000	220.0	[]	[]	[21.247185, 7.3640003]	[113, 119]	[]	[171211357, 171211363]
685_12406	chr21	43922124	43922524	+	1000	58.0	[10.765425]	[89]	[]	[]	[43922313]	[]
685_12408	chr22	20195339	20195739	+	1000	58.0	[]	[]	[12.736124]	[89]	[]	[20195520]
685_12410	chr22	22168058	22168458	+	1000	58.0	[]	[]	[6.8469157, 12.118636, 6.056941, 6.9504337]	[86, 92, 98, 167]	[]	[22168221, 22168227, 22168233, 22168302]
685_12412	chr22	30033094	30033494	+	1000	58.0	[17.61965]	[89]	[]	[]	[30033275]	[]
685_12417	chr3	53073213	53073613	+	1000	58.0	[7.1403327, 8.766683]	[106, 116]	[]	[]	[53073401, 53073411]	[]
685_12419	chr3	64352417	64352817	+	1000	58.0	[11.286899]	[112]	[]	[]	[64352618]	[]
685_12424	chr3	184135943	184136343	+	1000	58.0	[6.6448536]	[109]	[]	[]	[184136142]	[]
685_12427	chr4	2535303	2535703	+	1000	58.0	[12.162597]	[98]	[6.948603]	[108]	[2535494]	[2535504]
685_12428	chr4	39032208	39032608	+	1000	58.0	[]	[]	[7.896377, 15.976762]	[80, 140]	[]	[39032364, 39032424]
685_12431	chr4	102827928	102828328	+	1000	58.0	[11.986744]	[170]	[]	[]	[102828159]	[]
685_12432	chr4	108972847	108973247	+	1000	58.0	[12.295099]	[142]	[14.457024]	[84]	[108973073]	[108973015]
685_12434	chr5	5065423	5065823	+	1000	58.0	[18.789831, 6.2113585]	[87, 111]	[]	[]	[5065607, 5065631]	[]
685_12438	chr5	95946473	95946873	+	1000	58.0	[]	[]	[6.5516214, 12.653823, 6.0943246, 7.1376085]	[91, 97, 150, 158]	[]	[95946649, 95946655, 95946708, 95946716]
685_12439	chr5	132871944	132872344	+	1000	58.0	[]	[]	[12.947034]	[97]	[]	[132872132]
685_1244	chr11	748377	748777	+	1000	219.0	[11.583043]	[85]	[16.716843, 6.3997083, 13.183726]	[95, 105, 143]	[748560]	[748570, 748580, 748618]
685_12442	chr5	145996148	145996548	+	1000	58.0	[]	[]	[16.256191]	[105]	[]	[145996352]
685_12444	chr6	3937451	3937851	+	1000	58.0	[13.744136, 5.7498713, 6.393164]	[106, 122, 123]	[]	[]	[3937649, 3937665, 3937666]	[]
685_12449	chr6	28922938	28923338	+	1000	58.0	[8.419553]	[103]	[]	[]	[28923138]	[]
685_12450	chr6	32969304	32969704	+	1000	58.0	[]	[]	[11.091137]	[94]	[]	[32969493]
685_12451	chr6	33313873	33314273	+	1000	58.0	[]	[]	[13.562157, 12.070809]	[99, 112]	[]	[33314072, 33314085]
685_12457	chr6	110179918	110180318	+	1000	58.0	[]	[]	[8.788866]	[95]	[]	[110180108]
685_1246	chr14	33564775	33565175	+	1000	219.0	[]	[]	[5.651297, 15.584859]	[69, 103]	[]	[33564942, 33564976]
685_12460	chr6	143778603	143779003	+	1000	58.0	[6.9434085, 9.873241]	[87, 92]	[]	[]	[143778789, 143778794]	[]
685_12461	chr6	156928066	156928466	+	1000	58.0	[11.270833, 10.0765505]	[90, 140]	[]	[]	[156928256, 156928306]	[]
685_12463	chr6	157824116	157824516	+	1000	58.0	[10.231293]	[96]	[]	[]	[157824312]	[]
685_12464	chr6	170048564	170048964	+	1000	58.0	[18.402313]	[93]	[]	[]	[170048748]	[]
685_12471	chr7	56106350	56106750	+	1000	58.0	[7.1229835]	[80]	[5.7057996]	[91]	[56106530]	[56106541]
685_12475	chr7	106717848	106718248	+	1000	58.0	[]	[]	[10.474914]	[107]	[]	[106718039]
685_12477	chr7	127654995	127655395	+	1000	58.0	[10.437277, 8.198953]	[92, 121]	[11.6176]	[103]	[127655186, 127655215]	[127655197]
685_12478	chr7	149063476	149063876	+	1000	58.0	[]	[]	[12.232933]	[103]	[]	[149063678]
685_12481	chr8	23246418	23246818	+	1000	58.0	[6.617228, 5.749114]	[82, 122]	[]	[]	[23246596, 23246636]	[]
685_12482	chr8	23316382	23316782	+	1000	58.0	[12.185668, 10.95103, 9.505382]	[94, 110, 123]	[]	[]	[23316563, 23316579, 23316592]	[]
685_12487	chr8	52985969	52986369	+	1000	58.0	[]	[]	[5.6896234, 15.302139]	[57, 98]	[]	[52986125, 52986166]
685_12488	chr8	54165545	54165945	+	1000	58.0	[]	[]	[11.161944]	[102]	[]	[54165741]
685_12489	chr8	60815363	60815763	+	1000	58.0	[5.731339, 12.718113, 7.2175927]	[92, 99, 153]	[]	[]	[60815551, 60815558, 60815612]	[]
685_1249	chr15	75047068	75047468	+	1000	219.0	[15.609731]	[91]	[]	[]	[75047259]	[]
685_12491	chr8	101051712	101052112	+	1000	58.0	[]	[]	[13.483398, 6.0598626]	[125, 160]	[]	[101051927, 101051962]
685_12495	chr9	98327176	98327576	+	888	58.0	[]	[]	[10.374493]	[121]	[]	[98327395]
685_12498	chr9	133415123	133415523	+	1000	58.0	[]	[]	[13.515328]	[103]	[]	[133415325]
685_1250	chr2	136238743	136239143	+	1000	219.0	[]	[]	[15.325211]	[100]	[]	[136238943]
685_12502	chr9	138021157	138021557	+	1000	58.0	[]	[]	[13.673367]	[98]	[]	[138021354]
685_12503	chrX	9342801	9343201	+	1000	58.0	[7.006444, 12.736124, 8.016084, 5.81248]	[82, 109, 143, 149]	[]	[]	[9342975, 9343002, 9343036, 9343042]	[]
685_12505	chrX	68147851	68148251	+	1000	58.0	[9.00104, 8.272628, 5.729233, 16.720299]	[69, 72, 75, 111]	[]	[]	[68148009, 68148012, 68148015, 68148051]	[]
685_12519	chr1	42658215	42658615	+	1000	57.0	[]	[]	[5.855202]	[112]	[]	[42658422]
685_12520	chr1	44986466	44986866	+	1000	57.0	[5.974601]	[114]	[]	[]	[44986662]	[]
685_12528	chr1	111193010	111193410	+	1000	57.0	[]	[]	[10.374493]	[105]	[]	[111193208]
685_12529	chr1	113872145	113872545	+	1000	57.0	[10.265932, 7.98155]	[89, 111]	[]	[]	[113872333, 113872355]	[]
685_12533	chr1	161068326	161068726	+	1000	57.0	[7.783838, 18.107643]	[113, 127]	[]	[]	[161068523, 161068537]	[]
685_12541	chr1	223402751	223403151	+	1000	57.0	[]	[]	[6.118428, 10.831768, 8.103039]	[92, 98, 115]	[]	[223402943, 223402949, 223402966]
685_12544	chr1	241589542	241589942	+	1000	57.0	[]	[]	[15.852435]	[129]	[]	[241589756]
685_12547	chr10	12782431	12782831	+	1000	57.0	[]	[]	[8.897557]	[153]	[]	[12782658]
685_1255	chr7	130228831	130229231	+	1000	219.0	[11.859054]	[90]	[]	[]	[130229021]	[]
685_12551	chr10	61589549	61589949	+	1000	57.0	[21.247185]	[108]	[6.5546227]	[63]	[61589751]	[61589706]
685_12556	chr10	84149838	84150238	+	1000	57.0	[]	[]	[6.153453, 18.38044]	[61, 100]	[]	[84149997, 84150036]
685_1256	chr9	125436687	125437087	+	1000	219.0	[10.314591]	[90]	[11.547033]	[113]	[125436876]	[125436899]
685_12560	chr10	128063054	128063454	+	1000	57.0	[]	[]	[14.875314, 15.000985, 6.645409, 11.044634]	[55, 98, 104, 120]	[]	[128063208, 128063251, 128063257, 128063273]
685_12563	chr11	10382622	10383022	+	1000	57.0	[]	[]	[10.702463, 15.416616, 5.883517, 6.3582716]	[83, 103, 109, 131]	[]	[10382805, 10382825, 10382831, 10382853]
685_12564	chr11	19240747	19241147	+	1000	57.0	[]	[]	[7.9485407]	[99]	[]	[19240946]
685_12567	chr11	62553339	62553739	+	1000	57.0	[6.1254673]	[141]	[]	[]	[62553565]	[]
685_12568	chr11	66068987	66069387	+	1000	57.0	[13.99157]	[103]	[]	[]	[66069183]	[]
685_1257	chrX	154409015	154409415	+	1000	219.0	[5.948031, 16.332783, 6.264114]	[88, 100, 106]	[]	[]	[154409200, 154409212, 154409218]	[]
685_12573	chr11	74485892	74486292	+	1000	57.0	[14.592593, 6.943659]	[101, 154]	[]	[]	[74486088, 74486141]	[]
685_12574	chr11	76664528	76664928	+	1000	57.0	[]	[]	[6.121375, 7.868887, 10.064201]	[55, 74, 100]	[]	[76664683, 76664702, 76664728]
685_12575	chr11	85628350	85628750	+	1000	57.0	[]	[]	[7.1211796]	[106]	[]	[85628547]
685_12577	chr11	114159906	114160306	+	1000	57.0	[]	[]	[11.989889]	[88]	[]	[114160092]
685_12580	chr12	6960709	6961109	+	1000	57.0	[7.206706, 18.595427]	[90, 108]	[]	[]	[6960890, 6960908]	[]
685_12582	chr12	64452821	64453221	+	1000	57.0	[7.2643094]	[125]	[]	[]	[64453033]	[]
685_12585	chr12	104289204	104289604	+	1000	57.0	[8.170311]	[103]	[9.453473]	[143]	[104289403]	[104289443]
685_12589	chr13	39685658	39686058	+	1000	57.0	[]	[]	[15.336779, 7.020257]	[99, 144]	[]	[39685855, 39685900]
685_12590	chr13	43171470	43171870	+	1000	57.0	[16.122425]	[114]	[]	[]	[43171674]	[]
685_12592	chr13	99320665	99321065	+	1000	57.0	[7.5479155]	[143]	[6.075533, 13.673182, 11.220753, 12.683474]	[110, 124, 132, 153]	[99320901]	[99320868, 99320882, 99320890, 99320911]
685_12596	chr14	68741856	68742256	+	1000	57.0	[6.6787186]	[169]	[6.037287, 11.652699]	[98, 150]	[68742104]	[68742033, 68742085]
685_12602	chr15	70447818	70448218	+	1000	57.0	[10.826317]	[99]	[]	[]	[70448011]	[]
685_12604	chr15	77031313	77031713	+	1000	57.0	[]	[]	[15.575173]	[101]	[]	[77031512]
685_12607	chr15	93179008	93179408	+	1000	57.0	[]	[]	[11.000724]	[118]	[]	[93179213]
685_12613	chr16	58807284	58807684	+	1000	57.0	[12.718113]	[90]	[]	[]	[58807472]	[]
685_12620	chr17	2396861	2397261	+	1000	57.0	[10.40819, 6.448364]	[86, 98]	[]	[]	[2397045, 2397057]	[]
685_12625	chr17	47982434	47982834	+	1000	57.0	[]	[]	[9.610163]	[100]	[]	[47982632]
685_12630	chr17	75784888	75785288	+	1000	57.0	[]	[]	[10.375196, 11.170305]	[86, 98]	[]	[75785074, 75785086]
685_12631	chr17	82885785	82886185	+	1000	57.0	[]	[]	[10.849736]	[105]	[]	[82885987]
685_12636	chr19	5336217	5336617	+	1000	57.0	[]	[]	[9.323397, 19.618229, 10.548216]	[83, 99, 119]	[]	[5336400, 5336416, 5336436]
