#PeakID(python scan_motif.py ./ENCODE_processed_files/IRF2_idr.fa IRF2 --motif_path ./motifs/ --distance 50  --cutoff --size 400)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
642_13052	chr6	149749588	149749988	+	1000	36.0	[]	[]	[3.4720602]	[158]	[]	[149749824]
642_13058	chr6	169212836	169213236	+	1000	36.0	[]	[]	[6.5886865]	[58]	[]	[169212993]
642_1306	chr14	95143779	95144179	+	1000	103.0	[8.736752, 16.66425, 10.006039]	[83, 89, 118]	[]	[]	[95143953, 95143959, 95143988]	[]
642_13061	chr7	4612994	4613394	+	1000	36.0	[4.3336134]	[240]	[]	[]	[4613240]	[]
642_13062	chr7	6056610	6057010	+	1000	36.0	[]	[]	[3.3478272]	[76]	[]	[6056764]
642_13066	chr7	18178266	18178666	+	1000	36.0	[]	[]	[3.4720602]	[164]	[]	[18178503]
642_1307	chr15	96392815	96393215	+	1000	103.0	[]	[]	[12.261112, 6.848867]	[150, 156]	[]	[96393047, 96393053]
642_13075	chr7	75046391	75046791	+	1000	36.0	[]	[]	[7.7509656]	[176]	[]	[75046636]
642_13078	chr7	95511664	95512064	+	715	36.0	[7.6802387]	[86]	[3.6080077]	[129]	[95511817]	[95511860]
642_1308	chr17	45135403	45135803	+	1000	103.0	[12.261112]	[106]	[]	[]	[45135604]	[]
642_13082	chr7	100545662	100546062	+	1000	36.0	[6.5886865]	[160]	[]	[]	[100545906]	[]
642_13084	chr7	103657411	103657811	+	1000	36.0	[3.6080077]	[123]	[]	[]	[103657610]	[]
642_13087	chr7	106986458	106986858	+	1000	36.0	[]	[]	[13.352664]	[189]	[]	[106986697]
642_13089	chr7	111475892	111476292	+	1000	36.0	[3.6080077]	[153]	[]	[]	[111476078]	[]
642_13091	chr7	120805879	120806279	+	1000	36.0	[]	[]	[3.3478272]	[135]	[]	[120806111]
642_13093	chr7	121023413	121023813	+	1000	36.0	[]	[]	[10.006039]	[121]	[]	[121023581]
642_13095	chr7	121394777	121395177	+	1000	36.0	[10.006039]	[88]	[]	[]	[121394939]	[]
642_13097	chr7	129343153	129343553	+	1000	36.0	[]	[]	[3.3478272]	[145]	[]	[129343327]
642_13099	chr7	137656269	137656669	+	1000	36.0	[]	[]	[4.3336134]	[96]	[]	[137656461]
642_131	chr16	88785392	88785792	+	1000	460.0	[]	[]	[12.521293]	[99]	[]	[88785589]
642_1310	chr2	19900064	19900464	+	1000	103.0	[]	[]	[18.919323]	[107]	[]	[19900261]
642_13101	chr7	141071200	141071600	+	820	36.0	[16.66425, 5.6029005]	[112, 118]	[]	[]	[141071396, 141071402]	[]
642_13102	chr7	142587601	142588001	+	676	36.0	[]	[]	[3.3478272]	[94]	[]	[142587766]
642_13103	chr7	149320312	149320712	+	1000	36.0	[5.6029005]	[112]	[]	[]	[149320500]	[]
642_13104	chr7	149625424	149625824	+	1000	36.0	[4.3336134]	[191]	[4.3336134]	[129]	[149625637]	[149625575]
642_13108	chr7	151632997	151633397	+	1000	36.0	[6.5886865]	[78]	[5.863081]	[106]	[151633151]	[151633179]
642_13109	chr7	152706900	152707300	+	1000	36.0	[5.3194]	[75]	[]	[]	[152707066]	[]
642_13112	chr7	156843199	156843599	+	1000	36.0	[10.266219]	[82]	[]	[]	[156843362]	[]
642_13116	chr8	30657212	30657612	+	1000	36.0	[]	[]	[16.66425]	[110]	[]	[30657399]
642_13117	chr8	38384925	38385325	+	1000	36.0	[5.863081]	[76]	[]	[]	[38385096]	[]
642_1312	chr3	3172638	3173038	+	1000	103.0	[]	[]	[18.919323, 15.607738]	[101, 107]	[]	[3172828, 3172834]
642_13122	chr8	55851755	55852155	+	1000	36.0	[]	[]	[3.4720602]	[192]	[]	[55851969]
642_13125	chr8	73371651	73372051	+	938	36.0	[]	[]	[6.5886865]	[212]	[]	[73371886]
642_13126	chr8	95090227	95090627	+	1000	36.0	[]	[]	[4.457846]	[138]	[]	[95090431]
642_13127	chr8	96448915	96449315	+	748	36.0	[]	[]	[12.261112, 12.521293]	[149, 155]	[]	[96449146, 96449152]
642_13128	chr8	99893428	99893828	+	1000	36.0	[7.7509656]	[200]	[]	[]	[99893669]	[]
642_1313	chr4	153518617	153519017	+	1000	103.0	[9.209706]	[80]	[]	[]	[153518784]	[]
642_13138	chr8	140693552	140693952	+	1000	36.0	[3.3478272]	[170]	[]	[]	[140693755]	[]
642_1314	chr6	147065027	147065427	+	1000	103.0	[4.3336134]	[69]	[10.006039, 6.848867, 12.521293]	[120, 126, 132]	[147065186]	[147065237, 147065243, 147065249]
642_13141	chr9	4924200	4924600	+	1000	36.0	[7.7509656]	[161]	[]	[]	[4924442]	[]
642_13142	chr9	35276489	35276889	+	1000	36.0	[18.919323]	[108]	[]	[]	[35276687]	[]
642_13145	chr9	87509899	87510299	+	601	36.0	[]	[]	[3.6080077]	[113]	[]	[87510076]
642_13152	chr9	108156365	108156765	+	1000	36.0	[]	[]	[5.3194, 12.521293]	[66, 110]	[]	[108156531, 108156575]
642_13153	chr9	110371382	110371782	+	1000	36.0	[]	[]	[5.7271333]	[112]	[]	[110371574]
642_13155	chr9	112559989	112560389	+	1000	36.0	[]	[]	[4.3336134, 5.3194, 4.3336134, 4.3336134]	[118, 124, 128, 134]	[]	[112560182, 112560188, 112560192, 112560198]
642_13158	chr9	116471066	116471466	+	997	36.0	[3.3478272]	[147]	[]	[]	[116471313]	[]
642_13164	chr9	130764299	130764699	+	1000	36.0	[]	[]	[3.3478272, 5.3194]	[168, 239]	[]	[130764478, 130764549]
642_13167	chr9	130868238	130868638	+	1000	36.0	[5.7271333, 5.9873137]	[142, 150]	[]	[]	[130868451, 130868459]	[]
642_13170	chr9	131004696	131005096	+	1000	36.0	[]	[]	[5.6029005]	[69]	[]	[131004848]
642_13174	chr9	131106047	131106447	+	1000	36.0	[]	[]	[4.3336134]	[145]	[]	[131106221]
642_13176	chr9	131249038	131249438	+	1000	36.0	[3.3478272]	[139]	[]	[]	[131249217]	[]
642_1318	chr8	72108038	72108438	+	1000	103.0	[]	[]	[5.6029005, 10.266219]	[110, 116]	[]	[72108245, 72108251]
642_13182	chrX	2630382	2630782	+	1000	36.0	[]	[]	[5.6029005]	[128]	[]	[2630591]
642_13184	chrX	23773142	23773542	+	1000	36.0	[16.66425, 3.6080077]	[110, 121]	[]	[]	[23773312, 23773323]	[]
642_13185	chrX	40117752	40118152	+	1000	36.0	[]	[]	[6.7129197]	[110]	[]	[40117958]
642_13186	chrX	48800561	48800961	+	1000	36.0	[3.4720602]	[131]	[]	[]	[48800761]	[]
642_13187	chrX	52921062	52921462	+	969	36.0	[]	[]	[3.6080077]	[149]	[]	[52921267]
642_13189	chrX	77788069	77788469	+	1000	36.0	[]	[]	[10.266219]	[128]	[]	[77788294]
642_1319	chr1	196558387	196558787	+	1000	102.0	[16.66425]	[119]	[]	[]	[196558589]	[]
642_13192	chrX	152155975	152156375	+	936	36.0	[16.66425]	[115]	[]	[]	[152156172]	[]
642_13193	chr1	1109734	1110134	+	947	35.0	[5.6029005]	[104]	[]	[]	[1109925]	[]
642_13194	chr1	1858649	1859049	+	1000	35.0	[4.3336134]	[185]	[]	[]	[1858892]	[]
642_13195	chr1	4007485	4007885	+	861	35.0	[5.6029005, 3.2771003, 5.6029005]	[103, 140, 151]	[]	[]	[4007687, 4007724, 4007735]	[]
642_13199	chr1	10511102	10511502	+	1000	35.0	[]	[]	[7.574473, 4.4393797, 6.5886865, 6.7129197]	[166, 172, 181, 187]	[]	[10511306, 10511312, 10511321, 10511327]
642_132	chr17	48585405	48585805	+	1000	460.0	[]	[]	[5.6029005, 12.521293, 6.5886865]	[104, 110, 116]	[]	[48585608, 48585614, 48585620]
642_13200	chr1	11749091	11749491	+	1000	35.0	[]	[]	[6.7129197, 3.4720602]	[98, 153]	[]	[11749254, 11749309]
642_1321	chr14	53108927	53109327	+	1000	102.0	[]	[]	[13.246898, 7.7509656]	[100, 106]	[]	[53109125, 53109131]
642_13216	chr1	20195175	20195575	+	567	35.0	[3.3478272]	[152]	[]	[]	[20195391]	[]
642_13219	chr1	23745500	23745900	+	1000	35.0	[3.6080077]	[105]	[]	[]	[23745678]	[]
642_1322	chr16	71484441	71484841	+	1000	102.0	[4.593794]	[67]	[]	[]	[71484596]	[]
642_13223	chr1	26791562	26791962	+	1000	35.0	[7.6802387]	[154]	[]	[]	[26791810]	[]
642_13226	chr1	28668352	28668752	+	1000	35.0	[3.4720602]	[168]	[3.6080077]	[81]	[28668603]	[28668516]
642_1323	chr17	58658948	58659348	+	1000	102.0	[4.3336134]	[144]	[]	[]	[58659154]	[]
642_13233	chr1	34843512	34843912	+	1000	35.0	[3.3478272, 5.863081]	[187, 192]	[]	[]	[34843745, 34843750]	[]
642_13234	chr1	35268338	35268738	+	1000	35.0	[]	[]	[7.7509656]	[80]	[]	[35268501]
642_1324	chr19	42244678	42245078	+	1000	102.0	[]	[]	[5.863081]	[132]	[]	[42244898]
642_13240	chr1	40404761	40405161	+	1000	35.0	[5.6029005]	[78]	[]	[]	[40404930]	[]
642_13246	chr1	46199100	46199500	+	814	35.0	[5.863081]	[112]	[]	[]	[46199310]	[]
642_13249	chr1	52056589	52056989	+	1000	35.0	[3.2771003]	[145]	[]	[]	[52056760]	[]
642_13251	chr1	52725981	52726381	+	982	35.0	[5.7271333]	[98]	[]	[]	[52726160]	[]
642_13256	chr1	85201863	85202263	+	1000	35.0	[13.246898]	[89]	[]	[]	[85202052]	[]
642_13257	chr1	90008024	90008424	+	1000	35.0	[]	[]	[5.863081]	[245]	[]	[90008196]
642_13258	chr1	92924419	92924819	+	685	35.0	[4.3336134, 3.2771003]	[126, 132]	[]	[]	[92924599, 92924605]	[]
642_13260	chr1	109655780	109656180	+	1000	35.0	[4.3336134]	[139]	[]	[]	[109655957]	[]
642_13261	chr1	109863986	109864386	+	1000	35.0	[12.521293, 12.261112]	[98, 121]	[]	[]	[109864180, 109864203]	[]
642_13262	chr1	110872934	110873334	+	1000	35.0	[]	[]	[3.3478272]	[129]	[]	[110873129]
642_13264	chr1	112716266	112716666	+	1000	35.0	[3.4720602]	[125]	[]	[]	[112716486]	[]
642_1327	chr3	195458421	195458821	+	1000	102.0	[14.409177]	[94]	[]	[]	[195458611]	[]
642_13270	chr1	143269200	143269600	+	1000	35.0	[]	[]	[3.3478272]	[135]	[]	[143269431]
642_13272	chr1	150560922	150561322	+	1000	35.0	[]	[]	[3.3478272]	[152]	[]	[150561156]
642_1328	chr4	128553261	128553661	+	1000	102.0	[]	[]	[5.6029005, 6.954633]	[131, 137]	[]	[128553484, 128553490]
642_13280	chr1	162396844	162397244	+	1000	35.0	[3.3478272, 10.130272]	[108, 152]	[]	[]	[162397007, 162397051]	[]
642_13282	chr1	167826081	167826481	+	955	35.0	[]	[]	[5.863081]	[158]	[]	[167826319]
642_13285	chr1	174023430	174023830	+	1000	35.0	[]	[]	[4.3336134]	[179]	[]	[174023628]
642_13287	chr1	179079138	179079538	+	1000	35.0	[]	[]	[3.3478272]	[93]	[]	[179079316]
642_1329	chr5	43066796	43067196	+	1000	102.0	[13.352664, 5.6029005]	[64, 70]	[]	[]	[43066960, 43066966]	[]
642_13290	chr1	180586071	180586471	+	1000	35.0	[10.991825, 3.3478272]	[133, 160]	[]	[]	[180586234, 180586261]	[]
642_13291	chr1	181021778	181022178	+	1000	35.0	[]	[]	[3.3478272, 10.266219, 4.3336134]	[88, 97, 102]	[]	[181021957, 181021966, 181021971]
642_13293	chr1	182601285	182601685	+	1000	35.0	[4.3336134]	[124]	[]	[]	[182601459]	[]
642_13296	chr1	193104516	193104916	+	1000	35.0	[5.6029005]	[111]	[]	[]	[193104696]	[]
642_13297	chr1	195898794	195899194	+	1000	35.0	[5.6029005, 3.3478272]	[149, 156]	[4.3336134]	[132]	[195899034, 195899041]	[195899017]
642_133	chr16	18945923	18946323	+	1000	459.0	[]	[]	[18.919323]	[106]	[]	[18946129]
642_1330	chr6	116695404	116695804	+	1000	102.0	[7.8751984]	[62]	[16.66425, 12.261112, 6.5886865]	[107, 113, 150]	[116695562]	[116695607, 116695613, 116695650]
642_13301	chr1	204692960	204693360	+	1000	35.0	[6.7129197, 4.457846]	[100, 104]	[]	[]	[204693127, 204693131]	[]
642_13303	chr1	206686861	206687261	+	1000	35.0	[5.6029005]	[136]	[]	[]	[206687079]	[]
642_13306	chr1	207500305	207500705	+	963	35.0	[12.261112]	[152]	[]	[]	[207500529]	[]
642_13307	chr1	207867846	207868246	+	1000	35.0	[7.7509656, 6.1232615, 13.246898]	[97, 107, 113]	[5.6029005]	[76]	[207868027, 207868037, 207868043]	[207868006]
642_1331	chr8	20072568	20072968	+	1000	102.0	[4.3336134, 3.4720602, 10.006039]	[85, 91, 102]	[3.2771003]	[145]	[20072740, 20072746, 20072757]	[20072800]
642_13312	chr1	212635167	212635567	+	1000	35.0	[]	[]	[12.521293, 6.848867, 5.863081]	[102, 137, 143]	[]	[212635362, 212635397, 212635403]
642_13313	chr1	212665499	212665899	+	1000	35.0	[]	[]	[6.5886865]	[70]	[]	[212665669]
642_13317	chr1	225997612	225998012	+	823	35.0	[]	[]	[12.521293]	[114]	[]	[225997802]
642_13318	chr1	227707871	227708271	+	1000	35.0	[4.3336134, 16.66425, 12.261112]	[107, 133, 139]	[]	[]	[227708046, 227708072, 227708078]	[]
642_1332	chr1	15543557	15543957	+	1000	101.0	[6.954633]	[85]	[]	[]	[15543728]	[]
642_13321	chr1	236416163	236416563	+	1000	35.0	[12.521293]	[87]	[]	[]	[236416348]	[]
642_13323	chr10	3852279	3852679	+	1000	35.0	[]	[]	[3.6080077]	[148]	[]	[3852453]
642_13324	chr10	4107366	4107766	+	1000	35.0	[16.66425]	[92]	[]	[]	[4107545]	[]
642_13325	chr10	5809507	5809907	+	843	35.0	[3.6080077, 12.521293]	[133, 139]	[4.3336134]	[84]	[5809717, 5809723]	[5809668]
642_13328	chr10	11611321	11611721	+	1000	35.0	[]	[]	[6.5886865]	[222]	[]	[11611569]
642_13333	chr10	25026510	25026910	+	1000	35.0	[]	[]	[5.863081, 16.66425]	[132, 138]	[]	[25026727, 25026733]
642_13334	chr10	26697392	26697792	+	1000	35.0	[3.4720602]	[95]	[]	[]	[26697583]	[]
642_13338	chr10	35563300	35563700	+	1000	35.0	[]	[]	[3.3478272]	[160]	[]	[35563534]
642_1334	chr1	112493446	112493846	+	1000	101.0	[7.7509656, 10.266219, 5.863081, 4.593794, 4.3336134]	[86, 91, 97, 103, 109]	[]	[]	[112493622, 112493627, 112493633, 112493639, 112493645]	[]
642_13340	chr10	42769776	42770176	+	1000	35.0	[]	[]	[3.4720602, 10.006039, 6.5886865, 18.919323]	[115, 136, 143, 149]	[]	[42769970, 42769991, 42769998, 42770004]
642_13347	chr10	61782031	61782431	+	1000	35.0	[]	[]	[4.3336134]	[177]	[]	[61782253]
642_13349	chr10	63720057	63720457	+	885	35.0	[]	[]	[3.6080077]	[201]	[]	[63720298]
642_13352	chr10	70982395	70982795	+	1000	35.0	[18.919323]	[120]	[]	[]	[70982576]	[]
642_1336	chr10	71694566	71694966	+	1000	101.0	[10.006039, 6.5886865]	[83, 89]	[]	[]	[71694742, 71694748]	[]
642_13360	chr10	79374571	79374971	+	1000	35.0	[]	[]	[3.6080077]	[63]	[]	[79374728]
642_13368	chr10	103367741	103368141	+	1000	35.0	[4.3336134]	[131]	[]	[]	[103367945]	[]
642_1337	chr11	119024609	119025009	+	1000	101.0	[6.848867, 18.919323]	[93, 99]	[]	[]	[119024798, 119024804]	[]
642_13371	chr10	119663815	119664215	+	1000	35.0	[16.66425]	[115]	[3.6080077]	[97]	[119663998]	[119663980]
642_13375	chr11	3837754	3838154	+	1000	35.0	[4.3336134]	[151]	[]	[]	[3837983]	[]
642_13376	chr11	5151638	5152038	+	791	35.0	[10.266219]	[142]	[]	[]	[5151856]	[]
642_13378	chr11	6728303	6728703	+	1000	35.0	[]	[]	[3.3478272, 4.3336134]	[159, 170]	[]	[6728519, 6728530]
642_1338	chr12	5620871	5621271	+	1000	101.0	[]	[]	[12.521293]	[119]	[]	[5621087]
642_13384	chr11	17230078	17230478	+	1000	35.0	[3.3478272, 3.6080077, 3.6080077]	[125, 144, 149]	[]	[]	[17230299, 17230318, 17230323]	[]
642_1339	chr12	64459625	64460025	+	1000	101.0	[]	[]	[18.919323, 6.848867, 4.3336134]	[107, 113, 138]	[]	[64459829, 64459835, 64459860]
642_13390	chr11	58746030	58746430	+	1000	35.0	[3.3478272]	[79]	[]	[]	[58746209]	[]
642_13391	chr11	59537133	59537533	+	978	35.0	[4.3336134]	[74]	[]	[]	[59537297]	[]
642_13395	chr11	65027567	65027967	+	1000	35.0	[]	[]	[4.3336134]	[114]	[]	[65027746]
642_13398	chr11	66372250	66372650	+	1000	35.0	[3.3478272]	[104]	[]	[]	[66372419]	[]
642_134	chr11	114346597	114346997	+	1000	453.0	[12.521293, 18.919323, 5.6029005]	[77, 83, 89]	[]	[]	[114346770, 114346776, 114346782]	[]
642_1340	chr12	112559811	112560211	+	1000	101.0	[]	[]	[12.261112, 12.521293]	[137, 143]	[]	[112560039, 112560045]
642_13400	chr11	69443398	69443798	+	1000	35.0	[5.6029005]	[76]	[]	[]	[69443558]	[]
642_13402	chr11	74461974	74462374	+	621	35.0	[4.3336134]	[101]	[]	[]	[74462126]	[]
642_13406	chr11	78417819	78418219	+	1000	35.0	[3.5372808]	[129]	[]	[]	[78418042]	[]
642_13407	chr11	83157605	83158005	+	1000	35.0	[]	[]	[12.261112]	[167]	[]	[83157844]
642_1341	chr13	28659579	28659979	+	1000	101.0	[]	[]	[13.246898, 4.593794]	[134, 140]	[]	[28659796, 28659802]
642_13411	chr11	114295031	114295431	+	1000	35.0	[5.863081]	[171]	[]	[]	[114295254]	[]
642_13412	chr11	117178311	117178711	+	1000	35.0	[3.3478272, 3.2771003]	[99, 183]	[]	[]	[117178462, 117178546]	[]
642_13415	chr11	124644285	124644685	+	1000	35.0	[]	[]	[4.3336134]	[84]	[]	[124644469]
642_13420	chr12	7609517	7609917	+	1000	35.0	[13.246898]	[85]	[]	[]	[7609690]	[]
642_13424	chr12	25251300	25251700	+	1000	35.0	[3.3478272]	[112]	[]	[]	[25251498]	[]
642_13427	chr12	46430302	46430702	+	1000	35.0	[6.5886865]	[129]	[]	[]	[46430463]	[]
642_1343	chr17	50852108	50852508	+	1000	101.0	[12.521293]	[121]	[]	[]	[50852315]	[]
642_13431	chr12	48198241	48198641	+	1000	35.0	[]	[]	[5.6029005]	[83]	[]	[48198407]
642_13432	chr12	49331550	49331950	+	859	35.0	[]	[]	[5.7271333]	[136]	[]	[49331772]
642_13434	chr12	49776325	49776725	+	1000	35.0	[3.4720602]	[68]	[]	[]	[49776482]	[]
642_13435	chr12	49828429	49828829	+	1000	35.0	[]	[]	[5.863081]	[72]	[]	[49828590]
642_13436	chr12	51049021	51049421	+	1000	35.0	[14.409177]	[93]	[]	[]	[51049188]	[]
642_1344	chr19	45668968	45669368	+	1000	101.0	[]	[]	[3.3478272]	[163]	[]	[45669205]
642_13444	chr12	64625219	64625619	+	1000	35.0	[]	[]	[3.3478272, 6.5886865, 4.457846]	[161, 224, 230]	[]	[64625400, 64625463, 64625469]
642_13451	chr12	93767170	93767570	+	1000	35.0	[]	[]	[12.521293]	[112]	[]	[93767359]
642_13452	chr12	98532640	98533040	+	857	35.0	[6.5886865]	[139]	[4.3336134]	[164]	[98532842]	[98532867]
642_13456	chr12	108123480	108123880	+	948	35.0	[3.6080077]	[157]	[]	[]	[108123718]	[]
642_13457	chr12	110102199	110102599	+	1000	35.0	[3.3478272]	[129]	[]	[]	[110102396]	[]
642_1346	chr20	33992874	33993274	+	1000	101.0	[16.66425]	[113]	[]	[]	[33993083]	[]
642_13467	chr12	130880469	130880869	+	1000	35.0	[]	[]	[3.4720602]	[127]	[]	[130880633]
642_1347	chr20	35954318	35954718	+	1000	101.0	[12.261112]	[83]	[]	[]	[35954476]	[]
642_13470	chr13	77325305	77325705	+	1000	35.0	[3.3478272, 5.3194, 16.66425]	[95, 142, 148]	[]	[]	[77325459, 77325506, 77325512]	[]
642_13471	chr13	90277090	90277490	+	1000	35.0	[]	[]	[5.863081, 3.6080077]	[122, 154]	[]	[90277269, 90277301]
642_13473	chr13	92347298	92347698	+	1000	35.0	[6.848867, 14.409177, 5.6029005]	[139, 158, 164]	[]	[]	[92347461, 92347480, 92347486]	[]
642_1348	chr5	10355065	10355465	+	1000	101.0	[12.521293]	[81]	[]	[]	[10355244]	[]
642_13480	chr13	99066238	99066638	+	1000	35.0	[3.2771003]	[146]	[16.66425, 16.66425]	[90, 118]	[99066481]	[99066425, 99066453]
642_13482	chr13	107949101	107949501	+	1000	35.0	[10.266219]	[127]	[]	[]	[107949281]	[]
642_13483	chr14	22986533	22986933	+	1000	35.0	[6.694453]	[59]	[]	[]	[22986686]	[]
642_13484	chr14	23285195	23285595	+	1000	35.0	[]	[]	[3.4720602]	[239]	[]	[23285444]
642_13489	chr14	77707843	77708243	+	1000	35.0	[]	[]	[3.3478272]	[117]	[]	[77708040]
642_1349	chr5	143828623	143829023	+	1000	101.0	[5.863081, 12.521293]	[97, 103]	[]	[]	[143828805, 143828811]	[]
642_13490	chr14	92785715	92786115	+	794	35.0	[8.736752, 6.5886865]	[102, 108]	[]	[]	[92785900, 92785906]	[]
642_13491	chr14	93205764	93206164	+	1000	35.0	[]	[]	[16.66425, 4.3336134]	[143, 149]	[]	[93205998, 93206004]
642_13494	chr15	39782745	39783145	+	1000	35.0	[]	[]	[3.3478272]	[146]	[]	[39782943]
642_13498	chr15	42926620	42927020	+	1000	35.0	[]	[]	[3.3478272]	[103]	[]	[42926823]
642_135	chr3	118851825	118852225	+	1000	451.0	[]	[]	[3.3478272, 12.261112, 12.261112, 16.66425, 5.863081, 5.6029005, 14.409177, 5.6029005, 14.409177]	[79, 85, 91, 101, 107, 112, 118, 129, 135]	[]	[118852002, 118852008, 118852014, 118852024, 118852030, 118852035, 118852041, 118852052, 118852058]
642_1350	chr6	36171595	36171995	+	1000	101.0	[]	[]	[5.6029005, 12.261112, 6.694453]	[87, 93, 99]	[]	[36171781, 36171787, 36171793]
642_13501	chr15	58521474	58521874	+	1000	35.0	[6.5886865]	[112]	[]	[]	[58521673]	[]
642_13503	chr15	60507769	60508169	+	1000	35.0	[10.006039]	[93]	[]	[]	[60507944]	[]
642_1351	chr6	145865147	145865547	+	1000	101.0	[]	[]	[18.919323, 13.246898]	[99, 105]	[]	[145865323, 145865329]
642_13512	chr15	78937219	78937619	+	1000	35.0	[3.6080077]	[107]	[]	[]	[78937425]	[]
642_13520	chr15	92878570	92878970	+	1000	35.0	[3.3478272]	[153]	[]	[]	[92878801]	[]
642_13523	chr16	2720908	2721308	+	1000	35.0	[]	[]	[5.9873137]	[145]	[]	[2721122]
642_13528	chr16	11344986	11345386	+	867	35.0	[6.5886865]	[146]	[]	[]	[11345191]	[]
642_1353	chr9	73093899	73094299	+	1000	101.0	[]	[]	[5.6029005, 12.521293]	[120, 126]	[]	[73094114, 73094120]
642_13530	chr16	15573926	15574326	+	1000	35.0	[5.6029005, 3.4720602]	[183, 230]	[]	[]	[15574121, 15574168]	[]
642_13532	chr16	22191090	22191490	+	1000	35.0	[]	[]	[3.3478272]	[121]	[]	[22191257]
642_13534	chr16	23735219	23735619	+	1000	35.0	[]	[]	[3.3478272]	[115]	[]	[23735422]
642_13537	chr16	29962647	29963047	+	1000	35.0	[]	[]	[6.5886865, 12.521293]	[129, 135]	[]	[29962851, 29962857]
642_13540	chr16	46830967	46831367	+	1000	35.0	[]	[]	[6.5886865]	[80]	[]	[46831119]
642_13542	chr16	48353560	48353960	+	1000	35.0	[]	[]	[6.5886865]	[67]	[]	[48353726]
642_13544	chr16	68417913	68418313	+	1000	35.0	[]	[]	[18.919323]	[158]	[]	[68418160]
642_13545	chr16	69396150	69396550	+	1000	35.0	[3.3478272]	[140]	[]	[]	[69396324]	[]
642_13547	chr16	74700089	74700489	+	1000	35.0	[10.006039]	[145]	[5.863081]	[85]	[74700316]	[74700256]
642_13548	chr16	74853870	74854270	+	874	35.0	[12.521293]	[109]	[4.3336134, 5.6029005]	[83, 155]	[74854066]	[74854040, 74854112]
642_13549	chr16	75177768	75178168	+	1000	35.0	[18.919323]	[173]	[]	[]	[75178015]	[]
642_1355	chrX	64206258	64206658	+	1000	101.0	[]	[]	[16.66425]	[141]	[]	[64206480]
642_13550	chr16	81497823	81498223	+	1000	35.0	[]	[]	[12.521293, 10.991825, 3.4720602]	[106, 112, 176]	[]	[81497991, 81497997, 81498061]
642_13555	chr16	87316761	87317161	+	1000	35.0	[]	[]	[3.3478272, 7.7509656]	[60, 89]	[]	[87316914, 87316943]
642_13558	chr16	88857685	88858085	+	1000	35.0	[]	[]	[3.3478272]	[101]	[]	[88857884]
642_13560	chr16	89490650	89491050	+	1000	35.0	[]	[]	[3.4720602]	[140]	[]	[89490875]
642_13562	chr17	8119488	8119888	+	1000	35.0	[]	[]	[10.006039, 4.593794]	[78, 84]	[]	[8119662, 8119668]
642_13566	chr17	28860231	28860631	+	1000	35.0	[]	[]	[6.5886865, 5.6029005]	[84, 90]	[]	[28860408, 28860414]
642_1357	chr1	114716696	114717096	+	1000	100.0	[11.097591, 5.6029005]	[103, 109]	[]	[]	[114716895, 114716901]	[]
642_13570	chr17	30939243	30939643	+	737	35.0	[18.919323, 6.848867]	[101, 107]	[]	[]	[30939421, 30939427]	[]
642_13581	chr17	46108706	46109106	+	827	35.0	[3.3478272, 6.848867]	[168, 186]	[]	[]	[46108902, 46108920]	[]
642_13586	chr17	55514004	55514404	+	1000	35.0	[]	[]	[5.7271333]	[71]	[]	[55514161]
642_13589	chr17	59892386	59892786	+	923	35.0	[7.6802387]	[168]	[]	[]	[59892570]	[]
642_1359	chr1	243354504	243354904	+	1000	100.0	[]	[]	[18.919323, 4.593794, 4.3336134]	[116, 122, 129]	[]	[243354704, 243354710, 243354717]
642_13590	chr17	60577052	60577452	+	1000	35.0	[]	[]	[5.6029005, 16.66425]	[135, 141]	[]	[60577249, 60577255]
642_13598	chr17	76234292	76234692	+	996	35.0	[]	[]	[12.3853445]	[158]	[]	[76234499]
642_136	chr8	118920923	118921323	+	1000	451.0	[]	[]	[6.5886865, 18.919323, 16.66425, 3.6080077]	[100, 106, 112, 118]	[]	[118921120, 118921126, 118921132, 118921138]
642_13600	chr17	78985975	78986375	+	1000	35.0	[]	[]	[12.261112]	[144]	[]	[78986217]
642_13601	chr17	81285291	81285691	+	1000	35.0	[5.6029005]	[145]	[]	[]	[81285516]	[]
642_13603	chr17	81722480	81722880	+	966	35.0	[]	[]	[3.4720602]	[70]	[]	[81722635]
642_13605	chr17_GL000205v2_random	50519	50919	+	1000	35.0	[]	[]	[5.863081]	[115]	[]	[50734]
642_13607	chr17_GL000205v2_random	65869	66269	+	1000	35.0	[]	[]	[3.3478272]	[153]	[]	[66075]
642_13608	chr18	1512059	1512459	+	1000	35.0	[]	[]	[6.5886865, 10.991825]	[103, 144]	[]	[1512223, 1512264]
642_1361	chr10	6884996	6885396	+	1000	100.0	[]	[]	[16.66425, 3.3478272]	[102, 108]	[]	[6885198, 6885204]
642_13611	chr18	3985037	3985437	+	1000	35.0	[]	[]	[12.521293, 10.266219]	[124, 130]	[]	[3985256, 3985262]
642_13614	chr18	9688138	9688538	+	1000	35.0	[]	[]	[3.3478272]	[226]	[]	[9688353]
642_13615	chr18	9708805	9709205	+	1000	35.0	[7.7509656, 3.6080077, 10.006039]	[107, 113, 119]	[]	[]	[9708976, 9708982, 9708988]	[]
642_13617	chr18	9906593	9906993	+	1000	35.0	[5.9873137]	[189]	[]	[]	[9906806]	[]
